word,count
ny,1310913
dia,438174
amin,371765
ao,261966
ary,135437
tanàna,110988
taona,107974
tamin,95644
kaominina,89696
faritr,77285
ara,70076
koa,70061
ivelany,66517
rohy,66120
indrindra,63033
jereo,61578
biôgrafia,59557
ireo,57890
mizaka,55034
no,54976
ilay,54561
teraka,50012
jeografia,46245
eo,45971
sy,41839
zavatra,40359
metatra,40221
haavon,40193
de,39411
toerana,39183
mpilalao,39137
fivondronan,38494
ora,37947
na,37890
mponina,37333
gmt,35145
izay,34844
isam,33020
faritany,32386
injeniera,32021
tenan,31383
etazonia,30838
tsy,30643
hoe,29833
izy,28861
maty,28340
paositra,28262
kaodim,27934
masoandro,27822
baolina,27248
kitra,27213
araka,26789
an,25631
izany,24996
zom,23886
frantsa,23878
pirenen,23808
ity,23708
soratra,22757
tao,22594
tany,22523
natao,22387
www,22325
ho,22215
communes,22068
kainkintana,21360
mampiasa,21034
com,20831
any,20818
manana,20409
ponin,20340
misy,20065
mpikambana,20044
ben,20019
madinidinika,19923
insee,19820
laharan,19786
fanisana,19594
freebase,19495
departemantan,19446
tranonkala,19435
fisiana,19421
daharampehintany,19314
daharanjarahasin,19314
mandritry,19277
desimaly,19257
kaominin,19235
ambany,19193
laharam,18840
avo,18641
pehintaniny,18254
jarahasiny,18254
noho,17919
fiteny,17221
isan,15372
fa,15132
mpanoratra,14759
ka,14497
ankamaroan,14461
km,14403
azy,14388
andro,14122
au,14109
toeran,13768
soridalany,13556
tsiahy,13411
atao,13373
io,13014
talen,11924
koronantsary,11868
teny,11626
hita,11548
mpanao,11315
olona,11161
brazila,10769
jean,10630
avy,10557
hatramin,10486
ponina,10240
ahitana,10191
faritanin,10164
zava,9871
maso,9364
habakabaka,9200
manodidin,9112
potoana,8995
fehiben,8985
asiterôida,8938
danitra,8724
anisan,8632
indray,8557
kilometatra,8466
lisitry,8194
malagasy,7955
janoary,7809
lehibe,7543
toe,7464
tahaka,7416
la,7348
akaiky,7330
et,7315
atsimo,7195
saint,7165
lavitra,7098
senariô,7055
banky,7053
avaratra,7023
faritra,7004
angon,6831
teo,6828
hijery,6824
kelikely,6816
lokony,6811
hainkintana,6806
vaton,6800
elanelany,6790
degre,6790
halavam,6787
madagasikara,6785
mikasikan,6782
mihodikodina,6782
jpl,6779
hamaizin,6779
hakeliny,6778
afeliany,6778
hidodikodonany,6778
anômalia,6778
fironany,6778
periheliany,6772
andriamanitra,6408
atsinanana,6315
fajiry,6306
sady,6248
tena,6237
iray,6181
raha,6136
politika,6086
maro,5830
manodidina,5621
mankany,5603
asa,5533
mpahay,5512
horonantsary,5388
faha,5364
aostralia,5263
toa,5179
jaton,5159
new,5127
paritany,5082
fiangonana,4997
pierre,4997
voalohany,4955
firenena,4921
loire,4898
momba,4864
sina,4824
vita,4743
india,4720
york,4663
izao,4656
du,4652
hafanana,4628
faharoa,4619
hafa,4587
fahasamihafan,4566
distrikan,4566
boribory,4546
charles,4536
volana,4519
fanjakana,4479
lavorary,4478
manodidon,4477
tahaky,4474
albedo,4470
asisterôida,4469
soridala,4468
