word,count
марий,31769
влак,25630
ола,13679
эл,13320
йошкар,13193
ял,12797
ий,11431
да,10340
республики,9143
лийын,7417
еҥ,7275
дене,7036
кугу,6789
район,6158
ачамланде,5342
деч,5260
гыч,5058
российыште,4492
кӧ,4464
кундемыштыже,4422
ийыште,4376
литератур,4270
элын,4168
ийласе,4062
сарын,4055
участникше,4029
кылвер,4021
важ,3842
по,3702
шочын,3582
илымверла,3575
кундемысе,3500
вер,3363
образования,3226
сборник,3217
километр,3210
верланыше,3203
верланыме,3104
история,3088
государственный,2993
калык,2983
пытыше,2947
архив,2926
делам,2925
муниципального,2923
комитет,2912
администрация,2903
очерков,2902
документальных,2890
архивов,2889
серызе,2792
деревень,2789
сел,2785
калыкчот,2698
влакын,2655
тиде,2624
кавалерже,2566
мо,2523
ше,2519
шотан,2512
колен,2461
тудо,2437
тылзын,2432
ил,2273
кундем,2269
деревня,2223
верланен,2134
пурышо,2129
ден,2103
кугыжаныш,2034
илемыш,2031
курым,2012
сола,1966
нерген,1950
сулло,1913
йылме,1897
кечынже,1892
степенян,1879
россий,1837
могырно,1837
почеш,1829
орден,1818
орденын,1811
сар,1789
кече,1785
курымын,1774
руш,1772
шогышо,1751
влакым,1746
ик,1733
на,1701
шанче,1699
ончыко,1679
посёлко,1662
шке,1575
марийского,1569
ончо,1557
пашам,1524
шоген,1517
ийже,1517
эртымгорно,1515
икымше,1506
почеламут,1500
асср,1492
кечывалвел,1479
вара,1476
шӱдыр,1469
туныктышо,1459
лӱмлӧ,1454
йӱдвел,1451
тудын,1441
огыл,1421
ушемын,1358
шо,1349
пашаеҥже,1349
ийлаште,1346
илыш,1336
паша,1333
лӱмеш,1315
эн,1301
сынан,1301
тугак,1280
кок,1273
мут,1261
республикысе,1253
эрвел,1245
чап,1239
лӱм,1222
мар,1211
марте,1196
почеламутчо,1193
финно,1172
материалы,1157
годым,1154
уло,1150
тӱҥ,1150
журналист,1127
изи,1126
морко,1124
курыкмарий,1123
категорий,1120
но,1102
шуко,1079
тыгак,1079
йыжъеҥже,1077
республикын,1065
иванов,1065
языка,1057
шернур,1055
коммуна,1050
стихи,1048
але,1040
семын,1032
илем,1026
лиеш,1025
гын,975
сост,958
торъял,923
касвел,897
марийской,895
ойлымаш,890
иван,886
велыште,884
пайрем,872
лектын,871
ыштен,864
мари,863
александр,862
науч,862
пашаеҥ,850
велысе,849
корныжо,845
конф,844
кечыже,839
тудым,833
деке,820
шочмо,805
шанчызе,789
событий,778
проблемы,778
пер,776
пырля,773
тӱҥалын,767
лауреатше,767
кандидат,765
марийском,764
пеледыш,757
марийская,754
иванович,750
ссср,737
ун,731
гос,728
языке,727
премийын,724
налын,718
олык,714
кертеш,704
палыме,694
пура,692
тӱрек,690
илл,690
олала,687
влаклан,686
ийын,685
роҥго,682
марийский,681
моло,680
олаште,678
тыге,674
гына,669
килемар,667
совет,666
кӱшыл,662
николай,659
василий,657
тыгай,655
муро,654
чыла,649
тӱвыра,648
филологий,647
вес,644
шотышто,642
тӱрлӧ,637
теле,636
ок,635
коклаште,632
гана,632
повесть,631
жап,628
йылмызе,626
рсфср,626
украиныште,623
эҥер,612
вел,612
йоча,610
оласе,609
сернурский,609
кечын,606
шотлымо,606
почиҥга,605
маскасола,604
горномарийский,604
