word,count
dari,185888
ko,135691
nan,127097
asteroid,125823
adolah,114828
langau,108354
dan,94231
spesies,87663
marupokan,85867
di,85595
bagian,80982
juo,76982
famili,70627
ordo,68919
rujuakan,68363
iko,65099
filum,64940
animalia,63775
arthropoda,63412
kingdom,63408
insecta,62509
kelas,51835
matoari,47203
diptera,47193
kayu,46129
cerambycidae,46068
nebula,44369
sabuah,39820
biasonyo,39625
untuak,39373
planet,33068
dapek,32908
dalam,32754
kumbang,30714
pado,30570
database,28003
dek,27251
ditamukan,26677
sacaro,25679
planetesimal,25474
ataupun,24515
sabagai,24066
lua,24031
pautan,23931
manjadi,23856
gadang,23695
indak,23587
sarupo,23417
tabantuak,23299
kasaluruahan,23289
pambantuakan,23288
primordial,23282
mudo,21177
cukuik,21131
barubah,21109
pacahan,21091
sasuatu,21091
panjang,20203
larva,20190
hiduik,18785
talatak,18656
ka,16231
inyo,15763
mai,15644
disabuik,15541
batang,15498
kapalo,15472
tanggal,15457
laweh,15449
biaso,15407
lah,15406
the,15377
catatan,15364
kaki,15364
titan,15363
karusakan,15362
manyebabkan,15361
tanduak,15360
kalas,15360
bunda,15358
coleoptera,15356
panggerek,15356
manggerek,15356
ditabang,15356
tavakilian,15356
dima,15335
jo,15101
samantaro,14422
sabuak,14292
referensi,13509
lawah,12753
yupiter,12293
dewasa,12259
orbit,11588
limoniidae,10608
world,10459
tachinidae,10234
tagolong,10153
taun,10151
utamo,10061
tampek,9866
lambok,9714
socorro,9653
linear,9652
jpl,9421
namo,9350
minor,9227
porifera,9182
semi,9150
parairan,9143
habitatnyo,9138
paraiaran,9138
kali,9042
ilmiah,8965
small,8904
body,8902
browser,8902
genus,8819
daftar,8817
sagadang,8660
international,8650
tacatat,8644
center,8641
magnitudo,8639
eksentrisitas,8638
mutlaknyo,8638
union,8631
astronomical,8620
muscidae,7989
tingga,7572
spons,7480
asilidae,7343
punyo,7316
dakek,7295
troya,7153
apollo,7114
makanan,6994
of,6961
saroman,6811
pertamo,6801
an,6706
demospongiae,6658
banyak,6603
cecidomyiidae,6582
ditabik,6417
museum,6403
history,6395
american,6386
natural,6385
spider,6383
catalog,6383
araneae,6371
larvanyo,6275
mahisok,6194
mamakan,6165
amor,6116
batu,6113
ditamui,6037
aia,6024
nektar,5892
bungo,5719
ceratopogonidae,5632
maso,5545
ado,5475
bombyliidae,5446
oktober,5340
salticidae,5210
parasit,5119
protelean,5116
bumi,5103
dolichopodidae,4888
version,4778
antena,4729
sayoknyo,4729
tephritidae,4636
van,4595
kabanyakan,4546
umumnyo,4430
kadang,4423
tipulidae,4412
mycetophilidae,4408
tabanidae,4396
linyphiidae,4332
saikua,4326
phoridae,4176
itu,4021
darah,4007
lain,3933
salain,3883
soest,3822
malalui,3819
ed,3810
mamiliki,3795
mampunyoi,3777
proses,3765
drosophila,3765
pamukaan,3751
kareh,3748
tubuah,3746
mode,3743
manyerap,3741
bapori,3740
oksigen,3740
difusi,3740
worms,3740
utamonyo,3702
polen,3694
predator,3672
saranggo,3672
insting,3671
agresif,3671
culicidae,3596
labiah,3552
indonesia,3359
kenek,3292
barambuik,3291
objek,3225
barasal,3190
agromyzidae,2992
daun,2952
psychodidae,2876
mangorbit,2833
araneidae,2773
tuo,2719
walaupun,2706
bahwa,2696
alun,2689
ketek,2685
ditamuan,2667
evolusi,2664
mampakiroan,2664
lambrecht,2663
perm,2663
fosil,2663
eosen,2663
pendek,2656
atau,2625
transneptunus,2564
ditabikan,2554
babarapo,2545
mm,2439
september,2439
salamo,2395
kurang,2379
sangaik,2376
buah,2354
mano,2346
ateh,2341
muncua,2338
nyo,2336
sangkek,2335
jaringan,2334
tanaman,2330
manamuan,2324
partamonyo,2324
barumua,2321
saminggu,2321
batalua,2318
mato,2312
partamo,2267
sabalun,2265
akan,2246
mambantuak,2232
sari,2223
misalnyo,2223
kudo,2212
mampu,2206
ranang,2206
sainggo,2204
artinyo,2204
balansuang,2203
kolam,2202
efektif,2200
dilatakkan,2200
vegetasi,2199
butuah,2199
sakalompok,2198
sarbuak,2198
betino,2198
anautojenik,2198
bareproduksi,2198
telua,2198
malah,2197
gravitasi,2194
tagaduah,2192
in,2176
platnick,2164
norman,2162
panjangnyo,2091
sekitar,2057
chironomidae,2036
provinsi,1978
kecamatan,1967
syrphidae,1901
kota,1858
vertebrata,1801
rangik,1798
maret,1731
amerika,1726
versi,1623
marupoan,1578
simon,1555
anthomyiidae,1540
subregnum,1527
parazoa,1527
latin,1521
ambun,1509
panyuko,1507
drósos,1506
herbivora,1496
babantuak,1472
barat,1472
agustus,1430
sumatera,1422
kato,1363
yunani,1363
april,1344
istilah,1319
araneus,1318
kabupaten,1301
januari,1292
desember,1281
baarati,1270
tipula,1268
aten,1118
lainnyo,1104
babagai,1078
anderson,1066
mesa,1066
loneos,1062
brasil,1047
macam,998
dolichopus,989
nagari,987
peak,987
kitt,986
spacewatch,980
rusia,978
levi,976
cina,965
neat,965
dicranomyia,951
mei,948
molophilus,922
palomar,907
salah,906
arachnida,905
satu,894
serikat,889
millidge,873
india,872
selatan,859
peckham,812
modern,785
sampai,762
pebruari,757
megaselia,755
feminin,754
saintifik,754
adaptasi,754
ditambahkan,753
akiaran,753
japang,749
sarikat,732
hidup,717
juli,684
calcarea,674
tabanus,673
cambridge,668
jauah,666
jarak,652
neptunus,645
culicoides,640
jumlah,633
afrika,625
februari,622
urang,620
utara,620
padang,620
clathria,620
koto,616
houten,616
kapulauan,615
meksiko,607
november,606
minangkabau,591
kajadian,585
kamatian,581
riau,581
la,580
kalahiaran,576
thorell,572
nopember,565
lutzomyia,562
data,560
oxyopes,560
townsend,551
sarato,527
basis,524
de,523
desa,519
anthos,513
myia,513
timur,503
forcipomyia,500
kanada,493
chamberlin,488
provisional,486
