word,count
на,2318859
во,1488220
од,890039
се,741112
за,556706
со,484290
година,388621
да,359163
како,241635
го,225172
што,165856
ја,149482
бил,135149
дека,126687
по,126603
ги,117352
до,116214
кои,109702
не,107236
или,101578
тој,98401
кој,96889
според,82932
тоа,81877
била,76177
биле,73684
која,73179
така,72934
но,68113
има,67685
наводи,66816
време,65874
други,61962
дел,60853
кога,54699
околу,51799
може,51179
век,50613
исто,49607
додека,48902
еден,48496
селото,48425
многу,48325
македонија,47319
таа,47237
врски,47123
податоци,46161
надворешни,46058
страна,45388
каде,45371
под,45293
објектот,44557
било,44465
ќе,44439
години,42957
неговата,42410
сите,40422
поради,39876
една,39803
повеќе,39209
му,39080
ова,37190
пред,36654
меѓу,36590
само,36441
градот,35756
кон,35186
овој,34397
кај,34094
тие,33949
поврзано,31289
текот,30882
место,30764
јазик,30190
оваа,29938
па,29810
беше,28592
некои,28000
овие,27981
наоѓа,27861
број,27780
при,27474
годината,26964
општина,26840
неговиот,26635
неколку,26315
уште,25401
календар,24860
преку,24527
две,24527
подоцна,24448
луѓе,24368
помеѓу,24069
биде,23965
македонски,23738
рамките,23697
против,23467
бидејќи,23272
својата,23092
село,22915
изнесува,22502
односно,21847
војна,21786
потоа,21623
првиот,21485
земјата,21426
крајот,21370
кое,21258
имаат,21137
објекти,21037
каталог,20989
им,20973
историја,20946
три,20863
времето,20780
црква,20366
жители,20293
светот,20165
град,20113
филмови,20080
групата,19911
иако,19851
над,19791
бројот,19771
општ,19729
голем,19590
неговите,19514
својот,19377
септември,19154
список,18749
низ,18733
без,18488
првата,18358
сепак,18332
новиот,18227
германија,17823
различни,17796
заедно,17700
скопје,17657
покрај,17644
период,17376
сад,16986
два,16926
нов,16853
врз,16800
група,16799
започнува,16729
почетокот,16404
којшто,16349
него,16267
де,16060
денес,16054
своите,15945
европа,15843
користи,15706
соѕвездие,15442
претставува,15358
км,15333
литература,15298
познати,15260
пример,14916
треба,14770
откако,14730
тела,14716
станал,14653
неговото,14463
август,14404
систем,14308
република,14234
името,14209
нив,14183
помош,13829
споменува,13829
ако,13786
тите,13763
дела,13739
мај,13731
март,13690
јануари,13650
небо,13650
информации,13609
голема,13577
живот,13569
повторно,13559
периодот,13485
смета,13424
можат,13402
другите,13402
роден,13368
родени,13330
начин,13307
октомври,13289
длабокото,13283
каталогот,13278
втората,13196
св,13171
областа,13144
агол,13078
освен,13058
јули,13049
често,13032
нејзината,12929
населба,12921
првенство,12918
население,12844
црквата,12833
особено,12803
работи,12800
места,12774
постојат,12748
име,12665
нивните,12662
сјај,12555
астрономски,12547
април,12516
истата,12425
настани,12400
јуни,12381
нејзиниот,12368
би,12336
ноември,12287
цел,12113
англиски,12052
италија,12040
имало,11996
декември,11980
реката,11932
нема,11889
имал,11811
точка,11714
метри,11671
бидат,11631
јазици,11594
имала,11574
песна,11472
сезоната,11411
среќава,11402
член,11329
прв,11328
оние,11277
познат,11263
пак,11207
кариера,11181
србија,11091
своето,11051
франција,11015
секој,11003
четири,10975
филм,10958
февруари,10957
поделба,10950
земја,10931
ден,10926
пат,10857
светска,10834
филмот,10727
милиони,10648
вид,10616
вода,10612
дури,10604
земји,10569
пласман,10548
училиште,10546
едно,10541
затоа,10531
видот,10448
игра,10432
тогаш,10426
вклучувајќи,10291
села,10282
првите,10245
царство,10243
видови,10209
работа,10206
населението,10204
култура,10199
користат,10130
позната,10125
северна,10090
држави,10032
градови,10031
нивната,10024
коишто,9989
истражување,9958
америка,9926
американски,9908
русија,9898
големи,9775
центар,9752
награда,9724
област,9718
протега,9677
наса,9671
километри,9658
галаксии,9591
истражувања,9535
лига,9526
база,9502
свети,9480
цар,9462
сметаат,9414
ѕвезди,9370
округот,9355
островот,9322
основа,9273
договор,9271
етапа,9216
делови,9137
обично,9110
двете,9086
постои,9083
однос,9083
игри,8981
близина,8966
песни,8941
предмет,8923
состојба,8899
членови,8872
секоја,8840
фудбалери,8830
сезона,8827
јужна,8823
класификација,8807
вклучен,8734
аголот,8679
деца,8651
станува,8644
припаѓа,8643
сателитот,8635
космос,8604
сега,8585
државата,8578
форма,8567
беа,8559
откривање,8543
улога,8542
сили,8526
резултат,8517
основни,8498
грција,8437
потекло,8421
нови,8413
најважните,8411
рим,8409
луѓето,8369
проучување,8337
универзитетот,8298
татко,8297
оној,8291
меѓутоа,8254
употреба,8213
првото,8208
користена,8192
повеќето,8186
см,8183
син,8181
фк,8148
истражувачи,8135
белград,8122
бугарија,8113
набљудување,8112
откриен,8094
збирки,8089
држава,8004
соѕвездието,7994
содржи,7987
натпревар,7923
географија,7915
групи,7889
нејзините,7868
главен,7863
таму,7855
влијание,7840
развој,7838
врска,7832
семејство,7822
критериуми,7811
значи,7798
површина,7795
лица,7759
клубот,7746
неа,7705
регион,7662
пет,7649
главно,7622
најчесто,7615
поделби,7599
германски,7598
политика,7572
првпат,7567
функција,7563
веќе,7560
добил,7531
извори,7516
прва,7514
натпревари,7514
дело,7498
туку,7491
ознаката,7489
серија,7484
кралот,7480
вториот,7468
создавањето,7448
енергија,7427
галаксиите,7424
претседател,7422
музика,7403
епохата,7374
крај,7351
димензии,7349
нова,7339
збор,7332
доселени,7329
нивниот,7299
пречник,7296
поправени,7280
око,7279
џон,7278
морфолошката,7264
целосно,7259
вршено,7254
длабоконебесни,7252
различн,7237
прегледувач,7236
вонгалактичка,7232
мери,7218
живи,7212
шведска,7192
освоил,7187
новата,7176
разлика,7174
македонци,7147
друга,7138
завршил,7136
започнал,7091
висината,7078
наоѓаат,7039
ниво,7002
војната,6991
западна,6959
река,6946
образование,6942
рок,6932
море,6922
македонска,6917
александар,6911
промени,6903
честота,6848
голо,6839
откриени,6810
мала,6809
главниот,6803
трае,6779
