word,count
дӓ,7435
ин,4203
пырышы,4110
шӹ,3261
эдем,3205
йишвлӓ,2688
гӹц,2643
вӓшлиӓлтшӹ,2634
ӹлен,2498
герпетолог,2468
тӹштӹ,2394
йыхыш,2311
турци,2247
якте,2229
улы,2149
курымын,2146
см,2044
ижӹ,2024
курымивлӓ,2013
официал,1950
сайтшы,1860
йиш,1859
дон,1789
доно,1781
группыш,1763
кого,1727
шы,1660
орхидейвлӓ,1640
лин,1553
цилӓжӹ,1536
мары,1523
кытшы,1474
тӹрлӹ,1469
халавлӓ,1438
ажедмӓшвлӓ,1417
попугай,1407
кырык,1379
ирвел,1352
кӓдӹ,1327
йишвлӓн,1326
кечӹвӓлвел,1278
шоэш,1247
сек,1241
км,1236
ти,1229
вадывел,1228
ӹдӹрӓмӓш,1167
районвлӓ,1152
пӱэргӹ,1148
сола,1140
турокла,1102
ылын,1098
турцин,1085
эндемик,1027
район,992
илӹн,992
кушкыш,991
районжы,986
арахнолог,981
кечӹвӓл,980
линквлӓ,972
ошмаотывлӓ,949
американ,928
шот,927
эквадор,927
изи,915
муниципалитетӹн,899
илчежӹ,896
англла,893
каймакамын,890
америкышты,860
хала,855
энтомолог,833
пеледшӹ,828
покшал,821
территорижӹ,814
ӹлӹзӹ,789
тӹдӹ,779
тенгеок,768
вуйхалажы,753
кердеш,737
попугайвлӓ,736
кол,733
бразили,718
халажы,717
солавлӓ,715
халан,702
зоолог,702
нелӹцшӹ,678
гишӓн,672
веле,658
якшар,630
колумби,627
немӹц,622
ик,613
йӹлмӹ,607
штатын,603
африкышты,594
француз,592
лӹвӓл,592
натуралист,588
ӹшке,547
вӓшлиӓлтеш,541
азиштӹ,538
йыд,535
британ,532
аквариум,514
йӓр,511
топонимика,500
шӓкшӓльӹ,499
шим,477
орнитолог,477
область,475
америкын,475
пачан,473
ушымы,462
шукы,461
семӹнь,461
йогы,461
ылеш,459
тидӹ,453
ош,451
ылыт,447
этимологижӹ,447
шамаквлӓ,444
халык,443
аляска,440
шӹрен,439
йыдпел,437
лачокла,435
вес,434
йыдвел,432
лӹмӹн,426
тенге,425
но,421
ошмаотывлӓштӹ,416
китай,408
тангыж,407
африка,401
лиэш,399
пумы,398
кӓдӹвлӓ,398
агыл,395
лӹмжӹ,390
тошты,388
гвиней,383
перу,381
сир,379
ихтиолог,378
руш,366
нӹнӹ,361
кыды,360
ак,355
тӹдӹн,351
йӓнвлӓжӹ,343
кымдецшӹ,331
пиш,329
варан,328
кушкышвлӓжӹ,322
районын,318
иктӹжӹ,315
сирӹмӹ,313
мексика,313
уштыш,312
ганьывлӓ,312
эл,310
лӹм,310
сцинк,309
манын,308
тӹдӹм,306
кек,305
да,305
годым,304
сирен,303
инди,300
ивлӓн,299
поэт,298
ошмаоты,297
логӹц,292
солашты,291
тӹ,290
ала,290
австралиштӹ,286
паштек,285
нерӓн,284
кок,281
ошмаотышты,280
пушӓнгӹ,279
ибис,279
пӹтӓриш,278
орави,278
симсӹ,274
тымана,274
халыкын,273
кг,273
лори,273
вуян,271
европа,270
кошыгек,269
коста,267
европышты,266
лошты,265
лӹмеш,264
махань,263
рика,263
папуа,263
шылдыран,259
хими,255
цилӓ,252
гӹнь,249
америка,246
туан,244
техень,243
пӓлӹмӹ,241
венесуэла,241
нӓрӹ,239
мечеть,238
шачын,236
ыжар,234
лӹмжӹм,233
географи,230
пушӓнгӹвлӓ,229
вӹд,228
ӓль,226
кыце,225
кудывичӹ,225
тидӹм,224
французла,224
шӓкшӓльӹвлӓ,224
сарикӓ,223
тыргӓдӹ,223
кужы,222
пӓшӓм,221
цилӓжӓт,218
цихлидвлӓ,218
цихлидвлӓн,216
кӹзӹт,215
боливи,214
вел,213
вӓрлӓнӓ,212
ӹштен,209
рок,206
лишнӹ,206
марла,206
провинци,204
замби,202
карем,201
индонезиштӹ,201
республика,199
кугижӓнӹш,198
филиппин,196
танагра,196
персоналивлӓ,194
кеквлӓ,193
культура,192
йӹлмӹвлӓ,192
цикмӓ,189
лӹмӓн,189
пасна,188
эче,187
франци,187
ил,187
россий,186
лач,186
тӹнг,186
халыквлӓ,186
тукан,186
жепӹн,185
ӹлемвлӓ,185
кӹзӹтшӹ,184
шылдыр,183
гӹнят,181
финн,180
центр,180
шамак,179
кушкышвлӓ,178
геккон,178
шӓрӓлтӹмӹжӹ,176
ылыныт,175
шон,175
вара,175
мечетьвлӓ,173
гань,172
жеп,172
сирӹштӹ,172
итальян,172
провинцин,172
колвлӓ,168
индонези,167
сирӹзӹ,166
ботаник,166
шӹпӓн,166
шӱшкӓн,165
халашты,164
панама,162
солан,161
тӹнгӓлӹн,161
штатвлӓн,161
мырышы,160
харацинвлӓ,160
кышты,159
малаколог,159
истори,158
кӹцкӹ,158
швед,158
мечетьшӹ,158
йошкар,157
харацинвлӓн,157
туамоту,157
замбин,156
кӹрӓн,153
мм,153
алык,152
йыл,151
морен,151
мӱлӓндӹ,150
ӹлӹшӹ,150
штатвлӓшты,150
вӓр,149
классификацижӹ,148
тӹрвӓн,148
шӹренжок,147
школ,147
кытышты,147
вырсы,146
историжӹ,145
австрали,145
амазон,145
попугайвлӓн,145
кымдан,144
ма,144
пингвин,144
кугижӓ,143
гӓнӓ,142
марынвлӓ,142
пӹтӓришӹ,141
яжо,140
ли,138
пырен,138
ылшы,137
акпарс,136
анжыкталтеш,136
йыдпелвел,136
логерӓн,135
соломон,135
агама,135
докы,134
венгр,133
элементвлӓ,133
