word,count
di,395245
dan,321526
yang,302293
pada,148785
dalam,116814
dengan,108781
ini,95316
untuk,87755
merupakan,82331
sebuah,79843
juga,77308
dari,74232
tahun,72582
oleh,66363
sebagai,65419
komun,60820
telah,56874
kawasan,56173
ke,55130
terletak,54478
the,52085
sekolah,51661
ialah,50007
adalah,48748
orang,48510
rujukan,47844
malaysia,46635
itu,42986
tidak,42526
kepada,42099
atau,41716
daerah,40138
lihat,39324
daripada,38985
luar,38839
jabatan,38835
kampung,36190
beliau,35734
mereka,35005
ia,33994
perbandaran,33159
wilayah,32876
pautan,32533
satu,31939
bandar,31577
of,31149
kebangsaan,31070
bahasa,31055
bagi,28955
menjadi,27597
perancis,26272
negara,25841
lain,25121
mempunyai,24972
lebih,24724
negeri,24316
seperti,22434
nama,21499
akan,21293
filem,21230
tersebut,20749
dua,20279
pertama,19314
seorang,19152
boleh,19119
indonesia,19090
memiliki,18820
terbang,18655
pelajar,18130
syarikat,18129
kerana,17847
seramai,17641
iaitu,17183
besar,17177
secara,17173
jerman,17083
india,16981
lelaki,16967
laut,16947
lapangan,16852
bahawa,16847
dia,16751
antara,16684
republik,16644
timur,16578
selepas,16249
selatan,16162
and,16134
jumlah,16119
tetapi,16083
ahli,16035
beberapa,15805
al,15698
czech,15596
melayu,15510
sejarah,15502
dunia,15459
barat,15454
kerajaan,14657
amerika,14571
digunakan,14388
hari,14341
utara,14145
baru,14037
tentera,13971
lagu,13756
kedua,13726
sama,13703
islam,13630
bawah,13447
kumpulan,13308
serta,13103
mana,12929
terdapat,12894
pendidikan,12628
anak,12580
ketika,12557
atas,12416
masa,12266
sungai,12227
to,12142
banyak,11997
menggunakan,11887
tempat,11847
utama,11822
in,11805
raya,11759
jalan,11732
apabila,11703
tengah,11694
wanita,11599
raja,11527
lagi,11502
bersama,11493
tanah,11438
de,11283
guru,11211
penduduk,11210
jenis,10971
sehingga,10837
bahagian,10771
perang,10765
sebelum,10623
pulau,10490
dikenali,10479
ada,10390
kota,10344
insee,10324
hanya,10322
jepun,10319
salah,10293
sistem,10198
google,9972
kemudian,9935
pasukan,9920
senarai,9879
menengah,9869
termasuk,9819
keseluruhan,9724
semasa,9620
sepanyol,9568
buah,9535
kuala,9494
undang,9469
melalui,9442
dapat,9414
air,9381
kini,9378
murid,9347
kanak,9323
tinggi,9298
hingga,9231
an,9205
tiga,9163
menurut,9159
menteri,9148
album,9124
kapal,9114
setiap,8748
sultan,8689
pentadbiran,8626
bulan,8549
perempuan,8508
kecil,8468
azerbaijan,8319
semua,8226
taman,8196
pelakon,8178
kereta,8138
rumah,8124
buku,8108
pusat,7818
batu,7809
bin,7726
namun,7716
pernah,7685
semula,7619
awal,7597
mula,7594
terhadap,7497
agama,7481
paling,7480
kedudukan,7478
bangunan,7456
bentuk,7422
mendapat,7390
pihak,7381
menjadikan,7363
telefon,7187
pesawat,7156
rakyat,7149
masih,7136
parti,7116
rencana,7093
kira,7087
gambar,7048
kali,7042
pula,6969
sejak,6956
ketua,6950
setelah,6936
para,6911
turut,6906
kadar,6884
sendiri,6852
kuasa,6838
rasmi,6825
pencapaian,6807
walaupun,6802
hidup,6786
meter,6759
masjid,6740
china,6723
presiden,6718
ibu,6692
dewan,6683
politik,6682
mukim,6675
diri,6672
bermula,6657
abdul,6632
musim,6618
anugerah,6616
inggeris,6597
kecamatan,6595
pilihan,6577
populasi,6565
cina,6538
alamat,6531
muzik,6494
suatu,6479
antarabangsa,6478
kaum,6443
pelbagai,6433
km,6425
siri,6411
kabupaten,6402
et,6398
jakarta,6379
universiti,6358
pemain,6347
laman,6323
perak,6312
berjaya,6307
bukit,6299
zaman,6205
no,6182
sekitar,6179
datuk,6143
nombor,6102
manusia,6074
membaca,6071
membuat,6066
mampu,6049
pembangunan,6033
asia,6012
lama,6004
burung,5966
british,5964
nepal,5949
selama,5947
desa,5891
majlis,5865
abad,5859
empat,5840
new,5794
bahan,5738
hungary,5727
biasa,5681
wikipedia,5681
ringkasnya,5677
perdana,5666
bukan,5662
masyarakat,5640
seri,5587
itali,5569
membentuk,5532
arab,5531
januari,5518
bancian,5517
johor,5508
bilangan,5484
slovakia,5481
keluarga,5447
fax,5444
kebanyakan,5424
ii,5392
tv,5384
tanpa,5379
kata,5378
terdiri,5335
mengambil,5326
akhir,5318
singapura,5305
peringkat,5296
jun,5286
sahaja,5277
juta,5265
watak,5259
ketinggian,5253
kelas,5234
udara,5231
biasanya,5229
selain,5204
mata,5184
eropah,5183
selangor,5162
pokok,5156
kembali,5132
kematian,5108
membawa,5090
dibina,5088
ciri,5085
carian,5073
lumpur,5064
gunung,5061
mengenai,5054
bekas,5041
aras,5028
sebahagian,5026
isbn,5022
menerima,5020
mungkin,5019
sebanyak,4995
baik,4994
lahir,4979
seluruh,4949
la,4926
menyebabkan,4925
diterjemahkan,4921
ahmad,4917
mac,4908
bagaimanapun,4903
disember,4903
anggota,4898
kelahiran,4891
haute,4884
ramai,4874
september,4856
bola,4841
sri,4841
april,4829
terbaik,4818
military,4811
umum,4801
mei,4799
pejabat,4799
ekonomi,4778
tentang,4760
berlaku,4758
mengikut,4730
diterbitkan,4726
bidang,4725
aircraft,4720
perkhidmatan,4709
tiada,4703
manakala,4699
jika,4692
ogos,4692
on,4690
haji,4688
as,4683
api,4673
sering,4659
terkenal,4639
stesen,4636
kurang,4616
sarawak,4614
rendah,4592
memberi,4588
sumber,4582
baginda,4576
reference,4570
televisyen,4568
julai,4548
parlimen,4545
kerja,4532
apa,4508
penyanyi,4502
dasar,4491
seni,4489
sepanjang,4486
owl,4472
oktober,4465
welcome,4454
alam,4452
sukan,4434
nest,4433
for,4405
lalu,4392
berada,4390
daya,4382
permainan,4344
video,4334
november,4323
sabah,4308
rm,4303
hasil,4299
melaka,4296
nasional,4278
sangat,4276
waktu,4274
keadaan,4268
tempatan,4267
sains,4265
kelantan,4263
sementara,4240
serangan,4235
amat,4234
asal,4233
panjang,4226
dato,4201
lima,4191
kod,4185
cara,4181
bilik,4179
perjanjian,4179
maka,4165
persekutuan,4143
polis,4103
sm,4099
kemudiannya,4085
national,4072
februari,4069
sk,4069
program,4052
muda,4046
muhammad,4017
penerbangan,4009
ketiga,4002
makanan,4000
spesies,3994
nota,3990
sekali,3986
rancangan,3984
belanda,3975
web,3975
australia,3965
penting,3959
akhirnya,3953
berusia,3942
badan,3937
korea,3931
mohd,3921
berbeza,3917
romania,3909
awam,3875
pekan,3851
com,3849
versi,3826
peristiwa,3818
terbesar,3786
kaki,3784
komuniti,3784
sdn,3780
jawatankuasa,3779
haiwan,3778
memberikan,3777
berasal,3771
merah,3770
disebabkan,3762
hampir,3758
dr,3753
drama,3745
pegawai,3741
by,3724
putih,3723
menghasilkan,3720
unit,3716
terengganu,3711
perkataan,3698
popular,3678
bangsa,3675
hutan,3661
tenggara,3629
khas,3626
menunjukkan,3616
terus,3595
kedah,3579
dikeluarkan,3579
masing,3572
bumi,3569
en,3551
tempoh,3548
purata,3545
shah,3545
sepak,3542
berdasarkan,3531
munisipaliti,3527
single,3515
united,3511
tan,3509
empayar,3507
belakang,3498
pertempuran,3473
budaya,3472
pantai,3463
ditubuhkan,3459
pinang,3457
istilah,3456
teknologi,3455
keputusan,3450
hitam,3439
malam,3439
dianggap,3438
pelajaran,3429
pas,3426
berikut,3414
warna,3412
penggunaan,3410
hal,3408
industri,3399
bintang,3398
asli,3397
berbanding,3395
pertubuhan,3394
masalah,3394
muncul,3385
kebolehan,3381
karya,3375
komputer,3368
menyatakan,3361
contoh,3351
bhd,3345
terbitan,3343
pengarah,3341
kementerian,3334
kebal,3332
laluan,3315
perlu,3313
melebihi,3313
piala,3312
allah,3310
jawatan,3295
hubungan,3292
jam,3289
mencapai,3286
hak,3282
tinggal,3279
sudah,3279
pemerintahan,3278
sesetengah,3277
terakhir,3263
ali,3259
cinta,3249
sembilan,3239
rom,3221
tenaga,3215
memenangi,3191
dilakukan,3190
diadakan,3184
merujuk,3176
sekarang,3176
menyertai,3173
pembahagian,3169
loire,3166
berkenaan,3165
akibat,3154
tambahan,3124
begitu,3112
darjah,3107
dilantik,3106
rusia,3105
persatuan,3104
tuan,3094
smk,3088
diberikan,3086
portal,3085
surat,3081
maklumat,3069
israel,3061
radio,3058
model,3041
tapak,3036
