word,count
ta,161247
tal,149820
il,121797
li,98644
fl,54500
fil,42776
mill,34995
kien,29944
minn,28321
ma,22378
għall,21409
bħala,20630
fuq,19803
it,19594
huwa,18193
tiegħu,15888
għal,15756
tas,15453
is,15250
jew,15249
wara,14781
kienet,14440
biex,14095
kienu,13281
ewwel,12863
tat,12409
dan,12367
ir,12128
belt,11840
hija,11738
huma,11114
id,10480
fis,10229
hemm,9907
fit,9657
mal,9424
bil,9054
ukoll,9006
ġie,8408
sena,8224
tar,8211
oħra,8205
tad,8194
din,8146
fejn,8019
meta,7988
fi,7866
lil,7829
de,7828
iktar,7607
seklu,7538
xi,7494
ħafna,7468
bl,7381
bejn,7329
aktar,7290
in,7201
tagħha,7153
wieħed,7132
kif,7059
sit,6614
żewġ,6575
the,6434
żmien,6314
dawn,6311
malta,6189
iż,6097
hu,6056
lill,5946
iżda,5941
matul,5937
ġiet,5892
tagħhom,5831
wkoll,5761
aħħar,5655
lejn,5615
fid,5601
snin,5407
madwar,5406
ġew,5397
kontra,5363
wirt,5324
of,5206
san,5174
hekk,5135
tan,5036
dinji,4940
dinja,4815
parti,4764
taħt,4724
nazzjonali,4701
kollha,4683
sal,4665
tieni,4637
knisja,4614
dak,4605
kull,4541
qabel,4501
kbira,4490
ix,4455
tax,4390
biss,4273
sa,4272
siti,4261
minħabba,4248
diversi,4219
waħda,4198
mod,4193
gwerra,4125
fir,4012
post,4011
gvern,3999
tim,3944
la,3929
pajjiż,3919
dwar,3895
isem,3858
mhux,3823
sar,3788
tliet,3756
unesco,3590
żona,3568
referenzi,3548
istess,3537
kellu,3498
art,3409
bħal,3395
xogħol,3372
ġdid,3371
flimkien,3360
futbol,3308
tramuntana,3253
hi,3250
nies,3233
klabb,3227
nofsinhar,3145
barra,3119
familja,3105
bi,3103
renju,3085
lvant,3072
popolazzjoni,3038
ftit,3019
fost,2996
importanti,2996
perjodu,2985
punent,2922
plejers,2921
repubblika,2886
saret,2879
skont,2879
malti,2860
bosta,2836
magħrufa,2828
ċentru,2814
għat,2812
kbir,2763
gżira,2758
iċ,2746
permezz,2740
grupp,2731
and,2717
bidu,2713
beda,2700
re,2697
istaġun,2680
tazza,2672
mit,2654
partit,2639
qed,2637
darba,2634
magħruf,2633
dawk,2625
ħajja,2624
filwaqt,2615
ordni,2574
arti,2570
iżjed,2558
għalkemm,2542
