word,count
de,261920
la,127122
an,46608
que,42282
ls,41501
las,28878
se,25235
ne,24378
ye,23889
un,22380
ua,21469
na,20316
por,19711
cumo,17968
para,17306
cun,13468
fui,13347
al,11946
nun,11328
sue,10206
mais,9519
sou,7940
tamien,6865
antre,6833
ser,6629
son,6464
pa,6235
mas,5932
pul,5632
pula,5493
era,4855
el,4518
ten,4507
qu,4391
cula,4359
anhos,4095
subre,4061
até,4041
cidade,4037
sous,4034
inda,3958
cul,3939
assi,3808
grande,3780
fúrun,3767
seclo,3554
solo,3541
dun,3400
als,3293
nas,3208
guerra,3201
adonde,3176
parte,3131
outros,3120
sues,3085
quando,3084
durante,3019
más,2920
stados,2897
dua,2871
maior,2839
mesmo,2797
sul,2759
stória,2752
yá,2748
stado,2729
norte,2708
puode,2690
forma,2644
este,2562
depuis,2530
san,2513
sendo,2492
to,2487
riu,2478
pertual,2465
mundo,2403
mui,2403
region,2393
puls,2370
purmeiro,2356
brasil,2323
dous,2301
esta,2301
purmeira,2270
paíç,2260
bida,2243
nome,2242
the,2225
zde,2201
beç,2173
of,2136
alguns,2134
outras,2112
todos,2110
sistema,2101
passado,2101
alhá,2086
km,2082
anho,2063
segundo,2059
tierra,2039
tiempo,1998
rei,1973
eigreija,1962
ounidos,1945
die,1906
tener,1895
nua,1875
anton,1863
nuoba,1834
éran,1813
stá,1777
gobierno,1759
período,1757
china,1754
qual,1750
contra,1750
sin,1747
sido,1728
cerca,1695
cada,1691
atrabeç,1679
populaçon,1679
partir,1673
eisemplo,1668
trés,1661
hai,1646
reino,1642
muitos,1635
dius,1630
países,1623
bien,1618
dues,1617
antes,1579
le,1564
obra,1554
ouropa,1550
pessonas,1529
ampério,1524
ampeço,1520
grandes,1499
hoije,1459
época,1442
ária,1436
bezes,1384
anquanto,1378
tenie,1364
puoden,1358
bários,1358
política,1347
tarde,1345
poder,1343
mil,1337
muitas,1328
muorte,1323
nuobo,1316
alguas,1311
seia,1288
outro,1275
esso,1265
eilha,1265
outra,1264
pertués,1262
capital,1260
númaro,1257
centro,1257
todas,1253
ourige,1250
fin,1240
ambora,1239
grupo,1237
trabalho,1235
nacional,1226
eilhes,1224
bárias,1217
janeiro,1211
sob,1203
fráncia,1200
coincido,1197
cidades,1188
lhéngua,1184
habitantes,1183
ténen,1168
casa,1164
américa,1163
debido,1161
tenendo,1159
segunda,1159
pertuesa,1157
obras,1154
chamado,1152
ounion,1150
cultura,1146
tubo,1128
ampeçou,1123
percipal,1118
família,1114
tornou,1104
dies,1101
percipales,1089
mundial,1089
ii,1083
anque,1082
home,1073
giral,1070
zambolbimiento,1067
final,1065
isbn,1063
menos,1045
maiorie,1039
amportante,1035
estes,1031
teorie,1027
ounibersidade,1026
meio,1025
essa,1023
pulas,1018
mobimiento,1016
pus,1005
república,1003
staba,1001
serie,998
lo,997
çtrito,990
território,987
filho,986
auga,985
habie,978
qualquiera,976
defrentes,968
eidade,956
todo,954
quales,953
esse,949
pouco,947
uso,943
áfrica,936
mar,935
atual,934
stan,927
siempre,925
atualmente,921
dados,919
spanha,908
sociadade,906
dreito,893
munecípio,893
nó,891
and,891
tal,888
ilha,888
palabra,887
social,887
média,887
relaçon,885
quaije,884
arte,883
fato,882
milhones,879
esto,878
almanha,875
si,869
quatro,869
música,868
júlio,865
desta,864
causo,860
porcesso,855
pai,854
amperador,849
persidente,846
modo,841
passou,835
anternacional,833
deste,830
purmeiros,824
central,824
mesma,823
base,822
cunceilho,821
ciéncia,820
oeste,818
ber,816
tanto,813
chamada,813
grupos,809
queda,809
culs,809
cunjunto,808
década,805
paulo,801
refréncias,796
própio,785
nembros,783
fizo,775
abril,774
percipalmente,773
maio,773
antiga,772
anglés,772
fazer,770
sternas,770
tipo,769
melitar,769
porto,765
homes,764
coincida,764
anterior,761
orde,759
desso,759
santa,759
paris,758
punto,756
bila,756
estas,752
eiquenomie,750
regiones,749
anfluéncia,749
acuordo,748
da,747
cuorpo,746
roma,746
in,743
porduçon,742
reboluçon,741
oufecial,739
faç,739
rial,738
sistemas,738
eisército,736
índia,735
setembre,733
quanto,729
jasus,724
série,722
debe,721
amportantes,720
joão,719
giralmente,717
cunsidrado,715
tierras,714
en,708
anglaterra,707
mulhier,704
quien,702
spácio,698
fuorças,698
dibersos,695
antigo,694
romano,693
júnio,693
religion,691
studo,690
josé,689
pobo,689
com,688
university,688
campo,687
dezembre,685
árias,683
maiores,681
press,681
dibersas,680
los,680
fuorça,680
libro,678
porblemas,676
xix,676
quemun,674
buolta,673
del,672
porque,672
custruçon,672
outubre,672
criaçon,670
partido,670
drento,668
márcio,668
pedro,666
natural,665
oucidental,662
amaricano,660
neste,655
andependéncia,655
cinco,649
apuis,648
agosto,646
melhor,645
pertueses,645
scuola,644
porbíncia,643
nobembre,643
possible,642
carlos,641
dou,640
planeta,640
eitália,640
popular,631
cultural,631
coincimiento,630
político,629
rússia,628
ancluindo,627
francés,624
anformaçon,623
tenerie,623
balor,622
eisisten,619
léngua,618
superfice,617
natureza,616
iii,616
batailha,614
porgrama,613
eilemientos,612
fuorte,612
japon,611
termo,610
marie,609
seguinte,607
tropas,605
nin,604
nible,604
strutura,603
griego,602
nuobas,601
quemunidade,600
ouro,600
amor,598
screbiu,597
papel,593
do,593
xx,592
cuosta,592
studos,591
tales,590
pobos,590
em,589
john,588
fé,587
católica,587
filosofie,586
sol,584
quier,582
solamente,581
relaçones,578
tratado,576
ourganizaçon,575
tenien,575
judius,574
própia,570
etc,568
formas,567
cristo,563
douro,562
seclos,561
fura,559
sentido,555
dezir,553
ouropeia,553
causa,548
caratelísticas,548
sede,548
cundado,548
quedou,547
tan,546
einergie,546
alto,545
ilhas,544
antretanto,543
porjeto,543
pessona,542
lhado,540
santo,539
houmanos,536
menor,536
eisisténcia,535
eiducaçon,534
sociales,533
lhibro,529
cebil,529
animales,528
museu,527
seguintes,527
nunca,526
lenguaige,526
ligaçones,526
houmano,523
castielho,522
eisiste,521
febreiro,521
miranda,517
specialmente,516
quemunicaçon,516
rede,516
palabras,515
posiçon,514
lisboua,513
purmeiras,512
junto,512
dar,511
ousado,510
nuobos,510
total,510
alta,508
nesse,508
títalo,507
modelo,506
comércio,505
ounido,505
formaçon,504
direçon,504
houmana,504
altura,504
oubjetibo,503
naciones,503
bista,502
paç,500
aire,500
partes,500
eideia,499
salude,499
funçon,498
matemática,496
berdade,496
prática,496
dinastie,495
mai,495
stában,495
cuntrole,495
ancontra,494
superior,493
mulhieres,492
atlas,491
stilo,490
metros,489
diç,488
tenga,488
eideias,488
cunta,483
fierro,482
speces,482
scrita,481
resultado,481
francesa,481
dreitos,481
apoio,480
seis,480
acerca,479
eisrael,479
sucesso,478
cabo,478
brasileiro,478
tradiçon,476
domínio,476
ásia,475
culas,475
fuonte,474
amportança,474
esses,474
brasileira,474
francisco,474
nesta,474
público,473
tipos,471
lhocal,471
chegou,470
you,469
aprossimadamente,469
amaricana,469
cundiçones,467
dessa,467
ouceano,467
freguesie,467
maneira,466
bastante,466
solar,466
data,466
triato,464
porblema,463
literatura,463
númaros,463
naturales,462
armas,461
admenistraçon,461
poblaçon,461
freguesies,460
zona,459
filhos,459
cuntinente,459
territórios,458
poucos,458
ouriente,458
cunseilho,458
pensamiento,456
fusse,456
recebiu,455
península,455
sobrefiç,454
ingros,454
fudan,453
essas,452
trabalhos,451
massa,451
máquina,450
outor,450
cunceito,449
santos,449
lhisboua,449
morriu,447
eigito,447
nomes,446
reis,446
políticos,444
prémio,444
luç,443
feito,442
antoce,441
ampeça,438
lhongo,438
séren,438
campos,438
camino,437
príncepe,437
ouriental,437
açon,436
física,436
scritor,435
bal,435
persença,433
tecnologie,432
praino,432
regime,430
bison,430
alman,429
antigos,428
siete,428
macau,428
naciu,426
cuja,426
special,423
carreira,423
momiento,422
lista,422
star,422
eiboluçon,420
meses,420
metade,420
les,419
papa,419
pré,419
crecimiento,419
romana,419
cámara,418
spece,417
políticas,416
clima,415
lhénguas,414
spanhol,412
medida,412
tenermos,411
reinado,411
ajuda,410
atebidade,410
amaricanos,409
agora,409
eilhas,407
custituiçon,407
moderna,405
ampeçórun,405
antresse,405
porgramaçon,405
lhugar,404
ciéncias,404
dado,404
melitares,404
poeta,404
armano,402
criado,400
simples,399
sprito,399
crestianos,399
ouropeu,398
puntos,398
par,396
situaçon,396
lheste,396
porbinça,396
tiempos,395
lei,395
pequeinha,395
género,394
casamiento,394
general,394
destes,393
libros,393
russo,393
corte,392
federal,392
ambos,391
coimbra,390
testo,389
desse,387
bitória,386
seres,385
serbícios,385
longo,385
cunsidrada,385
quilómetros,384
castielha,384
geografie,383
poderie,383
pequeinho,382
normalmente,381
capacidade,381
spanson,380
fuontes,380
eiquenómica,380
romanos,379
antrada,379
arriba,378
stórico,378
tornar,378
grécia,378
mercado,378
ouropeus,377
çcubierta,377
lado,377
ben,376
angenharie,375
único,375
fase,375
delantre,375
spacial,374
mano,374
torna,373
baixo,373
antónio,373
juan,373
perdutos,372
defesa,372
outores,372
guerras,372
frunteira,370
suldados,370
algun,370
atmosfera,369
dá,368
filha,368
médio,367
berde,367
árabe,367
buona,366
madeira,366
anrique,366
eigreijas,366
anformaçones,365
rius,365
misson,365
análeze,364
carta,364
comercial,364
municipal,364
redadeiros,363
frequentemente,363
debison,363
diuses,362
ansino,362
respeito,362
acunteciu,362
oubjetos,361
no,361
jogos,360
spresson,359
cumputador,359
rezon,359
local,359
nembro,357
algo,356
oubjeto,356
lhocales,356
serbício,356
outelizado,355
artilharie,355
galiza,355
nuossa,354
causos,354
biaige,352
densidade,352
rialidade,351
lénguas,351
percípio,351
ambiente,351
sobiética,351
recursos,349
software,349
porsor,349
arquitetura,348
moço,348
ounidade,347
atebidades,347
deilhes,347
cumputaçon,347
será,346
temperatura,346
andústria,345
cunseguiu,345
próssimo,344
filme,344
cousas,343
bie,343
testos,343
fuogo,343
feita,342
fernando,342
dieç,341
bisto,341
bai,340
ousada,340
anclui,340
doutrina,340
xefe,339
belocidade,339
frente,339
classe,338
lugar,337
acabou,336
scuolas,336
cunflito,336
andustrial,336
londres,336
funçones,336
quelor,335
leste,335
código,335
ninos,335
única,334
mimória,334
tubírun,333
balores,333
lhei,332
órbita,332
align,332
finalmente,331
cinema,331
lhion,331
debrebe,330
fonso,330
ouniberso,328
xviii,328
don,328
cunquista,328
atlántico,328
nada,327
passa,327
staçon,327
apersenta,327
crise,327
houbo,327
subretodo,326
filmes,326
quelónias,326
cujo,326
cuntesto,325
nanhun,325
acesso,325
associaçon,324
passórun,324
scrito,323
presson,323
artigo,323
festibal,323
ampresa,323
biografie,323
coincidos,322
ambaixo,322
terceiro,322
scritores,322
mal,322
xvi,321
lógica,321
artes,320
andependiente,320
material,320
ambason,320
torno,319
