word,count
ды,10468
те,5419
це,4881
иестэ,3955
ульнесь,3762
ие,3685
велеть,3305
эрзянь,3137
веленть,2850
чи,2849
веле,2784
буе,2593
иень,2515
эрицятне,2415
раськень,2358
чистэ,2331
марто,2242
содавикс,2005
ломанть,2004
вп,1960
ашти,1848
ош,1834
сон,1829
буень,1823
на,1769
истяжо,1756
покш,1578
вн,1576
категория,1553
мезе,1473
лемденть,1468
невтевкст,1449
велестэнть,1437
мордовиясо,1425
лисьм,1404
мордовиянь,1341
эрямозо,1299
кона,1282
куншка,1272
коряс,1245
кода,1225
ёнкссо,1204
состав,1190
сонзэ,1159
мейле,1129
весероссиянь,1124
населения,1109
эрицят,1098
чачсть,1077
перепись,1070
эстэнь,1069
ламо,1064
саранск,1038
административной,1003
рузт,998
таркась,973
сайт,948
кулость,936
чачсь,925
масторонть,911
лей,910
ошт,909
рузонь,902
нь,869
од,867
иенть,861
эрямо,855
седе,843
буесэ,836
мастор,834
ошсо,830
масторсо,829
тарказо,827
истя,825
покшолмазо,804
аштема,792
чить,786
масторонь,785
ошось,782
россиясо,774
мокшонь,767
весе,762
пек,757
кель,756
покшчить,754
прявт,745
леенть,740
россия,738
ансяк,737
лия,731
саезь,729
ули,728
велесэ,725
васенце,705
литературась,699
лангсо,682
ёнкс,676
эйстэ,673
сёрм,641
кельсэ,640
мордовия,640
велесь,628
эрьва,621
лиякс,615
россиянь,613
географиянь,611
района,603
сёрмадей,601
советэнь,596
по,592
сехте,587
ёнксонь,583
эли,575
кавто,565
чачозь,562
лом,560
лангс,557
жо,549
эсь,548
ошонь,542
таркань,541
тарка,530
иетнестэ,529
икеле,523
ульнесть,522
вейке,518
сайте,518
изд,516
лисьмапрят,509
алоошонь,508
якшамковонь,505
аволь,494
ёнксо,489
администрации,485
кулозь,482
келень,479
панжиковонь,474
шкань,472
официальный,472
косо,471
области,470
лемесь,466
зярдо,459
иестенть,452
эрить,448
сынь,446
республикань,444
аштемковонь,440
неень,437
ине,436
чадыковонь,431
умарьковонь,429
ацамковонь,427
ссср,427
наукань,422
лемсэ,419
медьковонь,419
теевсь,417
ялгат,413
тикше,412
даволковонь,412
таштамковонь,408
эрзят,403
сундерьковонь,398
улить,395
конат,393
ожоковонь,392
история,391
кадови,388
прявтошось,388
во,380
сынст,373
кармась,371
григорианонь,370
башкирэнь,369
кулось,368
високосной,368
не,365
эйзюрковонь,363
эрзя,357
аштить,356
ютксо,354
башка,353
малав,351
теезь,350
валморонь,350
район,348
лембе,345
мордовской,345
ошсто,345
важодсь,341
энциклопедия,340
видс,339
велень,339
конань,338
ашо,335
иетнесте,335
омбоце,334
ковкерьксенть,334
для,333
ташто,333
прядоманьте,331
тикшень,330
