word,count
comune,29661
da,17530
pruvincia,16458
nu,12534
italia,7520
giugrafia,6651
ll,6411
reggione,6350
ca,5776
de,5234
anne,4447
na,4211
crestiane,4075
abitante,4034
pe,3873
la,3852
se,3820
seculo,3665
cu,3482
fatte,3287
nate,3204
muorte,3188
int,2883
gl,2831
do,2685
cchiù,2332
di,2299
napule,2109
che,2080
fuje,1877
pure,1798
lummardìa,1563
dint,1521
san,1432
le,1403
in,1397
cumune,1333
ac,1320
comme,1276
anno,1216
piemunte,1213
gle,1156
nun,1123
ate,1016
ne,977
cità,972
ma,944
ncopp,871
sta,859
primma,793
parte,787
ppe,787
ra,770
campania,766
ce,746
tene,734
storia,726
canzone,725
ro,719
nomme,715
pupulazzione,702
torino,686
pruggette,683
il,673
fa,673
ha,670
assaje,649
pa,631
nord,615
veneto,613
del,613
fine,607
sicilia,599
ze,585
calavria,570
napulitane,569
stato,556
ii,552
songo,546
romma,536
era,531
po,531
si,524
taliano,517
tutte,515
sud,510
cuneo,506
bergamo,500
juorne,497
vene,495
juorno,495
jonte,494
franza,493
taliane,491
milano,490
napoli,489
nt,486
quanno,481
re,478
nce,478
serie,476
into,467
ed,466
emilia,462
fore,457
inte,455
trento,455
pallone,449
secunno,446
dei,438
salierno,436
brescia,434
della,428
so,427
tra,426
aroppo,422
soja,420
the,419
isso,417
cantante,416
primmo,415
ch,411
chi,410
lazzio,409
state,409
addò,408
nutarelle,408
regno,405
maria,402
calannario,402
alessandria,402
papa,400
ddoje,400
zardegna,400
et,394
pavia,391
iii,384
napulitana,382
fà,382
greguriano,380
munno,378
all,370
comm,370
journe,367
bisestile,367
doppo,365
ammancano,365
mpurtante,360
avere,359
venezia,359
rumagna,356
lengua,350
una,350
trentino,350
arece,349
santa,347
famiglia,345
nfra,344
jè,343
como,343
facette,341
film,341
song,340
tre,338
fatto,335
canzona,335
dénd,334
un,332
iv,331
ati,328
tutt,327
jennaro,327
mare,323
km,323
rre,323
vota,321
al,321
cosenza,319
sant,316
reggio,310
meurthe,309
chesta,307
pò,305
te,305
villa,300
varese,299
settembre,298
gruppo,296
toscana,295
ind,292
casa,291
sujo,291
mario,288
acqua,287
vi,287
centro,286
co,285
terra,285
chella,284
paese,283
abbrile,282
giuseppe,280
udine,279
tutto,278
uno,276
naturale,275
sempe,274
chiesa,274
of,274
franzese,273
pecché,272
via,272
lu,272
valle,271
dicembre,271
talia,271
ncoppa,270
avellino,269
stanno,268
accussì,268
marche,267
napulitano,267
taliana,265
vii,265
granne,265
pp,265
est,262
francesco,262
ata,262
caserta,261
asti,261
ix,260
messina,260
nuvembre,257
viii,256
europa,254
tiempo,254
evangelion,254
aquila,251
vicenza,251
ogge,250
palermo,248
vita,247
nen,247
suó,244
capitale,243
me,243
ad,242
carlo,241
li,241
cremona,241
album,241
lecce,241
