word,count
de,116602
van,65426
in,59622
en,54088
et,28086
is,25913
een,18521
as,17163
op,15553
den,12189
an,10573
of,10378
te,10020
der,8906
dat,8860
veur,8358
mit,8128
was,7842
ne,7145
uut,6987
deur,6830
met,6374
nen,5492
ok,5458
wat,5295
dee,5081
die,4726
ze,4668
artikel,4657
zien,4475
hef,4374
het,4293
oet,4082
zo,3852
um,3846
nog,3746
ook,3735
dit,3716
bie,3593
tied,3496
tot,3423
up,3361
ien,3277
bi,3076
gemeente,3001
stad,2907
det,2882
med,2842
wör,2795
al,2686
disse,2632
hee,2546
töt,2511
wordt,2454
neet,2443
tweants,2428
vöär,2404
kan,2395
niet,2341
meer,2285
noar,2279
vuur,2232
wördt,2217
bint,2177
un,2161
naor,2156
gebeurtenissen,2060
binnen,2047
dan,2038
bin,2038
je,2007
aandere,1972
ouk,1913
wördden,1887
nederlaand,1814
drèents,1803
wal,1791
onder,1714
eerste,1696
duur,1696
mar,1688
had,1684
he,1671
wörden,1668
völle,1664
grote,1634
vake,1631
oaver,1631
heur,1613
wodden,1578
dizze,1578
noord,1575
by,1556
veluws,1556
hebt,1548
tussen,1537
ligt,1533
wörd,1525
alle,1514
wel,1502
at,1498
laand,1485
over,1465
west,1448
worden,1441
dr,1437
döär,1407
hebben,1390
grunnegs,1374
stellingwarfs,1359
hi,1358
ni,1352
dij,1317
gemiente,1312
achterhooks,1309
noa,1292
leu,1290
oek,1277
andere,1268
nederlaands,1227
mear,1222
om,1202
nedersaksisch,1192
km,1178
wonnen,1172
waren,1171
name,1166
zuud,1131
twee,1127
zee,1127
ik,1123
se,1120
aan,1102
oost,1091
bekend,1084
antal,1082
sint,1079
vanof,1071
deel,1063
mer,1050
üm,1049
olde,1046
nederlaandse,1042
nao,1033
man,1033
jaor,1029
zeent,1026
doar,1017
woord,1008
veural,1003
drenthe,995
hier,991
the,986
groot,981
plaatse,980
hevt,979
jan,971
dörp,955
volgende,942
veul,937
zoas,929
moar,928
joar,926
duutslaand,920
to,917
waor,915
geboren,913
under,912
bunt,907
geboorn,902
weer,893
zich,886
mangs,885
noch,874
gelderlaand,874
europa,872
noorden,871
komt,862
karke,861
land,852
når,852
bij,851
zol,848
daor,843
oawer,841
later,834
nit,827
ten,824
nå,814
dag,813
eneumd,812
gebied,812
lange,805
steet,804
syn,803
eigen,799
darp,798
duutse,776
maken,775
dus,775
oaveriessel,774
wark,772
taal,769
wodt,765
wier,765
frieslaand,762
gien,760
hij,759
eeuw,758
lig,758
naam,755
mär,754
hollaand,746
