word,count
de,725170
in,399608
un,293355
vun,251687
dat,241365
is,180216
von,140124
en,137668
to,94119
den,89392
an,87128
hett,83709
he,82081
mit,78594
bi,76381
as,74334
düütschen,73915
ok,73051
weer,64629
oort,53779
för,53001
us,51897
ut,49052
sien,44754
usa,43114
se,41393
sünd,40461
na,37053
op,36690
worrn,35166
hebbt,34738
politiker,30917
gemeen,30679
amerikaanschen,30345
sik,30212
township,28486
familiennaam,27137
warrt,27044
nich,25054
up,24739
betekent,24670
naam,24662
dor,24442
oder,23594
noch,21933
denn,21833
kiek,21532
county,21457
so,21217
kreis,20475
van,20240
een,18612
inwahners,18381
boren,17473
man,17250
över,17104
bit,16725
johr,16431
wat,16332
dör,15924
maakt,15696
minschen,15478
footballspeler,15321
landkreis,15309
weblenken,15202
wurrn,15130
schriever,15083
wurr,14800
engelsch,14569
der,14492
harr,14348
ünner,14242
frankriek,14055
düütsche,14030
bet,14007
düütsch,13723
vör,13687
und,13683
stadt,13589
the,13350
of,13254
liggt,12642
üm,12241
annere,11988
nah,11702
schauspeler,11401
deel,11034
aver,10895
gifft,10818
lüüd,10607
département,10543
isbn,10497
siet,10397
höört,10355
all,10211
disse,10176
öösterriekschen,10020
afsluss,9923
km,9909
af,9742
inwahnertall,9438
mehr,9269
twee,9151
sück,9116
amt,9089
storven,9063
brietschen,8974
historie,8933
weern,8890
land,8834
kark,8792
johrhunnert,8764
film,8726
johren,8705
swiezer,8640
die,8621
kann,8481
blots,8432
mann,8421
john,8399
aber,8388
karl,8231
wedder,8199
leven,8184
düütschland,8005
maler,7962
al,7818
franzööschen,7732
em,7612
tiet,7425
wenn,7322
neddersassen,7296
august,7284
januar,7201
ehr,7142
amerikaansche,7064
later,7044
börger,6977
amerikaansch,6877
universität,6753
harrn,6737
märz,6735
eerst,6675
grünnt,6635
hör,6613
keem,6576
gegen,6542
johann,6483
friedrich,6480
hans,6478
zensus,6460
nakamen,6392
schauspelerin,6389
um,6342
arbeit,6333
eerste,6225
nu,6171
dree,6159
bremen,6135
rebeet,6041
new,5992
wo,5854
barg,5836
peter,5835
geiht,5834
kilometer,5826
spraak,5824
belize,5776
oktober,5763
stand,5762
eersten,5748
wilhelm,5721
websteed,5670
süden,5608
juli,5600
düsse,5566
dezember,5556
mai,5547
september,5517
november,5497
carl,5489
kommun,5427
dorbi,5396
bruukt,5326
april,5306
deit,5303
stood,5300
annern,5223
heinrich,5189
sitt,5159
noorden,5157
platz,5145
februar,5142
robert,5118
warrn,5111
italieenschen,5094
jurist,5003
kaspel,4964
buten,4962
paul,4954
engelschen,4935
speelbaas,4931
siene,4906
literatur,4901
snackt,4891
hamborg,4833
juni,4833
westen,4803
musiker,4781
san,4765
oosten,4738
footnoten,4706
la,4691
weg,4674
kummt,4615
kumponist,4607
veel,4583
stroom,4580
provinz,4571
her,4564
dee,4563
michael,4534
rumänien,4510
dormit,4500
nöömt,4452
tied,4424
william,4420
mount,4400
enn,4394
wegen,4372
bahnhoff,4370
nee,4362
dt,4346
des,4342
and,4324
saint,4319
eilannen,4305
er,4268
doot,4263
verwalten,4257
kopp,4238
geven,4237
berlin,4219
keen,4218
könig,4186
noordoosten,4182
süüdwesten,4174
groot,4168
asteroid,4160
twüschen,4148
best,4128
münnt,4125
verlag,4110
thomas,4105
süüdoosten,4099
georg,4087
lang,4076
ansehn,4054
hüm,4043
mol,4025
hefft,3961
band,3959
gruppen,3957
noordwesten,3947
ne,3927
kanaadschen,3919
stammt,3918
je,3908
toeerst,3899
demografie,3874
veer,3850
bekannt,3847
kunn,3841
st,3828
westfalen,3828
david,3814
faken,3808
ene,3780
journalist,3778
water,3774
dollar,3769
bundsstaat,3759
kanton,3745
hele,3732
kregen,3726
cuxhoben,3712
charles,3704
james,3688
allen,3670
witte,3668
kreeg,3660
bayern,3656
richard,3624
radrennfohrer,3619
municipio,3603
schrieversche,3601
franz,3547
rebeed,3547
for,3541
ünnerscheedliche,3538
bachelor,3538
york,3528
autobahn,3526
plattdüütsch,3522
angeven,3521
geev,3512
hen,3503
theoloog,3496
george,3491
ii,3483
straat,3478
binnen,3476
höger,3467
asien,3457
sülven,3441
weltkrieg,3433
grote,3421
billt,3412
swarte,3411
söhn,3408
passeert,3397
torekent,3384
smith,3361
distrikt,3357
christian,3353
ludwig,3349
indianers,3347
hermann,3335
hoochdüütsch,3326
politikerin,3298
historiker,3295
martin,3292
river,3286
otto,3279
tohöört,3275
bispeel,3271
spaanschen,3270
nächste,3251
tohuus,3249
wiel,3247
das,3240
anner,3239
speel,3239
franzöösch,3225
steiht,3213
königriek,3211
highschool,3209
kamen,3205
familie,3205
vörfohren,3205
geografie,3200
inkamen,3198
weert,3192
vöröllern,3187
armoot,3180
bureau,3175
latienamerika,3171
dorto,3154
dood,3148
dörp,3144
afstammung,3144
inkamensgrenz,3141
ünnernehmer,3140
census,3124
antarktika,3117
kinner,3117
speelt,3110
löppt,3105
wiest,3104
walter,3071
architekt,3070
franzöösche,3049
beiden,3045
leevt,3040
ernst,3037
school,3032
reeg,3032
nömmt,3020
kathoolschen,2997
university,2993
opdeckt,2991
rodenborg,2986
russ,2977
bannig,2970
ween,2970
joseph,2969
ieshockeyspeler,2958
egen,2950
list,2937
tostännig,2932
eiland,2926
krieg,2890
vunwegen,2883
veern,2881
pazifik,2873
geistlichen,2857
wurrd,2852
borns,2824
johannes,2820
sehn,2819
nedderlandschen,2810
hannover,2806
mexiko,2797
alexander,2771
see,2762
wunn,2742
politik,2733
dorüm,2724
creek,2724
sülvst,2722
england,2709
region,2699
et,2697
hemm,2692
föhrt,2689
ahn,2667
verkehr,2659
departamento,2639
maken,2629
wählt,2627
samtgemeen,2627
chr,2621
