word,count
ba,29536
niha,5992
no,5805
ia,5265
si,5061
da,4685
so,4139
ma,3658
wa,3169
ya,3038
danö,2832
sambua,2623
moroi,2488
la,2444
indonesia,2356
na,2336
lö,2334
desa,2176
andre,2064
zi,1835
li,1810
me,1740
fa,1739
kecamatan,1735
tola,1679
nias,1609
faoma,1564
ni,1470
umbu,1444
göi,1439
ira,1406
kabupaten,1369
simane,1332
andrö,1319
mbanua,1254
tobali,1161
wamatörö,1150
kodenia,1030
hiza,1011
ha,988
ngawalö,948
oya,920
khönia,882
lala,871
khö,870
ila,844
sibai,812
selatan,802
börö,787
ndra,731
bö,729
dödö,719
fefu,708
ae,669
tanö,659
molo,655
bakha,636
tenga,634
oguna,634
töi,625
nono,610
ginötö,578
nifotöi,558
möi,555
irege,541
sa,539
auri,532
samösa,528
gunungsitoli,528
aefa,523
ono,488
baero,482
manö,469
zui,461
irugi,450
ena,450
utara,433
oi,422
kota,420
ndröfi,417
he,412
nahia,411
tanöbö,404
asese,402
alawe,400
te,394
hulö,390
hadia,387
gereja,373
sebua,372
fao,355
gotalua,350
dalu,348
ofeta,343
halöŵö,342
barat,342
ebua,341
abölö,337
hada,335
fakhe,332
ero,328
keriso,323
wehede,319
nidanö,319
mao,319
sitobali,312
alua,310
lowalangi,309
ide,305
awö,299
waö,298
nomo,297
döi,296
negara,296
banua,294
töra,289
simanö,288
dan,285
lamane,284
dua,283
ökhö,278
ölö,277
zura,275
ara,273
iada,272
önia,267
döfi,265
nga,263
ato,263
duma,261
manu,258
föna,253
hewisa,253
moguna,253
ndraono,252
nia,252
to,249
inggris,248
ohe,247
naha,247
sökhi,246
latötöi,243
otarai,242
eluahania,242
yang,241
sara,239
amoni,234
hili,234
khöra,234
sito,233
heŵa,232
matua,226
nasa,224
wamahaö,224
nasi,222
matematika,221
tölu,220
inötö,216
gö,216
satua,215
dombua,215
dane,213
omasi,213
ösi,212
tumbu,211
tesöndra,209
öfa,209
tebai,208
asia,208
sura,208
sagörö,207
misa,206
luo,204
wo,204
laŵa,202
yesu,201
mo,200
fondrege,199
mboto,199
yaŵa,197
fehede,197
oroma,197
idanö,196
bua,195
ifu,195
amerika,194
fatua,191
fagölö,191
soi,190
oföna,189
labe,186
ölönia,186
ngaluo,184
fabö,182
eluaha,182
awena,181
sauri,181
pulau,181
hulo,179
agama,178
soguna,178
goi,176
sifakhai,175
sifao,174
böi,173
sotöi,171
gangolifa,170
mbua,169
sumatra,169
the,169
itaria,168
omo,166
ngawua,165
tödö,165
we,164
katolik,164
hunö,163
ulidanö,163
döla,161
aljabar,160
ta,159
meföna,159
fökhö,159
mbuku,158
wino,158
gambara,158
di,156
kofi,156
arakhagö,155
dania,154
bohou,154
ema,153
bawi,152
geu,151
gurifö,151
tesura,149
dozi,149
mato,149
sabölö,148
fetaro,147
wangalui,147
nifalua,147
wame,146
mazui,146
zo,146
tou,145
labali,145
anö,144
mu,144
tandra,144
sinanö,143
göna,143
gulidanö,142
ibe,142
sato,142
lafotöi,142
gulo,142
provinsi,142
tesi,142
wamalua,141
gowi,141
geophilus,141
of,140
lahaogö,140
gae,140
jawa,139
lima,138
sino,138
zatua,137
nagole,137
atua,137
meluo,137
alaŵa,136
mate,135
khai,135
uga,132
nisura,131
ambö,131
sasese,131
afrika,130
zingo,130
ötö,129
wökhö,129
sinumbua,128
sanandrösa,128
irai,127
nihalö,127
barö,127
mandrehe,127
ngaotu,126
aso,125
numalö,124
lafalua,123
gofu,123
zinanö,123
mböröta,122
anau,122
aya,121
mbawi,121
raya,121
urifö,121
guli,120
bulu,120
högö,120
luther,120
soya,119
sibohou,119
hörö,119
atö,118
nibe,118
buku,118
mbulu,117
asogö,117
btn,117
ii,116
gosali,116
lahalö,115
mbawa,115
alio,115
ere,115
ina,114
wangi,114
dödöra,113
fakhai,113
fo,113
ebolo,113
asi,113
faigi,113
belanda,113
gatua,113
bahasa,113
side,112
ana,111
hadöi,111
nösi,111
luka,111
ngahönö,110
mbaŵa,110
iraono,109
öli,109
örö,109
mbuania,109
tehöngö,109
timur,109
cm,109
toröi,108
zalua,108
duria,108
bahiza,108
ndru,108
ndroto,107
mane,107
ali,107
batu,107
numero,107
mado,107
nifa,106
oli,106
owulo,106
ita,106
eropa,106
medan,106
salua,106
harimbale,106
dumania,105
köfa,105
wulu,105
gu,105
edöna,105
alisi,104
lafaigi,104
turia,104
horö,104
gaza,103
wama,103
tiongkok,103
sitola,102
boto,102
tefa,102
tefalua,101
yohane,101
lahia,101
imane,100
huku,100
fakake,100
wanötöi,99
hikaya,98
fame,98
eu,98
gitö,98
injil,98
idugu,98
latanö,98
dalam,98
be,97
wetaro,97
famahaö,97
lakaoni,96
babi,96
data,95
yunani,95
itugu,94
öri,94
mbörö,93
önö,93
afo,93
nukha,93
föföna,93
wamaigi,93
zekola,93
hezo,92
gangowuloa,92
lalau,91
fino,91
nano,91
tenggara,91
sindruhu,91
abad,90
wangerai,90
töla,89
wangahaogö,89
and,89
tohare,88
era,88
heza,88
usö,88
awösa,88
lewuö,88
sedöna,87
siŵa,87
universitas,87
zinumbua,87
ifa,86
uli,86
mai,86
mareko,86
sebagai,86
tesis,86
sangoguna,85
manga,85
mangoguna,85
binatang,85
ama,84
aukhu,84
kabu,84
faudu,83
fanötöi,83
jerman,83
kali,83
gi,83
komputer,83
ele,82
baŵa,82
aboto,82
india,82
ŵa,81
bola,81
zisambua,81
ua,80
tedou,80
yöu,80
göfa,80
zino,80
tuho,80
abua,80
presiden,80
atumbu,80
tumbuhan,80
aröu,79
ngawawa,79
mbu,79
razo,79
sekola,79
spesies,79
amöi,78
bada,78
padang,78
latin,78
tsb,78
tua,77
waŵa,77
nambi,77
idanoi,77
tsunami,77
mangawuli,76
dödönia,76
nihaogö,76
dogo,76
ikhamö,76
bilangan,76
same,75
dandra,75
serikat,75
asu,75
wanura,75
wamareta,75
wananö,75
mbalö,74
simöi,74
lafa,74
wanga,74
in,74
sihombo,74
sawuyu,74
protestan,74
ordo,74
töinia,73
dome,73
ahatö,73
juta,73
fangi,73
khöda,72
dete,72
ania,72
sindruhunia,71
fitu,71
ngera,71
bu,71
zato,71
tengah,71
thailand,71
ngambatö,70
nafo,70
tefaböbö,70
ngafu,70
sosial,70
singo,70
soyo,69
gaekhula,69
kara,69
fulu,69
atedou,69
wamareso,69
nifahaö,69
tradisi,69
gana,68
goroisa,68
adu,68
ami,68
föfö,68
salaŵa,68
somasi,68
suku,68
ndro,68
tebörögö,68
odödögö,68
jepang,68
simatua,68
yahudi,67
ihalö,67
alö,67
rozi,67
haniha,67
meno,67
teori,67
fofo,67
lawa,66
fanikha,66
sibolga,66
ilmiah,66
wangoguna,66
erai,66
yehowa,65
adogo,65
amate,65
kh,65
sahatö,65
aurifö,65
gowirio,65
nifaliaro,65
hakhi,65
orahili,65
nina,64
wakake,64
gama,64
sanura,64
furi,63
maena,63
fangoguna,63
zangoguna,63
safusi,63
paus,63
lahewa,63
moro,63
wenaeta,63
mbulunia,63
mataio,63
mohalöŵö,62
lase,62
al,62
zoguna,62
gödo,62
lalö,62
fangalui,62
aetu,62
sifagölö,62
tehalö,62
video,62
danga,61
bosi,61
tahun,61
silö,61
bali,61
zifakhai,61
ösa,60
alui,60
asökhi,60
ke,60
latema,60
isura,60
bölö,60
wofo,60
andrõ,60
botomuzöi,60
laekato,60
wemanga,59
dari,59
gara,59
böröta,59
sejarah,59
angolifa,59
lada,59
hilimböwö,59
ugö,58
mböwö,58
hurufo,58
suster,58
perusahaan,58
kefe,58
taya,58
wangera,58
media,58
tanömö,58
migu,57
tanga,57
baga,57
ai,57
samatörö,57
sohalöŵö,57
wasuwöta,57
hewa,57
söndra,57
sisarahili,57
youtube,57
mufo,57
awai,56
ilau,56
falukha,56
do,56
oköli,56
owalu,56
zowatö,56
km,56
ndruria,56
su,56
fadoro,56
ombölata,56
afökhö,56
gere,55
amaedola,55
wanuwö,55
gahe,55
resmi,55
sabe,55
lasura,55
batam,55
kongregasi,55
zauri,55
lafo,55
maga,55
rigi,55
mbowo,55
galitö,54
ngafulu,54
wulo,54
bulunia,54
hong,54
zinunö,54
idanötae,54
amandraya,54
za,53
samati,53
zimane,53
kong,53
nitanö,53
adulo,53
dengan,53
buania,53
ulu,53
dungö,53
meme,53
islam,52
mege,52
nama,52
amada,52
huhuo,52
bözi,52
uwu,52
uskup,52
haga,52
lahusa,52
pada,52
harimo,52
wamati,51
itema,51
nitörö,51
ngai,51
fasa,51
sisökhi,51
aoha,51
roma,51
melayu,51
telukdalam,51
mame,51
afabö,51
