word,count
de,2851256
van,1613249
in,1275694
het,1198564
en,1058968
een,1001121
is,448450
op,412640
met,367535
zijn,350866
voor,292327
te,279085
die,253096
werd,246319
door,240059
hij,237110
als,230515
dat,223201
aan,217378
was,203538
ook,193673
uit,188600
tot,169725
bij,162655
of,158593
er,137329
wordt,134327
deze,130360
om,128768
niet,126668
naar,126195
worden,118363
maar,101989
dit,96382
ze,90865
gemeente,86985
zich,82823
onder,79515
over,79389
na,79179
heeft,77018
dan,71737
eerste,71234
andere,68759
the,67520
meer,65196
inwoners,63716
nog,61808
werden,61429
jaar,61210
plaats,59317
km,58173
kan,54689
deel,54539
twee,54144
tussen,51350
had,51164
haar,48496
hun,48152
waren,47061
veel,45960
al,45932
hebben,45344
grote,44103
align,42758
stad,41680
zoals,41474
geen,41295
zou,40988
nederlands,40918
zo,40716
per,40621
externe,40423
eeuw,39919
waar,39239
tegen,38347
naam,37831
nieuwe,37591
wel,37380
tijdens,37311
nederland,37198
kunnen,37136
men,37043
tweede,36667
echter,36599
later,34695
franse,34171
aantal,34124
zij,33467
toen,33461
jaren,33025
nederlandse,32513
left,32371
ten,32355
gebruikt,31361
regio,30995
staat,30392
alle,29801
kwam,29448
vanaf,29401
omdat,29371
tijd,29136
wat,29088
oppervlakte,29039
hem,29011
sinds,28968
links,28508
telt,28421
drie,27795
geografie,27476
maakt,26433
verschillende,26130
vaak,25980
overleden,25911
bekend,25909
weer,25695
der,25228
volgens,25197
ligt,25070
enkele,24595
zie,24412
genoemd,24157
laatste,23721
ongeveer,23671
geschiedenis,23540
demografie,23093
alleen,22924
samen,22726
bedraagt,22714
groot,22627
komt,22613
bron,22247
vooral,22234
bevolkingsdichtheid,22178
la,22067
departement,21550
koning,21033
toont,21017
provincie,20822
januari,20784
eigen,20750
kreeg,20715
maken,20529
leven,20476
af,20407
onderstaande,20210
land,20177
arrondissement,20144
gebied,19922
binnen,19903
figuur,19857
ging,19778
mensen,19651
waarbij,19410
verloop,19332
dus,19231
duitse,18982
inwonertal,18965
verder,18948
volgende,18904
kon,18711
rond,18569
bijvoorbeeld,18534
amerikaans,18374
periode,18314
waarin,18283
kerk,18082
komen,18063
saint,17978
daar,17938
terug,17896
insee,17871
tellingen,17828
amerikaanse,17637
maakte,17576
mei,17539
oude,17489
zelf,17463
nu,17443
hier,17434
één,17388
ii,17335
amsterdam,17168
zeer,16865
bestaat,16829
lijst,16785
eerst,16781
maart,16747
via,16745
steeds,16703
kleine,16631
gebruik,16614
film,16567
september,16442
frankrijk,16358
begin,16352
staten,16293
oktober,16236
vier,16172
werk,16153
december,15952
familie,15951
juni,15808
meter,15705
elkaar,15697
gaan,15673
ter,15650
mogelijk,15639
belgië,15619
grootste,15392
frans,15376
and,15367
sint,15335
zuid,15247
moet,15229
april,15131
juli,15099
augustus,15073
soort,14981
gemeenten,14948
groep,14889
voetballer,14836
gemaakt,14793
oorlog,14777
november,14608
duitsland,14575
noord,14572
den,14546
gaat,14461
waardoor,14427
zonder,14419
soorten,14385
meestal,14365
jan,14191
europa,14190
hadden,14137
link,14000
toe,13995
vorm,13912
goed,13898
verenigde,13837
geboren,13759
album,13742
zoon,13595
zowel,13580
soms,13466
naast,13441
derde,13424
duits,13400
beide,13300
seizoen,13265
enige,13153
slechts,13149
nieuw,13135
water,13125
partij,13000
europese,12989
dorp,12967
februari,12922
club,12910
waarvan,12901
moest,12784
zien,12740
nam,12731
dag,12538
le,12527
keer,12458
net,12423
wereld,12412
daarna,12338
ronde,12336
wereldoorlog,12274
won,12267
werken,12262
chr,12256
landen,12246
begon,12180
rol,12161
weg,12133
top,12102
boven,12088
band,12076
mee,12068
speelde,12058
vele,12051
belangrijkste,11968
meeste,11961
uiteindelijk,11940
lang,11879
center,11841
zelfs,11820
gebouwd,11817
eind,11721
nadat,11701
pas,11699
hoewel,11532
zal,11422
dood,11331
belangrijke,11313
voormalige,11302
staan,11288
huidige,11274
minder,11261
opnieuw,11209
man,11173
vanwege,11114
bestaan,11106
bleef,11089
terwijl,11079
sommige,11070
lange,11057
lid,11027
vader,10961
vormen,10923
daarnaast,10908
boek,10880
politicus,10861
vijf,10788
huis,10749
einde,10742
rijk,10735
west,10706
president,10681
stond,10665
et,10594
eiland,10500
vanuit,10489
miljoen,10470
zouden,10465
sterk,10455
new,10405
kinderen,10329
leger,10245
wanneer,10236
ontstaan,10130
website,10111
willem,10088
kanton,10053
snel,10031
minister,10028
altijd,9990
bekende,9967
regering,9945
nationale,9927
waaronder,9872
nummer,9851
belgisch,9843
muziek,9830
universiteit,9822
hoge,9779
vervolgens,9753
diverse,9748
onderzoek,9728
gelegen,9631
belgische,9626
vinden,9624
spelen,9548
moeten,9487
vrouw,9470
dezelfde,9444
