word,count
og,629733
av,374529
på,337241
er,297323
som,295121
til,291063
ein,247634
frå,219969
den,218340
det,192267
med,190556
for,186876
han,163372
vart,153834
var,151717
dei,134217
eit,110863
har,100592
ei,88032
at,75251
the,72292
etter,68091
kjelder,67104
om,65987
denne,64703
ved,62274
under,50463
eller,48256
seg,47823
ut,47531
men,45795
hadde,45386
ho,42765
ikkje,42219
artikkelen,42142
mellom,41284
òg,40838
bygger,40701
andre,40177
to,38891
over,38824
ligg,38257
kan,37563
der,36842
bakgrunnsstoff,36453
of,34564
då,32967
km,32840
norske,31678
dette,29988
blei,29872
desse,29318
inn,28925
songar,28803
kom,26038
norsk,25799
opp,25660
fekk,25442
vert,25406
fleire,25038
år,24939
kommune,24239
albumet,23879
talet,23841
mot,23779
byen,23753
første,23740
songen,22784
noreg,22772
kalla,22064
mange,21166
tidlegare,20667
sin,20622
hans,20470
nord,20029
sør,19718
usa,19636
også,19456
blir,19083
and,18312
seinare,18101
store,17745
ol,17739
tre,17601
land,17274
sidan,16965
før,16880
meter,16866
namnet,16778
gjennom,16749
så,16717
anna,16659
berre,16396
del,16290
sitt,16271
lag,16083
fram,15904
saman,15735
ha,15495
gjekk,15433
alle,15383
album,15189
spelte,15029
no,15004
sine,14977
folk,14726
vore,14644
song,14606
same,14561
kjeldene,14209
de,14178
tok,13979
oppgav,13831
sjå,13727
meir,13705
medan,13621
åra,13530
si,13431
enn,13293
in,13014
mars,12976
går,12765
vest,12713
sjølv,12469
både,12396
oslo,12377
fjell,12355
februar,12102
aust,12051
januar,11861
noko,11826
ofte,11747
bandet,11643
kjend,11595
gav,11552
nytta,11441
new,11434
rundt,11429
dag,11328
august,11292
største,11271
nokre,11208
innbyggjarar,11116
oktober,10998
finst,10996
amerikanske,10953
her,10918
mest,10902
området,10847
vm,10658
øya,10645
tid,10629
stor,10570
september,10549
juli,10440
vann,10352
kommunen,10333
john,10218
fire,10190
siste,10103
mai,10080
mykje,9978
tida,9974
records,9855
kring,9848
kunne,9781
november,9741
juni,9600
ulike,9545
heile,9518
elva,9417
sett,9328
året,9266
fyrste,9246
slik,9182
deira,9158
la,9027
nye,9023
få,8945
namn,8940
spelt,8930
lang,8865
når,8844
by,8796
historie,8784
april,8777
desember,8745
skulle,8716
ny,8618
al,8589
tillegg,8561
landet,8418
medlem,8294
ned,8176
engelsk,8170
skal,8082
sommar,8049
brukt,8020
on,8011
kjem,7976
island,7959
fylkesveg,7937
kommunar,7929
like,7911
byar,7864
gjorde,7840
vere,7816
døydde,7777
nådde,7731
gitar,7713
laga,7556
skreiv,7462
britiske,7446
staden,7425
nær,7414
særleg,7397
først,7382
havet,7379
rekna,7363
mindre,7296
you,7269
vil,7235
storbritannia,7192
russland,7191
nr,7184
bygd,7151
byrja,7145
referansar,7131
kyrkja,7066
sverige,7056
tyskland,7043
grunn,6932
kjende,6920
stortingsrepresentantar,6898
london,6875
plass,6865
fylke,6800
område,6786
delar,6744
singlar,6650
deltakarar,6650
dømes,6583
blitt,6553
språk,6543
eurovision,6524
bergen,6509
utan,6498
gong,6492
fødd,6484
busetnader,6484
langs,6458
europa,6380
distriktet,6352
isbn,6340
vinter,6323
frankrike,6319
antarctic,6313
gruppa,6308
gjeve,6287
contest,6266
gamle,6249
vorte,6225
me,6152
fem,6122
provinsen,6103
tysk,6087
større,6041
tyske,6031
regionen,6031
tidleg,6000
heilt,5996
vera,5988
bruk,5965
franske,5951
geografi,5944
rock,5934
david,5917
spelarar,5892
vokal,5866
spela,5858
delen,5793
viktig,5766
beste,5726
band,5726
hennar,5676
antarktis,5652
kyrkje,5636
fleste,5607
en,5600
kvar,5559
musikk,5542
england,5541
begge,5534
verda,5481
ii,5460
fotballspelar,5438
tilbake,5367
blant,5366
lista,5340
kvart,5332
låg,5331
att,5292
stad,5279
amerikansk,5271
alt,5209
vegen,5141
igjen,5124
moh,5120
perioden,5113
italia,5109
russisk,5092
skriven,5081
engelske,5064
finn,5055
sveits,5039
starta,5029
trommer,5025
st,5009
fotballspelarar,5008
love,4995
fotball,4988
opphavleg,4987
singelen,4975
israel,4965
øyar,4914
fjellet,4910
likevel,4900
bli,4895
framleis,4882
oppdaga,4869
innan,4837
stort,4835
skipa,4823
består,4785
stortinget,4783
slutten,4750
førte,4742
live,4730
flytta,4697
ville,4691
utvikla,4684
vidare,4676
kyrkjer,4671
gjeven,4636
fransk,4633
renn,4631
forfattar,4616
side,4614
korvokal,4604
paul,4589
står,4583
em,4573
produserte,4571
skrive,4565
danna,4560
stader,4543
tyder,4533
truleg,4523
nummer,4504
krigen,4496
inneheld,4494
høgaste,4494
hos,4481
einaste,4470
fordi,4455
ta,4454
måtte,4414
vanleg,4406
heldt,4380
toppen,4372
eg,4366
gjort,4366
songane,4341
skrivne,4332
henta,4328
artar,4317
versjon,4306
internasjonale,4305
seks,4298
peter,4286
vatn,4274
deltok,4246
ca,4228
bass,4227
york,4207
danmark,4205
stod,4204
rekkje,4196
millionar,4192
fjorden,4184
hovudsakleg,4172
kort,4160
langt,4097
attende,4089
russiske,4080
verdskrigen,4079
gresk,4076
svensk,4064
filmen,4055
sa,4017
it,4012
tredje,4011
moderne,4002
sokn,3998
bowie,3996
plassen,3980
vegar,3960
us,3958
kong,3956
hjå,3953
spor,3944
utanfor,3930
