word,count
og,1028822
av,614702
som,530208
en,480160
til,438612
er,426808
på,405411
for,374388
det,333547
den,332800
med,327080
ble,318269
var,269296
fra,263773
de,242606
han,225717
et,189269
at,173967
har,167873
også,119898
ved,115325
om,111033
etter,105455
men,93959
seg,93350
ikke,92619
hadde,87729
under,83652
the,79350
eller,76270
andre,66086
eksterne,64471
lenker,64433
kan,64191
da,62199
over,60085
to,59872
dette,59850
første,59185
referanser,58971
sin,56291
mot,54408
hans,52957
of,52316
år,50073
hun,47180
mellom,46750
norske,46341
norge,45931
ut,45008
der,44308
fikk,42910
denne,42705
norsk,41691
flere,41558
opp,37087
blant,36500
tallet,34690
blir,34175
født,32983
man,32424
mange,32149
personer,31952
sammen,31599
kom,31449
tidligere,31413
noen,31350
ha,31064
senere,30597
usa,30457
så,30256
kommune,30238
ligger,29996
alle,29917
inn,29872
før,29758
være,29636
hvor,28830
tre,28432
siden,28061
ol,28009
oslo,27786
annet,27737
disse,27314
blitt,26955
store,26901
selv,26576
del,26545
mer,25574
vært,25530
samme,25369
noe,25274
nord,24891
gjennom,24710
kjent,24611
enn,24535
km,24400
mens,24188
rundt,24120
kunne,23407
sine,23403
se,23039
gikk,22996
sitt,22971
byen,22856
død,22336
skulle,22116
and,21867
sør,21575
både,21568
navnet,20940
bare,20905
nye,20503
vil,19280
dag,19263
ham,19178
tid,19014
slik,18947
mest,18911
skal,18741
gang,18433
stor,18367
årene,18208
ofte,18176
når,17826
få,17799
finnes,17753
bli,17728
tok,17584
historie,17551
tilbake,17464
hele,17455
navn,17369
januar,17299
siste,16910
isbn,16771
in,16674
dem,16454
etablert,16323
vant,16162
største,15942
fire,15895
igjen,15859
tv,15717
nå,15487
hos,15407
går,15370
mai,15309
mars,15208
meter,15127
august,14910
vest,14515
sommer,14462
new,14461
ny,14342
brukt,14312
juni,14302
oktober,14190
først,14082
land,14073
april,13969
deres,13868
ca,13753
september,13572
grunn,13538
kalt,13511
la,13453
juli,13424
uten,13420
øst,13420
området,13415
desember,13352
ville,13327
tyske,13318
her,13193
ned,13091
tyskland,13050
litteratur,13027
rekke,12969
tillegg,12955
mindre,12896
begynte,12841
spilte,12778
november,12700
sverige,12688
døde,12686
imidlertid,12528
februar,12509
laget,12472
mye,12441
vm,12352
frem,12252
gamle,12194
norges,12130
gjorde,12008
større,11999
brukes,11987
beste,11968
derfor,11926
bruk,11917
engelsk,11757
eksempel,11691
england,11663
samt,11577
kirke,11517
kardinal,11381
kr,11367
tiden,11288
amerikanske,11228
amerikansk,11215
john,11203
kommer,11194
london,11144
deltakere,11132
svært,11014
helt,10989
fotballspillere,10984
kun,10974
tatt,10854
kommuner,10793
landet,10757
hvert,10682
deler,10593
frankrike,10537
bygget,10528
county,10503
dermed,10490
plass,10487
året,10422
hennes,10415
måtte,10372
deretter,10342
særlig,10326
ulike,10318
ingen,10289
må,10289
europa,10244
tysk,10225
liv,10174
fleste,10166
kjente,10122
hver,10117
satt,10096
startet,10058
ganger,10047
utgitt,10046
innbyggere,10031
by,9977
vi,9962
filmen,9885
verdenskrig,9877
egen,9860
arter,9817
innen,9795
videre,9787
bergen,9779
fem,9753
fram,9690
no,9683
annen,9650
barn,9636
ii,9625
britiske,9601
begge,9585
per,9567
gitt,9542
sønn,9535
fotball,9507
st,9458
like,9418
slutten,9382
består,9357
løpet,9329
slekten,9264
perioden,9227
verden,9179
ga,9168
fødsler,9165
arbeidet,9068
sett,9038
fordi,8980
medlem,8978
stedet,8944
forskjellige,8922
skrev,8871
lag,8851
samtidig,8777
side,8697
krigen,8645
tidlig,8640
språk,8588
kina,8578
ett,8575
storbritannia,8574
millioner,8541
sesongen,8539
medlemmer,8535
olympiske,8531
førte,8445
deltok,8418
skrevet,8397
lang,8393
italia,8377
leder,8358
ta,8334
stort,8264
york,8258
von,8228
opprettet,8211
fylkesvei,8208
kilder,8208
danmark,8184
serien,8127
kong,8102
øya,8086
paris,7978
får,7968
franske,7912
mål,7881
eneste,7866
utviklet,7845
alt,7844
langs,7817
nytt,7717
university,7689
gir,7669
delstaten,7669
spilt,7640
vanlig,7622
form,7586
kirken,7577
viktig,7574
mennesker,7574
kalles,7566
flyttet,7562
spesielt,7550
gruppen,7541
moderne,7512
universitetet,7483
fortsatt,7446
kort,7434
tredje,7396
opprinnelig,7334
albumet,7313
internasjonale,7300
menn,7268
svenske,7258
åpnet,7239
allerede,7229
gjort,7223
utenfor,7218
basert,7181
familien,7160
byer,7148
rett,7140
filmer,7134
viser,7127
holdt,7115
album,7100
godt,7088
én,7081
sted,7080
omkring,7033
slaget,7027
forfatter,7023
russland,7021
fått,7010
står,7008
bandet,6990
langt,6976
liste,6973
politiske,6900
seks,6838
ledet,6784
ifølge,6778
gjør,6716
liten,6702
beskrevet,6666
gi,6661
engelske,6657
skole,6653
små,6649
bak,6634
gruppe,6565
film,6557
veien,6553
fransk,6550
delen,6546
president,6540
vinter,6537
lite,6532
kvinner,6528
forhold,6522
fc,6517
brasil,6467
gull,6451
katolske,6446
gjerne,6416
klubben,6373
hatt,6366
nesten,6359
musikk,6339
henne,6337
innenfor,6295
spiller,6287
grad,6279
enkelte,6266
provinsen,6247
nær,6246
nrk,6227
far,6200
lå,6178
mulig,6176
funnet,6157
gammel,6155
gjøre,6136
du,6123
si,6102
antall,6091
mann,6091
vann,6086
betyr,6084
selskapet,6056
jeg,6053
pave,6035
vanligvis,6028
folk,6023
