word,count
li,7566
de,6958
es,3554
in,1966
del,1516
sud,1022
en,862
esed,747
kel,741
ek,703
lo,686
afrika,667
un,661
urbe,623
komunies,570
did,568
maxim,568
total,561
nombro,559
elektionure,552
lingues,508
kun,495
por,475
ke,445
lun,444
kom,428
have,419
lu,412
ye,411
la,389
homes,388
parla,383
anke,378
provinse,375
bli,370
lande,365
distrikte,363
al,361
populatione,349
da,310
lingue,310
non,308
politike,306
chef,301
majoritate,297
fontes,296
general,294
elektione,289
resenti,287
page,286
sa,285
sexu,283
independent,283
board,282
demografie,280
demarcation,280
commission,280
votes,280
statistikes,279
municipal,279
stats,279
census,279
electoral,279
election,279
results,279
ma,277
etnikiso,276
afrikal,276
grandi,260
depos,254
fro,250
on,245
unionati,243
plu,239
the,233
amerika,223
du,213
lon,212
tu,202
yares,199
per,199
nord,188
altri,188
les,183
nome,181
ha,179
unesmi,176
novial,174
vida,173
pro,170
familie,169
naskad,165
states,164
germania,158
inter,157
yare,156
disi,156
multi,155
habitantes,155
eventes,149
til,148
blid,141
amerikani,140
of,140
naskos,139
kabe,139
morios,138
kam,131
esmi,130
fransia,128
kand,126
sekle,125
sur,125
pri,124
estu,123
parte,122
state,121
biologia,116
area,115
omni,115
usa,114
pove,114
monde,112
tre,112
and,111
novi,109
fa,108
after,105
landes,105
regia,104
sen,102
nur,101
europa,101
le,100
west,100
germani,98
devenid,96
nordi,96
tempe,95
studio,91
me,90
westu,90
durant,89
sientie,88
esti,88
tum,88
duesmi,87
historie,87
international,87
se,87
republike,85
distriktes,85
si,84
asia,83
kelki,83
situat,82
sentral,82
urbes,82
occidental,82
distributione,81
matematike,81
pos,81
guere,79
uni,78
kemiisto,76
segun,76
dunke,76
partise,76
fransi,75
km,75
importanti,75
sudi,74
tri,73
vordes,72
zulum,72
geografia,71
vivo,70
nombre,70
grupe,70
diviset,69
sisteme,69
kemial,69
kemie,68
vor,67
lan,67
marte,66
china,66
an,66
maye,65
januare,65
mikri,65
sienties,65
ti,65
kwazulu,65
natal,65
kantera,64
morid,64
exista,64
est,64
japan,64
afrikansum,64
den,63
ante,63
fransum,63
et,63
unione,63
aprile,62
tere,62
subfakes,62
oldi,62
paris,62
com,61
angli,60
oktobre,60
dikte,60
to,60
teorie,60
linkes,60
desembre,59
membre,59
rego,58
vorde,58
anglum,58
nondependanti,58
famosi,58
liberi,57
konstrukteti,57
februare,57
lus,56
jespersen,55
sirk,55
julie,55
aktora,54
ansieni,54
regione,54
westi,54
fisike,53
studia,53
italia,53
dek,53
sirkumdat,53
presidente,53
visines,53
john,52
dal,52
exemplim,52
ofte,52
sin,52
nunim,52
septembre,51
forme,51
korpore,51
finlande,51
interlingue,51
spania,51
isle,51
presidante,50
inkluse,50
vud,50
talim,50
age,50
artes,49
sutum,49
fisikal,48
nus,48
auxiliari,48
sub,48
théâtre,48
literature,47
mare,47
mamiferes,47
astronomia,46
signifika,46
veni,46
kosum,46
barcelona,46
robert,45
natural,45
elementes,45
nobel,45
austria,45
otto,44
primi,44
este,44
nun,44
sosial,43
fakes,43
nomat,43
ordine,43
deveni,43
konter,43
suisia,43
novembre,42
krea,42
june,42
haved,42
negativ,42
ensemble,42
www,42
had,41
des,41
quar,41
max,41
or,41
kilometrequadrate,41
william,40
probableso,40
skripte,40
ofisiali,40
isles,39
super,39
komenso,39
triesmi,39
referos,39
premie,39
polonia,38
chile,38
auguste,38
che,38
binomial,38
sal,38
pova,38
britani,37
organismes,37
greki,37
generalim,37
konsidera,37
liste,37
europani,37
lesen,37
externi,37
ido,37
nordu,37
karu,37
tswanum,37
aktoro,36
plus,36
konsista,36
even,36
wahl,36
kantes,35
konosat,35
fonte,35
genetike,35
lum,35
provinses,35
http,35
vietnam,35
boxe,35
populari,34
homal,34
studiad,34
romanes,34
proxim,34
diferanti,34
lusen,34
chanja,34
esperanto,34
nuni,34
el,34
sporte,34
preske,33
tamen,33
alti,33
skripted,33
gramatike,33
materie,33
literes,33
for,33
universitate,33
europan,33
limpopo,33
fad,32
disdi,32
mase,32
sami,32
diversi,32
chaki,32
jean,32
malgre,32
exemple,32
kreat,32
language,32
federali,32
parlamente,32
po,32
norde,31
latini,31
politikal,31
dis,31
trova,31
as,31
planete,31
nin,31
komensad,31
defense,31
sir,30
fake,30
arte,30
evolutione,30
teknikes,30
pluri,30
latinum,30
national,30
george,30
patro,30
komunisti,30
france,30
demokrati,30
kombate,30
komensa,29
tretes,29
formes,29
sunal,29
animales,29
artikle,29
frui,29
vu,29
nusen,29
sink,29
