word,count
wa,20803
ka,11333
go,11125
le,10204
ngwaga,10078
ke,7978
ya,6477
tša,4365
afrika,4207
borwa,4029
ga,3812
sekete,2980
moka,2936
ditšhupetšo,2870
feta,2708
mmasepala,2636
yeo,2631
ba,2591
setereke,2439
thoma,2362
toropo,2294
ngwagengkgolo,2232
ebile,2182
la,2108
ngwagakgolo,2094
magareng,2083
ngwagakete,2044
ngwagengsome,2011
ngwagengkete,2011
dinomoro,1992
elego,1988
nomoro,1970
porofense,1667
bomakgolo,1594
di,1539
mmusogae,1433
sa,1375
pedi,1279
tharo,1216
senyane,1213
nne,1199
šupa,1195
tshela,1190
seswai,1186
hlano,1181
tše,1124
tee,1107
se,1098
kapa,935
mo,921
ile,889
gore,877
pele,870
be,836
mmušôgaê,820
lesome,802
masomeseswai,799
ye,794
masomesenyane,791
masomepedi,791
masomešupa,791
masomehlano,785
masometshela,781
masomenne,777
bja,776
masometharo,747
bodikela,739
limpopo,732
bohlabela,683
ge,676
ngwagasome,676
lekgolo,655
leboa,644
diporofense,644
ngwagamolele,617
makgoloseswai,600
makgolotharo,597
makgolohlano,594
makgolotshela,588
makgolopedi,582
makgolosenyane,582
bjalo,579
makgološupa,576
kgolo,546
makgolonne,534
gomme,527
cape,516
morago,508
matšatši,508
mmušôselegae,498
na,462
pherekgong,443
tšhupamabaka,443
the,443
batho,442
goba,428
kamoka,428
anc,423
gagwe,412
bolesome,410
bo,393
of,386
kwazulu,382
gauteng,374
fela,372
yo,368
nyane,355
bobedi,353
letšatši,340
johannesburg,337
tla,336
labobedi,327
manthole,326
natala,326
sontaga,324
labohlano,321
village,321
labone,319
km,319
gofeta,317
mokibelo,316
laboraro,315
mošupologo,314
tšeo,314
ela,313
hloko,313
kudu,307
mpumalanga,307
state,304
boikhutso,304
gregorian,301
greater,301
eastern,300
free,298
wela,295
tšhupamabakeng,295
boraro,271
maruarua,265
mmušo,264
bone,253
bego,253
gape,248
re,247
lego,246
setšhaba,244
bao,242
bošupa,241
zuma,241
bohlano,237
sekhukhune,236
bosenyane,235
naga,232
botshelela,231
boseswai,229
profense,227
yona,226
toropokgolo,222
mmušoselegae,221
mopresidente,217
wo,201
tšwa,201
fihla,201
township,201
bomasomenne,200
hlakola,200
municipality,200
bomasometharo,200
bomasomepedi,200
bolekgolo,200
bomasomesenyane,199
bomasomeseswai,199
bomasomešupa,199
bomasomehlano,199
bomasometshela,198
bona,193
moranang,192
dinaga,192
mopani,187
gare,184
metropolitan,183
bjo,180
ramaphosa,180
seo,179
nako,178
and,176
ho,175
palo,174
makhuduthamaga,172
aganang,171
in,170
legôrô,170
tloga,169
godimo,168
ao,167
bile,166
umkhanyakude,166
tse,165
gona,162
tlwaelega,162
motlanthe,160
region,156
latela,151
mathomo,151
dibokwane,150
town,149
maemo,146
ehlanzeni,144
bosetšhaba,141
amathole,141
mkhize,139
thabo,138
mokgatlo,138
kua,136
city,135
dingwe,134
mengwaga,134
african,132
ea,130
noka,129
is,129
kgethwa,127
fase,126
ntle,124
leo,123
moo,122
tsa,122
tšona,121
eupša,120
motho,120
capricorn,120
dikgetho,119
lefase,119
karolo,119
hleng,119
tzaneen,119
swanetše,117
nago,117
bay,115
mofutsanyana,115
molao,114
elias,114
motsoaledi,114
mongwe,113
west,113
south,110
kgwedi,110
taolo,109
mafelelong,109
thomile,108
nngwe,107
mahu,106
badudi,105
akaretša,105
dira,105
mošomo,103
bolwetši,103
swana,101
nakong,100
bakeng,100
bohlokwa,99
vhembe,99
main,98
mbeki,97
category,97
šala,97
maatla,96
to,96
khomišene,95
diphoofolo,93
meetse,91
boletše,90
metse,90
mafelelo,88
lebaka,88
jozini,86
tšea,85
motsesetoropo,85
letaba,84
mmala,83
bolela,83
bophara,83
sehlopha,83
mogale,83
nkonkobe,83
lefasaneng,82
joe,82
national,81
dibatsela,81
mehuta,81
bjale,81
gert,81
sibande,81
phato,80
seleteng,80
sarah,80
mosegamanye,79
dula,79
dipolotiki,79
tona,79
bophelo,78
thuto,78
bogolo,78
polelo,78
ko,78
baartman,78
phupu,77
maluti,77
congress,76
tsela,76
leloko,75
phofung,75
river,75
giyani,75
lewedi,74
mang,74
bushbuckridge,74
bomenetša,73
park,73
rena,72
bana,72
ephraim,72
lefaseng,71
gqabi,71
united,70
ilego,70
yago,70
dr,70
natal,69
bašomi,69
thulamela,69
mandela,68
mopitlo,68
diprofense,68
gantši,68
peleng,68
mokgwa,68
coast,68
amerika,67
de,67
leina,67
bangwe,67
kgahlanong,66
mmalwa,66
maruleng,66
ugu,66
fora,65
tlase,64
school,64
modulasetulo,64
diphalane,63
tokologo,63
mashatile,63
basadi,62
hwetša,62
dipolelo,62
wago,62
maloko,61
šoma,61
dijo,61
sego,60
defghi,60
bontšha,59
mola,59
lewatle,59
modimo,59
th,59
mô,59
bloemfontein,58
kopano,58
kakaretšo,58
yena,58
ethekwini,58
maemong,57
belegwe,57
it,57
umzinyathi,57
bago,56
asia,56
nyaka,56
north,56
pego,56
nkangala,56
dikgwedi,55
hani,55
bontši,54
harry,54
on,54
mabapi,54
motlatšamopresidente,54
seat,54
leruarua,54
mathomong,53
kgwebo,53
tšwela,53
zf,53
mgcawu,53
nelson,52
nageng,52
as,52
phoofolo,52
nyuklea,52
pixley,52
seme,52
gwala,52
jacob,51
east,51
ekonomi,51
dinyakišišo,51
oa,51
big,51
five,51
hlabisa,51
tlhabollo,50
maphelo,50
motse,50
gabotse,50
akaretšwa,50
moya,50
ngwageng,50
baka,50
bopresidente,49
dirwa,49
bokgoni,49
india,49
nywaga,49
europa,49
lejweleputswa,49
sehla,49
polokego,49
tubatse,49
amajuba,49
van,48
lefelo,48
palamente,48
latelago,48
sekolo,48
ja,48
was,48
ditiragalo,47
kgethollo,47
boetapele,47
semmušo,47
dimilione,47
boditšhabatšhaba,47
bohlatse,47
xhariep,47
overberg,47
john,46
ditoropo,46
mogolo,46
sebaka,46
fezile,46
dabi,46
chris,46
tšwelela,46
lona,45
kgauswi,45
sesotho,45
nama,45
gwa,45
tsena,45
polokwane,45
phala,45
fetakgomo,45
coastal,45
winelands,45
namakwa,45
fapana,44
kgale,44
fa,44
mohlala,44
ele,44
mmele,44
lapa,44
ha,44
buffalo,44
en,43
district,43
for,43
local,43
tšhireletšo,42
ma,42
ditšhelete,42
ditatofatšo,42
ditaba,42
tokelo,42
felela,42
ne,42
dinoka,42
durban,42
lesometee,41
gammogo,41
sebopego,41
dihlopha,41
histori,41
tumelo,41
tshepedišo,41
agišane,41
with,41
masepala,41
