word,count
éí,180318
dóó,100554
ch,36146
dah,28624
díí,24836
bich,23576
iyą,23091
di,22538
áádóó,21210
ii,20559
éé,20445
nda,19277
na,18928
ałkaahí,18897
deetįįhii,18809
deiłníigo,18753
atah,18597
bits,18525
yikahjí,17994
íís,17717
osh,17345
asdzoh,17204
ánoolinígíí,16806
hól,16635
dayózhí,16634
yisdzoh,16298
ąą,15830
tsídii,15183
yázhí,12850
áníłtso,12765
ał,10079
ashjé,9363
naashch,9149
łeh,8876
bikéyahdi,8858
bił,8605
kéyah,8234
yildeeł,7895
bináá,7730
góó,7668
bikáá,7587
il,7397
bit,7158
ałdó,6814
bidaa,6728
si,6530
ash,6283
diłhił,5841
áníłnééz,5835
shádi,5748
haz,5598
łibá,5521
bitsee,5490
bitéél,5412
dootł,5376
ánígíí,5282
tł,5253
yishtłizhgo,5114
ígíí,5059
łigai,4955
bijáád,4867
naakaii,4666
łizhin,4581
tó,4519
ááhjí,4422
tsídígíí,4418
tónteel,4330
gi,4219
tsin,4092
dibéłchí,3844
éiyá,3786
diłhiłgo,3771
eez,3671
adées,3651
áłts,3547
wó,3542
ałtaas,3526
bizéé,3524
da,3511
nood,3481
iish,3317
íísí,3261
áá,3243
ashdla,3229
bikéyahdę,3212
go,3203
bíla,3144
bineest,3003
nineez,2952
hahoodzo,2943
dinilzhin,2935
kin,2888
biyi,2875
izh,2871
aahjí,2857
dzidzé,2834
dahól,2785
bikáa,2660
tąądee,2649
łizhiní,2646
naagháhii,2642
náhook,2615
deildeeł,2613
hahoodzodi,2590
dine,2583
éego,2557
aa,2553
naaldlooshii,2551
bitł,2507
bik,2492
łitso,2457
yę,2407
ędą,2386
ádaat,2350
yiłchozh,2348
kéédahat,2330
deigo,2311
wónaanídę,2266
daasdzoh,2219
diné,2193
eełí,2165
iitsoh,2146
áadi,2100
sjí,2100
dik,2099
deiyózhí,2083
ągo,2077
ha,2066
nahat,2060
łichíí,1986
yihah,1938
bikéyah,1898
ánéelą,1890
doo,1885
áhoot,1870
łóó,1785
