word,count
ndi,10278
ku,3983
mu,2824
wa,2769
pa,2742
la,2647
kuti,2588
ya,2231
kwa,2026
cha,1831
ndipo,1676
anthu,1588
ntchito,1342
za,1270
komanso,1186
anali,1017
omwe,1011
kwambiri,984
dziko,964
ngati,861
nthawi,836
boma,750
of,726
kapena,697
malo,671
ali,639
monga,616
zomwe,606
mpaka,585
amene,563
zaka,562
ena,553
chifukwa,551
malawi,536
the,514
mwa,504
kuyambira,498
matendawa,490
ma,484
yomwe,476
kukhala,472
ake,466
koma,456
lonse,437
zolemba,434
zambiri,410
kuchokera,410
ambiri,409
pakati,409
united,401
zambia,388
munthu,386
yemwe,386
pambuyo,379
iye,359
chaka,354
purezidenti,346
gulu,335
wake,335
pomwe,329
pamene,324
russia,323
africa,312
waku,310
yake,303
bwino,302
zina,302
matenda,301
lomwe,300
masewera,284
njira,280
mayiko,278
nkhondo,277
padziko,273
america,266
lapansi,265
ana,264
awiri,260
onse,258
dzina,256
machinga,255
ngakhale,254
nawo,253
aku,248
states,246
gawo,245
biden,244
woyamba,239
mzinda,237
lake,237
chigawo,235
moyo,235
mbiri,234
ono,233
ukraine,233
nyimbo,225
and,219
katemera,215
ndalama,209
miliyoni,209
chiwerengero,207
tsiku,207
nyumba,204
malaŵi,203
izi,202
south,200
mawu,198
mtsogoleri,193
bungwe,192
mpira,191
pafupifupi,190
pake,189
cup,189
ufulu,185
ndiponso,185
wachiwiri,184
komwe,182
mwana,180
km,180
yoyamba,178
banda,175
mankhwala,175
halo,174
thupi,172
zinthu,171
world,170
malamulo,169
nkhani,162
maphunziro,162
masiku,161
germany,161
katemerayu,161
league,160
chomwe,159
opezeka,159
awo,158
inali,157
zonse,157
asanu,157
atatu,156
adakhala,155
zake,154
ili,154
madera,153
kummwela,150
imfa,150
mitundu,149
wamkulu,148
chisankho,147
mpikisano,146
udindo,146
amayi,146
magulu,145
pansi,144
britain,143
makamaka,143
kubadwa,141
amakhala,140
imodzi,140
zida,140
kale,139
pulezidenti,138
zizindikiro,138
mbali,136
mphamvu,135
chake,135
kupita,134
kuphatikiza,134
kwake,132
china,131
us,131
anira,130
republic,129
komabe,129
kumene,129
as,127
wina,126
national,126
kumpoto,125
mtsinje,125
lina,124
new,124
de,124
nyengo,123
wosewera,123
okutobala,121
wobadwa,121
chipani,119
chimodzi,118
university,118
ziwiri,118
akuluakulu,117
yaku,117
wahl,117
khumi,115
wawo,115
mavuto,114
france,114
rhodesia,113
limodzi,113
tizilombo,113
for,112
banja,112
mtundu,112
iwo,111
nduna,111
february,111
ndege,111
uefa,111
momwe,110
womwe,110
fifa,110
pafupi,109
minister,108
ina,106
malinga,106
kenako,106
meyi,104
maiko,104
kuchuluka,104
kumapeto,102
mkazi,102
amatha,102
zochitika,102
kusintha,100
mawa,99
dera,99
chachikulu,99
osewera,99
bitcoin,99
june,98
mgwirizano,98
akuti,98
anayamba,98
canada,98
wandale,98
zimbabwe,97
lalikulu,97
angapo,97
amadziwika,96
ulamuliro,95
zisanu,95
pofika,95
kuposa,95
in,95
ndiye,94
aliwonse,94
city,94
ndale,93
north,93
adasankhidwa,93
mutu,93
kuchita,93
wolemba,93
membala,92
modzi,91
party,90
adachita,90
wakale,90
asia,90
mndandanda,90
kuphatikizapo,89
kum,88
kunja,88
amoyo,88
may,87
chikhalidwe,87
asilikali,87
madzi,87
patsogolo,87
mayi,86
epulo,86
europe,86
msonkhano,84
likulu,84
mmodzi,84
ulaya,83
kudzera,83
pali,83
union,83
nyanja,82
anayi,82
koyamba,82
adapambana,82
timu,82
kupanga,81
zotsatira,81
mutharika,81
international,81
cholinga,81
england,81
tsopano,80
anabadwa,80
panthawi,80
mkati,80
julayi,80
cortana,80
mwezi,79
prime,79
chitetezo,79
zitatu,79
somalia,79
african,78
zimene,78
aliyense,78
marichi,78
mimba,78
dzikoli,77
pang,77
japan,77
adayamba,77
malonda,76
john,76
buku,76
mfundo,76
malire,75
sabata,75
ogasiti,75
london,74
chuma,74
yamalamulo,74
ka,73
chilichonse,73
mtengo,73
seputembara,73
linali,72
miyezi,72
mtima,72
kukula,71
kugwiritsa,71
ta,71
yachiwiri,71
yayikulu,69
malifalensi,69
chief,69
yesu,68
ochepa,68
amuna,68
zisankho,68
democratic,67
maganizo,67
maonekedwe,67
wakhala,67
loyamba,67
adalandira,67
toyambitsa,67
pangano,67
liverpool,67
chigumula,67
crimea,67
pano,66
mavoti,66
chinali,66
charles,66
asitikali,66
mfumu,65
august,65
kwawo,65
hepataitisi,65
disembala,64
palibe,64
sukulu,64
european,64
motsutsana,64
eu,64
nyasaland,63
anakhala,63
osiyanasiyana,63
mawonekedwe,63
vuto,63
zingapo,63
januware,63
imene,62
lili,62
nkhawa,62
wojambula,62
atsogoleri,61
italy,61
st,61
school,61
yaikulu,60
lamulo,60
yonse,60
kupambana,60
kufika,60
pamasewera,60
paul,60
oyamba,59
kwakukulu,59
yotchedwa,59
william,59
bambo,59
spain,59
zinayi,59
lankhondo,59
mphotho,59
adalemba,59
chinenero,58
chilankhulo,58
ochokera,58
mulungu,58
maudindo,58
chidwi,58
kugwira,58
zazikulu,58
york,58
malingaliro,58
masewerawa,58
kingdom,57
mfumukazi,57
