word,count
de,1247312
la,656341
lo,344132
en,327545
es,213553
un,184303
per,171542
una,168407
que,162797
comuna,154534
del,135153
dins,130472
las,120222
son,92519
los,88409
se,82966
amb,76932
tanben,70300
qu,68007
al,61074
dels,57184
mai,56064
lei,54652
dau,52314
nòtas,50995
region,49526
le,46365
istòria,46330
coma,44300
pas,43668
foguèt,42130
departament,41876
au,41591
extèrnes,39773
ligams,39141
geografia,39004
administracion,38742
demografia,37878
èra,37718
monuments,37542
comunas,37334
personalitats,36911
et,36354
sus,36320
nom,35700
situada,35334
ligadas,32978
entre,31912
francés,31352
luòcs,31226
dei,29640
sa,28397
du,27641
referéncias,27585
francesa,26538
véser,24284
sègle,24113
les,23064
vesinas,22146
des,21106
fòrça,20836
est,20407
an,20166
deu,20163
nòrd,18649
leis,18625
sud,18505
aquela,17940
mas,17632
vila,16650
après,16590
cap,16577
sant,16480
èsser,16199
veire,16127
ei,15593
ans,15569
estat,15452
guèrra,14745
segon,14552
pasmens,14306
pus,14260
qui,14214
saint,14115
km,14058
the,13940
aquel,13890
canton,13746
província,13404
une,13151
ua,13075
fin,13003
frança,12892
país,12870
pòt,12610
pel,12565
sur,12487
dos,12417
fins,12238
aquò,11871
deis,11410
partida,11354
abitants,11266
par,11226
latin,11206
lenga,10900
çò,10867
dempuèi,10820
comunautat,10761
ont,10720
populacion,10608
sens,10416
ancianament,10271
pendent,10034
of,9918
dans,9796
occitan,9769
als,9695
primièr,9694
foguèron,9652
pauc,9512
sent,9334
estats,9204
ne,9037
fa,9034
èst,8922
bibliografia,8883
li,8859
pels,8822
commune,8798
part,8743
tres,8716
partir,8659
grand,8606
donc,8596
oèst,8572
pirenèus,8552
durant,8546
toponimia,8464
territòri,8438
origina,8424
plan,8418
siá,8408
vilatge,8374
era,8270
dens,8227
nauta,8223
grop,8202
eth,8109
sovent,8044
aquitània,8010
centre,7964
lor,7958
sul,7923
municipalitat,7922
doas,7875
èran,7824
temps,7817
glèisa,7807
municipi,7681
naissença,7674
non,7672
autres,7645
village,7638
aviá,7618
espanhòla,7587
ancianas,7585
autonòma,7584
quand,7580
exemple,7576
abans,7534
aups,7466
familha,7310
causa,7246
ara,7204
dab,7144
tot,7129
periòde,7117
alara,7095
empèri,7026
mòrt,7012
tolosa,6928
anciana,6926
president,6917
aiga,6764
luòc,6763
òme,6741
lengas,6717
occitània,6702
situat,6671
léger,6608
ancian,6604
aquesta,6527
el,6501
aqueste,6431
encara,6404
ii,6386
puèi,6353
venguèt,6342
granda,6316
ven,6298
segonda,6239
poder,6236
vida,6224
jean,6223
aqueu,6202
occitana,6202
forma,6191
ròse,6169
sei,6112
sistèma,6094
in,6035
politica,5957
important,5862
rei,5853
sieu,5816
articles,5814
deus,5753
vèrs,5697
mens,5682
govèrn,5671
liames,5592
nombre,5589
començament,5588
autre,5544
il,5509
importanta,5479
màger,5465
normandia,5446
and,5434
far,5416
ai,5368
sos,5351
armada,5340
domeni,5244
jos,5212
biais,5200
lista,5196
epòca,5183
còntra,5146
annadas,5072
on,5067
liams,5060
parís,5054
sufixe,5045
auvèrnhe,5041
tèrra,5025
cas,5017
contra,4990
republica,4954
site,4939
primièra,4932
euròpa,4892
pòdon,4887
american,4883
mond,4872
prèmi,4861
intèrnes,4844
còp,4832
òbra,4816
garona,4805
linha,4783
mar,4769
ansin,4740
pòble,4735
vejatz,4716
fòrmas,4709
capitala,4708
pour,4694
subretot,4679
ambé,4672
païses,4664
cada,4663
aver,4645
còsta,4642
junh,4641
lengadòc,4611
roman,4611
sas,4575
comtat,4568
març,4562
illa,4561
regions,4559
prononciacion,4492
joan,4489
aguèt,4475
drech,4464
provença,4446
units,4423
anglés,4388
quatre,4353
permet,4331
fr,4323
deth,4272
america,4247
liadas,4239
musica,4217
totes,4214
val,4203
autras,4195
partit,4160
ciutat,4140
dera,4136
decembre,4134
edat,4129
novèla,4120
mondiala,4101
escrivan,4093
lòcs,4068
plaça,4046
aqueles,4022
iii,4016
aquelei,4014
près,4013
car,3994
com,3994
genièr,3994
novembre,3993
pierre,3945
fach,3919
espanha,3879
batalha,3872
