word,count
on,13879
da,9185
karjalan,3094
oli,2504
sinä,2486
se,2189
kudai,2117
ken,1687
vuvvennu,1657
km,1501
ven,1496
järven,1450
vuon,1423
ollah,1316
tazavallan,1311
rahvahan,1167
piirin,1153
piän,1105
rodih,1066
vuvven,1057
mugah,1040
libo,994
häi,992
ei,961
lugumiäry,945
sen,943
kuoli,929
pinduala,924
sijoitannuhes,897
midä,880
piiri,848
rodihes,840
kylä,811
päivy,792
järvi,725
suomen,702
an,683
meren,674
pos,669
kuuluu,661
metrii,659
vuonnu,653
laskeh,630
kyläkunnan,588
hengie,583
pindu,568
alovehel,565
korgiembi,560
pindua,556
tämän,496
sidä,489
nimi,482
kielen,478
hänen,474
ku,470
kieli,469
ga,464
piiris,445
kyläs,445
ala,444
tazavallas,431
sai,426
piälinnu,412
sit,412
päivän,410
kul,404
läs,403
nevvostoliiton,402
olku,402
kuului,400
sežo,399
rannal,392
kyläkundah,391
päiviä,387
alaine,384
muan,379
vie,379
pruazniekat,370
grigorianskoin,366
sijaiččou,361
loppussah,359
enne,358
linnu,354
aigua,353
järvespäi,352
suojärven,345
kargavusvuon,341
konzu,339
al,332
kirjuttai,330
järves,329
vuvves,327
jälles,319
vuozinnu,319
jogi,314
eläy,307
kalenduaruan,305
suurin,305
vezibasseinan,304
karhumäin,300
anuksen,298
sego,297
sendäh,296
yksi,295
net,295
lähtöy,293
kui,292
aigah,291
gu,283
voibi,283
lindu,282
virduau,273
läbi,272
sie,272
kaksi,271
oldih,266
eli,265
ylen,264
vuottu,264
kus,263
muailman,259
järveh,259
lähtehet,255
äijy,254
ole,254
petroskoi,254
suuri,247
runoilii,246
ruadoi,245
histourii,244
enzimäine,242
karjalas,240
pohjazes,240
enämbi,240
olla,237
jo,236
kielet,234
voi,233
händy,231
lähäl,230
sulakuudu,229
valdivo,228
kogo,226
voinan,224
täs,224
suomes,220
algajen,219
kielel,218
priäžän,218
ilmah,217
nygöi,216
kyläkunnas,216
kevätkuudu,214
pietäh,211
käytetäh,211
karjalaine,209
tuli,209
niškoi,207
piduhus,206
histourien,205
tazavaldu,205
puudogan,205
kai,204
kondupohjan,204
tuhukuudu,201
tulou,200
pohjas,199
ligakuudu,198
pakkaskuudu,198
eri,197
sih,195
linnan,195
kirikkö,187
kerdua,186
suvi,186
the,185
tämä,185
helsinki,184
sijoittuu,183
oman,183
nimen,181
jevroupan,181
rubei,180
talvikuudu,178
belomorskan,178
oraskuudu,177
suomelaine,177
suomekse,176
heinykuudu,175
kuduat,175
säveldäi,172
lähtiet,171
vuozisuan,169
suves,169
kazvau,169
toine,169
oma,168
segežan,167
yhtes,166
joga,166
sijoiččou,166
sil,163
vezi,162
kylmykuudu,161
muijal,160
linnas,160
de,158
kilometrin,158
allus,158
petroskoin,158
piäs,157
amierikkalaine,156
päivännouzus,156
oniegan,156
ja,155
perustettih,155
niilöin,155
elokuudu,153
rajoittuu,153
syvyskuudu,152
frantsien,152
kudamas,152
piäzi,152
olkas,152
vaiku,152
hyvin,151
kirjutti,151
nikolai,149
kezäkuudu,147
rahvas,147
oja,147
pidäy,145
karjalakse,144
vai,143
palkindon,142
niilöis,142
suomelas,140
suomi,140
näh,139
mua,137
kieldy,137
nimel,137
ezimerkikse,136
ruadau,136
sortavalan,135
keskus,134
joven,134
oza,133
karjal,132
päivänlaskus,132
germuanien,131
joukos,131
ruvettih,130
kolme,130
niidy,130
kuduan,129
olluh,129
enimyölleh,129
dai,127
kudaman,127
kanzallizen,126
pieni,126
enzimäzen,126
suolatoivezine,125
loimolan,125
kymrinmuan,125
suari,124
voijah,124
luvul,123
cm,123
tavan,123
virralline,122
äijän,122
kel,122
hyö,121
kalmu,121
sana,121
lahdenpohjan,121
heimoh,120
vuvvel,119
linnat,118
mustomerki,117
karjalazet,117
suuren,116
joukkoh,116
of,115
luajitah,115
täh,115
karjalankieline,114
luajittu,114
piäzöy,114
afon,114
perustettu,112
vuodessah,112
kerran,112
suarel,112
roinnuhes,111
puaksuh,110
piettih,109
opastui,109
tuhattu,109
xix,109
kilometrii,109
lopus,109
valdivon,108
toiči,108
rannikon,108
kylän,108
anglien,107
keski,106
joukon,106
uuzi,106
ahvendu,106
suannuh,105
ainos,105
paiči,105
kudamat,105
aloveh,104
isbn,104
haugii,103
loppi,102
pereheh,102
hyvä,102
miljonua,101
luvun,101
pol,100
tutkii,100
yhtelläh,100
anglielaine,99
tädä,99
muantiedo,99
sanotah,99
jälgeh,99
pitkänrannan,99
aleksandr,98
karjala,98
kuduas,98
mendelejevan,98
suaren,98
pajattai,97
kalevalan,97
haldivolline,97
luajittih,97
saldattoin,95
luadi,94
tapettuloin,94
alguaineh,94
särgii,94
eletäh,94
iče,93
kauti,93
ližäkse,93
muga,93
kuulutah,92
pidi,92
päivännouzu,92
vuozisual,92
periodika,92
karjalazien,91
vladimir,91
nobel,91
tuuran,91
nevvostotazavallan,91
tuuru,90
muzei,90
kirjailii,89
kuduadu,89
ozuttelii,89
muailmas,89
myöte,89
vetty,89
prezidentu,88
eläjiä,88
myö,88
vieljärven,88
kymrinmuas,88
vienan,87
kunnivokse,87
kieleh,87
porajärven,87
ii,86
ruoččilaine,86
kanzalline,86
joukko,86
aihies,86
livvin,86
vahnu,86
hänel,86
oniegujärven,86
literatuuran,85
ua,85
kiiškoidu,85
toizen,85
kohtu,84
luadogan,84
časounu,84
lugu,83
kuulužu,82
ulgonägö,82
uvven,81
ivan,81
pandih,81
silloi,81
ruado,81
species,81
kiändi,80
suaret,80
nähtävykset,80
kieles,80
kyläh,80
ynys,80
nimetöi,80
louhen,79
valgei,79
enzimäzet,79
pandu,79
paistah,79
kaikis,79
rakendettih,79
ruadai,78
itualielaine,78
tänäpäi,78
kudamis,78
taidehmualuaju,77
kudamien,77
teemas,77
väri,77
lähti,77
paino,77
opastumah,77
vepsän,76
rodivui,76
kemin,76
matikkua,76
wsoy,76
liiton,76
fizikku,75
suomelazen,75
kanzallizes,75
uvvessah,75
kielien,74
ruočin,74
alovehen,74
http,74
keksii,73
tundiettu,73
hos,73
periä,73
eloskerdu,73
runot,73
niilöi,73
puoles,73
meijän,73
vaigu,72
keskes,72
omua,72
avul,72
runoloi,72
suau,72
samannimizen,72
aijan,71
lapsien,71
no,71
myös,71
lehten,71
tiedoloin,71
kirjutettu,71
ristikanzat,71
arvostettu,71
pitky,71
jovet,70
metallu,70
yliopiston,69
afriekas,69
ihan,69
rahvastu,69
ylä,69
piirih,69
anna,68
yhtehine,68
petroskois,68
pyydiä,68
piälikkö,67
menöy,67
ristikanzan,67
syvväh,67
erähät,67
käytettih,67
migu,67
nevvostolaine,66
karjalazen,66
luontoportti,66
suardu,66
omas,66
and,66
nägö,66
nenga,66
aineh,65
allun,65
nevvoston,65
karl,64
koillizes,64
vuozien,64
suadih,64
kuulužat,64
vuvvet,63
vuoh,63
luodehes,63
liidehes,63
vastah,63
päivänny,63
johtai,62
jiäkur,62
nostettu,62
muah,62
kaikkie,62
olemas,62
kohtas,62
ristikanzua,62
školan,62
valdumeren,62
ymbäri,62
otettih,62
sentii,62
kalenderin,61
lehti,61
mondu,61
ilmoih,61
yhtyi,61
kirju,61
keviäl,61
kezäl,61
lahten,61
lahnua,61
taidoilii,60
teatran,60
iii,60
merkiččöy,60
mustomerkit,60
terväh,60
jevroupas,60
mihail,59
kiändäi,59
hiimiekku,59
myöhembi,59
eläjät,59
aigu,59
kaikkiedah,59
päivänlasku,59
muudu,59
toizis,59
nelli,59
järilleh,59
kazvetah,59
new,58
kino,58
tuatto,58
kučutah,58
ni,58
toizien,58
rinnal,58
nimine,58
karjalah,58
mualois,58
kiännetty,58
päivännouzurannal,58
