word,count
kan,8721
fi,8006
ta,6443
akka,4674
hin,4372
keessatti,3087
yoo,2984
yeroo,2588
ee,2529
tokko,2521
isaa,2297
kana,2091
keessa,2077
waan,2008
gara,1908
itti,1836
irratti,1814
irraa,1802
bara,1797
ykn,1777
ture,1697
danda,1684
keessaa,1675
kun,1666
oromoo,1587
dha,1569
aa,1550
of,1300
qabu,1229
afaan,1172
bakka,1139
jiru,1115
ni,1096
uu,1092
an,1072
nama,1071
isa,1046
baay,1036
garuu,1012
isaanii,1011
adda,971
irra,947
booda,942
qaba,937
wal,928
kunis,876
koo,865
naannoo,849
mana,848
hanga,816
inni,812
na,811
malee,808
bu,774
aanaa,748
tti,740
guddaa,739
biyya,736
walitti,728
karaa,706
immoo,673
jedhamu,651
jira,651
osoo,640
the,629
ka,611
sana,605
isaan,603
haa,602
ol,592
maqaa,588
ammoo,578
lafa,573
akkasumas,567
itoophiyaa,561
waa,545
hunda,543
magaalaa,541
addaa,530
wajjin,516
ishee,515
baayyee,509
guyyaa,505
waliin,499
seenaa,497
jedhu,495
qaama,494
abbaa,491
amma,483
bishaan,483
argamu,481
keenya,481
lafaa,475
ji,462
sirna,460
erga,458
kutaa,452
uun,449
ummata,446
addunyaa,445
waggaa,445
haala,445
biraa,443
kanaa,440
qofa,438
jechuun,437
natti,432
gosa,424
nu,423
afrikaa,422
qaban,417
sadarkaa,412
warra,407
hojii,405
lama,403
oromiyaa,397
namni,394
jedhama,392
and,390
si,386
mul,386
seelii,381
wabii,376
kanaan,374
akkuma,370
je,370
deebi,369
dura,368
een,366
jalqabaa,355
argama,354
ani,348
du,347
in,347
humna,347
turan,343
jiran,338
mootummaa,331
kanneen,331
yaa,325
ga,324
namoota,323
ba,322
kiitii,321
hundaa,320
tokkoo,319
jecha,310
godina,308
ittiin,305
kanaaf,303
anii,302
jedhee,296
kee,296
gadi,295
hedduu,293
namaa,288
iddoo,287
miti,285
maal,284
naa,283
fakkeenyaaf,280
sa,278
ii,278
ti,276
piiter,274
ffaa,272
gadaa,271
sababa,269
aadaa,269
waraana,269
oo,268
mataa,267
kessatti,265
isaanis,262
saayinsii,256
jedhamuun,255
taane,254
biroo,254
jalqaba,254
immo,252
yookiin,251
duuba,250
to,248
oromo,245
harka,244
gidduu,240
laga,239
jireenya,239
yaada,237
namoonni,236
yeroon,235
tokkoon,232
sun,231
kibba,230
lamaan,230
sochii,230
too,230
sanyii,229
gaafa,229
bal,228
akkan,227
maqaan,226
lakkoofsa,224
qabsoo,224
sitti,223
kuni,222
lubbiyyoo,220
guutuu,220
garee,219
isaas,219
bahaa,218
ameerikaa,217
ofii,216
oromoon,216
garaa,215
obbo,214
ija,213
eef,212
meeshaa,212
bifa,209
fuula,208
jechuu,208
dhugaa,208
waraanaa,206
alaa,205
kessa,204
odoo,204
xiqqaa,203
qabne,201
warri,198
wantoota,198
durii,197
jalqabe,197
barnoota,194
jalatti,194
walii,193
aan,192
qorannoo,192
kibbaa,192
argaman,191
jedhamee,191
jiraatu,191
hundi,191
har,190
addaan,187
urjii,187
nan,187
ina,185
seera,184
ho,183
ifa,183
uuf,182
kitaaba,181
bira,181
yuurooppi,180
jirtu,180
dhangala,180
km,179
caalaa,179
jedhe,178
jaarraa,176
haaraa,175
ama,175
anniisaa,175
sagalee,174
taa,172
innis,171
dhihaa,171
guddaan,171
dhufe,171
nyaata,171
qilleensa,170
san,170
amala,170
meeshaalee,170
jala,169
dheeraa,169
naan,168
biyyoota,167
biratti,167
jalaa,165
haga,164
godhe,162
shawaa,162
hafe,161
jiruu,161
gama,159
marsaa,159
moo,159
haadha,158
jechuudha,157
arsii,157
meetira,157
kkf,157
kiyya,157
hawaa,157
kanatti,156
maatii,155
lubbu,154
gaarii,154
bilisummaa,154
hoo,153
duraa,152
qubee,151
aduu,151
fayyadamuun,151
sadii,150
socho,150
amantii,150
gidduutti,149
gad,149
uumama,148
biyyaa,147
abbaan,147
adeemsa,147
mootummaan,146
finfinnee,146
kaabaa,146
lammaffaa,145
uummata,145
ammas,145
kaaba,144
kaasee,144
as,144
siin,144
qabdu,143
ummanni,142
ammaa,142
mallattoo,142
xin,142
com,141
illee,141
dubbii,140
faandaan,140
tokkotti,139
sammuu,139
nuti,139
dhiibbaa,138
jedha,138
kanin,138
ijoollee,137
galaanaa,137
dandeenye,137
bishaanii,136
garba,136
