word,count
ଏହି,41436
ସେ,36581
ଏକ,35281
ଏବଂ,33190
କରିଥିଲେ,31504
ଏହା,23189
ପାଇଁ,19493
ଆଧାର,18522
ମଧ୍ୟ,16571
ଭାବରେ,14584
ମସିହାରେ,14394
ପରେ,13418
ଓଡ଼ିଶା,12620
ଜଣେ,12618
ହୁଏ,12441
ଓଡ଼ିଆ,12256
ଭାରତୀୟ,12026
ବା,11748
କରି,11512
ତାଙ୍କ,11035
ଜନ୍ମ,11012
ବିଧାନ,10940
ଥିଲେ,10785
ଏହାର,10280
ବର୍ଷ,9817
ଅଟେ,9461
ରୋଗ,8859
କରିବା,8807
ଅଧିକ,8628
ଲୋକ,8466
ତାଙ୍କର,8329
ହୋଇଥିଲା,7975
ନାମ,7864
କାର୍ଯ୍ୟ,7795
ସମୟରେ,7747
ମଧ୍ୟରେ,7744
ଥିଲା,7645
ଥିବା,7581
କରାଯାଏ,7455
ମୃତ୍ୟୁ,7374
ଅଭିନୟ,7220
ଜାନୁଆରୀ,7063
ଜୁଲାଇ,6940
ଅକ୍ଟୋବର,6938
ମାର୍ଚ୍ଚ,6915
ଡିସେମ୍ବର,6911
ସେପ୍ଟେମ୍ବର,6818
ପୁରସ୍କାର,6772
ଜୁନ,6676
ସହ,6671
ରହିଛି,6602
ଆରମ୍ଭ,6602
ପ୍ରଥମ,6508
ଅପ୍ରେଲ,6495
ହୋଇଥିଲେ,6421
ଯାହା,6401
ଅନୁସାରେ,6251
ଅନେକ,6229
କଥାଚିତ୍ର,6199
ତିଆରି,6107
ଉପରେ,6085
ମନ୍ଦିର,6079
ହୋଇ,6041
ସହିତ,5775
ଜାତୀୟ,5699
ଭାବେ,5601
ଜୀବନ,5520
ସାଧାରଣ,5401
ବାହାର,5394
ବୋଲି,5383
ଔଷଧ,5371
ଅନ୍ୟ,5354
ଚିକିତ୍ସା,5306
ତାଙ୍କୁ,5305
ସଭା,5255
କିଛି,5172
ପ୍ରାୟ,5151
ବିଭିନ୍ନ,4972
କିନ୍ତୁ,4844
ନିମନ୍ତେ,4686
ହୋଇପାରେ,4677
ହୋଇଥିବା,4640
ରେ,4635
ହୋଇଥାଏ,4634
ବ୍ୟବହାର,4616
ଦେଇଥିଲେ,4548
କଥାଚିତ୍ରଟିର,4535
ଗୋଟିଏ,4519
