word,count
гт,13911
фиппаин,9934
йы,9912
ст,9693
азы,8485
хъ,8134
сты,7760
ирыстоны,5893
сахар,5803
ад,5298
районы,4593
сахарт,4531
гат,4479
тт,4458
ис,4366
ирон,4260
иу,3977
хуссар,3660
уый,3658
обл,3604
сг,3417
ны,3321
дз,3003
административон,2906
уыцы,2890
рд,2821
уы,2770
хс,2748
центр,2716
чи,2639
дзы,2538
сейы,2523
кодта,2473
цаут,2364
литератур,2314
та,2296
амардысты,2291
райгуырдысты,2274
уыд,2245
мыггаг,2213
уыдон,2190
дон,2186
уг,2170
джы,2135
нд,2128
уым,2045
уыдис,1985
тыхх,1976
ма,1943
ах,1926
ном,1901
йраг,1860
бир,1774
райгуырдис,1769
фыццаг,1758
аз,1704
цы,1646
зай,1636
рт,1620
куы,1617
рм,1559
ацы,1540
фырт,1539
ар,1537
уджыхъ,1489
нр,1480
стыр,1464
хай,1462
ймаджы,1447
кодтой,1438
нт,1386
гуырдзыстоны,1381
фылд,1367
вз,1347
взаг,1331
ты,1306
бон,1306
алфавитм,1305
рынц,1301
ры,1264
мин,1256
гты,1231
пп,1180
дыуу,1170
ск,1162
гойт,1148
куыд,1131
хт,1119
афт,1112
советон,1108
нын,1044
ныгуыл,1027
нг,1025
республик,1021
ног,1021
дт,992
хохы,992
сси,960
ут,949
уыди,937
зындгонд,936
ир,928
уыдысты,920
ным,918
нынц,917
истори,890
хх,887
тты,886
мы,884
цардысты,872
сахары,845
зт,843
хи,838
ллаг,834
паддзахадон,833
азты,819
равз,804
стырд,785
комы,780
турчы,770
топоними,759
кк,758
ам,756
фс,753
мон,753
мыгг,749
ддаг,748
фыд,747
аст,741
уырыссаг,741
рджыт,739
гъ,739
къ,735
нусы,735
ноджы,733
лд,725
район,723
дты,718
дисы,718
се,708
фысс,695
км,691
сар,688
ком,687
муниципалитеты,686
хиц,684
амардис,677
йаг,670
цалд,670
куыста,666
рц,665
онг,656
йын,651
номыл,645
разд,642
дд,639
райдыдта,629
ахуыр,625
рон,622
бындур,619
ахуырг,615
инн,608
европ,604
гуырдзиаг,602
украин,598
хуыз,596
фсым,596
гг,586
рцыд,584
паддзахад,578
алагиры,578
уб,573
скуыйы,572
дзауы,571
взаджы,567
цхинвалы,564
бын,560
францы,558
анастасия,558
провинци,553
провинцийы,553
цагъаты,552
мтт,551
гаты,550
бонт,546
рмагонд,540
аиш,539
йе,536
рагон,536
дунейы,535
поэт,534
кавказы,533
рцыдис,524
лы,519
ргъы,519
доны,515
каст,514
тынг,513
хох,509
мб,507
сакъад,505
иртас,503
дагъистаны,503
дыккаг,501
вг,499
сын,499
денджызы,498
рджыты,496
лт,493
рз,491
крайы,490
йнаг,487
цард,475
ргъ,473
уу,466
сф,466
ци,464
историон,460
хорз,457
мт,457
бынат,449
чысыл,449
ирыстон,443
хатт,443
гойты,442
рвит,441
зон,441
хуссары,439
ныны,435
ййы,434
ртт,431
культур,426
паддзах,419
зд,416
цур,416
ууы,416
цъупп,416
хты,415
райста,414
америк,413
ин,412
декабры,411
цц,411
куыст,410
официалон,409
уккаг,409
къорд,408
мид,407
аланийы,407
ныхм,405
иум,405
ираны,405
цъуппыт,403
ын,401
пайда,401
взагыл,401
президент,399
йыл,398
над,397
мдз,397
майы,394
гъг,393
социалон,393
нымад,393
сыв,393
ды,391
таур,387
январы,386
апрелы,385
архай,384
не,378
фыст,373
хонынц,373
нарты,372
паддзахады,369
цардафыст,368
чызг,368
алы,360
нджыт,360
университеты,360
чиныг,359
мартъийы,357
индийы,356
лгоймаджы,355
болгарийы,350
хъхъ,349
сс,347
гой,344
хауы,344
польш,343
цъ,343
зуат,342
сомихы,342
уыдоны,341
ргъл,338
зылды,336
стон,335
нырыккон,334
дзурынц,334
политикон,332
италийы,331
рбынат,330
зонад,327
хъахъхъ,327
зар,326
нысан,326
райгуырд,326
сомихаг,325
зынг,325
де,322
институты,322
нывг,321
цыд,320
ндаг,319
февралы,319
штат,317
стаг,316
мад,316
рты,315
ввахс,315
уынц,312
сыгъд,310
зонадон,310
дыгурон,309
рг,309
ум,308
аргентин,307
октябры,306
цис,305
ленингоры,304
милуан,303
скъолайы,301
уацмыст,299
лл,299
ххон,298
азербайджаны,298
нырт,298
лдай,297
ул,297
июлы,296
иугонд,296
фы,296
азм,295
гб,294
китайы,293
ноябры,292
рцы,292
систем,292
автономон,291
на,291
рин,291
нал,290
агъомм,290
хуызд,289
гм,289
нты,289
ус,288
бинонт,288
мыггаджы,288
сентябры,286
уав,286
сгуыхт,286
дих,285
кус,284
сау,284
царды,284
рдта,284
былг,283
разм,282
штаты,282
провинцит,282
скъола,280
германы,280
хист,279
сакъадах,278
зты,277
африк,276
испанийы,276
никарагу,276
рсагдон,276
том,275
хуым,275
балхъары,274
денджыз,273
фысджыт,272
рцыдысты,270
литературон,270
бар,269
сейаг,269
газет,269
ныффыста,268
зта,267
фц,267
рдз,266
августы,265
зм,265
июны,264
община,264
лм,263
бак,259
хатты,259
поэтт,259
ймаг,258
цыппар,257
александр,254
ома,253
алыхуызон,251
ныр,251
цыдис,251
гор,251
лон,250
дардд,250
фырты,250
рды,249
команд,248
дзары,248
тырсыгомы,248
ндт,247
францаг,247
дыгуронау,246
англисы,245
номхыгъд,244
уанеты,244
сырх,243
империйы,243
дзырд,242
былыл,242
тбилисы,242
конд,241
лв,239
райдыдтой,237
пысылмон,237
ныхас,236
ххыт,236
уын,235
роны,235
фт,235
автор,234
дам,234
наук,234
захары,233
рдар,231
метры,230
сайт,229
уа,229
надон,228
ран,228
йх,227
рацыд,226
англисаг,225
уыим,225
хуызы,224
ттон,223
федерацийы,223
ххуыс,223
немыцаг,223
цад,223
рдтой,222
цыдысты,222
швецийы,222
нц,221
дзиццойты,221
дыгуры,220
цхуырбаты,220
дыл,219
политикт,219
фыста,218
владимир,218
районт,218
зтой,217
лвырд,217
фыдыб,216
бынаты,215
андты,215
тох,214
дин,214
бетъырбухы,214
рст,213
бразилийы,213
колумбийы,212
гъдау,211
баст,211
ныл,211
сан,211
фсад,210
бинонты,209
регионы,208
муниципалитет,208
фидар,207
ххы,207
бац,207
вариант,207
тг,207
кусын,206
скодта,206
рын,205
нынм,205
хъуам,204
кув,204
терчы,203
ддон,203
владикавказ,202
хет,202
нхъ,202
политик,202
лар,199
сконды,199
турк,199
географи,198
гъд,198
раз,198
гът,198
рат,198
куырттаты,197
ахсджиаг,197
хг,196
алфавит,196
порт,196
радтой,195
чырыстон,195
мард,195
хицау,194
фсады,194
ссис,194
мексик,193
знауыры,193
мах,192
бацыдис,192
академийы,192
регион,192
утт,192
иун,191
ныры,191
ндон,190
фарс,190
зынд,190
мв,190
аф,190
быс,190
ирайнаг,189
журнал,187
мыхуыры,187
нв,186
им,186
министр,185
азийы,184
футболон,183
араббаг,183
хы,183
централон,183
экономик,182
архайдта,182
йедд,181
рцардысты,181
гд,181
ппу,180
фурды,180
ргът,180
ууон,179
кадджын,179
канад,179
дунеон,178
дины,178
историйы,177
дис,177
рх,177
мбырд,177
сыг,177
зн,176
ла,176
зылд,176
зы,175
азон,175
кад,174
национ,174
бацыд,173
чемпион,173
венесуэл,173
нджыты,172
кусы,172
чилийы,171
радта,170
рзонд,170
авд,170
райдай,169
егъау,169
урс,169
ссы,169
композитор,168
дзар,167
музыкалон,167
британийы,167
суанг,167
лладжыры,167
роман,166
архайд,166
ртыккаг,166
университет,166
ленинграды,166
йтт,166
служб,166
стъараполы,166
хуыдтой,165
институт,165
рагъ,165
педагогон,165
рци,165
департамент,165
баиу,164
стд,164
стыт,164
джыт,164
боны,164
йрагд,163
орджоникидзе,162
гтыл,162
ронд,162
амард,162
мты,161
сергей,161
финляндийы,161
уырдыг,161
мифологи,161
дта,160
артист,160
дур,159
иронау,158
хуызт,158
ййынц,158
хицауад,158
гуры,158
осетии,158
йм,157
редактор,157
къорды,157
хайы,157
лмац,156
дуджы,155
японы,155
баззад,155
фондз,155
форм,155
байгом,154
хицауады,154
мыхуыр,154
воевод,154
цардис,153
норвегийы,153
млн,153
лбар,152
ыл,152
профессор,152
черкесы,152
театры,151
къадд,151
чингуыт,151
нады,151
аргъуан,150
гуыр,150
чиныджы,150
нм,150
партийы,150
ууыл,150
территори,150
йн,149
хд,149
километры,149
майр,148
куыстыт,148
уынафф,148
музык,148
тых,147
тохы,147
гбон,147
персайнаг,147
куысты,146
райгуыр,146
экономикон,146
франц,146
футболист,146
рстой,146
цыбыр,145
нгт,145
закъон,145
алыгъдысты,145
рыгон,145
ахсы,144
гас,144
рзондд,144
аргъ,144
зым,144
революцийы,144
вулкант,144
химион,143
вар,143
нус,143
клуб,143
сабыр,142
гыл,142
ахуыргонд,142
дм,142
ба,141
америкаг,141
вв,141
къухы,140
из,140
рацыдис,140
абхазы,140
йады,139
аргъуаны,139
хайад,139
дуг,139
гъм,138
националон,138
аивадон,138
кадджыты,138
гуырдзыстон,137
бындурон,137
ахуырад,137
куб,137
хицауиу,136
къостайы,136
фыды,136
рвад,136
че,135
преми,135
туркаг,134
ных,134
загъта,134
уи,134
латинаг,133
галиу,133
сомих,133
кадджыт,133
северной,133
уты,132
уд,132
сср,132
по,132
бах,132
сконд,132
спорты,132
ндаджы,132
рибар,131
орден,131
гкаты,130
гаглойты,130
раст,130
хуыцау,130
футболистт,130
тъ,130
парахат,129
скодтой,129
ацыдис,129
лас,129
ац,129
хъуыдд,128
бал,128
гыццыл,128
лмацг,128
алан,128
мбис,127
дбар,127
зын,127
азт,127
фк,127
рыдоны,126
хайады,126
стиу,126
лды,126
штатт,126
нью,126
дамгъ,126
президенты,126
вд,126
руаджы,126
грекъаг,126
къаспы,126
рцард,126
испайнаг,125
хаб,125
бындурыл,125
компани,125
хуынд,125
венгрийы,125
тренер,125
территорийыл,125
уыл,124
михаил,124
рдыг,124
краснодары,124
рдт,123
хуыйны,123
ххыл,123
аив,123
