word,count
ਵਿੱਚ,452941
ਦੇ,442036
ਹੈ,401425
ਅਤੇ,347171
ਦੀ,304230
ਦਾ,227362
ਨੂੰ,226154
ਸੀ,175059
ਇੱਕ,174825
ਤੋਂ,153178
ਨੇ,132225
ਹਨ,124442
ਤੇ,120987
ਲਈ,113766
ਨਾਲ,112456
ਇਸ,94690
ਕੀਤਾ,84042
ਇਹ,82980
ਵੀ,80011
ਉਹ,76111
ਉਸ,73800
ਗਿਆ,73638
ਕਿ,65430
ਕੀਤੀ,61195
ਜੋ,56637
ਦੀਆਂ,49024
ਜਾਂਦਾ,48368
ਕਰਨ,46319
ਵਿਚ,44231
ਭਾਰਤੀ,43938
ਉਸਨੇ,42850
ਹਵਾਲੇ,42730
ਕੇ,38654
ਜਨਮ,37906
ਆਪਣੇ,37653
ਜਿਸ,37598
ਬਾਅਦ,37357
ਜਾਂ,37199
ਦੁਆਰਾ,37101
ਭਾਰਤ,36349
ਸਨ,36156
ਗਈ,35312
ਸਿੰਘ,35023
ਹੀ,34533
ਨਹੀਂ,33319
ਹੋ,32959
ਤੌਰ,32413
ਹੋਇਆ,32283
ਲੋਕ,32265
ਵਜੋਂ,31332
ਕਰ,29772
ਦਿੱਤਾ,27366
ਸਾਲ,26942
ਪਿੰਡ,26818
ਆਪਣੀ,25632
ਕੰਮ,25597
ਸਭ,25160
ਤੱਕ,24904
ਪੰਜਾਬੀ,24411
ਹੋਰ,23511
ਬਹੁਤ,22734
ਪਰ,21593
ਹੁੰਦਾ,21217
ਪੰਜਾਬ,20801
ਰੂਪ,20656
ਉਨ੍ਹਾਂ,20571
ਸਮੇਂ,19706
ਕਈ,18924
ਵਾਲੇ,18792
ਉੱਤੇ,18683
ਗਏ,18670
ਰਾਜ,18488
ਜਦੋਂ,18162
ਦੋ,18101
ਤਾਂ,17961
ਜੀਵਨ,17483
ਸ਼ੁਰੂ,17180
ਸ਼ਾਮਲ,17105
ਵੱਖ,16758
ਕਰਦਾ,16661
ਹੋਣ,16625
ਹੋਈ,16565
ਕਿਹਾ,16214
ਕਿਸੇ,16193
ਹੋਏ,16172
ਜਾਂਦੀ,16002
ਜਾ,15674
ਕੁਝ,15666
ਪਹਿਲਾਂ,15599
ਉਹਨਾਂ,15517
ਮੁੱਖ,15314
ਨਾਮ,15055
ਯੂਨੀਵਰਸਿਟੀ,15005
ਫਿਲਮ,14778
ਕਰਦੇ,14571
ਪ੍ਰਾਪਤ,14518
ਵਿੱਚੋਂ,14444
ਲਿਆ,14125
ਮੌਤ,14075
ਸਾਹਿਤ,14018
ਸਾਰੇ,13789
ਜੀ,13731
ਉਸਨੂੰ,13219
ਦੌਰਾਨ,13069
ਭਾਸ਼ਾ,13033
ਜ਼ਿਲ੍ਹੇ,13022
ਆਮ,12885
ਪਹਿਲੀ,12872
ਖੇਤਰ,12869
ਰਿਹਾ,12831
ਬਾਰੇ,12663
ਹੁੰਦੀ,12604
ਜਿਵੇਂ,12589
ਕੀਤੇ,12535
ਸਦੀ,12509
ਵਾਰ,12471
ਸਕਦਾ,12331
ਉਸਦੇ,12311
ਸਕੂਲ,12304
ਇਕ,12184
ਕਾਰਨ,12154
ਉਸਦੀ,12081
ਫ਼ਿਲਮ,12070
ਵੀਂ,11971
ਸ਼ਹਿਰ,11897
ਦਿੱਤੀ,11834
ਕੋਈ,11625
ਲੋਕਾਂ,11390
ਵਾਲੀ,11329
ਵੱਧ,11278
ਲੇਖਕ,11231
ਹੁੰਦੇ,11148
ਅਨੁਸਾਰ,10944
ਵਿਆਹ,10943
ਤਰ੍ਹਾਂ,10934
ਕਰਕੇ,10768
ਗੁਰੂ,10627
ਇਤਿਹਾਸ,10388
ਜਾਣ,10374
ਔਰਤਾਂ,10340
ਘਰ,10287
ਨਾ,10230
ਵਾਲਾ,9948
ਜਾਂਦੇ,9861
ਬਾਹਰੀ,9825
ਰਹੀ,9778
ਵਿਖੇ,9747
ਕਰਨਾ,9742
ਕਾਲਜ,9736
