word,count
saray,8470
ed,7658
na,6929
say,6667
to,5889
et,5869
tan,4773
ya,4522
code,3371
filipinas,2121
walay,2111
barangay,1970
totoo,1814
reperensiya,1811
luyag,1800
com,1773
gawing,1772
philippine,1771
sukat,1757
labas,1756
baley,1756
system,1753
census,1748
unong,1745
kabaleg,1742
km,1740
standard,1739
geographic,1738
performance,1738
populasyon,1735
sq,1735
local,1735
management,1733
demograpiko,1732
governance,1732
philatlas,1730
abong,1725
zip,1631
so,1169
nen,808
sakey,750
agew,745
diad,726
si,597
the,588
day,483
of,473
siyudad,388
bilang,370
pangasinan,330
inianak,327
san,309
and,272
center,254
no,236
special,229
foundation,228
align,227
del,224
anniversary,224
birthday,223
text,222
style,221
in,219
niduman,219
letnegan,219
sa,216
da,213
awards,192
dalin,188
rowspan,188
sur,179
met,169
la,168
salitan,156
sikatoy,151
de,149
cher,142
ng,134
taon,132
norte,131
ang,128
may,126
sikato,120
best,120
odino,118
dios,118
ag,116
top,112
iray,111
ni,109
you,109
rehiyon,108
balet,104
anggad,104
anak,103
amin,101
january,101
june,100
march,98
december,96
october,95
july,94
female,94
august,93
ton,92
pilipino,91
november,90
ari,88
mga,88
pian,87
april,87
kapital,87
film,87
ray,86
september,86
february,85
sayan,84
english,84
city,84
lapud,83
kodigo,83
telefono,83
manlapud,82
with,82
batangas,82
quezon,81
too,80
mo,80
dakel,79
listaan,79
zamboanga,79
for,77
ta,75
at,75
ama,75
dayat,75
love,75
kabesera,75
samar,75
ko,73
manila,72
dia,72
oriental,72
cebu,72
nagmaliw,71
kabaliksan,70
ilocos,70
award,70
mundo,69
on,69
singa,66
toy,64
panaon,64
leyte,64
ran,63
presidente,63
ay,62
yo,61
satan,61
lanao,61
natan,60
arapan,60
world,59
juan,59
laman,59
agawa,59
cavite,59
ka,58
pilipinas,58
singles,58
bansa,57
broadcasting,57
abalaten,57
inatey,57
carolyn,57
united,56
network,56
ngaran,56
nueva,56
abra,56
parte,55
man,55
radio,55
music,55
my,55
philippines,54
europe,54
kayari,53
arum,53
website,53
occidental,53
artikulo,52
iran,52
is,52
international,52
distrito,52
bohol,52
pampanga,51
ra,50
nipakar,50
nipaakar,50
jesus,50
biology,50
di,50
as,50
album,50
bataan,50
present,50
para,49
me,49
legan,49
insan,49
camarines,49
critics,49
nin,48
dan,48
year,48
garcia,48
pangulo,48
iloilo,48
davao,48
wala,47
american,47
banda,47
by,46
new,46
katawan,46
ofisial,46
artists,46
parad,45
bilay,45
sikara,45
official,45
walad,45
negros,45
kabkabat,44
tagalog,43
union,43
an,43
mayor,43
nakaukulan,42
labat,42
baleg,42
lay,42
university,42
artist,42
estados,42
unidos,42
all,41
balon,40
kaiba,40
inc,40
pop,40
mi,40
nan,40
panamegley,40
en,40
actress,40
siglo,39
metro,39
santa,39
song,39
surigao,39
asia,38
mas,38
amerika,38
bansan,38
politika,38
el,38
taga,38
web,38
artista,38
tv,38
laguna,38
misamis,38
panag,37
klase,37
republika,37
kimey,37
totoon,37
ira,37
ken,37
ecija,37
isabela,37
yan,36
kabat,36
school,36
kastila,36
walaan,36
siak,36
danum,36
video,36
maguindanao,36
salita,35
nayarin,35
abril,35
lugar,35
ak,35
uta,35
kanyan,35
hot,35
baybay,35
gobernador,35
news,35
tatawagen,34
koma,34
jose,34
atlantic,34
opisyal,34
tayo,33
tod,33
tarlac,33
bulan,33
aliwan,33
david,33
northern,33
politiko,33
anengneng,33
cagayan,33
hapon,32
from,32
it,32
nianak,32
kategorya,32
lan,31
popular,31
media,31
gma,31
or,31
ii,31
th,31
anggapoy,31
enero,31
articles,31
isla,30
brazil,30
uruguay,30
manunan,30
naanap,30
labay,30
national,30
saman,30
pegley,30
aquino,30
kinen,30
mindoro,30
albums,30
sonny,30
north,29
internet,29
maslak,29
zambales,29
sea,29
her,29
http,29
lokasiyon,29
www,29
marcos,29
lalakin,29
pelikula,29
wa,29
films,29
am,28
itan,28
santo,28
ginawa,28
ocean,28
kasumpal,28
festival,28
kingdom,28
pa,28
solomon,28
agusan,28
nanduruman,27
arom,27
duaran,27
south,27
uusaren,27
spanish,27
lingayen,27
singer,27
that,27
references,27
press,27
dance,27
eastern,27
mayo,27
mizuki,27
super,27
cotabato,27
believe,27
hcards,27
venezuela,26
ontan,26
rider,26
europa,26
filipino,26
history,26
jr,26
grupo,26
one,26
