word,count
ning,30054
ing,29008
king,27318
of,17489
the,16629
yang,15195
at,9763
ya,9350
metung,8472
in,8467
and,7606
deng,7198
kareng,6983
keng,5945
balen,5747
atin,5490
ampong,5311
suglung,5004
ding,4837
da,4826
reng,4821
la,4813
na,4303
palwal,3659
lalawigan,3619
lakanbalen,3480
barangay,3397
pang,3153
nang,3084
filipinas,3036
to,2839
de,2699
on,2654
kayang,2534
com,2426
dalerayan,2305
populasyun,2292
agpang,2282
ne,2236
philippine,2173
nung,2150
system,2133
for,2116
from,2057
commune,2044
website,2004
local,1984
management,1953
standard,1851
katau,1850
lang,1822
code,1804
sensus,1791
panibatan,1791
by,1783
geographic,1770
performance,1766
san,1759
governance,1749
city,1743
pamimalemale,1734
philatlas,1731
demograpiku,1721
official,1665
university,1654
ampo,1639
ng,1545
klasing,1533
iti,1527
american,1507
india,1435
aldo,1427
inyang,1390
with,1382
palual,1376
people,1348
new,1338
para,1334
maki,1275
rin,1218
cities,1201
isbn,1189
france,1182
nu,1175
dake,1175
atiu,1162
neng,1160
banua,1153
history,1151
mu,1147
anyang,1128
distritu,1106
labuad,1100
states,1091
no,1091
bilang,1067
county,1052
lawen,1029
dakal,1020
kayabe,1004
manibat,990
was,986
united,983
college,956
as,931
state,929
ring,911
california,889
dang,885
national,884
school,881
english,872
murin,869
en,868
estadu,865
ibat,854
mauling,853
aslagan,843
tau,840
del,818
aliwang,816
keraklan,809
department,806
tala,799
kapampangan,794
district,783
anggang,778
kebaitan,770
is,769
french,762
kanitang,755
world,752
tungku,752
albugan,738
pradesh,736
this,732
list,718
mauli,712
espanya,707
an,704
aniang,702
pangulu,699
prefecture,697
information,690
karing,681
sur,676
government,674
site,672
ketang,653
philippines,651
antimong,649
uling,638
pa,630
panaun,627
bangsa,626
kematyan,611
naman,610
mumunang,610
mibait,607
day,603
network,601
science,594
south,591
pamuntuk,590
kaibat,583
meging,582
mas,579
first,577
york,576
towns,564
pangulung,563
lugal,561
th,557
asia,554
level,545
km,541
mga,538
département,535
bbc,533
lon,529
yatu,527
deti,527
that,524
http,521
republic,515
kapamilatan,511
news,511
iya,511
press,511
america,510
st,509
pulu,506
pun,504
mengapalyari,501
communes,496
species,495
www,491
north,489
television,485
tanaman,483
calvados,483
aldong,478
about,477
karelang,469
center,465
games,465
ngan,458
ilug,455
season,449
game,449
international,448
andhra,446
ka,443
ba,442
john,439
man,438
it,437
pampanga,436
or,432
santa,431
aliwa,428
tv,427
dapot,422
tsina,420
atyu,419
americanung,419
ausan,418
his,418
muring,417
kang,415
ain,415
uli,410
today,406
departamentu,404
lalam,401
anti,400
east,400
départamentu,400
china,399
maragul,397
diling,397
pekamaragul,397
poblacion,396
artista,395
norte,395
gregorian,395
amanung,394
all,394
union,392
writers,392
kaya,391
ku,391
amanu,390
kapagmasusian,388
iyapin,388
association,387
time,386
calendariu,384
ngeni,382
institute,380
makatagan,377
pin,376
technology,376
year,375
republika,375
ila,374
education,374
rhin,374
computer,373
council,372
alumni,371
its,371
aveyron,368
league,367
also,367
general,363
ciudad,363
one,363
web,362
high,360
itang,358
pob,358
indian,357
niti,356
map,356
channel,355
manila,351
ating,347
guide,346
kabang,345
jose,344
kaybat,343
series,343
online,342
british,340
sa,338
aduang,334
music,334
library,333
atlung,332
german,332
balang,331
apat,329
malyari,328
abril,328
anak,325
ra,323
central,322
bayu,321
karinan,321
census,321
west,321
juan,320
alang,319
animal,319
births,319
gagamitan,318
francisco,318
society,318
award,318
arts,317
area,316
talasulat,315
were,315
century,314
mung,313
populasiun,313
tourism,311
namang,309
zamboanga,308
page,307
life,307
bas,307
other,306
video,305
may,304
maldang,304
universidad,304
keti,301
lagyu,300
reti,300
lebanon,300
kadaneng,297
ingles,296
menila,296
engineering,296
mika,295
public,293
cebu,292
quezon,292
japan,292
see,292
team,292
kayanib,289
james,289
sepu,288
ala,287
obra,287
ii,287
spanish,284
autonomous,283
adwang,282
cell,282
tungkul,281
saint,281
gma,281
korea,280
inc,278
their,278
flora,277
di,276
community,276
pakatuknang,276
angeles,275
do,275
chinese,274
stations,272
bayung,271
gabun,270
angga,270
magagamit,270
matas,269
bachelor,269
london,268
bang,267
eneru,266
ini,266
notes,265
vietnam,264
africa,264
aslagang,262
war,262
railway,262
sports,261
alimbawa,261
mabilug,261
uri,259
megi,259
biography,259
are,258
up,256
org,255
two,254
which,254
deaths,254
los,253
be,252
after,252
mayu,251
development,251
business,251
he,250
marsu,249
mitatag,249
agostu,249
pangulungalbugan,249
davao,248
april,248
pulung,247
who,247
mayayakit,246
islands,246
al,245
amlat,244
malating,244
academy,243
language,242
museum,242
kilub,241
manimunang,241
kilwal,240
malapit,240
dalan,239
tanggapan,239
ilapin,239
maria,239
film,238
media,238
major,238
me,236
region,236
el,236
bay,235
not,234
kaniti,233
grand,233
digital,232
antimo,231
roman,231
cbs,231
mapilan,230
gobernador,230
dili,229
divisions,229
mandal,229
house,228
australia,228
pebreru,227
plants,227
campus,227
septiembri,225
province,225
corporation,224
don,223
europa,223
baseball,222
living,222
juniu,221
mayayaus,221
countries,221
books,221
geografia,220
article,220
paul,220
you,220
kareti,219
former,219
kingdom,219
nayun,219
filipino,218
disiembri,218
mandals,218
rang,217
project,217
samar,216
watas,216
mumuna,216
katawan,216
oblast,216
would,216
ita,215
ang,215
had,214
pilatan,213
malat,213
kasusug,213
established,212
washington,212
division,212
capital,211
manga,211
home,211
kung,211
us,210
amánung,209
pipagaralan,209
maulingalbugan,209
oriental,209
paralan,208
president,208
june,208
administration,208
august,208
nobiembri,208
foundation,207
star,207
pampang,207
european,207
football,207
dayat,205
audio,205
air,204
municipal,204
during,204
banwa,203
daya,203
malyaring,202
