word,count
di,53372
ta,21361
na,15071
un,14154
den,10066
ku,9875
pa,9832
su,5888
tabata,5433
cu,3482
riba,3305
mas,3165
aña,3153
aruba,2864
nan,2808
dia,2753
tin,2694
kòrsou,2615
el,2548
tambe,2307
komo,2166
no,2119
hulandes,2046
despues,1832
aki,1580
por,1554
hende,1469
promé,1458
otro,1424
dos,1352
parti,1323
of,1309
de,1280
tur,1276
for,1271
mi,1244
wòrdu,1230
entre,1172
te,1158
grandi,1150
keda,1133
ora,1123
mei,1111
pais,1095
manera,1053
mira,1035
lo,1025
como,1008
bo,996
hulanda,993
isla,957
esaki,952
hopi,952
bira,895
aprel,888
yanüari,883
mart,879
prome,879
yüli,876
sint,870
desèmber,863
siudat,827
yüni,824
novèmber,819
ougùstùs,816
sèptèmber,807
febrüari,796
bai,790
idioma,771
òktober,758
òf,753
yu,752
desde,749
reino,747
forma,733
minister,725
nase,725
kapital,720
boneiru,712
durante,709
poblashon,703
mes,690
antias,684
polítiko,682
anto,674
partido,668
dor,666
bisa,664
la,663
pero,651
traha,644
nos,640
van,637
tabatin,629
sosodé,622
historia,617
siglo,614
the,599
region,599
en,596
duna,595
asina,593
tera,589
tres,584
fayesé,582
islanan,577
uni,575
estado,565
wordo,564
merka,562
hasi,560
bou,559
kalènder,552
habitante,550
maarten,547
gregoriano,545
ser,536
arubano,530
ei,529
presidente,521
tuma,520
bida,496
nòmber,493
nobo,487
provinsia,483
fecha,473
soria,471
konosí,469
parlamento,465
tempu,463
miembro,462
lista,458
unda,451
mester,444
banda,442
diferente,440
haña,438
persona,435
mundu,428
wordu,420
varios,419
munisipio,418
lugá,414
tata,414
algun,413
schrikkeljaar,408
spaño,406
selebrá,404
nort,403
mundial,402
guera,400
konmemorá,396
si,391
italia,388
grupo,387
situá,387
pueblo,387
biaha,385
awa,384
palabra,382
estadonan,382
ofisial,381
bin,375
resta,369
kilometer,368
nashonal,368
ingles,367
siudadnan,367
universidat,367
merikano,364
biba,359
huntu,357
hòmber,355
sigui,354
arte,352
yama,351
segun,349
dios,343
laman,342
link,342
yega,340
kaminda,340
pasobra,335
bon,325
papiamentu,323
sur,323
internashonal,318
nomber,318
insular,317
west,315
sali,315
san,313
kuminsa,313
ela,312
croes,312
kual,310
dje,310
gran,309
karibe,308
esun,308
añanan,308
in,307
haya,305
kantante,305
hunga,300
buki,296
muhé,296
pasa,293
sin,291
tawata,291
mayoria,289
menos,288
serka,286
eksterno,286
loke,286
skirbi,285
papiamento,282
willemstad,282
venezuela,280
usa,279
lanta,279
futbòl,279
kurasoleño,278
terminá,277
kuadrá,276
weganan,276
pone,271
gobièrnu,270
area,268
km,267
importante,267
awor,266
kas,266
ruman,265
famia,264
kuminsá,262
solamente,262
elekshon,261
kontra,257
bario,255
oropa,255
general,254
trabou,253
man,252
funda,252
área,250
mesun,250
antiano,249
premio,248
boso,246
gobernador,243
eustatius,242
teritorio,242
gabinete,242
kada,240
politiko,240
mucha,239
alemania,238
conoci,234
franses,234
luga,233
músika,231
antia,230
kuater,230
uza,228
medio,228
lider,228
periodo,227
papia,227
saba,226
sistema,224
kompania,222
morto,221
laga,219
