word,count
ch,17234
pi,13629
in,12169
est,11588
de,8660
et,8030
chés,7209
dins,6636
un,6335
ed,6134
du,6100
éd,5584
des,5228
la,5120
il,4515
ech,4184
el,3899
notes,3582
référinches,3314
saint,3129
del,2806
pas,2792
au,2673
qu,2611
eune,2506
conmeune,2411
le,2407
dech,2378
ches,2326
région,2290
intarnètes,2282
loïens,2278
sonme,2190
frinsé,2111
caleus,2081
picard,2016
les,1995
pour,1880
site,1813
picarte,1802
aveuc,1782
ène,1775
église,1710
franche,1700
jean,1576
lius,1570
aménistrachon,1565
nord,1486
picardie,1486
deul,1446
conmune,1410
monumints,1406
qui,1359
en,1340
gins,1308
pèr,1298
paris,1135
unne,1123
al,1121
par,1098
is,1093
départémint,1077
din,1068
né,1039
plachée,1014
nombe,1009
su,980
située,956
pierre,928
mémoére,914
conmunes,888
démografie,849
fr,835
conme,831
départmint,824
édseur,818
pis,800
pus,794
sont,793
dseur,793
sin,772
institut,771
national,769
heuts,765
sur,749
sièke,733
vir,712
géographique,697
ale,695
louis,675
té,674
marie,639
chl,634
foait,623
nom,618
http,594
the,592
www,588
ou,582
langue,575
paches,566
ont,564
histoère,562
tè,549
pou,547
musée,543
anmien,538
dit,535
por,522
ses,511
echl,509
deus,507
franchoés,506
france,506
ville,503
lo,500
françois,489
isbn,489
grand,488
jacques,473
morts,473
calés,471
une,470
èl,456
obin,449
mais,440
loyens,435
mérrie,433
ne,433
étôt,433
famille,432
charles,428
histoire,427
vile,420
écrivin,418
bracherie,417
catiau,411
dans,406
picarde,401
cha,399
étou,397
martin,395
tout,393
vers,391
bos,390
parsonnalitès,388
loèyèes,380
écrit,369
éditions,364
étot,363
per,363
com,362
lille,360
li,360
catieu,357
bergike,355
sainte,354
agés,352
itou,348
hamiaus,348
note,344
paul,344
école,343
org,339
si,339
défuncté,339
henri,338
roé,338
dé,330
mort,330
écarts,326
ans,325
https,325
avuc,323
hénau,323
of,321
avec,320
que,320
étoait,319
lès,315
art,314
fin,312
live,312
liméro,310
pinte,309
ju,309
aux,308
dame,308
société,308
bin,306
sud,303
abaïe,301
andré,301
vo,300
point,296
eutes,294
os,293
grande,291
leu,290
chinéma,287
ii,287
vie,286
monumint,286
robert,285
partie,283
chele,280
musike,279
mon,275
français,275
capelle,273
web,273
musique,273
arts,272
surpitchet,270
intre,268
granmint,267
éq,266
no,265
meunumint,265
on,263
étoét,262
rené,262
pindant,259
avri,257
païs,256
éstérnes,256
joseph,255
philippe,251
chole,250
fiu,249
urope,247
marche,247
troés,247
tous,246
mér,244
tour,243
apré,243
jules,242
unis,242
sous,239
malterie,239
oizos,237
deux,236
georges,235
dsous,234
dictionnaire,233
italie,232
prix,230
foaire,228
michel,227
vient,226
fort,225
octobe,225
oése,223
collection,221
quèques,221
acteu,220
dousqu,219
picards,219
rivière,219
liu,218
insee,218
lisse,218
viu,216
flaminke,215
film,215
langues,215
avant,215
flore,215
capitale,213
amiens,212
nos,212
novimbe,210
min,210
rue,208
inte,207
calais,207
ein,206
anmérikes,205
piano,205
son,205
dire,203
tournai,203
ieu,202
iii,202
dite,202
mie,201
poin,201
te,200
latin,200
inglé,200
maurice,198
tome,198
center,195
étots,195
diu,195
and,194
join,194
moais,194
prumière,193
conmeunes,193
or,192
achteure,191
contes,191
