word,count
for,12205
di,12010
wey,8532
dey,7820
of,7148
an,6359
na,6267
dem,5321
in,3021
to,3011
bi,2923
am,2907
go,2791
and,2519
im,2485
pipul,2323
the,1994
as,1975
one,1842
don,1787
shi,1781
naija,1743
get,1675
kom,1542
no,1524
tek,1426
sey,1424
bon,1381
mek,1330
wok,1307
wen,1278
du,1253
tok,1123
fim,1113
stat,1112
life,1069
wel,1061
on,1052
stet,1036
from,1004
how,1003
wit,994
skul,961
tori,952
pesin,883
fo,819
nem,803
state,778
nigeria,764
de,761
fom,707
stil,689
naijá,685
do,684
fest,680
win,676
pipu,668
abaut,656
dia,656
inside,625
bikos,620
afta,617
fit,607
dat,592
sabi,582
bifor,582
pikin,581
dis,573
song,538
university,531
akt,528
like,504
insaid,498
plenti,498
papa,477
meni,476
time,466
kol,461
smol,456
year,455
wan,451
join,445
muzik,430
tins,424
yunivasiti,421
yuz,415
lagos,414
som,412
years,409
legos,406
rait,401
with,398
mama,391
ha,382
two,380
afrika,360
rish,357
oda,351
kpai,344
school,342
kolet,339
be,338
enta,334
awod,332
at,324
all,323
best,322
big,321
leta,315
sing,308
komot,307
pley,306
africa,305
finish,301
rilis,300
pipo,300
or,299
sho,298
kon,294
pass,290
by,285
but,279
gada,278
buk,277
we,277
moni,275
difren,275
wie,274
langwej,272
giv,266
famili,263
about,259
wetin,256
may,254
old,252
october,251
rekod,250
hau,249
bodi,247
anoda,244
chenj,244
say,244
kari,241
stodi,237
november,235
july,234
june,230
april,230
new,228
oga,226
lokal,224
august,224
pat,222
kontri,222
bin,222
wuman,220
bot,219
nigerian,219
september,217
man,216
january,214
ples,214
government,213
ibadan,212
way,210
awards,210
hep,207
yoruba,206
march,205
united,205
folo,204
up,204
play,203
area,201
london,201
grup,201
album,201
three,200
him,200
put,198
rid,197
december,196
singa,193
bikom,193
february,192
west,189
she,187
law,186
so,185
pas,184
popula,184
mari,183
music,182
bak,182
wota,182
college,181
nomba,181
award,181
folklore,180
wia,179
show,179
mata,177
th,177
start,176
house,175
aria,175
tu,175
world,174
onda,172
first,172
local,170
give,168
memba,167
sef,166
some,166
national,164
town,163
see,162
nollywood,162
also,162
tradishonal,161
top,160
international,160
people,158
parti,158
kompini,157
if,157
ova,157
benin,155
south,154
party,154
million,153
hapun,152
delta,152
science,152
taim,151
klub,150
king,150
still,150
city,149
lik,149
president,149
film,148
african,147
bank,147
fight,146
he,145
