word,count
in,4324
der,3312
die,3276
en,2602
iss,2537
vun,2286
un,1742
unn,1561
hot,1235
de,1210
waar,1109
er,1043
es,1038
kaundi,927
the,905
im,852
sie,822
gebore,781
sei,745
is,738
mit,669
pennsilfaani,639
of,584
fer,580
net,573
wie,550
sinn,532
em,519
schtettel,507
schtedt,495
ass,494
schtettlin,493
amisch,487
ich,479
zu,478
uff,458
mennonite,450
aa,416
provinz,398
noch,387
so,384
odder,383
mann,381
soria,373
vum,372
and,368
deitsche,359
church,358
an,354
leit,353
deitsch,353
gschtaerewe,334
land,324
henn,312
am,306
pennsylvania,302
lengeschder,287
des,284
een,283
eiwuhner,275
mer,268
schtadt,268
gewebbgleecher,258
datt,255
gmee,253
yaahr,253
was,252
amische,250
amerikaa,249
german,240
englisch,239
wu,238
pa,226
und,224
settlement,220
ihre,218
john,215
do,214
taunschip,212
aus,210
awwer,202
fraa,201
gmeeschaft,199
warre,195
dem,193
schpaani,193
waare,191
nei,191
wann,191
sell,189
bei,187
león,184
schtaat,183
automone,183
castilla,183
kanadaa,181
on,180
stoltzfus,177
deitschland,172
als,168
baut,166
haaptschtadt,166
gwuelle,164
bekannt,164
wadde,163
mennischde,161
sich,161
voreldere,160
sin,155
bis,154
watt,153
mir,153
all,153
kinner,149
war,149
myuusick,149
naame,147
pennsylvanisch,147
twp,147
new,146
du,146
to,141
zum,139
grickt,137
mei,137
kumme,135
christian,134
um,133
iwwer,133
pennsylvaanisch,132
hen,132
settlements,131
david,131
pennsilfaanisch,128
amish,124
dann,124
palz,123
schteets,122
university,122
me,120
county,119
annere,118
ee,116
kann,113
jacob,113
von,112
zeit,112
ontario,112
nau,112
yarrick,111
schterdt,107
ihr,105
erscht,105
alt,104
for,104
den,104
wo,103
viel,102
schreiwer,102
urglaawe,102
schprooch,100
yuscht,97
doch,97
glaawe,96
martin,95
bischof,94
das,94
america,93
saut,93
meh,92
life,92
dort,92
deel,91
henry,91
afrikaa,91
zwee,90
gheiert,90
km,90
mol,87
gegrindt,87
se,87
farmwald,87
acht,86
eiropaa,86
valley,85
uf,85
lebanon,84
as,83
haus,83
gebt,83
noh,82
miller,82
hab,82
driwwe,81
gheese,80
mennischt,80
lancaster,80
sitter,80
hiwwe,79
may,79
no,78
breddicher,78
kenne,78
alles,78
uns,78
wescht,78
alle,77
family,77
dass,77
rum,76
relitschion,76
blatz,76
da,75
alte,75
buch,75
lewe,75
yoder,74
gschriwwe,74
weil,74
gedicht,74
fadder,74
geh,74
ghatt,73
newich,73
gott,73
gut,72
parre,72
lenner,72
vunn,72
widderdaafer,71
robert,71
yaahrhunnert,71
deitscherei,71
kutztown,70
geht,70
familie,69
yaahre,69
nach,69
zeiding,69
latt,68
erschde,68
schprooche,67
gegend,66
bletz,66
center,66
creek,66
across,66
deutsch,65
flughafe,65
bin,64
macht,64
joseph,63
michael,63
st,63
muss,62
some,62
country,62
road,62
gmacht,62
york,62
daniel,61
zerick,61
fellowship,61
schtories,61
ohio,60
mich,60
hans,60
gange,60
name,60
weit,60
heit,59
drei,59
district,59
nooch,59
september,59
luthy,59
ed,58
harbaugh,58
widder,58
wirschini,58
mast,57
recht,57
gewwe,56
hochdeitsch,56
vietnam,56
hadd,56
heritage,55
schwetze,54
kee,54
zwische,54
nix,54
gans,53
richard,53
neegscht,53
welt,53
barricks,53
unser,53
gezogge,52
old,52
ca,52
weg,52
kummt,52
com,52
ihn,52
gedichder,52
pfalz,51
re,51
it,51
by,51
polen,51
selli,50
barbara,50
bauerei,50
hill,50
english,50
virginia,50
paerdi,50
united,49
gschicht,49
mache,49
house,49
ganz,49
blatznaame,49
kaerich,49
high,49
ebbes,49
show,49
city,49
ist,49
mudder,49
eby,49
dutch,48
william,48
will,48
vor,48
hann,48
good,47
schee,47
immer,47
with,47
ah,47
mitglieder,47
indiana,46
society,46
manitobaa,46
eens,46
viele,46
himmel,46
soll,46
from,46
sache,46
west,45
wasser,45
man,45
england,44
frankreich,44
scheier,44
bicher,44
seller,44
anna,44
districts,44
ken,43
welle,43
neie,43
mudderschprooch,43
filadelfi,43
grick,43
alde,43
philadelphia,43
gedruckt,43
paar,42
eb,42
samuel,42
seh,42
zamme,42
dr,42
yenner,42
sitz,42
ballidischeners,42
lang,41
schweiz,41
sellem,41
gmeene,41
berks,41
heemet,41
ii,41
community,41
east,41
gediere,41
daag,41
adder,41
oktower,41
natt,41
schun,40
simpson,40
canada,40
ins,40
canadian,40
at,40
rewwer,40
conestoga,39
troyer,39
conference,39
arrig,39
ein,39
kaundis,39
rock,39
dei,39
erd,39
sehne,38
seit,38
schpeeder,38
unnerschittliche,38
naach,38
zwett,38
gladys,38
mary,38
dictionary,38
unner,38
beim,38
nacht,38
falckner,38
heem,38
literatur,38
dess,38
bc,38
rhoiland,38
charles,37
george,37
sarah,37
gleene,37
johann,37
you,37
schteht,37
elizabeth,37
oh,36
brieder,36
upper,36
james,36
owwerichkeit,36
darich,36
denne,36
waterloo,36
franzeesisch,35
history,35
weaver,35
college,35
dich,35
november,35
first,35
elder,35
blank,35
near,35
gwuhnt,34
paul,34
beam,34
school,34
miehl,34
lese,34
love,34
us,34
amischmann,34
asie,34
schantz,34
chester,33
daer,33
holland,33
dutt,33
don,33
singer,33
penn,33
general,33
schteddel,33
www,33
esse,33
daal,33
one,33
north,33
schtettli,33
hat,32
la,32
hatt,32
grosse,32
vol,32
für,32
benjamin,32
hanning,32
end,32
ab,32
daage,32
di,32
dot,32
worr,32
zook,31
gar,31
vier,31
werner,31
meent,31
grieg,31
stauffer,31
zeidinge,31
amerika,31
geld,31
waer,31
glee,31
gross,31
london,31
ball,31
heidedaags,31
werd,31
american,31
gschehe,31
anner,30
eastern,30
wuhne,30
gschwetzt,30
verleicht,30
dialect,30
bauer,30
abbadich,30
haas,30
language,30
gsellschaft,30
washington,30
aagfange,30
hawwe,30
singe,30
munet,30
eener,30
nummer,30
baapscht,30
ei,30
wer,30
feschde,30
peachey,29
peter,29
pg,29
journal,29
buwe,29
bischt,29
gedichte,29
oder,29
wisse,29
contact,29
seim,29
schul,29
south,29
my,29
that,29
gemacht,29
worre,29
through,29
ausgschtarrewe,29
blanze,29
nafzinger,29
bye,29
bann,28
schuhl,28
juscht,28
folk,28
moi,28
englische,28
heest,28
mifflin,28
now,28
day,28
schreiwes,28
beem,28
platt,28
missouri,28
oscht,28
dhut,28
weiss,27
deitscheschteddel,27
lanne,27
alleweil,27
lied,27
earl,27
pennsylvanischer,27
schiff,27
schpiele,27
kenn,27
assembly,27
naus,27
ess,27
mammi,27
catherine,27
bavaari,27
beiler,26
publishing,26
press,26
aarde,26
herr,26
usa,26
walter,26
prof,26
nadd,26
gleecher,26
state,26
schuhle,26
president,26
gemeinde,26
auf,26
ph,26
mountain,26
groffdale,26
woch,26
present,26
world,26
mensche,26
aach,26
lechaa,26
wisconsin,26
beischpiel,26
isch,26
magdalena,26
republik,26
johr,26
schdaat,26
switzerland,25
counties,25
nolt,25
saage,25
deitscher,25
schwetzt,25
oft,25
millersville,25
green,25
kultscher,25
gewohnheide,25
misse,25
busch,25
matz,25
hoch,25
berlin,25
schloof,25
selle,25
union,25
funn,25
voreldre,25
footballe,25
heidelberg,25
hott,25
denk,25
sudd,25
isbn,25
gaar,24
unnich,24
geil,24
ne,24
scottdale,24
order,24
erschte,24
eldere,24
finne,24
schtick,24
radio,24
arbeitskreis,24
lieder,24
board,24
museum,24
holmes,24
hoi,24
ya,24
ihm,24
see,24
woischdroos,24
schulhaus,24
hod,24
ma,24
between,24
eine,24
paraguay,24
weggli,23
liedel,23
zwischich,23
association,23
pennsylvaani,23
guud,23
edward,23
montgomery,23
schtaate,23
duh,23
schaffe,23
well,23
grundsau,23
siedler,23
veggel,23
meil,23
sunn,23
reich,23
summer,23
blue,23
into,23
kitchener,23
letscht,23
gaul,23
verlosse,23
carolina,23
gfunne,23
hildebrand,23
which,23
april,23
singern,23
quang,23
ausbund,22
bissel,22
guck,22
darrich,22
august,22
lee,22
eli,22
thomas,22
stephen,22
town,22
haven,22
lower,22
minister,22
sex,22
hinkel,22
duhne,22
province,22
japan,22
ach,22
schafft,22
lehigh,22
lutterisch,22
schunn,22
tennessee,22
iii,22
sagt,22
fort,22
nicholas,22
graabhof,22
gordonville,22
references,22
ort,22
hochstetler,22
owets,22
turkie,22
heinrich,22
raber,22
farbe,22
conservative,21
schwetzer,21
settlers,21
pastorius,21
zehe,21
etliche,21
grooss,21
lusch,21
studies,21
somerset,21
league,21
braucherei,21
haaptman,21
king,21
white,21
about,21
nor,21
feld,21
seine,21
toronto,21
fatt,21
il,21
leid,21
ruh,21
theory,21
far,21
website,21
kaiserslautern,21
zweebrigge,21
noo,21
bontrager,21
dong,21
ja,21
fisher,20
gleeder,20
sidder,20
elsass,20
annals,20
france,20
art,20
buffington,20
program,20
grove,20
erie,20
franklin,20
fange,20
reading,20
schproch,20
street,20
grupp,20
wenn,20
saint,20
emol,20
igel,20
dir,20
los,20
universität,20
river,20
wees,20
texas,20
raus,20
salford,20
mensch,20
football,20
fimf,20
tel,20
pl,20
ho,20
wär,20
mennonites,19
franz,19
druppe,19
greescht,19
gheert,19
isaac,19
eck,19
co,19
voggel,19
meescht,19
simons,19
wuhnt,19
mennonischde,19
wird,19
annonymous,19
koloring,19
park,19
gebaut,19
aldi,19
waere,19
this,19
juni,19
midd,19
licht,19
eiland,19
sach,19
eem,19
or,19
org,19
be,19
weess,19
edition,19
infobaabledder,19
mio,19
komm,19
taun,19
chile,19
geschtaerewe,19
adelheid,19
wennich,18
dach,18
nemmt,18
kanton,18
plain,18
genennt,18
schier,18
schweizer,18
versammling,18
weber,18
cultural,18
schuylkill,18
geduh,18
reformed,18
weider,18
gewebb,18
besser,18
nimmie,18
froh,18
hawwich,18
kennt,18
oftmols,18
bruder,18
gibt,18
leacock,18
township,18
glei,18
san,18
schparret,18
three,18
two,18
grees,18
steinmann,18
fun,18
hie,18
deheem,18
brief,18
vom,18
hochdeitsche,18
draus,18
jo,18
familye,18
gedichde,18
buhn,18
susanna,18
sales,18
kenny,18
mb,18
binh,18
chi,18
minh,18
auch,17
gwest,17
steven,17
mundart,17
mannheim,17
dialekt,17
sett,17
rachel,17
schmid,17
brown,17
albert,17
seinre,17
bresident,17
gruppe,17
columbia,17
schticker,17
halb,17
guckt,17
jr,17
daere,17
rhein,17
hanover,17
harrsch,17
part,17
bisness,17
kumpanie,17
introduction,17
russland,17
red,17
your,17
van,17
kind,17
pälzer,17
nie,17
kansas,17
mi,17
we,17
maine,17
reformiert,17
germany,17
july,17
rogers,17
saarland,17
voll,17
gold,17
