word,count
de,15025
vun,9947
die,9711
im,8584
in,7841
zum,7337
un,7146
isch,5479
gheat,5382
is,3842
unn,3608
gemää,3515
dialekt,3481
vum,2893
bis,2690
des,2630
rechion,2549
zu,2145
worre,1962
rhin,1936
hot,1903
département,1853
als,1850
daitsch,1823
franzesische,1741
arrondissement,1731
fußnote,1726
bevelkerungsentwicklung,1723
kommunalvaband,1720
verwaltung,1627
es,1595
grand,1575
est,1574
und,1555
moselle,1519
der,1501
di,1422
noch,1373
da,1363
wu,1352
weblinks,1350
uff,1321
mit,1265
sinn,1183
em,1160
aus,1123
sin,1111
bas,1102
wie,1087
johr,1058
uf,1057
elsass,1045
ort,1011
sisch,990
hod,977
vunde,961
franzesisch,959
do,954
am,950
aa,945
en,933
an,901
ma,889
haut,881
donn,877
ortschafte,834
se,832
mid,815
elsässisch,800
so,799
awwa,799
lothringe,792
er,790
iss,767
mol,765
um,763
von,756
ìsch,748
km,740
hodd,704
wo,703
werd,699
owerrhaialemannisch,681
soi,670
hat,619
bai,607
aach,602
palz,591
inde,591
dass,586
än,580
odda,576
isbn,566
mer,564
dem,537
laid,537
unnaelsass,525
gschicht,499
sich,497
awwer,483
bei,474
kumme,473
geografie,472
fa,466
was,457
lothringisch,456
war,455
easchte,453
waa,435
schun,425
midd,416
said,411
nn,406
licht,402
iwwer,399
zur,398
schbaija,393
werre,392
zwische,383
lorrain,381
rhoi,380
patois,378
dann,371
fer,370
dud,370
gnennt,370
owwaelsass,369
mìlhüüse,368
of,356
konn,352
ned,350
on,349
the,349
draditionell,348
vor,345
nedd,341
wor,339
odder,328
schdadt,328
haid,327
om,324
joa,322
hawwe,321
belfort,320
mär,311
territoire,310
das,306
fär,301
alle,291
rhaifränkisch,291
pälzer,284
iwwa,279
hawwen,271
www,269
ach,267
http,267
net,266
viel,266
baischbiel,261
vunn,258
ab,257
bade,255
erschde,250
hän,249
den,247
wald,243
daitschlond,242
nur,232
speyer,232
gewwe,231
websaide,227
zwee,227
and,227
dääl,226
ord,224
viele,222
sie,221
dorsch,219
nuch,215
midde,210
gonz,208
wail,208
orde,207
odewald,207
no,206
henn,206
daitsche,203
franche,203
comté,203
ins,202
denne,199
noo,197
zamme,194
gschischd,193
ihr,193
kenne,192
hen,192
äm,191
alles,190
vom,188
hodds,187
deng,187
fr,186
also,184
allem,184
wann,184
norde,183
kurpalz,182
unner,181
oder,179
saint,179
lait,178
alde,178
bärmesens,178
weil,177
daß,177
lès,177
burch,175
drai,175
mim,173
große,172
isses,172
dorf,172
hoddma,172
kabd,171
frongraisch,166
worn,165
fä,164
när,164
weschde,163
verlag,163
raisch,163
zaid,160
gwesd,160
widda,159
widder,158
für,156
awa,156
moselfränkisch,156
oschde,155
ware,155
hesse,155
had,154
annere,152
ausm,151
siede,151
heit,151
all,150
soim,149
baide,149
pfalz,148
web,148
immer,146
vawais,146
uffm,145
onnare,145
stadt,144
trump,144
wärd,143
mehr,143
nach,142
baim,141
lautre,141
oiwuhner,141
soin,140
ebbes,139
pälzische,138
st,137
imma,136
dodemid,136
deel,136
zwää,135
doch,135
grad,135
gfehla,134
schdadd,133
gebiet,133
du,132
dudd,131
hodda,131
kann,130
mea,130
seit,130
unna,130
schbaimara,130
lond,129
end,129
gemeinde,129
juni,127
wonn,126
pälzisch,126
herre,126
jo,125
erschd,125
mache,125
londkrääs,125
sur,125
schdaade,124
grenz,123
bischa,123
durch,123
honn,123
wead,123
ich,123
drei,122
genennt,122
meder,122
ganz,121
ugfähr,121
hodde,121
museum,120
beim,119
gebliwwe,119
doan,119
franc,119
form,118
name,118
kärsch,117
losse,117
rhoilond,117
faschd,117
soll,116
ein,115
wuma,115
dumm,115
oam,114
fläsch,114
hods,114
ofd,114
ischn,114
comtois,114
nix,113
long,112
seid,112
frankraich,112
werren,111
leit,110
där,110
press,109
domols,108
ad,108
ner,107
mai,107
karl,107
dursch,107
traditionell,107
paar,106
dort,106
middm,106
nåme,106
habsburger,106
juli,105
oda,105
woi,105
worr,105
kummt,104
monnem,104
däm,104
geschichte,104
schbrooch,104
uns,104
effeggd,104
le,104
welle,103
gibt,103
ludwichshafe,102
duud,102
heh,102
kurpälzer,102
johrhunnerd,102
gechesatz,102
vawaltung,102
voa,101
gschichd,101
kreis,101
bourgogne,101
mittelalta,101
montbéliard,101
johrhunnat,101
sundgau,101
weschtfälische,101
friere,101
iwriche,101
ohne,100
vier,100
haus,100
dä,99
land,99
unde,99
gschriwwe,99
kää,98
hait,98
to,98
paa,97
heidelberg,97
dorch,97
machd,97
orra,97
wabbe,97
ii,96
heeßt,96
are,96
naischdadt,96
negger,96
frieher,95
ist,95
org,95
dasses,94
gebaut,94
eme,94
onde,94
muss,93
onnere,93
gonze,93
kloschder,93
misse,92
dea,92
jh,92
zeit,92
englisch,92
kummd,91
kuldur,91
lischd,91
nochm,91
soine,91
usa,91
argumentum,91
university,91
schdaad,90
sied,90
ghert,90
gibts,89
schloss,89
ärschd,89
gugschd,89
nai,88
see,88
gebied,88
pälzerwald,88
dere,88
erwähnt,88
iii,88
hans,88
schbäda,87
uffde,87
dun,86
kä,86
cdu,85
glai,85
la,84
derkem,84
kilomeder,84
geographie,84
hrsg,84
judde,84
geht,83
weld,83
friedrich,83
millione,83
groß,83
hott,83
klima,83
mensche,83
new,83
griehd,83
je,82
sei,82
pole,82
gäwwe,82
alla,82
familie,82
sai,81
woischdrooß,81
ledschde,81
doß,81
komma,81
ihre,80
spd,80
demm,80
leewe,80
quelle,80
eine,80
auf,80
guud,80
kaisa,80
keenisch,80
finne,80
kennen,79
greeschde,79
nimmi,79
schbaya,79
bolidig,79
https,79
sinse,79
offiziell,78
archive,78
lewe,77
dezu,77
hots,77
wirddeberg,77
waan,77
derre,76
gehd,76
schunn,76
määnz,76
hochalemannisch,76
maischde,75
doo,75
zwedde,75
uffem,75
awwee,75
dod,75
deswesche,75
will,74
fraa,74
gut,74
amtlich,74
erschdemol,74
auflage,74
ää,74
bloß,74
ourewald,74
agumend,74
hadd,73
johann,73
kallsruh,73
wurd,72
fronzesische,72
gfunne,72
deitsche,72
ischde,72
wus,72
unnem,72
liggt,72
ennere,71
januar,71
hessisch,71
reschd,71
carl,71
baisbiel,71
webpeidsch,71
gsachd,71
krais,71
zwar,70
liechd,70
schbrooche,70
badisch,70
drin,70
geje,70
hawen,69
laach,69
gesche,69
zweebrigge,69
band,69
mehrere,69
wassa,69
ge,69
fallacies,69
saache,68
ketsch,68
nome,68
bergschdrooß,68
wisse,68
efach,68
selwa,68
lothr,68
philosophy,68
hoch,67
buch,67
us,67
rund,67
schdädt,66
dut,66
geld,66
rheinland,66
gebaud,66
weg,66
worrn,66
änna,66
grubb,66
hessische,66
druff,65
naie,65
bau,65
wort,65
während,65
grenze,65
domit,65
her,65
bischof,65
taschenbuch,65
hohe,64
lemberch,64
ea,64
pälza,64
ob,63
mannem,63
heinz,63
owwe,63
gwest,63
noom,63
wohne,63
falsch,63
region,63
erhalde,62
london,62
ihm,62
sind,62
verschiedene,62
ischs,62
nemme,61
zude,61
ah,61
york,61
wasser,61
waida,61
grind,61
womma,61
humborch,61
orrer,61
frija,60
bzw,60
gern,60
sait,60
ia,60
rhoiewene,60
com,60
philosophie,60
siedlisch,59
ihrn,59
zwä,59
johrhunnert,59
grund,59
dänne,59
daidsch,59
ms,59
gäbds,58
hp,58
vumm,58
berlin,58
find,58
schdrooß,58
dånn,58
wesd,58
über,58
pdf,58
rischdisch,58
aad,58
art,58
sowie,58
heidlberg,58
wern,57
märz,57
korz,57
bd,57
emol,57
dord,57
waid,57
robert,57
metz,57
hann,57
mairie,57
wärdschafd,56
onnan,56
online,56
europa,56
ca,56
zurigg,56
deil,56
houmpäidsch,56
haidische,56
chr,56
griesch,56
gniff,56
may,56
doann,56
psychology,56
folgende,55
greeschd,55
meda,55
erscht,55
negga,55
erwähnd,55
fritz,55
gschischt,55
bischdum,55
science,55
center,55
midm,55
netz,55
gebts,54
ganze,54
badische,54
welt,54
auguschd,54
jedes,54
turm,54
graf,54
pfälzer,54
inna,54
republik,54
naije,54
dasse,54
domid,54
seje,54
man,54
unnde,54
begriff,54
elsaß,54
les,54
kehrd,53
sitz,53
issa,53
komm,53
hie,53
wirra,53
schdad,53
gfiehl,53
recht,53
internet,53
rhetorik,53
schnell,52
wolle,52
leid,52
vunnem,52
kriech,52
worms,52
gons,52
heesd,52
au,52
sescht,52
unnerm,51
oiwohner,51
daidsche,51
oiropa,51
beide,51
jetzische,51
muß,51
lui,51
friedhof,51
komme,51
joseph,51
daach,51
berg,51
sidz,51
wenn,50
lieschd,50
beischbiel,50
vordapälzisch,50
ärda,50
oft,50
dr,50
selwe,50
finf,50
soiner,50
feschd,50
dialegd,50
zwädde,50
ere,50
ans,50
gbaud,50
meer,49
sogar,49
peter,49
näh,49
websaid,49
duht,49
paul,49
schdeht,49
bach,49
uffs,49
gebbds,49
propaganda,49
bessa,49
kadolisch,49
neie,49
duasch,49
ladainisch,49
kinna,49
keäasch,49
dodebai,48
russlond,48
nord,48
lang,48
wohl,48
ludwig,48
iwwerm,48
gegrind,48
vol,48
pals,48
federadsionskrääs,48
wär,47
word,47
joor,47
weltkriech,47
unne,47
schaffe,47
rhein,47
heinrich,47
dän,47
style,47
gheerd,47
pabschd,47
wikipedia,47
align,47
maischdens,46
siedweschde,46
rischdung,46
wer,46
johre,46
fck,46
evangelisch,46
noh,46
edition,46
gonge,46
ghere,46
esse,46
kurpälzische,46
ha,46
romanisch,46
aldperdel,46
kraus,46
genau,45
ald,45
martin,45
ruin,45
nennt,45
gemacht,45
määnd,45
gud,45
philipp,45
guude,45
obwohl,45
vasuchd,45
zaidung,45
due,45
glaisch,45
etc,45
ende,44
rum,44
maria,44
ihrm,44
gewessd,44
ausem,44
arde,44
seiten,44
ligt,44
bayan,44
geschicht,44
dialegde,44
hewwe,44
middem,44
vahalde,44
zwischem,44
cambridge,44
oi,44
phrase,44
fronzeesisch,44
person,44
baue,43
gebiede,43
deitschland,43
gemainde,43
wies,43
november,43
dodezu,43
gäbt,43
unnä,43
ausde,43
falsche,43
zaischd,43
ghad,43
landkreis,43
keenigraisch,43
ärschde,43
id,43
ischä,43
fas,43
film,43
font,43
sogaa,42
verbandsgemää,42
michael,42
bier,42
nie,42
middlalda,42
sieht,42
schdell,42
dezember,42
fall,42
weider,42
deutsche,42
