word,count
na,531908
do,378076
się,367729
roku,173286
jest,165465
od,148550
przez,143618
po,118566
oraz,108741
nie,105629
pod,87462
to,87332
jako,78738
polski,77374
zm,74497
ur,73783
był,69390
za,68185
latach,67664
jego,67342
został,65938
że,65885
dla,63147
są,59259
wieś,57923
tym,55935
gmina,55924
przypisy,55408
we,55075
miejscowość,53685
lub,53546
też,51764
także,50636
ze,50104
osób,49814
według,49275
wieku,48566
jak,43493
polsce,43142
km,42923
ii,41883
przy,41006
który,40533
miejscowości,40417
była,39320
jednak,38128
bibliografia,37617
również,37358
co,36865
departamencie,36731
jej,36420
gminie,35704
miejscu,35564
in,35496
danych,34772
tego,34401
względem,34078
które,32678
ich,32482
lat,32276
miasta,31552
powiecie,31147
the,29842
wsi,29412
województwie,29401
nad,29240
została,29212
zewnętrzne,28902
de,28852
linki,28333
rok,28008
podczas,27883
stanie,27816
francji,27119
regionie,27115
położona,26973
było,26894
zobacz,26770
natomiast,26595
amerykański,26392
polityk,26118
gminy,26105
ma,25569
województwa,25107
miasto,24527
wśród,24443
św,24305
gminę,24112
miejsce,24104
były,23881
mieszkańców,23733
polska,23437
powierzchni,23046
część,22903
należała,22820
gdzie,22739
przed,22538
ale,22238
ten,22188
nr,22176
czasie,22141
części,21968
np,21884
wojny,21639
która,21279
tej,21255
września,21205
ludności,21118
już,20915
być,20898
piłkarz,20841
tylko,20798
ok,20717
go,20716
pierwszy,20474
znajduje,20462
później,20286
iii,20257
stycznia,20247
wynosiła,20118
może,19733
grudnia,19714
czerwca,19660
maja,19444
historia,19311
liczby,19053
około,18893
między,18541
zaludnienia,18436
of,18359
wraz,18230
których,18028
marca,17881
administracyjnie,17874
lipca,17856
następnie,17781
kwietnia,17712
xix,17610
gmin,17584
gęstość,17575
października,17514
której,17458
zamieszkiwało,17268
hrabstwie,17260
osoby,17240
urodzeni,17137
którym,17120
kościół,17108
czy,17030
polskiego,17001
im,16957
listopada,16927
sierpnia,16828
można,16582
gdy,16561
ang,16304
obecnie,16284
dwa,15977
innych,15911
on,15810
jan,15772
lutego,15233
miał,15129
świata,15065
którego,15033
warszawa,14455
xx,14391
odznaczeni,14285
bardzo,14267
nich,14199
usa,14192
nazwa,14042
terenie,14040
plasuje,14021
niemiecki,13973
okresie,13836
kościoła,13820
światowej,13814
dwóch,13689
polskiej,13655
tu,13540
pochodzenia,13533
tzw,13472
te,13388
tak,13349
woj,13168
jeden,13035
zostały,12967
inne,12941
tych,12939
bez,12889
zespół,12769
aktor,12719
pow,12696
warszawie,12549
kraju,12498
mu,12202
wielu,12193
raz,12185
często,12182
głównie,12141
skład,11958
wiele,11940
jana,11917
początku,11823
związku,11784
prawa,11729
polskich,11695
grupy,11688
prowincji,11665
wyniku,11647
pracy,11615
ziemi,11593
ludzie,11455
wówczas,11422
państwa,11385
armii,11385
śmierci,11294
jeszcze,11277
ul,11265
niż,11264
zostało,11168
życia,11167
francuski,11147
ponad,11079
pierwsze,11077
dzięki,11039
trzy,11038
wojska,10914
jednym,10823
kilka,10822
nim,10802
zespołu,10553
udział,10525
katolicki,10518
czyli,10488
aby,10416
ta,10398
sposób,10244
wszystkich,10239
parafii,10223
nowy,10144
kiedy,10097
polscy,10083
samym,10075
tys,10055
historii,10002
celu,9989
tam,9978
zaś,9951
polskie,9940
je,9912
von,9893
koniec,9868
aktorka,9860
rzeczypospolitej,9750
pomiędzy,9735
duchowny,9683
ją,9606
lata,9543
względu,9532
mają,9410
króla,9402
by,9386
rady,9336
drugiej,9331
mogą,9301
którzy,9287
wszystkie,9230
dwie,9213
nawet,9213
miała,9158
zmarli,9132
siedzibą,9091
stanisław,9065
liczba,9054
centrum,9035
iv,8980
szkoły,8904
uniwersytetu,8850
pisarz,8820
król,8813
brytyjski,8799
byli,8789
rodziny,8746
xvi,8696
jedynie,8655
otrzymał,8635
należy,8631
strony,8619
la,8614
xviii,8601
typu,8596
połowie,8562
partii,8517
saint,8515
amerykańska,8510
dnia,8448
pierwszym,8421
kultury,8406
dzieci,8402
nazwę,8361
biskup,8360
wcześniej,8337
włoski,8314
strona,8300
one,8202
lecz,8104
większość,8077
wojnie,8065
innymi,8043
kompozytor,8035
trzech,7951
orderu,7869
ona,7852
stanu,7851
muzeum,7842
józef,7835
poprzez,7812
poza,7796
czas,7793
europy,7781
mm,7758
regionu,7756
najbardziej,7733
początkowo,7714
and,7706
swoje,7676
zjednoczonych,7662
różnych,7658
powiatu,7650
wielki,7602
niej,7599
niego,7579
przypadku,7538
bardziej,7536
sejm,7531
znajdują,7522
nazwy,7511
ponownie,7503
występuje,7494
linii,7492
rp,7484
życie,7479
prawo,7475
szkoła,7457
stanowi,7453
działacz,7450
wielkiej,7443
nowa,7431
świecie,7409
orderem,7408
postaci,7406
