word,count
ëd,230120
dël,122923
na,114523
ël,103416
la,98732
comun,93009
ant,91270
con,82605
km,64699
dipartiment,64447
lenghe,56663
për,55267
an,50779
abitant,45271
dla,41725
region,35759
densità,33216
ab,31480
censiment,31431
fransèisa,31090
scond,30549
surfassa,30447
aministrativa,29837
së,26994
stend,26517
lenga,25709
un,22555
iso,21927
da,20255
arferiment,17660
le,17448
pì,16919
còdes,16907
ch,15779
ha,15216
dl,15025
parlà,14713
dj,14496
al,14291
provincia,14270
as,14037
che,13961
fé,11896
ij,11882
dij,11659
veul,11104
chi,10908
arserche,10825
ancreuse,10689
bibliogràfich,10658
dal,10197
fa,10189
part,10067
sità,9651
dle,9632
në,9569
popolassion,9330
pais,9289
classificassion,9203
peul,9167
esse,8987
era,8955
sò,8451
son,7881
http,7619
www,7619
soa,7425
org,7362
schema,7341
id,7291
asp,7283
sil,7268
documentation,7259
de,6795
aeropòrt,6507
àuta,6440
fin,6177
dova,6106
et,6051
aministrassion,5976
sit,5936
stàit,5770
sìndich,5564
classìfica,5514
stat,5485
istitussional,5332
anliure,5300
esterne,5221
san,5110
italian,5050
quadrà,4778
confin,4705
dzortut,4695
munissipi,4673
saint,4634
aira,4633
kordofanian,4557
nòm,4509
dë,4388
ëdcò,4356
nen,4300
ai,4217
dëstend,4206
fransèis,4111
alp,4094
còngo,4008
pirené,4004
sirca,3982
neuva,3952
specialment,3836
di,3766
mòrt,3751
lòira,3460
austronesian,3372
provinsa,3331
nòrd,3313
lë,3296
normandìa,3251
ma,3247
mach,3204
guinea,3196
canton,3162
peui,3129
ambient,2924
turin,2915
localisà,2907
almagna,2797
pass,2751
orientaj,2735
descrission,2709
han,2705
ossidental,2692
calais,2676
cm,2653
distret,2609
ròno,2568
vàire,2516
prima,2511
unì,2509
airport,2477
costa,2451
ëstend,2448
motobin,2445
finì,2406
stàita,2396
nìger,2382
saône,2369
ardënne,2355
kilòmetr,2341
aquitania,2328
òm,2321
bassa,2312
eure,2311
gemelà,2304
aparten,2278
agn,2270
àut,2252
nassù,2248
sud,2218
niger,2201
sen,2184
picardìa,2181
andoa,2141
prim,2120
sécol,2120
contà,2111
malayo,2109
borgògna,2105
sur,2073
antra,2065
stòria,2020
galissian,2016
marìtima,2010
the,1986
chërs,1960
dialèt,1941
loren,1937
chilòmeter,1922
sota,1920
mesdì,1919
treuva,1918
ren,1915
avìa,1895
lombardìa,1875
sènter,1861
mandà,1852
còsta,1843
mosela,1827
fransa,1820
comestibilità,1812
fomne,1802
jë,1794
franca,1794
ven,1788
paròchia,1788
bass,1776
concello,1752
coma,1749
dont,1742
alman,1740
famija,1729
apress,1714
en,1713
euvre,1705
val,1697
canadà,1695
marna,1694
pissacan,1672
aisne,1669
coste,1663
loire,1646
baden,1638
doi,1635
distribuì,1633
sensa,1624
württemberg,1613
quàder,1606
