word,count
de,3319529
do,1034705
em,1025896
da,974750
que,777931
com,517012
um,512441
no,495317
uma,493807
para,451279
na,427093
os,406344
se,397513
por,376412
como,320344
foi,319529
dos,278246
as,266012
ao,214333
mais,207332
sua,189308
são,185599
não,174979
das,167588
ou,157269
seu,156764
também,150486
pela,117583
pelo,111570
entre,109876
ser,109763
anos,91751
ele,91749
era,89311
mas,84213
the,78493
cidade,77955
nos,75060
até,72038
foram,71129
brasil,70763
seus,67660
grande,67609
rio,65390
sobre,64610
quando,64349
nas,59628
onde,59131
estado,58692
tem,57532
após,57283
durante,56678
bgcolor,56381
ano,56198
sendo,55976
id,55044
parte,53615
depois,52635
primeiro,52338
outros,52110
mesmo,51994
suas,51340
região,51320
maior,50108
primeira,49973
ainda,49377
história,49122
aos,49098
nome,48728
dois,48182
km,48159
já,47703
pode,45822
of,45575
área,44172
sul,44036
paulo,43276
município,42812
janeiro,42439
segundo,42435
estados,42383
muito,41652
apenas,41399
nova,40242
forma,40216
está,39982
ligações,39061
além,38949
dia,38931
norte,38836
vez,38345
externas,38287
três,38065
população,37422
mundo,37339
ela,36840
este,36514
nacional,36416
então,35931
século,35758
assim,35586
desde,35427
ter,35227
guerra,35112
tempo,34930
contra,34543
todos,34083
sem,33933
grupo,33928
unidos,33701
outras,33650
portugal,33497
duas,33242
vida,33085
alguns,33015
família,32758
país,32186
esta,31881
pelos,31464
final,31393
ver,31217
às,30970
brasileiro,30958
qual,30670
sido,30411
habitantes,30229
governo,30145
tinha,29944
série,29679
província,29240
filme,28953
bem,28811
cerca,28803
melhor,28652
cada,28597
sistema,28576
linear,28463
eles,27948
socorro,27870
pessoas,27737
enquanto,27724
antes,27468
partir,27450
tendo,27423
novo,27294
banda,27225
eram,27206
teve,26893
presidente,26764
há,26750
época,26320
possui,25814
clube,25812
la,25775
casa,25568
período,25531
podem,25368
centro,25174
isso,25091
através,25073
música,25065
início,25037
joão,25032
igreja,24853
álbum,24852
principal,24441
futebol,24408
vezes,24317
segunda,24138
josé,24106
lista,24081
estava,23924
número,23829
devido,23781
rei,23721
vários,23558
santa,23213
and,22929
algumas,22678
universidade,22373
jogos,22112
embora,22111
sob,21981
década,21958
filmes,21917
muitos,21855
lugar,21723
tornou,21711
havia,21581
espanha,21572
exemplo,21539
filho,21505
outro,21481
in,21397
dezembro,21330
quatro,21319
julho,21148
trabalho,21062
setembro,21043
maria,20965
campeonato,20844
produção,20815
ordem,20795
abril,20731
municípios,20651
maio,20638
meio,20631
fafafa,20497
jogo,20461
todo,20396
estão,20385
morte,20357
dias,20332
grandes,20323
acordo,20232
outubro,20203
março,20196
espécies,20158
fez,20104
passou,20096
água,20020
terra,19937
várias,19794
fim,19791
junho,19734
conhecido,19663
mundial,19645
novembro,19607
agosto,19586
mil,19579
essa,19553
brasileira,19456
desenvolvimento,19389
ex,19376
seja,19294
geral,19255
local,19146
principais,19123
apesar,18951
distrito,18924
esse,18866
porém,18857
entanto,18723
lei,18695
todas,18682
só,18675
países,18664
vila,18497
hoje,18447
reino,18432
muitas,18404
ii,18342
política,18257
lado,18085
porto,17908
mar,17884
membros,17862
título,17820
menos,17788
copa,17760
oficial,17691
poder,17634
capital,17539
livro,17508
pois,17500
milhões,17458
frança,17418
escola,17343
programa,17208
média,17087
uso,17058
internacional,16999
carlos,16923
faz,16869
maioria,16835
caso,16756
militar,16630
começou,16496
cidades,16455
numa,16434
tarde,16388
carreira,16325
lhe,16263
processo,16229
longo,16226
obra,16149
lisboa,16115
base,16083
qualquer,15982
portuguesa,15860
chamado,15819
origem,15807
quais,15800
público,15787
obras,15782
direito,15764
equipe,15706
fevereiro,15697
pouco,15671
volta,15655
ilha,15650
outra,15602
versão,15562
fazer,15559
campo,15488
real,15470
incluindo,15426
sucesso,15387
sempre,15367
pai,15357
tipo,15344
partido,15319
pelas,15307
português,15252
relação,15243
américa,15229
num,15198
cinco,15176
primeiros,15161
idade,15160
televisão,15152
cultura,15014
localidades,15014
principalmente,15004
república,14982
seria,14951
mesma,14942
temporada,14939
língua,14899
pedro,14665
atualmente,14664
quase,14663
seguinte,14623
recebeu,14575
diferentes,14538
construção,14498
toda,14463
social,14305
importante,14292
dentro,14284
americano,14272
densidade,14258
comuna,14256
têm,14234
europa,14226
disso,14023
império,14004
sede,13998
projeto,13954
empresa,13938
movimento,13911
federal,13893
naturais,13807
geralmente,13750
rede,13727
freguesia,13634
alemanha,13618
total,13597
corpo,13588
ponto,13558
linha,13542
união,13491
central,13414
papel,13412
santo,13312
ficou,13270
político,13253
exército,13212
desta,13147
francisco,13133
fora,13107
atual,13105
departamento,13078
tanto,13060
lançado,12979
dados,12976
conta,12964
conhecida,12962
francesa,12884
maiores,12854
comunas,12838
arte,12794
quem,12711
john,12701
populacional,12694
costa,12641
ouro,12635
oeste,12608
vitória,12604
edição,12579
homem,12544
deus,12424
quanto,12419
inglês,12399
demografia,12382
próprio,12346
território,12345
municipal,12336
logo,12328
força,12325
deve,12207
antiga,12093
junto,12085
divisão,12079
metros,12055
criação,12045
superior,12037
tv,11987
diversas,11885
cinema,11874
ngc,11869
diversos,11862
último,11862
tal,11851
sociedade,11839
chamada,11830
conjunto,11809
pontos,11795
comum,11789
grupos,11747
alto,11743
comunidade,11737
estende,11637
áreas,11602
educação,11581
teatro,11563
ator,11466
economia,11433
francês,11430
new,11411
mãe,11388
revista,11387
popular,11382
prêmio,11377
posição,11355
formação,11349
deste,11297
considerado,11177
administrativa,11158
termo,11156
original,11080
neste,11073
forte,11054
set,11045
antigo,11043
dez,11017
time,11007
nossa,11006
espécie,10986
deu,10972
santos,10952
porque,10939
general,10913
energia,10897
atriz,10891
fase,10890
personagem,10846
lo,10785
existem,10778
único,10738
estilo,10735
nível,10694
condado,10692
espaço,10677
rock,10639
chegou,10618
saúde,10610
fato,10606
estes,10604
forças,10587
teoria,10550
minas,10542
plantas,10513
possível,10491
posteriormente,10476
homens,10463
senhora,10454
localizada,10452
eu,10451
estudos,10446
itália,10395
meses,10374
seis,10372
mulheres,10357
usado,10276
liga,10268
direção,10251
somente,10218
hab,10200
estadual,10173
causa,10161
modo,10160
feito,10141
modelo,10134
alemão,10130
baixo,10118
leste,10115
batalha,10075
referências,10003
silva,9971
câmara,9933
regiões,9906
alta,9870
instituto,9867
museu,9866
valor,9859
sexo,9841
ministro,9811
filhos,9804
pessoa,9798
novamente,9797
inglaterra,9777
seleção,9730
organização,9720
última,9708
importantes,9677
zona,9650
los,9644
isto,9638
campeão,9632
nunca,9626
função,9620
gerais,9616
estrutura,9610
rua,9602
paris,9594
bairro,9568
horas,9550
empresas,9545
controle,9518
jogador,9507
filha,9496
censo,9474
serviço,9445
interior,9428
especial,9420
apoio,9418
mulher,9415
características,9409
for,9404
disco,9398
ensino,9397
própria,9383
novos,9377
problemas,9365
seguintes,9358
estavam,9354
unido,9346
luís,9315
diretor,9311
align,9310
vice,9282
canção,9272
gênero,9264
japão,9259
frente,9238
americana,9212
tais,9205
serviços,9205
única,9157
locais,9111
parque,9097
novas,9076
agora,9050
to,9045
iii,9018
data,9002
cruz,8987
terceiro,8979
nesse,8970
menor,8949
livros,8944
acesso,8903
fronteira,8900
criado,8892
momento,8881
presença,8867
encontra,8833
branco,8825
personagens,8818
género,8795
castelo,8783
civil,8769
musical,8765
jogadores,8764
natural,8761
presente,8732
sete,8714
ambos,8693
companhia,8693
cultural,8673
tinham,8638
luz,8636
resultado,8631
conselho,8631
estádio,8621
nesta,8605
esses,8597
animais,8576
pertencente,8567
programas,8558
xix,8551
mercado,8522
futebolista,8510
ação,8506
dessa,8461
sistemas,8445
si,8440
especialmente,8422
ar,8414
elementos,8405
terras,8402
apresenta,8399
participação,8390
áfrica,8384
lançamento,8368
estação,8368
capacidade,8363
teria,8345
entretanto,8331
vale,8331
eventos,8324
atividades,8322
terceira,8320
jornal,8306
disse,8288
histórico,8246
out,8237
imperador,8234
existe,8219
associação,8199
festival,8187
ganhou,8176
membro,8171
me,8163
san,8163
pública,8154
partes,8144
tudo,8140
vista,8123
tão,8121
jovem,8093
italiana,8092
casos,8092
títulos,8067
tenha,8055
primeiras,8051
site,8049
minutos,8043
nem,8035
acabou,8022
cargo,8014
irmão,8014
estudo,8006
roma,7995
fundação,7981
essas,7980
globo,7969
influência,7966
amor,7966
conseguiu,7963
direitos,7960
desse,7935
estas,7933
governador,7921
boa,7909
livre,7890
solo,7882
tipos,7866
administração,7860
professor,7849
bastante,7834
plano,7814
povo,7810
china,7801
campanha,7795
autor,7790
fonte,7784
estar,7783
fosse,7768
antônio,7758
crescimento,7751
altura,7739
isbn,7733
produtos,7725
serra,7724
xx,7716
