word,count
tua,2654
ta,2576
na,2086
nua,1625
kata,1534
sa,1483
izua,1458
aicu,1297
ka,912
nu,845
caucau,831
aza,785
cavilj,773
imaza,753
kadjunangan,625
avan,609
qinaljan,596
taiwan,549
kemasi,547
mavan,457
saka,451
tu,431
qaw,410
katua,393
au,385
uta,373
ti,366
uri,362
caviljan,353
djalan,338
tucu,326
kai,325
gu,320
tja,316
maqati,285
masan,268
pakata,264
sihu,263
aya,263
kasiw,262
timadju,258
patje,254
azua,253
guan,248
se,246
pana,233
tiamadju,228
zuku,225
ngadan,224
inika,217
itua,215
palidring,204
drusa,199
taicu,197
ljakua,195
king,191
tjelu,181
ita,181
ripun,180
km,178
nimadju,177
puluq,175
sikamasan,175
niamadju,174
pinaka,174
kacalisian,167
gadu,167
anga,161
vecekadan,155
navalj,155
tazua,153
pasakacedas,152
lja,151
kacalisiyan,151
sinan,150
kasicuayan,145
masa,141
qadaw,140
taza,138
umaq,138
liaw,136
pasanavalj,135
basu,135
paljavak,133
hici,133
zuma,131
aravac,129
sepatj,129
lima,128
cawcau,128
mula,127
pairang,126
ni,126
ljavek,126
mapuljat,124
kakudan,122
pasa,122
za,120
namasan,118
mareka,117
ika,116
viri,115
kasizuan,112
cinalivatan,111
pavalitan,111
pinaljavakan,108
pazangal,108
sika,108
kalingu,107
kaizuanan,106
qiljas,106
matja,106
de,106
atjunang,103
sema,102
taitu,102
izuanga,102
paiwan,100
qadavan,99
mavananga,99
sengsengan,99
ala,99
lizuk,98
vavayan,98
itjen,98
seman,98
tjalja,97
gadugaduan,97
izuazua,96
unem,95
ma,95
djiday,93
matu,92
vecik,92
tapuluq,89
valangaw,87
tuki,86
pasakaledep,85
amin,85
penuljat,84
kacaviljan,83
qivu,81
senay,81
pacugan,81
pasaviri,80
ljawa,79
mamazangiljan,79
payuwan,79
patjara,78
kacauan,78
tjuruvu,77
patagilj,77
mata,77
vinecikan,76
qudjidjilj,76
neka,76
alu,75
sikataqaljan,75
pitju,75
vavavan,75
kinasengseng,75
sangasangasan,74
semamaza,73
lemindjelj,73
nia,71
kisiya,69
sasusuan,69
izuanan,69
kinateveteveljan,68
sicuayan,68
katjunangan,68
vaqu,68
cemas,68
akaw,67
madjulu,67
daceneqlan,66
qakaw,66
angata,65
kuzulj,63
pinairangan,63
qiljasan,63
taqaljaqaljan,63
qata,63
amizuku,62
kalinku,62
racev,61
masanliawliaw,61
kacedas,60
sincen,60
zaljum,60
mamau,60
lamtaw,59
uqaljay,59
naicu,59
ciuku,58
dripun,58
kaizuan,58
asav,58
cemel,57
ayatua,56
patjavat,55
manu,55
kalevelevan,54
gakku,54
amilika,53
kakaian,53
nakidjekec,53
pinaljavak,53
hualien,53
tao,53
alapen,52
kimaya,52
hisiu,52
kakanen,52
tjaikacedas,51
pinapungadan,50
manasika,50
sasupuan,50
vaik,50
payuan,50
makaya,50
siva,49
sedjelj,49
mirazek,49
kinapangaljan,49
paka,49
gaduan,49
guciu,48
binan,48
qau,48
kinaizuanan,48
kacavilj,47
mangetjez,47
cen,47
papungadan,47
cesan,47
guansan,47
takaw,46
siayaya,46
în,46
tjai,45
ljaljevavavan,45
puyuma,45
siaya,45
no,45
maqaqeci,44
ayain,44
kaledep,44
veljeluan,44
chuku,44
cuqus,44
qatjuvi,44
malailaing,43
qadjav,43
tjaivililj,43
pasamaza,43
an,43
temalem,43
mamaw,43
maza,43
ini,43
tayuan,43
pentru,43
pacunu,42
kuba,42
tjatjuruvu,42
cemecemel,42
tjalupung,42
kemeljang,41
saviki,41
semenay,41
disiaba,41
tatuluan,41
ljaviljaving,41
ca,41
li,41
makazayazaya,41
paris,41
kamakama,40
kinakaian,40
sipavecik,40
venecik,40
djian,40
pinakalevavan,39
inamizukuan,39
taituking,39
iga,39
pakatua,39
maqcuwa,39
kedrikedri,39
maretimaljimalji,39
lami,39
maru,38
qaciljay,38
ljemita,38
aljak,38
gaku,38
sikakudanan,38
qaljic,38
sipacacikelan,37
lizulizuk,37
sengesengan,37
zua,37
milingan,37
djulis,37
pongso,37
vangalj,37
iteku,37
iyubingkiuku,36
venecikan,36
qemuma,36
likisi,36
tayal,36
kati,36
ao,36
tjaliaw,35
pulingetjan,35
kedri,35
tjaucikel,35
sinupuan,34
kuga,34
tia,34
sikamasansimuluq,34
masengseng,34
kanri,34
sevesevec,34
linpan,34
linaule,34
malap,34
quljaw,34
sakuma,34
samata,34
katjaisangas,34
langalj,34
pungadan,33
bunun,33
milimilingan,33
tjara,33
tauta,33
siubay,33
anan,33
maretimalji,33
kineljang,33
pacun,33
pulingaw,33
nasidjaravacan,32
maka,32
kakaizuanan,32
djamay,32
kawabata,32
mazangilj,32
saqetjuan,31
kivangavangan,31
kinaqadavan,31
tjengelay,31
cinting,31
kakudanan,31
ulja,31
makaqeci,31
icuwa,31
atjunangn,31
tjaikaledep,31
ljaceng,31
lisuy,31
kinakemudan,31
vutjulj,31
nan,31
yasunari,31
the,30
kina,30
taiday,30
vuvu,30
vinarungan,30
citing,30
kakipucemelan,30
la,30
situ,30
tuazua,30
taihuku,29
mumalj,29
ciqaw,29
sividay,29
pimaza,29
palisian,29
yuchi,29
asaw,29
nuri,29
taoyuan,28
san,28
djemaljun,28
zumanga,28
cinunan,28
quma,28
tjainavalj,28
asiya,28
ii,28
sinisanparavac,28
inia,27
kudraw,27
sualapen,27
nase,27
paday,27
vuljavuljau,27
tjakudrang,27
haka,27
luye,27
undu,27
gung,27
namaya,27
patarevan,27
tuvalu,27
caucaw,27
sangpuru,27
sinsi,26
patjetucu,26
sakamaya,26
hiong,26
remayurangan,26
kakedriyan,26
ai,26
kazatjan,26
alang,26
tjaisangas,26
kuka,26
vasa,26
avananga,26
ciniukukan,26
tjaimadju,26
isubya,26
sikamasanmusalj,25
kaka,25
taipingyan,25
kanrivi,25
tamaza,25
amis,25
daigaku,25
auta,25
tjakedri,25
hideki,25
yukawa,25
tjaljapazangal,25
ledjeledje,25
kasizuanan,25
tiribi,25
umaqan,24
cemalivat,24
kudrav,24
sikamasantjelulj,24
nginaingayngan,24
nugiu,24
vuli,24
cenkung,24
pinpu,24
lemingdjelj,24
kivangvangan,24
qaca,24
vavayavayan,24
paysu,24
kiukay,24
gaikuku,24
venecivencik,24
gst,24
kitulu,23
malang,23
alishan,23
siqivuan,23
ren,23
kana,23
minku,23
tjaljaqaca,23
tadjekuacan,23
sivitai,23
tjaqaca,23
qapulu,23
ay,23
paljingan,23
kavulungan,23
teku,23
nasi,23
tjaljaqacavan,23
cu,23
nemanga,23
putung,23
tjavuali,22
vaquan,22
imi,22
bunka,22
sinkang,22
djemadjas,22
gimeng,22
yilan,22
wanrung,22
nekanga,22
sevalitan,22
aicua,22
rikudu,22
macidilj,21
masanmusalj,21
gukusiu,21
madrusa,21
djalanan,21
ljaqedi,21
sezaman,21
varukur,21
kicaing,21
marutarauljan,21
dripung,21
pasuvililj,21
ziriu,21
tiamdju,21
vincikan,21
pai,21
sapuy,21
ljaicu,21
singapura,21
mazazangiljan,21
likuljaw,21
buru,21
sedjaljep,21
kisansemenay,21
naqivu,20
semezan,20
tai,20
gadugadu,20
lilung,20
kinsic,20
taimaza,20
kunian,20
paridiu,20
varung,20
pilipinas,20
keman,20
siniaya,20
djilung,20
kemesakesa,20
zuga,20
vuljangaw,20
semansenay,20
kava,20
ricing,20
ljabecubecuq,20
maqacuvucuvung,19
kinacemekeljan,19
uranda,19
kapuamin,19
sini,19
mamaza,19
daren,19
qaqaljupan,19
asia,19
kaian,19
tailiku,19
qadupu,19
bari,19
miauli,19
minatu,19
sivecivecik,19
vavaw,19
taizua,19
qecilu,19
vulung,19
ngat,19
care,19
să,19
canalizare,19
daygaku,18
ki,18
yuzeng,18
iyubingkiku,18
pinayuanan,18
ku,18
maljian,18
saqetju,18
in,18
cenkungaw,18
cawcaw,18
yuli,18
tjuruvuan,18
hsinchu,18
miaoli,18
vinecik,18
kaizuazua,18
qadav,18
adavan,18
iday,18
vat,18
mana,18
un,18
lukuc,18
djaqas,18
ljavucuvucu,18
pakeljang,17
semekez,17
paqulid,17
meqaca,17
supu,17
tjaljatjuruvuan,17
and,17
kebalan,17
tjatjuruvuan,17
liawliaw,17
kiciqaw,17
kemaledeledev,17
heping,17
linindjelj,17
ripunanan,17
daibu,17
tjuabar,17
sinanpazangal,17
pasusu,17
si,17
macayanga,17
siulin,17
sinivecik,17
zunghua,17
kilalaing,17
kavulugan,17
paywan,17
paravac,17
pe,17
kanen,17
malaysia,17
kemesa,17
mavanga,17
paiwanzuku,17
taipaq,17
situcuan,17
tjava,17
marutadjekuacan,17
to,16
vaikanga,16
patjemaza,16
sinansenay,16
kama,16
ripung,16
daigakku,16
nuaya,16
taiciu,16
malji,16
kalingku,16
tjaljavavavan,16
yili,16
mekedri,16
pasakacedasan,16
tjaiviri,16
ciukuk,16
qepuing,16
tayday,16
sivitay,16
kineljangan,16
maumalj,16
sicuacuayan,16
kuni,16
zukuan,16
vurasi,16
tjaljapazangalan,16
sinansunatj,16
inaljan,16
vusam,16
vatu,16
mapavalit,16
kumalji,16
kanalung,16
cangia,16
pariuk,16
yuzilu,16
venuciyar,16
parutua,16
https,16
kacawan,16
vurangse,16
kudravan,16
masanitalj,15
kinacalisianan,15
vunglin,15
dabu,15
qemaljup,15
siukuluan,15
paselaw,15
sisigu,15
sakizaya,15
sikamasansivalj,15
ting,15
guanxi,15
pintung,15
kakituluan,15
talem,15
nanemanga,15
pitua,15
remingedjilj,15
kazangiljan,15
marka,15
maolin,15
naqemati,15
maui,15
sinvaudjan,15
idedet,15
zh,15
vawa,15
matjaliaw,15
situngan,15
qucengecengel,15
kazalan,15
barcelona,15
online,15
poate,15
tjiamadju,14
masananga,14
malje,14
sinansenayan,14
ledepan,14
namakeljang,14
yenpin,14
katjaivililj,14
sacemel,14
secevung,14
kau,14
kakudakudan,14
pubasuan,14
shoufeng,14
cun,14
kinaizuan,14
makadaw,14
kunglu,14
kisan,14
kinzang,14
unsing,14
hulic,14
timur,14
qaljaqalja,14
macia,14
marutaljudjuqan,14
pasusangas,14
iljasan,14
ramaljemaljeng,14
pinatjavat,14
mudan,14
shitan,14
europe,14
panama,14
pusaladj,14
sinipukeljang,14
kiruku,14
djipun,14
vavuy,14
veneve,14
semanvaleng,14
sikaw,14
sapeljik,14
ayam,14
iti,14
este,14
pot,14
aken,13
namasia,13
amit,13
raljiz,13
qulu,13
cangbin,13
taidu,13
kinalangan,13
pasemalaw,13
pinaywanan,13
tjaljatjuruvu,13
ngaingai,13
guangfu,13
tataleman,13
hikuki,13
uqaljaqaljay,13
macaqu,13
vencik,13
sipanya,13
israil,13
sinamazan,13
tjumaq,13
tjauvali,13
saliman,13
tjakit,13
