word,count
de,29906
huk,20791
hawa,17531
llaqtapi,17205
mama,15849
paqarisqa,15647
inkikuna,15192
simi,12949
nisqaqa,12905
qhaway,12752
la,12496
kaypipas,12394
simipi,11920
suyu,11158
kastilla,10439
piruw,9686
llaqta,8590
pukyukuna,8578
el,8273
pruwinsya,8150
suyupi,7497
icha,7284
distritu,6895
uma,6707
wañusqa,6315
aq,6294
hayt,6236
piluta,6225
the,6104
llaqtam,5898
karqan,5863
en,5614
del,5595
yachay,5455
saywitu,5395
pruwinsyapi,5313
mayu,5281
sutiyuq,5181
allpa,4917
san,4733
watapi,4664
qhari,4508
saywachi,4428
qhichwa,4355
hatun,4339
www,4294
buliwya,4263
rikch,4235
runaqa,4104
runakuna,4044
ima,3987
llaqtanqa,3970
llaqtayuq,3918
kawsay,3871
ñiqin,3759
mayukuna,3720
lima,3665
urqu,3656
wiñay,3649
wan,3557
urqukuna,3549
kay,3463
quchakuna,3427
los,3389
mana,3371
of,3310
indihina,3180
piruwpi,2995
tukusqakuna,2966
ch,2926
distritupi,2916
qucha,2880
runa,2811
llaqtakuna,2805
hukllachasqa,2795
yupaykuna,2781
warmi,2771
aymara,2745
killapi,2739
wañusqakuna,2722
yurisqakuna,2716
munisipyu,2604
pulitiku,2603
gov,2505
qallarisqa,2493
kantun,2472
suyukuna,2403
wataqa,2370
willay,2309
wata,2282
amirika,2281
aswan,2261
suñaykuna,2232
hulyanu,2216
ay,2160
nisqa,2159
qarqan,2137
llamk,2114
kalindaryukama,2104
pukyu,2102
watam,2094
simikuna,2079
ikwadur,2077
josé,2069
qhapaq,2066
walla,2002
distrito,1997
santa,1968
kiti,1963
marka,1963
com,1916
aranway,1868
distritum,1859
chhasku,1856
taytan,1842
con,1809
sach,1800
maman,1774
in,1768
llaqtap,1753
qusqu,1746
las,1732
rakiy,1727
kan,1713
kaq,1708
karu,1697
chay,1684
inei,1649
ayllu,1642
pulitika,1637
wasikuna,1634
churinkuna,1614
tayta,1610
uru,1607
ec,1598
and,1597
yura,1595
iskay,1554
kitilli,1554
watamanta,1552
rimaqkuna,1528
pacha,1526
por,1523
ashaninka,1486
un,1467
chaymanta,1460
puriy,1450
suñay,1443
juan,1440
runakunam,1438
inlish,1431
qillqaq,1424
ñawpaq,1380
kathuliku,1369
maría,1363
rimanku,1332
munisipyupi,1330
para,1327
pruwinsyakuna,1326
umalliq,1306
distritukunapas,1295
pukllaq,1287
chawpi,1283
italya,1269
web,1244
km,1243
llaqtanmi,1227
chuqiyapu,1226
awya,1221
aswanta,1217
kuyu,1215
arhintina,1209
kamasqa,1205
anqash,1179
hanaq,1177
mishiku,1166
urin,1142
epidendrum,1141
que,1135
qillqasqankuna,1116
perú,1103
raymi,1096
ispaña,1094
no,1074
al,1071
carlos,1056
bo,1048
luis,1029
kamayuq,1024
wat,1023
markapi,1016
unchaw,1002
achka,1000
kupa,999
utuqsi,988
punu,986
musuq,985
to,978
killa,976
una,974
pusaq,962
como,955
kawsaq,953
watakama,946
mamallaqta,940
walltay,930
parki,929
rit,914
fc,910
tiyanku,906
isbn,906
ariqipa,899
antonio,897
urqum,897
brasil,896
qillqa,895
rimay,891
hampi,885
pedro,879
simitam,877
nobel,876
di,876
td,867
kashamarka,862
yachachiy,857
griguryanu,857
mi,853
buliwyapi,843
amor,836
antikunapi,834
tukuy,831
llaqtaqa,830
taripay,829
takiq,825
nacional,820
puquy,819
hina,816
klubkuna,811
miguel,809
ancha,803
quchapampa,803
alma,797
chunka,791
ana,791
aqmi,784
ayakuchu,779
ransiya,778
hunin,773
amachaq,771
buenos,765
tarpuy,763
aires,762
uy,759
sallqa,753
kantunmi,753
francisco,752
quchamanta,752
madrid,750
kantunpi,747
amarumayu,739
universidad,738
risirwa,738
quechua,736
pachantin,736
new,733
amachasqa,733
awqaq,730
kimsa,729
ñawpa,723
mitrum,721
astawan,720
piruwpa,719
manuel,716
pikchunqa,714
pruwinsyap,713
watap,713
yalapi,709
distritupiqa,709
le,707
chili,706
org,702
kuti,701
flora,698
lliwmanta,698
krus,697
kichwa,696
sobre,695
wasi,695
runam,695
mawk,691
musiku,690
align,689
kachkan,689
wankawillka,679
fauna,678
inti,677
siq,673
chinchay,673
codeso,669
huch,666
raymikuna,665
inec,661
chunwa,660
yaya,660
runakunap,659
john,657
santiago,656
alimanya,653
