word,count
da,157962
la,113058
il,76543
en,63089
dal,38605
ils,30016
las,28435
in,26001
che,24444
ha,23940
per,23487
cun,22100
ina,21702
ed,21332
ch,20554
sa,18395
sco,17951
pli,15142
dals,14447
èn,14087
er,12180
han,11902
el,10615
sin,9487
fin,8968
quai,8372
betg,7598
temp,7380
era,6821
onn,6355
ins,6211
al,6204
part,5956
vegn,5880
tranter,5500
tar,5438
tut,5431
suenter,5312
chantun,5239
ses,4744
onns,4647
tras,4617
pajais,4413
furma,4390
sia,4382
quest,4269
gronda,4213
ad,4189
lur,4187
quel,4172
avel,4113
isbn,4027
svizra,3924
na,3919
guerra,3901
però,3885
lieu,3842
ella,3794
tschientaner,3717
be,3686
vegnì,3580
quella,3495
stadis,3447
surtut,3411
dad,3393
der,3322
uschia,3250
stadi,3234
vegnan,3234
moda,3222
tenor,3143
els,3135
questa,3122
europa,3089
vegnida,3014
sut,3013
politica,2988
ma,2951
gia,2822
fatg,2801
eran,2776
citad,2759
und,2657
nord,2644
sur,2632
dapi,2598
cunter,2436
als,2411
anc,2393
exempel,2388
aveva,2373
fitg,2370
de,2345
imperi,2314
vischnancas,2299
emprima,2290
lingua,2267
vischnanca,2243
durant,2221
ei,2208
vers,2191
sid,2167
vart,2148
vegnir,2089
auter,2072
adina,2057
territori,2055
grond,2032
populaziun,2032
the,2008
radund,1969
stà,1960
avant,1955
tard,1948
igl,1940
emprim,1935
persunas,1922
quels,1891
die,1885
perquai,1866
germania,1865
mund,1864
vegnids,1861
colliaziuns,1845
oz,1840
davart,1839
entaifer,1836
istorgia,1834
dus,1823
uniun,1813
vest,1781
tudestg,1777
senza,1771
savens,1744
ost,1742
sper,1716
far,1712
district,1700
trais,1673
or,1660
vita,1649
pussanza,1643
of,1638
di,1624
gì,1612
svilup,1598
quala,1596
basa,1562
num,1545
medem,1539
qual,1526
partir,1521
regiun,1514
qua,1503
chatta,1500
duas,1498
ca,1485
centrala,1479
frantscha,1478
ultra,1465
quellas,1462
von,1461
mundiala,1444
autra,1442
mar,1441
republica,1437
areguard,1434
parts,1429
unids,1428
si,1423
auters,1420
po,1418
dretg,1410
puspè,1409
pervi,1400
litteratura,1392
entschatta,1381
manà,1376
baselgia,1374
grischun,1359
bain,1355
blers,1345
km,1343
grondas,1341
vegnidas,1335
questas,1308
