word,count
si,2458
le,1264
te,963
yek,918
an,727
sas,687
ande,670
sar,661
thaj,568
ël,496
vi,486
foro,454
but,441
la,438
ando,432
so,420
kai,419
jekh,411
ar,406
kaj,395
tay,388
soriya,366
thay,355
provinciya,354
kay,352
andar,351
de,339
ai,339
chib,330
andi,315
vaj,289
phsa,285
roma,270
ekh,267
them,256
ka,252
pe,251
ko,248
kana,245
romani,229
gav,226
spaniya,221
to,206
manusha,199
maj,197
thai,196
ke,187
ćhib,186
katar,184
les,183
komunitatya,183
avel,182
leon,182
kastiliya,181
sa,174
the,171
of,162
thema,155
baro,149
aver,143
and,141
palal,139
anav,136
na,134
dikh,134
ek,132
vay,128
mai,127
len,123
pala,121
vov,117
phandimata,116
kerel,111
mashkar,107
romane,105
del,100
km,97
chhib,92
rromane,92
kë,89
rumuniya,86
vash,86
iek,86
po,83
stato,83
ano,83
manush,82
rromani,81
romano,81
than,81
maśkar,80
bersh,80
bareder,80
chhiba,80
phuv,79
avrutne,79
manuśa,78
bi,78
indo,78
chiba,78
bari,78
akana,75
in,75
akava,75
ama,74
kathe,73
în,73
qhib,71
vai,71
puranipen,70
śaj,70
pes,68
chile,67
sherutno,66
bare,66
rromano,65
phenel,65
numay,65
agyahar,65
kotor,64
avere,63
disave,62
yeri,62
anda,61
patrinipen,61
aven,60
forurya,60
may,59
phuvipen,59
staturya,59
amen,59
keren,57
kola,57
manglape,57
rumuniyake,55
lav,54
et,54
ty,54
yekh,53
republika,53
anglal,53
avela,53
shay,52
vaxt,52
von,52
thagaripen,52
jivisaren,52
al,52
bidino,52
pi,51
vaś,51
ani,51
berś,50
varesave,49
numa,49
buteder,49
sudutni,48
alava,47
kher,47
kidipen,47
kova,47
is,46
baripen,46
rig,46
ki,46
sanskrtipen,46
prin,46
vakarena,46
hram,46
asiya,45
lesko,44
evropa,44
xoraxane,44
avrune,44
chi,43
new,43
kodo,42
jermaniya,42
butipa,42
el,41
phandlo,41
yaver,41
phenen,40
pal,39
ungariya,39
pa,39
vakaripa,39
bulgariya,38
amerika,38
karing,38
nai,38
odoleske,38
dad,37
for,37
manushanipen,37
dvipa,37
gin,37
nevo,37
lava,36
beshen,36
manushengo,36
opretele,36
forovipen,36
san,36
ne,36
din,36
mangel,35
rroma,35
vorba,35
afrika,35
york,35
asiyake,35
sistemi,35
misal,34
me,34
duy,34
as,34
phandle,34
romengo,34
kultura,34
ketnepen,34
zakono,34
pen,33
europa,33
forosko,33
juvlikano,32
mursh,32
yekhipe,32
romenge,31
india,31
kado,30
maripen,30
web,30
gilavni,30
un,30
andai,30
lekhipen,29
familia,29
themengo,29
öl,29
sosqe,29
ardo,29
ido,29
odova,29
nordutni,28
manuśen,28
rom,28
ji,28
lenge,28
manushenge,28
kothe,28
buti,28
avile,28
nordutne,28
kerde,28
muzika,28
lekha,28
voj,28
gilavno,28
kamas,27
trin,27
day,27
irlandesko,27
butvaripen,27
ovel,27
mariben,27
pesqi,27
rusiya,26
mashkarutni,26
desi,26
semno,26
sherutne,26
china,26
