word,count
mu,1783
ni,1212
na,898
muri,566
ya,499
ca,469
ati,433
ku,426
uburundi,354
kandi,348
ko,326
burundi,312
wa,278
ikigabane,278
imana,270
igisagara,264
ari,260
we,256
igihugu,234
canke,232
kiri,232
yakobo,224
cane,204
yari,204
aho,203
uruzi,198
nk,193
turukiya,193
kw,191
yozefu,187
ry,185
ivyo,184
gihugu,183
iyo,180
wiwe,178
hamwe,173
kuko,169
isi,168
ico,166
abantu,164
ngo,164
umukama,160
uko,159
no,158
ariko,155
umuhungu,150
se,143
bw,142
yo,141
aburahamu,140
imyaka,137
mw,137
intara,131
mukuru,131
avuga,130
kuri,129
vyose,126
abanyagihugu,122
uwo,122
umugore,122
imbere,120
mirongo,117
kwadarato,114
kugira,112
bwa,110
indwi,109
kwa,109
ntara,106
igihe,105
bo,103
amerika,103
gihe,102
yose,100
farawoni,99
hanyuma,98
rero,97
ba,97
co,96
ubuzima,96
vy,93
bari,93
uburinganire,91
ibirometero,91
rya,91
izahaki,91
misiri,90
ezawu,90
hagati,89
nyene,89
abwira,89
abahungu,88
gushika,87
amazi,87
umuntu,85
ho,85
bose,85
kuva,83
abo,82
ubumwe,81
umurwa,80
kubera,79
leta,79
nka,78
hari,78
iki,77
iri,77
bene,77
za,75
wawe,75
mbere,74
vyo,74
izina,73
umwe,72
ubu,71
ibintu,71
neza,70
nta,70
the,70
aburamu,68
ng,66
aca,65
bati,65
imvura,64
akaba,64
nyuma,64
rimwe,64
yiwe,64
wanje,64
umukuru,63
ibiharuro,63
umukobwa,63
umwami,62
biwe,62
rabani,61
cumi,60
aba,60
ibitungwa,60
ndetse,59
avyara,59
cose,58
amaze,58
benewabo,58
iryo,57
abana,57
bifise,56
kabiri,55
none,55
ingoma,55
ibiri,54
yawe,54
musi,53
zo,52
inka,52
ayo,52
uruvyaro,52
abakobwa,52
icumi,51
kumwe,51
www,51
amubwira,51
bujumbura,50
inyuma,50
org,50
kanahani,50
mwaka,49
rw,49
amajana,49
data,49
http,49
bavuga,48
isarayeri,48
gutera,48
ibindi,47
gusa,47
kuba,47
kimwe,46
hasi,46
nowa,46
inkenuzo,46
theplantlist,45
tpl,45
record,45
kew,45
aa,45
rakeri,45
haba,44
ubumenyi,44
wewe,44
yanje,44
umunani,43
wo,43
babiri,43
indwara,42
iti,42
abavandimwe,42
gisagara,41
hejuru,41
rwa,41
nzu,41
afise,41
itatu,40
umwana,40
igiharuro,40
komine,40
araheza,40
databuja,40
bibiri,39
bita,39
zunze,39
ndi,39
sara,39
vyinshi,38
icenda,38
umwaka,38
uri,38
benshi,37
abandi,37
abarundi,37
mugabo,37
ijambo,37
jewe,37
so,37
nyinshi,36
umutware,36
in,36
ibihe,36
umugabo,36
yishura,36
rwawe,36
mugihugu,36
orchidaceae,36
wese,35
be,35
ruri,35
bantu,35
izo,35
uburaya,35
ijuru,35
mugihe,35
impuzu,35
reya,35
izuba,34
yabaye,34
ijana,34
ifise,34
vya,34
amazina,34
imisi,34
maze,34
umusi,34
umubiri,34
of,34
ukwezi,34
kwezi,34
rugo,34
gifise,33
maso,33
de,33
yuda,33
ubusho,33
acampe,33
roti,33
rebeka,33
imwe,32
hafi,32
iyi,32
yabo,32
ibikoko,32
ishamba,32
umutima,32
igikoko,32
itanu,32
ikirundi,31
baba,31
gatatu,31
amajambo,31
and,31
abona,31
kera,30
zose,30
aha,30
nanje,30
amaraso,30
kikaba,29
ibice,29
ubwoko,29
yitwa,29
naho,29
si,29
kirundo,29
amaso,29
bawe,29
incoreke,29
ibiti,28
buseruko,28
munsi,28
ikaba,28
bwo,28
uyu,28
muntu,28
gutyo,28
unze,28
muntara,28
bwiwe,28
ciwe,28
isezerano,28
ababwira,28
abimereki,28
izindi,27
buri,27
ururimi,27
baca,27
muramvya,27
inda,27
yaba,27
ici,26
karere,26
abiri,26
kibanza,26
biri,26
saint,26
igiti,26
ryiwe,26
agenda,26
bihugu,25
rwanda,25
ukuri,25
ol,25
mutwe,25
amara,25
ehe,25
aja,25
inanga,25
cyangwa,25
ziwe,25
bitobito,25
ikirere,24
ava,24
ubushuhe,24
ata,24
nayo,24
hariho,24
aziya,24
kinini,24
wanyu,24
nyina,24
marin,24
indogobwe,24
domaine,24
kugeza,23
amashure,23
nkako,23
ubwo,23
ine,23
biba,23
gukora,23
type,23
mwene,23
bwoko,23
ka,23
ní,23
kiranga,23
buryo,23
atari,23
amwita,23
sikemu,23
riba,23
intwaro,22
rusangi,22
gitega,22
amategeko,22
kaminuza,22
majambo,22
zabo,22
gatanu,22
giti,22
to,22
ingano,22
uyo,22
murima,22
ryanje,22
muhungu,22
bwato,22
sodoma,22
iriba,22
indoto,22
rumonge,21
nyakanga,21
ukurundana,21
cari,21
amezi,21
ibi,21
nya,21
ryo,21
gituma,21
umuryango,21
hanze,21
kenshi,21
vyabo,21
ubwoba,21
ibuye,21
ivyokurya,21
kayini,21
kuki,21
abagore,21
yishemaheri,21
mikami,21
senegal,21
bururi,20
urwanda,20
myaka,20
nawe,20
abahutu,20
niyo,20
ibihugu,20
harimwo,20
amajwi,20
ijwi,20
mwenewanyu,20
turi,20
kugirango,20
ijāmbo,20
kirometero,20
rwo,20
inyoni,20
hama,20
impene,20
agira,20
as,20
yanyu,20
arapfa,20
metero,20
perezida,20
hantu,20
ingamiya,20
benyamini,20
yoga,20
kigizwe,19
ivy,19
igizwe,19
yuko,19
ingoro,19
amakuru,19
imfungurwa,19
africa,19
bitandukanye,19
adamu,19
rwiwe,19
mwenewabo,19
ihema,19
ruzi,19
citwa,19
uburebure,19
umwanditsi,19
imfura,19
bariko,19
amafeza,19
abasavyi,19
she,19
intambo,19
aidara,19
ikiyaga,18
buraruko,18
abatutsi,18
bafise,18
amahoro,18
kuvuga,18
atatu,18
hambere,18
iprovense,18
kirere,18
nda,18
wabo,18
ijoro,18
yamaze,18
