word,count
de,1400085
în,963885
din,534207
la,451027
cu,302032
este,260276
al,239063
pe,237050
un,234390
care,225664
fost,211463
mai,183531
se,180573
pentru,177640
ii,165188
au,159448
să,134152
ia,129018
ie,120926
lui,116279
ti,114912
ca,102113
nu,87303
că,85383
sau,69681
după,68998
sunt,68043
prin,67083
ul,66948
na,64597
the,63915
ce,62619
ale,62160
ora,61389
te,55547
fi,53635
iar,49269
ei,49159
lea,49134
românia,46202
bucure,44858
anul,44777
ani,44567
iei,44388
in,44268
mare,43604
note,42936
jude,41204
fiind,41018
cel,40402
cele,39371
of,39206
era,39053
dar,38922
are,37991
dintre,37421
între,36326
el,36129
până,35671
externe,35045
legături,33842
vezi,33431
într,32663
sa,32221
sub,31184
două,31166
popula,31037
ai,30575
către,30025
ului,29556
când,29531
ilor,28896
avea,28838
acest,27624
timp,26912
locuitori,26881
unui,26854
cea,26840
parte,26828
ar,26470
septembrie,26046
său,25996
poate,25598
linear,25348
socorro,25294
unei,25232
această,24987
ional,24854
români,24850
unde,24658
func,24397
ele,24363
multe,24306
anii,23192
octombrie,23105
martie,22993
iile,22937
august,22770
sale,22630
prima,22364
române,22335
le,22245
editura,22116
secolul,21890
lista,21833
comună,21744
toate,21709
timpul,21459
decembrie,21356
fran,21303
alte,21281
via,21201
lor,21198
teri,21085
numele,20877
primul,20645
fa,20581
avut,20294
ianuarie,20289
noiembrie,20152
limba,19962
va,19957
astfel,19911
tiin,19799
comune,19697
nord,19599
român,19382
trei,19377
ea,19262
aprilie,19216
and,18814
at,18768
biserica,18663
asemenea,18595
for,18495
spre,18390
despre,18285
sud,18214
loc,18206
iulie,18201
fie,18151
it,18045
iunie,17917
februarie,17850
erau,17790
pre,17736
cum,17598
an,17423
româniei,17377
partea,17344
comuna,17310
câ,17301
precum,17226
ională,17151
ro,16971
doar,16816
ine,16799
cei,16593
ile,16438
germania,16235
sus,16122
apoi,15949
mult,15899
cre,15761
re,15555
perioada,15450
unul,15362
foarte,15267
început,15263
peste,15130
război,15019
devenit,15008
km,14930
fără,14850
ionale,14840
află,14825
unor,14692
îl,14605
însă,14551
acesta,14422
si,14357
locul,14331
satul,14310
forma,14288
îi,14279
pu,14022
ob,14011
ini,13925
asupra,13905
decese,13867
pot,13757
stat,13684
inut,13658
bibliografie,13649
mondial,13501
nume,13459
ac,13314
unite,13211
moldova,13200
aceste,13166
acela,13135
mari,13093
dacă,13092
una,13079
oameni,13036
română,12967
face,12932
membru,12893
atunci,12852
film,12736
aceasta,12686
hr,12658
interna,12631
general,12609
făcut,12608
isbn,12555
nr,12545
ion,12364
referin,12298
sat,12255
decât,12251
există,12209
iilor,12152
cadrul,12146
sfâr,12139
numit,11916
nou,11854
urma,11817
ales,11714
tot,11676
conform,11617
împreună,11521
localită,11520
to,11518
con,11509
doilea,11484
mi,11396
doi,11366
est,11347
împotriva,11299
listă,11240
comunelor,11215
acestea,11174
cât,11170
istoric,11140
având,11134
nicolae,11131
american,11100
istoria,11095
data,11043
drept,11019
chiar,10959
majoritatea,10946
vest,10861
ioan,10815
edin,10707
elor,10646
milioane,10639
men,10565
înainte,10495
printre,10480
anului,10463
apelor,10463
roman,10391
regiunea,10380
departamentul,10351
celor,10351
mul,10349
încă,10328
târziu,10306
unele,10295
itul,10254
prezent,10203
new,10162
opera,10145
atât,10137
cluj,10063
ial,10061
so,10026
aici,9958
mod,9932
apă,9881
numai,9806
filme,9766
statele,9757
mun,9756
alexandru,9745
punct,9682
marea,9678
fiecare,9649
gheorghe,9645
patru,9641
ceea,9635
ed,9569
aceea,9479
iune,9437
provincia,9420
iii,9416
înfiin,9404
premiul,9402
dată,9352
oficial,9318
cunoscut,9298
doua,9077
secolului,9039
noi,9031
ori,8998
republica,8965
vedere,8959
câteva,8932
suprafa,8921
apar,8918
râul,8916
aproximativ,8839
reu,8833
paris,8796
casa,8771
fotbal,8647
lângă,8633
constantin,8620
lemn,8593
aproape,8567
comunei,8564
george,8505
edi,8485
numărul,8455
născut,8432
datorită,8413
spa,8412
maria,8411
zona,8307
europa,8260
începând,8258
istorie,8248
pozi,8217
iuni,8212
deoarece,8191
mo,8160
construc,8143
începutul,8140
diferite,8124
italia,8122
special,8106
bisericii,8075
exemplu,7937
trebuie,7935
persoane,7906
râuri,7902
valea,7896
academiei,7851
urmă,7848
cauza,7843
john,7821
jos,7811
iunea,7806
primit,7802
etc,7794
administra,7765
număr,7746
site,7724
căr,7717
politică,7639
nici,7623
sec,7569
mihai,7547
perioadă,7510
dat,7491
am,7488
istorice,7464
folosit,7460
rela,7431
sf,7413
ulterior,7378
putea,7363
tradi,7333
familia,7325
xx,7296
edinte,7282
timi,7254
bine,7243
serie,7237
copii,7218
râului,7215
statul,7204
centrul,7095
membri,7067
revolu,7051
nouă,7048
vechi,7046
lucru,7045
et,7038
lansat,7037
învă,7026
influen,7012
ării,7000
regele,6994
teritoriul,6972
reprezintă,6915
formă,6910
tip,6890
om,6877
universitatea,6864
cetă,6858
bra,6812
produc,6800
tii,6792
faptul,6768
oara,6758
fiul,6731
uri,6730
bun,6727
scris,6726
muzică,6723
institutul,6707
ată,6699
vor,6694
format,6688
sua,6670
album,6662
alături,6657
echipa,6654
transilvania,6642
primele,6627
landul,6613
tigat,6578
dintr,6574
organiza,6554
german,6550
palomar,6538
tere,6534
vie,6522
informa,6505
zi,6493
zile,6488
politice,6477
mici,6470
apărut,6433
statului,6426
trecut,6404
acestei,6400
biblioteca,6398
paul,6390
www,6367
universită,6346
xix,6327
partidului,6294
ară,6292
astăzi,6269
moartea,6236
york,6236
condi,6232
ionat,6226
iu,6222
iv,6183
lume,6160
scriitor,6158
mic,6156
armata,6123
tefan,6113
duce,6105
principal,6100
cinci,6086
local,6079
vasile,6075
peak,6075
apare,6063
aur,6052
ajuns,6048
harta,6045
single,6037
ma,6017
mică,6016
germană,6015
americani,5995
profesor,5993
artă,5993
kitt,5985
demografie,5981
ări,5973
revista,5969
cunoscută,5966
devine,5965
păr,5952
spacewatch,5939
regatul,5937
satului,5918
fel,5903
altă,5891
titlul,5884
terea,5882
săi,5874
on,5861
ara,5835
ace,5833
acestuia,5819
românească,5813
cunoa,5813
situat,5809
orice,5808
cazul,5808
ordinul,5781
desfă,5778
actor,5766
engleză,5763
urmare,5756
carol,5714
studii,5711
vol,5710
republicii,5697
tatăl,5696
rolul,5691
des,5682
baza,5678
locuitorilor,5674
com,5660
chi,5658
jurul,5637
oară,5631
inclusiv,5617
acum,5610
van,5601
date,5596
european,5590
familie,5578
align,5577
luat,5560
regia,5557
or,5544
americii,5538
coala,5532
numeroase,5531
ci,5523
literatură,5513
murit,5462
francez,5462
rămas,5459
importante,5456
lungul,5441
denumirea,5437
politic,5433
succes,5430
area,5421
der,5404
regelui,5390
ministru,5353
urmat,5347
sta,5338
actri,5337
imagini,5325
filmul,5312
guvernul,5309
von,5297
tilor,5297
pia,5290
neat,5247
situa,5240
sistemul,5237
totu,5234
rusia,5233
unit,5228
comitatul,5219
sistem,5212
franceză,5205
lumea,5185
formată,5173
acestui,5161
cartea,5144
fapt,5143
biografie,5128
războiul,5117
radio,5108
activitatea,5077
scriitori,5075
lucrări,5074
bună,5073
biserici,5069
războiului,5048
robert,5046
considerat,5044
uniunii,5042
spania,5028
mircea,5020
printr,5015
privind,5002
ziua,4998
publicat,4985
localitatea,4983
odată,4981
ne,4959
începe,4931
tia,4926
realizat,4921
fotbalist,4918
afluent,4909
du,4891
construit,4880
origine,4867
televiziune,4858
unită,4854
david,4850
mure,4839
tv,4816
colec,4816
biserică,4807
politician,4803
edintele,4800
nivel,4797
sfântul,4797
europene,4795
important,4783
domeniul,4772
romane,4771
respectiv,4769
locale,4766
muzeul,4748
noua,4741
curs,4740
rege,4728
activită,4727
bază,4725
imperiul,4722
alt,4701
dus,4690
grup,4684
consiliul,4660
moldovei,4656
vreme,4651
dan,4640
mihail,4628
condus,4627
partidul,4616
componen,4614
germani,4611
aflat,4608
asocia,4607
militare,4598
luptă,4597
compania,4594
numită,4590
teatru,4587
bazinul,4585
armatei,4577
ionar,4576
institu,4575
jucat,4571
fc,4566
acea,4563
vi,4560
no,4557
ov,4552
ase,4508
distan,4504
apari,4499
petru,4492
spune,4479
celui,4479
radu,4477
luni,4476
dr,4467
iale,4454
rol,4454
înăl,4453
obicei,4440
world,4433
euro,4424
împăr,4423
localitate,4418
albumul,4414
circa,4412
anun,4410
mama,4397
veche,4395
recensământului,4391
polonia,4380
declarat,4360
societă,4348
inând,4344
construită,4342
dic,4338
apartenen,4329
participat,4322
prezintă,4321
existen,4320
acolo,4320
familiei,4319
satele,4313
personalită,4311
fotbali,4310
anilor,4302
co,4300
produs,4299
anderson,4295
bavaria,4288
ină,4270
probabil,4267
cântăre,4266
inău,4263
brazilia,4255
ionează,4237
sezonul,4237
moment,4234
anterior,4227
anglia,4213
william,4209
jean,4168
rock,4156
america,4146
evrei,4141
direc,4137
comunist,4134
scurt,4129
alegerile,4124
ultimul,4123
text,4122
roma,4114
educa,4109
pământ,4104
următoarele,4104
prim,4095
monumente,4095
ru,4092
romano,4081
http,4076
video,4071
sibiu,4059
total,4050
specii,4047
zonă,4046
club,4045
locuri,4043
grecia,4043
prezen,4039
ungaria,4035
jumătate,4031
unii,4031
poli,4029
imperiului,4022
intrat,4014
arte,4009
bătălia,4005
aveau,3993
vârsta,3991
japonia,3990
da,3989
uneori,3983
uniunea,3979
ială,3968
statelor,3961
ajutorul,3949
întreaga,3946
grupul,3935
alba,3924
expozi,3924
fac,3918
toată,3917
center,3916
sfin,3911
web,3911
evenimente,3910
creat,3903
ofi,3897
limbă,3897
folosite,3895
publice,3887
autorită,3885
cultural,3880
militar,3872
ime,3860
românesc,3856
diverse,3855
dezvoltarea,3850
încât,3841
compus,3841
companii,3840
ările,3836
ită,3834
oamenii,3830
director,3816
austria,3812
central,3806
afla,3802
acestora,3800
me,3795
limbi,3793
recensământul,3793
marele,3791
mediu,3788
elve,3788
germane,3787
termenul,3786
state,3781
insula,3779
districtul,3778
situată,3776
traducere,3774
americane,3766
raionul,3764
dumitru,3763
constitu,3760
căsătorit,3745
poet,3742
independen,3741
monument,3735
eni,3735
conducerea,3731
plan,3728
publică,3728
michael,3726
ajunge,3724
james,3720
mănăstirea,3715
britanic,3712
elemente,3711
fiica,3708
diferen,3703
