word,count
di,7015
tu,4375
shi,3473
cu,2200
ti,1821
de,1514
easti,1500
la,1442
cari,1100
tsi,1089
pi,1080
anlu,1072
ma,955
sh,901
ca,890
unã,758
ali,748
eara,729
unu,673
nu,567
un,558
easte,510
al,481
lui,453
limba,426
icã,401
cã,401
dit,395
armãneascã,385
ari,385
dupu,375
suntu,364
izvuri,360
în,358
fu,351
multu,347
atsea,330
mari,327
avea,326
nai,322
iu,313
cãsãbãlu,305
lu,299
alti,280
cãndu,277
republica,275
li,274
multi,269
aflã,254
cãsãbã,250
trã,241
nafoarã,239
ditu,237
pãnã,235
din,233
ira,229
nuntru,225
loc,222
numa,213
ni,209
bãnãtori,208
chivernisea,204
mare,202
in,192
si,186
stat,184
vedz,182
chiro,175
cum,168
capital,165
parti,165
cama,164
va,151
chirolu,150
etc,147
europa,147
cai,145
lji,145
da,144
km,142
pri,140
pe,139
of,138
partea,138
scopia,136
hibã,135
armãnescu,134
aestã,133
districtulu,133
terra,132
ashi,131
prota,131
romãnia,129
populatsia,129
biblioyrathilj,127
bãneadzã,127
om,127
alu,126
sum,125
seculu,123
armãnjlji,122
elementu,122
armãnji,121
are,120
faptu,120
sã,118
ãn,118
nica,117
bana,117
ta,116
tuti,113
el,113
the,113
anamisa,112
anj,112
ii,109
soni,109
beligrad,109
muri,108
se,107
armãnjlor,106
care,103
machedonia,102
mai,102
lucru,101
protlu,99
le,97
cumu,97
aestu,97
mash,97
loclu,96
poati,96
numiru,96
shtip,95
au,94
constantin,93
fãrã,93
chimicu,92
lor,91
culturã,91
shcurtu,91
tora,89
isturia,89
an,88
atomicu,88
atsel,87
pisti,86
ninti,85
adarã,84
sãntu,83
parte,83
casã,83
armãnj,82
pt,82
sculii,82
şi,81
gãrtsia,81
adratã,81
meslu,81
hoara,80
soi,79
tra,78
fig,78
una,77
ninga,77
pit,76
este,76
amintã,75
limbili,74
iasti,74
omlu,74
carti,74
pentru,74
limbã,73
locu,73
vãsãliili,73
cãtrã,73
frãndzã,73
hoarã,73
multsã,72
adrã,72
bucureshti,72
ahurhi,72
vil,72
tutã,71
aradã,71
njits,71
nã,70
na,70
deadun,70
trei,70
familia,70
vãrã,70
deadi,70
des,70
anu,70
bituli,69
armãneshtsã,69
omu,69
casa,69
azã,68
resursi,68
tut,68
prefectura,68
petar,68
mãri,67
lucra,67
istoria,66
relighia,66
lucreadzã,66
ljei,65
cartea,65
dau,65
www,64
bãna,64
fatsi,64
mică,64
nord,63
crushuva,63
asburãti,63
isvuri,63
http,63
tru,63
editura,63
ori,63
misha,63
unui,62
oarã,61
cultura,61
icunumia,61
muriri,61
zborlu,61
aclo,61
dzuã,61
asia,60
scriitori,60
lilici,60
para,60
câsâbadz,59
lj,59
plantã,59
der,59
regiunea,59
tuts,58
marea,58
noi,57
unâ,57
elu,57
und,57
truplu,56
atumtsea,56
face,56
fi,55
and,55
aproapea,55
lână,55
limbãljei,54
europeanã,54
th,54
statu,54
nicola,54
facultatea,54
su,54
vasili,54
mic,54
armãnã,53
faptã,53
unia,53
martsu,53
lucri,53
bun,53
mi,52
armãn,52
dzãtsi,52
sculia,52
petrovich,52
ligãturi,51
numã,51
dzua,51
oaminj,51
anji,51
facu,51
capitala,50
ia,50
banã,50
cãrtsã,50
adrati,50
moscopole,49
armãneshci,49
featsi,49
adzã,49
et,49
membru,49
contra,49
cap,49
lã,49
america,49
specie,49
polim,48
doi,48
cafi,48
vâryârie,48
puţin,48
njegosh,48
web,47
td,47
les,47
facã,46
sta,46
furã,46
aminti,46
sãrbeascã,46
arbinishii,46
vãryãreashti,46
rău,46
eta,45
ama,45
pp,45
nushici,45
andreu,45
vãryãrie,45
estimarea,45
adutsi,45
cozara,45
dr,44
armãneashti,44
alexandru,44
marli,44
cãsãbãlui,44
prezidentu,44
loru,44
idghea,44
sau,44
machidunia,44
lipseashti,44
dupã,44
polimlu,43
ce,43
poezii,43
xx,43
vini,43
turlii,43
natsionalã,43
fapturi,43
vâryâriecâsâbadz,43
chimie,43
polandia,42
cãsãbadzlj,42
să,42
sãrunã,42
nitsi,42
ashitsi,42
ispeti,42
obiectu,42
aesti,42
earbã,42
obiectul,42
du,41
mesi,41
africa,41
bunãoarã,41
machidunii,41
că,41
aleptu,41
nicolae,40
vrea,40
amãnat,40
viena,40
sãrbii,40
educatsii,40
makedonã,39
curi,39
gãrtseascã,39
artã,39
aprir,39
adrat,39
patru,39
njicã,39
lungu,39
not,38
makedonia,38
vurgaria,38
cãsãbadz,38
ghini,38
alantã,38
shtiintsã,38
tsiva,38
profesor,38
evenimente,38
fel,38
mâncare,38
hotelu,38
naima,37
zboarã,37
evropa,37
iara,37
nãs,37
pãrtsã,37
belemace,37
bagã,37
academia,37
alanti,37
scriitor,37
elji,37
cali,37
palata,37
