word,count
на,989484
по,461163
года,427243
из,373778
не,334068
году,325258
что,281900
для,275329
от,249121
как,240283
был,230324
его,230270
за,212800
также,191299
до,176314
он,174649
при,156736
или,142298
после,137819
но,130579
были,119795
во,117649
было,116520
время,116062
была,113727
это,103989
то,91402
их,90208
под,89798
же,88149
так,86882
её,79478
россии,76201
более,75569
примечания,69795
только,66719
который,66460
со,66250
является,65113
однако,64120
год,64089
ссср,63419
где,62114
они,61078
города,59831
том,59676
области,59638
ссылки,59041
сша,58487
которые,56735
того,55023
между,54904
лет,54454
века,54007
когда,52995
все,51553
она,50317
человек,50112
этого,49046
стал,48500
см,47934
этом,47652
может,47176
км,46782
через,46121
войны,45673
ещё,44703
род,44563
чтобы,43261
часть,41532
уже,41228
один,41189
которых,41130
город,41056
несколько,39259
история,39226
около,38949
состав,38829
есть,38374
этот,37472
других,37349
декабря,36755
годах,36634
которой,36253
например,36114
быть,36051
если,35889
группы,35793
них,35689
годы,35629
района,35506
части,35283
тем,35079
ему,34973
всего,34965
всех,34897
против,34663
литература,34574
место,34452
два,34317
об,33757
российской,33729
другие,33354
первый,33298
территории,33059
им,33005
название,32882
времени,32872
над,32776
жизни,32712
которая,32495
можно,32477
затем,32433
среди,32340
районе,32291
второй,31866
своей,31722
мира,31405
чем,31039
без,30805
которого,30674
фильм,30531
вместе,30294
января,29963
мая,29867
истории,29803
себя,29208
качестве,29092
июля,29017
сентября,28839
октября,28776
августа,28769
марта,28704
этой,28424
годов,28222
числе,28010
июня,27914
кроме,27611
двух,27604
имеет,27594
работы,27559
фильмы,27310
получил,27062
лишь,27000
период,26928
апреля,26925
три,26917
население,26769
ноября,26282
свою,26140
своего,25912
советский,25903
образом,25857
имени,25780
даже,25756
согласно,25723
связи,25699
день,25322
очень,25035
могут,24829
населения,24809
конце,24772
одной,24647
хотя,24584
начале,24576
первой,24539
человека,24413
роль,24358
наиболее,24266
университета,24146
германии,24018
эти,23809
де,23787
армии,23757
февраля,23739
него,23679
либо,23671
результате,23279
системы,23218
собой,23209
своих,23079
раз,22836
александр,22694
составляет,22653
городе,22546
некоторые,22495
перед,22319
совета,22302
район,22272
всё,22263
стали,22185
одним,22127
го,22099
группа,22064
бы,21809
часто,21446
котором,21333
стала,21330
федерации,21294
церкви,20898
являются,20822
ни,20796
генерал,20700
находится,20581
страны,20570
впервые,20553
входит,20530
составе,20525
центр,20316
менее,20237
санкт,20184
здесь,19926
имя,19917
смерти,19703
стороны,19664
франции,19451
игры,19374
площадь,19352
этих,19309
реки,19193
наук,19191
число,19163
таким,19102
республики,19089
империи,19059
будет,18931
российский,18912
сын,18870
многие,18741
две,18717
количество,18701
большой,18603
американский,18559
начала,18551
тогда,18441
обычно,18425
тот,18331
тыс,18320
почти,18320
участие,18033
власти,17971
академии,17960
поэтому,17931
гг,17861
русский,17811
жизнь,17639
языке,17615
партии,17608
компании,17553
свои,17540
больше,17533
дом,17531
млн,17525
степени,17445
новый,17297
сам,17281
биография,17262
позже,17238
людей,17208
течение,17201
чего,17159
язык,17142
случае,17062
тысяч,16949
несмотря,16839
одного,16786
поскольку,16737
союза,16530
которое,16523
частности,16504
нового,16500
культуры,16457
эта,16414
там,16340
украины,16325
земли,16270
именно,16191
премии,16155
виде,16077
некоторых,15986
фильма,15938
альбом,15932
занимает,15721
организации,15579
типа,15554
система,15541
владимир,15496
москва,15358
свой,15264
языка,15263
ранее,15263
первые,15220
мм,15132
управления,15127
такие,15089
благодаря,15077
веке,15065
станции,15011
член,15001
ряд,15001
др,14902
другой,14821
москве,14788
полностью,14780
первым,14762
своё,14755
область,14741
режиссёр,14718
члены,14714
список,14679
впоследствии,14665
стало,14662
первая,14634
деревня,14603
мировой,14500
русской,14497
первого,14485
общества,14482
одна,14460
иногда,14419
таких,14419
настоящее,14413
ней,14370
ним,14352
орден,14349
многих,14276
государства,14270
автор,14243
помощью,14192
различных,14178
сайте,14024
нет,14015
себе,13999
особенно,13975
вскоре,13967
сайт,13929
имеют,13928
ходе,13915
детей,13878
развития,13801
округа,13773
ли,13732
момент,13688
основном,13646
николай,13605
используется,13566
линии,13545
мире,13525
школы,13507
мир,13482
мы,13452
версии,13451
войска,13412
кино,13405
песни,13399
честь,13399
северо,13391
церковь,13371
завод,13331
россия,13316
начал,13313
своим,13296
книги,13259
основе,13190
село,13187
трёх,13182
ум,13155
родился,13151
вновь,13140
начало,13126
улица,13117
дома,13079
нескольких,13012
образования,12979
серии,12976
решение,12969
происходит,12954
много,12943
существует,12885
музей,12836
официальный,12818
данным,12816
месте,12781
президента,12687
деятельность,12678
писатель,12636
деятель,12621
деятельности,12613
новой,12550
государственный,12537
войск,12508
нью,12463
европы,12462
работал,12444
движения,12398
большинство,12338
сергей,12314
первых,12312
земле,12295
отец,12261
слова,12236
права,12117
нём,12117
роли,12100
развитие,12048
работу,12001
король,11954
команды,11952
позднее,11903
великобритании,11891
которую,11876
значение,11869
актёр,11832
компания,11797
самых,11777
самым,11752
действия,11730
александра,11709
названием,11650
советского,11597
практически,11596
короля,11574
дней,11567
михаил,11566
острова,11561
юго,11553
института,11541
должен,11538
тех,11535
герой,11523
кто,11507
проект,11491
производства,11466
этим,11448
стран,11441
четыре,11421
места,11403
мнению,11386
возможно,11369
