word,count
ся,14960
на,14472
року,6469
до,6191
од,5298
по,3933
быв,3688
не,3328
за,2914
як,2827
одказы,2640
суть,2488
але,2401
референции,2342
жерела,2287
або,2222
село,2035
про,1998
была,1961
же,1811
референції,1721
были,1672
тыж,1668
рокы,1648
подїї,1627
народили,1566
вмерли,1563
было,1515
котры,1513
де,1490
ку,1460
котрый,1450
во,1439
его,1423
подля,1410
мать,1358
лем,1303
што,1256
км,1217
то,1162
котра,1160
области,1154
при,1150
села,1130
роках,1023
история,993
том,979
под,963
подѣи,958
зоз,958
руси,952
рока,950
умерли,943
язык,939
штатів,923
уродили,908
ред,906
того,874
стороча,865
пункты,854
глави,849
населены,838
так,829
аж,824
энциклопедия,819
го,814
роцї,798
пак,786
яко,777
коли,761
ужгород,759
сша,758
ай,745
языка,718
меджи,708
писатель,696
их,695
через,692
краю,669
котре,667
часть,663
украины,661
день,650
окресї,644
словарь,642
быти,640
уже,625
из,625
мають,619
назва,595
зо,590
русиньскы,588
ей,585
тот,576
область,570
др,570
над,568
части,567
ту,559
може,554
район,544
словеньску,541
поет,539
україни,530
селѣ,530
юговыходї,528
ссср,527
около,526
міста,521
му,517
подкарпатской,512
первый,507
став,505
та,505
школы,503
войны,503
раз,503
історія,502
місто,501
мала,496
жытелїв,490
закарпатской,488
мав,479
достав,478
русины,471
энциклопедический,471
перед,461
польску,461
жебы,460
москва,459
еще,456
енциклопедія,455
переважно,451
педагог,448
тым,447
ёго,446
час,446
часто,446
город,446
польска,445
там,444
европы,440
тоты,438
тото,437
родины,437
словеньска,436
котрых,435
словакии,431
днесь,428
часѣ,414
календарю,406
тай,401
закарпаття,401
великый,400
із,399
иван,397
ґреґоріаньскім,394
русиньскый,394
наук,387
той,387
находить,384
історії,383
кінце,380
свою,378
рікы,376
сс,376
них,375
без,374
ці,374
зачав,371
школа,370
еден,368
три,368
свого,367
оставать,366
переступнім,365
русь,365
тому,358
лежить,356
центер,355
россии,352
живота,352
перва,351
міджі,350
мали,349
особ,345
русинів,343
лемківскы,340
истории,339
акції,339
україны,336
обывательство,334
изд,334
вісла,334
май,332
священик,331
котрой,331
лемківске,330
биография,329
два,328
його,328
людей,323
дѣятель,322
зачатку,321
гл,321
окрес,319
штат,318
їх,317
мож,317
добѣ,317
ст,316
родаци,315
цм,315
русинскый,313
число,312
державы,310
