word,count
mu,61086
muri,30704
ya,22429
ku,21354
na,18417
wa,15638
ni,13679
kandi,10012
rwanda,9433
yo,9096
no,8728
cya,8567
ko,7810
cyane,6271
kuri,6110
bw,5387
cy,5361
cyangwa,5053
by,4961
ry,4948
afurika,4761
ndetse,4699
mbere,4695
bwa,4625
ari,4601
rya,4350
aho,4293
hamwe,4016
nyuma,3873
nka,3743
nk,3738
igihugu,3441
umukinnyi,3355
gihe,3079
ka,3017
mwaka,2983
ikipe,2868
bya,2812
ariko,2773
isi,2750
yari,2720
ngo,2700
izina,2687
rw,2686
kuva,2681
bwo,2650
reba,2586
hagati,2539
mpuzamahanga,2514
kugeza,2486
za,2485
abantu,2465
ibidukikije,2439
kuba,2413
iyi,2411
wo,2408
ubuzima,2387
umwuga,2356
kugira,2351
akaba,2305
iyo,2282
ba,2238
imyaka,2238
we,2134
rwa,2125
ubu,2114
kaminuza,2067
kuko,2063
byo,2060
cyo,2044
filime,2041
neza,2040
uko,2033
imbere,1998
amazi,1975
leta,1969
umuyobozi,1926
umuryango,1924
igihe,1879
akarere,1866
zo,1853
kubera,1828
abaturage,1791
kigali,1775
hari,1717
abagore,1665
afite,1655
uganda,1643
harimo,1643
ibyo,1640
buryo,1630
amashakiro,1603
metero,1602
amerika,1579
the,1579
kabiri,1572
karere,1571
shampiyona,1562
gahunda,1548
buri,1513
kimwe,1508
ibihugu,1502
umwe,1481
ikirere,1478
ibikorwa,1478
gihugu,1476
ubucuruzi,1468
gusa,1463
iki,1442
rusange,1441
iterambere,1440
of,1428
uburyo,1419
uyu,1412
byinshi,1400
mukuru,1393
uruhare,1391
hanze,1380
indwara,1376
ibindi,1370
ikigo,1366
congo,1365
yavutse,1340
de,1324
firime,1324
umupira,1312
ye,1287
amaguru,1268
munsi,1257
amategeko,1241
gukora,1238
abana,1227
ubukungu,1225
rwego,1225
ubwo,1224
amashyamba,1217
bo,1213
uburenganzira,1211
ifite,1210
ibi,1207
amateka,1205
icyo,1205
rwo,1194
hafi,1162
ryo,1157
amashuri,1157
yatangiye,1147
ibiti,1128
iri,1127
ingaruka,1126
amafaranga,1124
fc,1120
kugirango,1112
nyinshi,1090
banki,1082
yabaye,1076
umuntu,1072
ubutaka,1052
ahantu,1052
yakinnye,1050
imikino,1048
rimwe,1046
umusigiti,1029
umujyi,1026
kenya,1014
myaka,1011
benshi,1007
ishuri,991
hejuru,977
umusaruro,974
bihugu,961
bari,961
miliyoni,961
bitandukanye,959
imwe,955
kongo,948
bikorwa,946
repubulika,937
ukina,934
filimi,932
ukomoka,929
nubwo,921
and,913
yose,911
ubushakashatsi,909
mugihe,896
ubuhinzi,891
bafite,890
politiki,887
ubwoko,871
umugore,870
yaje,868
nta,867
maze,865
amasezerano,864
gutera,862
perezida,853
umugezi,853
mikino,848
kubungabunga,835
igikombe,834
ubumenyi,817
muntu,813
guverinoma,809
ishami,809
byose,807
igihembo,807
in,790
serivisi,779
ubumwe,776
kurwanya,771
iburasirazuba,770
ibinyabuzima,770
references,769
inama,769
siporo,765
imbuto,762
umurenge,761
gukoresha,758
ibintu,755
mutarama,747
umubiri,747
intara,745
igice,737
ikoranabuhanga,733
kugera,729
wavutse,729
ikiyaga,724
imihindagurikire,722
mujyi,718
uwo,716
itsinda,714
virusi,712
demokarasi,710
yakoze,707
binyuze,706
hanyuma,705
uburezi,697
ihuza,696
abandi,694
se,693
cyiciro,693
gutanga,691
amashanyarazi,691
isoko,690
ibihe,688
naho,688
impamyabumenyi,685
gukina,680
kanama,679
werurwe,675
itera,674
guteza,673
menshi,673
mata,672
kw,671
nyakanga,669
imiterere,668
bimwe,666
ingufu,664
ntabwo,662
gatatu,661
nko,661
abakinnyi,661
bitewe,658
afrika,656
aba,654
epfo,649
nkuru,648
cye,648
kubona,648
inkunga,647
imari,645
ibihembo,645
ufite,644
ibibazo,643
kamena,643
intego,642
yatsindiye,640
nzeri,639
izindi,638
sida,637
ibimera,636
muryango,634
imirimo,632
iharanira,631
umwaka,630
bijyanye,628
umushinga,626
abagabo,623
bwite,621
uruzi,620
imibereho,620
imvura,616
kugabanya,614
ubushyuhe,612
ikaba,611
yepfo,610
olempike,608
yitwa,606
amashusho,606
tanzaniya,605
inyoni,605
minisitiri,600
yatsinze,599
ubushobozi,595
akazi,595
gufata,594
ubuyobozi,592
majyaruguru,590
ibikoresho,590
gashyantare,589
kwa,586
umwana,579
yize,579
jenoside,578
inyandiko,577
minisiteri,577
gana,576
bityo,570
majyepfo,569
akora,568
icyiciro,566
gicurasi,563
imiti,563
umukino,562
amoko,561
kongera,557
marushanwa,557
agaciro,554
ukuboza,549
bituma,547
ati,546
imibare,545
nziza,542
amakuru,542
club,542
indirimbo,541
umwanya,541
ikibazo,541
amajyepfo,539
birimo,537
gishinzwe,536
umuco,536
inganda,530
turukiya,529
bwoko,528
yabereye,528
mukino,527
yagize,522
film,521
ntara,518
ubukerarugendo,517
bose,516
yavukiye,513
avuga,513
kurya,513
imbaraga,507
as,507
amarushanwa,507
akamaro,505
urubyiruko,505
ibitego,504
zitandukanye,503
kinini,500
umubare,499
mwanya,499
ibiri,498
ugushyingo,498
yinjiye,496
kera,495
yitabiriye,494
uruganda,489
dr,488
biri,486
kubaka,484
yabo,480
ukwakira,478
inyungu,478
urugero,476
iserukiramuco,475
