word,count
уонна,42299
диэн,30821
саха,23149
киһи,21329
бу,15754
сыллаахха,14690
ол,13712
да,11314
сыл,10311
дьон,10177
буолар,9340
улахан,8514
суох,7988
биир,7909
баар,7629
эрэ,7477
күнүгэр,7227
оҕо,7085
аан,7076
сөп,7039
икки,6624
курдук,6570
кини,5994
дойду,5846
ыйын,5742
баран,5519
элбэх,5466
төрөөбүттэр,5456
кытта,5418
бастакы,5351
эбэтэр,5278
ордук,5020
кыра,4954
этэ,4942
буолан,4935
эмиэ,4810
онтон,4801
быһаарыылар,4671
тыл,4664
атын,4553
сирин,4487
олус,4444
сахалар,4407
туһунан,4362
күнэ,4235
өссө,4209
санаа,4193
иһин,4157
улууһун,4149
үчүгэй,4113
араас,4066
билигин,4026
куһаҕан,3963
саҥа,3856
туох,3847
санаата,3828
оҥорор,3777
бары,3765
арассыыйа,3680
буолбут,3586
буолбута,3527
дьокуускай,3418
аата,3407
сс,3398
орто,3303
ону,3301
айыы,3211
өйө,3188
сүрүн,3176
кэмҥэ,3149
өлбүттэр,3145
өй,3126
былыргы,3109
биллэр,3096
бэйэтин,2994
эбит,2989
асср,2986
күн,2945
үрдүк,2924
улуу,2895
ахш,2887
куорат,2872
хас,2870
аһара,2860
сиригэр,2855
диэри,2836
маны,2830
сирэ,2737
таҥара,2726
олоҕун,2721
сылдьар,2649
км,2645
иһэр,2620
бэйэтэ,2615
кэмигэр,2590
үлэ,2585
турар,2560
аатынан,2554
сигэлэр,2543
үтүөлээх,2528
кэнниттэн,2523
сир,2514
төрөөбүт,2511
дьоно,2486
киинэ,2473
якутск,2472
от,2471
үөрэх,2460
ити,2444
омук,2435
дойдуга,2427
ийэ,2419
барыта,2416
сылтан,2392
көр,2376
ханнык,2351
иккис,2299
тутар,2280
олох,2269
маннык,2236
саамай,2232
уус,2223
кэлин,2222
бүлүү,2209
өрөспүүбүлүкэтин,2208
үс,2183
ытык,2181
буолуу,2180
аҕа,2175
киирэр,2169
туспа,2161
олорор,2158
ссрс,2153
сылга,2146
онно,2137
үөһээ,2131
сэрии,2129
сэбиэскэй,2124
кулун,2118
илин,2105
киин,2075
тылын,2073
эмэ,2066
тохсунньу,2030
буола,2025
кыһыл,2018
сыыһа,1992
кэннэ,1986
тугу,1969
баҕа,1967
үөрэҕэ,1964
быһыытынан,1955
киһини,1949
куоракка,1944
олоххо,1942
оҕону,1942
ахсаана,1923
сылларга,1921
оҥорон,1910
улууһа,1908
төрөөбүтэ,1896
нуучча,1866
үөрэҕин,1863
үлэлиир,1857
ахсынньы,1851
кут,1850
бастаан,1836
үрүҥ,1808
николай,1803
кинилэр,1790
соҕуруу,1789
муус,1784
санаатын,1781
буоллаҕына,1776
олунньу,1771
бэс,1771
уһун,1756
сайдан,1737
дьиэ,1733
сахалыы,1732
киһиэхэ,1715
улаатан,1713
алтынньы,1700
таһынан,1696
арҕаа,1688
саҥаны,1683
дьону,1672
на,1663
сэтинньи,1658
бэйэлэрин,1655
устар,1649
эрээри,1645
иһигэр,1643
ил,1643
хара,1638
ааттанар,1638
сэриитин,1637
эдэр,1636
даҕаны,1635
быһаарар,1633
алпаабытынан,1623
куһаҕаны,1612
хаһан,1607
тыла,1601
үчүгэйи,1601
