word,count
de,161503
su,89028
in,67315
sa,65089
est,28885
chi,24844
sos,20173
is,19216
dae,14824
unu,14546
cun,14112
pro,13790
una,13561
sas,11762
si,10960
prus,8986
at,8733
fiat,7234
un,6558
istadu,5679
sunt,4985
comente,4873
aiat,4799
fintzas,4760
pustis,3428
non,3308
di,3300
annos,3154
ma,3052
totu,3016
no,2953
custu,2865
la,2824
po,2820
sardigna,2807
meda,2793
ant,2754
àteros,2739
parte,2671
intre,2652
istados,2641
sua,2612
limba,2495
fiant,2480
tzitade,2390
ca,2373
fatu,2347
che,2273
unos,2247
the,2155
ue,2113
bidda,2014
manera,1936
istada,1933
custa,1932
siat,1922
tempus,1856
manna,1833
annu,1832
casteddu,1828
subra,1826
medas,1758
èssere,1749
tenet,1744
suo,1716
cando,1687
sardu,1659
aiant,1642
santu,1617
gherra,1607
primu,1588
provìntzia,1580
il,1510
prima,1475
finas,1474
italianu,1465
progetos,1465
segundu,1460
puru,1455
sud,1454
mannu,1445
sarda,1434
bividores,1428
tres,1393
fit,1344
bi,1330
agatat,1306
pagu,1305
istòria,1299
nùmene,1272
tzitades,1253
matessi,1247
ìsula,1239
capitale,1224
podet,1191
logu,1185
duos,1180
mundu,1173
territòriu,1148
oe,1145
mare,1126
duas,1124
nde,1084
issoro,1083
of,1078
km,1066
regione,1044
cale,1043
populatzione,1041
sèculos,1025
europa,1015
antis,1012
roma,999
die,995
nord,989
paris,986
limbas,983
sistema,971
del,954
issu,932
àteras,925
unidos,924
segunda,921
faghet,920
tzentru,897
terra,895
durante,894
diat,888
contra,887
sardos,874
importu,866
tando,857
grupu,856
suta,842
suos,832
della,830
itàlia,828
benit,821
abitantes,816
duncas,808
fine,807
lu,805
santa,798
mancari,795
italiana,792
giai,788
funt,782
cultura,781
tentu,779
custos,772
repùblica,767
petzi,760
tàtari,756
vida,744
frantza,742
semper,739
unas,736
carchi,734
nùgoro,716
galu,714
nche,705
postu,698
dd,694
unione,693
sardegna,691
suas,689
crèsia,687
regnu,684
cussu,679
nùmeru,676
guvernu,673
pius,671
foras,663
and,661
riferimentos,652
intro,651
maria,649
perìodu,645
regia,643
custas,642
comunes,642
sèculu,640
le,640
mèdiu,640
comunidade,638
ovest,636
cosa,630
mundiale,630
noa,626
edade,622
fàghere,622
persones,622
ii,620
aristanis,619
cantu,619
re,617
chin,617
mesu,611
frantzesu,611
forma,609
mescamente,607
me,605
comunu,602
universidade,601
posta,599
bator,597
impreu,596
nou,594
difatis,593
cantos,585
traballu,584
cara,584
peri,584
ìsulas,583
cussa,583
puntu,583
mese,583
italia,578
amèrica,576
issos,574
mentras,574
podent,566
impèriu,565
norte,556
ddu,554
tra,554
austu,553
nàrrere,547
otzidentale,547
maju,544
làmpadas,542
primos,540
domo,537
abrile,536
milano,534
martzu,533
festa,532
àere,532
inglesu,532
banda,530
film,530
ispagna,526
casu,525
milliones,522
mortu,521
ufitziale,520
arte,519
morte,518
cales,516
ddi,514
comuna,514
monte,512
nd,510
àteru,507
totus,506
àrea,505
biddas,504
nadale,503
economia,503
seculu,503
romanos,501
italianos,501
sant,497
generale,493
san,493
album,491
estu,490
presidente,490
natzionale,490
però,489
zona,488
mannas,485
europea,484
livellu,483
latinu,481
diferentes,478
natziones,478
àtera,477
da,477
curtzu,477
los,477
al,476
sende,475
li,471
agatant,470
gasi,469
polìtica,469
antiga,467
minore,464
internatzionale,461
germània,460
abba,459
prèmiu,457
orientale,456
iscritu,454
belle,451
metros,450
orìgine,445
it,444
partidu,443
dies,442
pòdere,441
comenti,440
tzentrale,438
printzipale,436
torradu,434
istadas,433
sèrie,433
new,433
teniat,428
cabudanni,428
borta,427
como,426
usa,426
importante,425
bortas,424
narat,424
fattu,423
paisu,423
famìlia,422
longu,421
connotu,420
mai,419
paisos,419
tedescu,417
sun,417
autònoma,416
ispagnolu,415
territòrios,415
sighidu,412
esternos,412
con,411
òpera,409
metropolitana,408
mùsica,407
contat,404
issa,402
et,401
bibliografia,399
movimentu,397
militare,396
isvilupu,396
riu,394
ghennàrgiu,393
esser,392
tipu,392
tenent,392
notas,391
sotziedade,390
culturale,386
imbetzes,384
mannos,383
òperas,383
majoria,382
naradu,382
campu,382
deretu,381
cada,379
contu,378
època,378
torrada,376
portu,376
printzipales,376
fata,374
mancu,373
mama,373
sede,372
antigu,370
parti,370
freàrgiu,369
fundada,368
impreadu,367
intra,366
ispagnola,366
ala,365
ligàmenes,365
àfrica,365
essi,363
publicadu,361
solu,360
poi,360
giovanni,359
base,358
làcana,358
elementos,358
sitzìlia,358
torrare,358
aìat,358
rennu,357
romanu,357
babbu,356
ada,356
sena,355
ses,354
milanu,353
natzione,351
cabu,350
cantas,349
bia,349
museu,349
manu,349
