word,count
di,133276
lu,54112
la,45586
dâ,31981
li,29286
ca,22088
na,21166
dû,20407
nu,18597
pruvincia,16429
si,15295
pi,13024
ntô,12416
cu,11998
cumuni,11669
un,9722
dî,9670
comu,8789
fu,8457
nta,7807
ntâ,7687
chi,7363
nun,6780
sò,6607
cchiù,6191
talianu,6172
cumuna,6064
puru,5148
the,5048
havi,4927
sicilia,4697
abbitanti,4464
sunnu,4452
in,4371
da,4302
ma,4143
ri,3861
sèculu,3777
supra,3765
tra,3590
era,3551
parti,3504
morti,3452
de,3407
lingua,3232
anni,3153
macari,3151
ci,3085
veni,2979
tutti,2910
assai,2868
prima,2790
eni,2782
sicilianu,2756
granni,2748
unni,2740
siciliana,2734
statu,2722
nomu,2703
stu,2681
storia,2681
san,2648
nti,2564
dui,2509
doppu,2487
pupulazzioni,2477
àutri,2440
quannu,2440
sta,2429
of,2395
du,2386
abbinimenti,2346
gruppu,2268
citati,2255
pò,2236
dô,2226
circa,2222
cui,2220
paisi,2136
nati,2135
pâ,2124
italia,2120
cità,2109
ntê,2082
siciliani,2004
sulu,1980
primu,1962
unu,1947
stati,1906
èssiri,1746
so,1725
palermu,1692
francisi,1656
vinni,1639
lijami,1629
ppi,1624
sutta,1623
ntra,1588
lummardìa,1584
dê,1580
roma,1572
munnu,1569
mpurtanti,1554
fari,1528
attrova,1488
tempu,1473
catania,1465
re,1449
canzuni,1422
iddu,1402
annu,1386
ii,1384
una,1376
mari,1370
sud,1353
all,1333
foru,1330
cci,1327
fa,1326
tanti,1322
nto,1321
uniti,1318
album,1308
diversi,1305
tri,1300
guerra,1294
câ,1290
santu,1288
nni,1274
piemunti,1268
chiddu,1263
fora,1259
mentri,1238
ogni,1235
avìa,1231
unitati,1231
situ,1231
nord,1230
famigghia,1225
vita,1223
regnu,1217
queen,1216
nzinu,1207
and,1205
fattu,1192
duranti,1187
calabbria,1180
secunnu,1177
tuttu,1176
fici,1172
chidda,1160
papa,1158
su,1150
il,1149
al,1140
hannu,1135
sô,1134
cosi,1130
stissu,1124
sistema,1115
ngrisi,1107
capitali,1103
centru,1098
fini,1097
rock,1092
premiu,1092
canzuna,1090
francia,1088
to,1085
ra,1085
talìa,1080
sempri,1077
quali,1072
non,1069
cantanti,1069
ufficiali,1067
