word,count
the,420183
in,191364
an,176069
is,93634
tae,70237
wis,48918
as,41229
frae,34808
bi,32271
it,31538
wi,31423
on,30386
for,29678
fowk,23670
references,21295
at,20997
that,20858
american,19362
ceety,19162
haes,15553
are,15442
de,15037
of,14786
its,14623
or,14511
he,14309
destrict,14254
aw,13968
municipality,13681
his,13633
province,13291
population,12787
century,12191
scots,11690
toun,11559
ane,11487
unitit,10581
first,10578
which,10420
states,9753
aurie,9658
and,9397
sooth,9268
places,9205
new,9012
this,8917
kent,8624
north,8619
haed,8414
airtins,8177
name,8139
locatit,8021
warld,8003
efter,7948
san,7877
inglis,7776
coonty,7764
maist,7751
war,7732
be,7726
state,7723
freemit,7543
populatit,7493
ither,7456
municipalities,7406
region,7328
players,7265
pairt,7137
twa,6964
births,6764
scotland,6638
roushie,6503
she,6486
but,6407
ceeties,6395
her,6351
year,6351
been,6153
hae,6017
intae,5924
wur,5851
st,5818
km,5817
born,5816
french,5812
caipital,5729
east,5676
oblast,5585
history,5549
la,5522
film,5490
aboot,5413
naitional,5408
members,5384
male,5379
veelage,5240
wast,5164
syne,5156
see,5090
river,5056
admeenistrative,5015
atween,4995
umwhile,4975
daiths,4955
day,4899
centre,4896
mey,4870
german,4784
established,4780
thare,4722
time,4669
films,4663
ower,4627
unner,4604
breetish,4519
aa,4486
offeecial,4467
mony,4466
leid,4395
up,4385
no,4384
touns,4378
mair,4322
thair,4312
order,4304
kinrick,4273
republic,4251
some,4212
fraunce,4206
uised,4165
depairtment,4111
internaitional,4110
varsity,4107
winners,4094
mexico,4082
three,4061
spain,4033
central,3981
who,3973
actors,3956
livin,3953
pairty,3948
durin,3810
al,3788
preses,3783
lairgest,3772
cup,3742
cried,3732
seicont,3692
strynd,3691
league,3649
kintra,3645
govrenment,3613
series,3596
thay,3579
main,3552
roman,3538
televeesion,3487
to,3462
el,3443
best,3436
northren,3435
alumni,3337
germany,3324
destricts,3308
fitbawers,3279
years,3276
wastren,3264
santa,3244
writers,3218
club,3215
fitbaw,3206
italian,3204
wabsteid,3163
metal,3160
census,3154
europe,3140
can,3053
ii,3050
includin,2991
local,2989
later,2973
kirk,2965
made,2923
album,2918
hoose,2911
whaur,2893
sea,2890
municipal,2879
baith,2876
based,2874
mairch,2849
union,2838
john,2834
several,2834
auld,2804
european,2788
awaird,2785
when,2760
januar,2746
leids,2745
faimily,2728
bein,2726
groups,2708
actor,2708
grand,2706
italy,2679
uk,2671
follaein,2664
ingland,2662
became,2642
till,2625
nae,2588
early,2574
baund,2555
muisic,2543
del,2535
major,2532
fower,2524
actresses,2515
nor,2498
nou,2466
afore,2466
well,2463
heich,2462
foondit,2455
station,2434
place,2417
group,2411
julie,2411
aroond,2402
while,2399
spaingie,2396
august,2391
sic,2382
oot,2361
by,2353
hame,2345
island,2343
urban,2341
great,2336
soothren,2324
juin,2324
october,2323
september,2321
pairish,2303
member,2302
general,2301
ryal,2291
politeecian,2288
oaxaca,2285
sangster,2278
nummer,2273
cheenae,2257
weemen,2256
november,2252
soviet,2244
muisical,2243
then,2223
their,2216
biggit,2202
throu,2199
important,2171
team,2169
fitbawer,2169
lunnon,2158
accordin,2155
kintras,2149
york,2147
road,2141
veelages,2138
line,2131
life,2127
association,2110
king,2095
seat,2095
actress,2082
recipients,2069
sangsters,2067
include,2057
steid,2057
they,2055
near,2049
greek,2047
japan,2043
eastren,2036
alang,2031
leet,2031
academy,2026
white,2024
californie,2024
same,2003
notes,2001
indie,1992
armenie,1989
cooncil,1954
modren,1950
law,1947
december,1945
million,1937
banner,1937
politeecians,1935
world,1934
dounset,1927
sister,1925
empire,1922
end,1922
schuil,1917
brazil,1913
provinces,1913
februar,1911
africae,1909
establishments,1904
refer,1888
auncient,1885
australie,1884
female,1883
port,1878
him,1877
black,1870
fae,1865
company,1858
total,1857
third,1854
five,1848
los,1844
ireland,1838
poleetical,1837
released,1837
pairlament,1834
companies,1824
mexican,1819
species,1819
daith,1818
watter,1809
saunt,1802
lairge,1798
muckle,1797
records,1792
mps,1791
set,1789
fifa,1768
auries,1763
asie,1760
lang,1759
territories,1750
james,1743
militar,1737
jewish,1732
raion,1731
americae,1730
acause,1721
meenister,1714
turkey,1712
whan,1706
korea,1700
islands,1698
austrick,1696
clubs,1693
metropolitan,1692
bc,1690
athin,1689
age,1687
days,1683
dividit,1671
wad,1668
thir,1666
last,1665
airport,1654
erse,1645
duke,1629
pouer,1627
coast,1623
covers,1622
city,1618
named,1609
govrenorate,1602
inhabitants,1598
fur,1596
period,1596
times,1595
college,1595
present,1594
due,1593
wha,1592
castle,1590
regions,1588
prime,1587
rock,1577
commonty,1571
colombie,1567
economy,1547
live,1546
argentinae,1544
production,1543
aprile,1543
sports,1540
estonie,1537
fitbaa,1522
african,1517
ukraine,1515
saint,1512
til,1511
than,1511
landwart,1508
simmer,1507
japanese,1507
player,1507
open,1506
played,1500
federal,1499
against,1497
caur,1496
back,1489
public,1485
sang,1482
climate,1478
creatit,1473
cultur,1473
includes,1472
historical,1470
william,1467
wan,1466
level,1461
pop,1459
seestem,1458
borders,1458
plants,1455
situatit,1450
reid,1449
writer,1447
foond,1440
common,1438
dong,1437
territory,1436
jurisdiction,1435
national,1434
street,1429
smaw,1428
still,1427
amang,1425
with,1424
current,1424
record,1422
uise,1421
do,1420
railwey,1418
moscow,1415
expatriate,1398
albums,1395
swaden,1391
guitar,1391
finland,1386
prince,1385
video,1384
popular,1382
museum,1382
late,1378
cross,1378
university,1377
left,1374
weel,1372
son,1372
regional,1365
airms,1364
gemmes,1363
israel,1361
edinburgh,1360
anerlie,1357
aften,1353
flora,1351
ae,1350
awtho,1350
there,1349
school,1347
namit,1347
was,1338
george,1334
swadish,1334
form,1328
airtists,1320
information,1317
twin,1316
middle,1311
border,1311
canadian,1310
science,1307
career,1306
airmy,1303
biggins,1302
unthirldom,1298
whilk,1295
events,1295
famous,1295
zealand,1292
pairts,1288
social,1288
juan,1288
birds,1285
anither,1284
economic,1280
status,1280
single,1274
são,1269
battle,1266
development,1266
glesga,1255
land,1254
olympic,1254
juist,1252
air,1248
vocals,1245
names,1242
catholic,1242
us,1240
canadae,1234
led,1234
cheenese,1231
side,1231
lik,1227
keeng,1224
teuk,1222
different,1220
christian,1218
forby,1216
will,1215
diveesion,1212
heid,1210
held,1209
cultural,1207
david,1207
office,1203
autonomous,1203
tennis,1202
sax,1200
housomeivver,1198
gien,1195
oreeginal,1194
relations,1194
wird,1190
such,1189
gu,1188
robert,1179
meanin,1179
sootheast,1178
ford,1178
center,1177
model,1176
began,1174
sae,1169
uefa,1169
them,1162
ceevil,1162
area,1158
dutch,1153
industrial,1153
arab,1152
pairk,1150
diveesions,1149
paris,1149
charles,1146
brazilian,1145
geografie,1141
mammals,1137
knichts,1137
blue,1137
society,1136
style,1136
scottish,1135
tot,1135
ony,1132
com,1128
plant,1127
role,1123
loch,1122
muisickers,1121
mile,1116
football,1116
service,1115
gowden,1115
queen,1114
championship,1114
means,1107
louis,1104
per,1099
mairit,1096
nobel,1091
ethnic,1091
short,1090
from,1085
abuin,1084
square,1083
maria,1083
play,1081
version,1080
like,1078
aires,1074
buenos,1068
won,1064
tho,1063
stage,1062
valley,1060
dumfries,1056
vera,1056
sirie,1056
thegither,1054
dee,1052
term,1049
rivers,1047
forces,1047
tour,1046
human,1044
villa,1044
produced,1043
iran,1043
wales,1042
biggin,1037
ingine,1034
park,1033
wirk,1033
industry,1031
indwallers,1026
currently,1025
real,1024
poland,1021
leader,1020
green,1019
expatriates,1019
election,1017
spainyie,1015
managers,1013
naitions,1012
prize,1012
santiago,1012
average,1009
finnish,1008
range,1005
olympics,1004
portuguese,1004
heichest,1003
free,1001
treaties,1000
haein,999
childer,999
faither,998
considered,998
coat,996
steids,994
telly,992
tap,990
monarchs,989
northwast,989
doun,988
final,985
few,985
emperor,985
again,982
director,980
includit,979
offeecially,977
various,972
winnin,972
meenisters,971
gemme,970
maistly,969
electit,968
localities,968
lead,965
th,963
democratic,963
ocean,959
roond,959
greater,959
egyp,958
each,957
laitin,952
united,951
sport,950
match,950
josé,950
fc,948
relatit,947
sma,946
hauf,945
anerly,942
minas,942
en,941
mak,941
said,941
chile,941
comune,941
airt,940
communes,939
services,938
richt,937
man,935
issue,934
location,934
native,932
links,932
greece,929
bass,929
mi,927
winter,924
music,924
commune,922
champions,921
men,920
thaim,919
whiles,919
here,919
heritage,918
producer,917
dáil,917
wars,912
re,912
referred,908
portugal,907
texas,907
aff,904
saison,901
hivy,897
azerbaijan,895
denmark,892
historic,892
becomes,890
vehicles,889
gowd,888
body,887
title,886
these,885
clan,884
written,884
barcelona,884
rio,883
madrid,881
coonties,881
performance,880
muntains,880
drums,880
descrived,879
lost,879
netherlands,878
alexander,876
oreeginally,875
premier,874
win,873
institute,873
professional,872
singles,872
festival,870
soothwast,868
coastal,867
drama,865
plays,862
bank,862
francisco,861
iii,860
young,859
pols,859
came,857
teep,857
okrug,856
comedy,853
co,851
design,847
independent,847
media,846
anly,845
approximately,844
transport,842
mainly,840
bay,838
gallowa,834
stairtit,832
sangs,832
argentine,832
international,831
control,830
twinned,828
non,827
recordit,827
tourism,827
gerais,827
radio,825
northeast,824
muntain,824
teams,821
during,819
medieval,818
even,818
provincial,818
sciences,816
ance,813
lees,813
calendar,811
di,811
isbn,809
site,808
special,808
aicht,805
sources,804
seen,803
front,802
commonly,800
belgium,800
genus,800
next,798
le,798
mither,795
mid,794
paul,794
foreign,794
revolution,792
lawer,791
map,790
dynasty,788
cruz,788
pedro,787
full,786
auldest,786
laund,786
hill,786
mercat,786
tv,785
michael,784
fowert,783
story,783
notable,782
philippines,781
theatre,780
railway,778
turkis,778
ain,776
roum,776
studio,776
least,775
seiven,775
ainimals,774
field,773
princess,770
korean,770
laureates,769
come,768
lake,768
business,764
post,764
dounsets,764
ithers,763
wey,762
commercial,762
chief,762
maría,762
peter,759
majority,759
medal,759
fuid,759
georgie,758
incorporatit,757
big,756
ti,754
romanie,754
breetain,753
buirials,752
caipitals,750
basque,749
whit,748
disambiguation,747
close,746
month,746
era,746
burgh,745
unit,745
available,744
built,744
force,744
event,744
hooses,743
further,743
schuils,743
red,743
far,743
beuk,742
admeenistration,742
estimatit,741
caurs,741
mediterranean,740
ad,739
introduced,739
external,738
rapla,738
presidential,736
sun,736
also,735
anti,732
leaders,730
bolivie,730
norse,729
cuba,728
henry,727
las,727
airts,725
arabic,725
faculty,725
consists,724
vyce,724
tourist,723
ottoman,723
disney,722
uisually,721
commonties,720
rd,720
gaelic,719
atlantic,718
angeles,717
apryle,716
served,716
da,716
brig,714
west,714
animatit,714
construction,713
miguel,713
bulgarie,712
welsh,711
richts,710
size,709
sur,707
award,706
ar,705
catholics,705
you,705
athort,704
eddicatit,704
residents,704
poet,702
mark,702
nuclear,701
seembols,700
hall,700
slovenie,700
did,699
agricultur,698
community,697
horse,691
politics,691
speakin,690
stations,690
little,689
becam,688
norawa,688
locality,688
www,685
south,684
labour,684
naitural,683
feection,683
project,683
especially,682
jean,681
martin,680
less,678
rule,678
leetit,677
sauld,677
track,677
thomas,676
seoul,675
models,675
represents,673
result,672
god,671
nt,670
peace,669
mayor,668
grande,668
comes,667
leadin,666
euro,666
house,666
representin,665
florida,665
awn,664
depairtments,664
fish,663
release,662
statistical,662
yird,661
ukrainian,661
mary,660
directors,659
me,658
geography,658
statistics,657
globe,657
hit,656
pynt,656
airtist,656
dochter,655
sir,655
puerto,655
krai,655
ten,654
shaw,653
eddication,653
philosophers,653
tak,652
washington,652
centuries,651
licht,651
fire,650
pape,650
crosses,650
remains,649
website,649
conservative,648
motor,647
bairn,646
surroondin,645
croatie,645
upper,644
poets,643
activists,643
act,641
bbc,640
dizember,640
releegious,639
govrenor,639
contains,639
spoken,638
those,638
murray,638
official,637
makkin,635
hungary,634
base,633
technology,631
et,631
fremmit,628
egyptian,628
through,627
if,626
sportsfowk,626
uisin,625
venezuela,625
route,624
cless,623
space,621
victoria,621
playin,620
faimilies,619
died,619
indigenous,619
wirds,618
islamic,618
show,618
annual,617
nearbi,617
birth,617
trees,616
naition,616
prefectur,616
forms,614
coud,612
we,612
na,610
feenal,609
within,607
computer,606
personnel,606
starn,604
date,603
eften,603
medallists,603
celtic,601
tradeetional,601
jews,601
douglas,600
terms,599
guid,599
gate,599
speed,599
iraq,599
transportation,599
killin,598
royal,598
wife,597
associatit,597
adoptit,596
news,595
numerous,594
guatemala,594
personal,593
all,593
rural,593
defeatit,592
serbie,592
kilometres,591
assembly,590
itsel,588
ootside,588
dens,587
fame,587
pakistan,586
vietnam,586
english,585
siller,585
designed,585
czech,585
drive,585
units,584
fellaes,584
awairds,584
latin,582
opened,580
one,580
recent,579
communist,579
hills,577
lgbt,577
seemilar,576
top,575
hidalgo,574
organisations,573
edward,573
brither,573
lebanon,573
went,572
smawer,572
marie,572
copa,572
seats,571
belgian,570
cathedral,569
rugby,569
debut,567
british,566
formed,566
my,565
despite,565
has,564
beuks,561
liga,561
pit,559
imperial,559
stadium,559
action,559
sant,559
cancer,558
products,558
elements,556
selo,556
developed,555
comarca,555
sangwriters,554
upon,554
wide,554
pre,554
petersburg,554
santo,554
agricultural,554
croun,553
lion,553
carlos,551
swisserland,551
baunds,551
socialist,550
nine,550
producers,550
gallery,549
received,549
israeli,548
schleswig,548
forest,548
chemical,548
pheesicist,547
rail,546
high,546
support,545
joseph,545
thocht,544
chairacters,544
gregorian,544
stane,543
luis,543
press,542
published,542
servit,541
pairties,540
lairger,540
williams,539
thit,537
zone,537
tree,536
rest,536
run,536
catalonie,535
london,534
dukes,534
sub,533
youth,533
formit,533
raions,533
wheel,532
tunisie,532
hong,531
district,531
acome,530
reportit,530
mar,529
court,529
page,528
author,527
lady,527
beginnin,526
kong,526
lies,526
generally,525
dae,525
split,525
paulo,525
bit,524
canton,524
appeared,522
fort,521
being,520
thailand,520
milan,520
houiver,519
kills,519
awards,519
reached,519
movie,519
ile,517
novelists,517
military,515
http,515
private,515
bird,515
lithuanie,515
indian,514
shot,514
serves,514
nadal,514
micht,513
awa,513
populous,513
sierra,512
jordan,512
dublin,511
mass,509
département,509
wee,508
peru,508
demographics,507
interest,506
richard,506
laird,506
until,505
berlin,504
code,504
jersey,501
organisation,501
saudi,501
soorces,500
runners,499
tokyo,499
metro,499
chynge,498
van,498
wild,497
appearances,497
completit,496
remained,495
stairt,494
factory,494
swiss,493
masters,493
replaced,492
so,491
traditional,491
antonio,491
attractions,491
directit,491
treaty,490
success,490
via,489
industries,489
sangwriter,489
don,489
warldwide,488
oreegin,488
wark,488
brocht,487
ivery,487
partido,487
significant,486
eventually,486
muisicker,485
colour,485
candidates,484
wirkin,483
airchitectur,483
ceity,483
separate,483
signed,483
automobiles,482
navy,480
rear,480
cawed,479
australian,479
yellae,479
muslim,479
wirks,478
previously,478
fift,477
education,477
authority,477
branch,477
iranian,476
hintle,476
vehicle,475
río,475
category,474
inhabitit,474
syunik,474
home,473
dance,472
fowkrepublic,472
champion,472
influence,471
taken,471
seembol,471
peninsula,471
ben,469
león,469
grammy,469
neebourheid,469
widely,468
section,468
taiwan,468
scientists,468
championships,467
fishin,466
activities,466
character,466
usa,466
biggest,465
earl,465
become,464
love,463
bus,462
magazine,462
continued,461
ciudad,461
ordinar,460
polis,460
persie,459
bordered,458
government,457
palace,457
research,457
growin,456
grund,456
committee,456
guerrero,456
past,454
oor,454
makin,453
semi,453
hunderyear,453
trade,452
saunts,452
hospital,452
leeteratur,450
better,450
northwastren,450
data,450
lord,449
strang,449
division,449
illinois,449
may,448
constitution,448
kirks,448
previous,448
temperatur,448
complex,448
ilka,447
iv,447
subdiveesions,447
des,446
maks,445
representatives,445
amaist,445
haw,444
go,444
snooker,444
carolina,444
soond,443
shaws,443
businessfowk,442
primarily,442
releegion,441
developit,441
county,441
old,441
cauld,440
representit,440
executit,440
town,440
aulder,439
indonesie,439
beach,439
lines,438
refers,438
paceefic,438
arabie,438
medical,437
variety,436
natural,436
virginie,436
metres,436
cam,435
subject,435
manchester,435
halidays,435
componer,435
corporation,435
bernardo,435
athens,434
case,434
france,434
stewart,434
emigrants,434
niver,433
cambridge,433
selsoviet,433
sets,432
electric,432
type,432
chihuahua,431
grew,430
foonder,430
death,430
internet,429
right,429
whose,429
gulf,428
honour,428
greatest,427
costa,427
letter,426
legal,426
energy,426
supportin,426
theory,425
jynt,425
mosque,425
executive,425
declared,424
song,423
tha,422
about,422
prior,422
tournament,422
manufacturers,422
nuevo,422
ye,421
hungarian,421
simply,421
mentioned,421
colonial,420
were,420
colonies,420
campaign,420
haly,420
killed,420
financial,419
poseetion,419
burghs,419
oxford,418
smith,418
shield,418
earlier,417
involvin,417
online,416
andrew,416
ring,416
un,416
monastery,416
fauna,416
direct,415
islam,415
touer,415
screen,415
chiapas,415
navarre,415
catalunya,415
train,414
encyclopedia,414
temple,413
helsinki,412
channel,412
racin,412
rate,411
structurs,411
ecuador,411
density,411
active,411
surroondit,410
anne,409
domestic,409
grantit,409
comedians,409
study,408
week,407
vice,407
opera,407
surface,406
libie,406
align,405
process,404
estate,404
featurin,404
ilk,403
manager,403
iceland,403
door,403
frame,403
staundart,402
star,402
federation,402
historically,401
programmes,401
stairtin,400
ice,400
principal,400
recently,400
albanie,400
class,400
granada,400
anent,399
uises,399
host,399
latter,399
point,399
titles,399
rhine,398
race,398
