word,count
lea,13565
ja,10451
leat,3809
dan,2309
gielda,2113
riegádeamit,2052
lei,1867
suoma,1864
gáldut,1858
jápmimat,1840
dáhpáhusat,1703
maid,1700
go,1648
son,1489
jagi,1469
kaleandar,1425
mii,1341
dat,1291
lohku,1287
ahte,1121
sámi,1099
gielddat,1054
jagis,1026
ii,941
mielde,938
dahje,935
geahča,907
beaivi,899
leatna,865
liŋkkat,862
norgga,852
olmmošlohku,817
eará,795
km,769
muhto,691
viidodat,689
maiddái,681
de,620
gielat,619
gávpot,611
leanas,578
su,576
fylkkas,576
davvi,538
suopmelaš,520
hálddahusguovddáš,520
ruoŧas,497
mat,497
gieldda,489
sáhttá,481
vel,481
the,480
ledje,467
oarje,460
eanangoddi,459
guovlu,441
beaivvi,430
gielddas,421
lulli,417
man,416
rádjegielddat,411
sullii,410
dahjege,409
nu,402
ain,401
mehtera,394
oaivegávpot,390
ássi,390
várri,388
beaivve,385
várit,381
birra,380
guovdageainnu,377
gullá,375
kaleandara,371
vuosttaš,369
gregoriánalaš,368
okta,366
nammabeaivvit,366
ávvudeamit,364
rájes,357
eanangottis,357
allodat,339
gilit,334
ruošša,333
dihte,325
stuorámus,311
riikkat,309
gárgádusjagi,307
mas,305
gii,303
eai,300
buot,300
dán,286
dušše,286
amerihkálaš,282
ruoŧa,280
ovttastuvvan,279
guokte,277
finnmárkku,271
áigge,271
iežas,262
dát,260
frankriikkas,260
of,259
girječálli,258
dasa,256
gávpogat,255
guovllut,255
ođđa,254
historjá,252
vári,249
gullet,245
máilmmi,244
suomas,244
das,244
ovdal,242
ortodoksalaš,241
amerihká,239
daid,239
girku,234
giella,233
juovlamánu,231
ođđajagimánu,231
namma,230
riika,229
šattai,229
fas,229
romssa,227
olbmo,226
njukčamánu,226
olbmot,224
eanangottit,223
dego,219
og,219
miessemánu,217
neavttár,216
stuorra,214
ruoŧŧelaš,212
maŋŋá,211
www,206
čoahkkebáikkit,206
dalle,205
cuoŋománu,204
borgemánu,203
nuorta,201
skábmamánu,200
gullevaš,200
regiuvnnas,200
sihke,198
golggotmánu,198
gos,197
geassemánu,196
muhtun,196
sápmelaš,195
lassin,194
guovllus,194
presideanta,192
čakčamánu,191
oassi,190
suoidnemánu,187
guovvamánu,186
hui,186
maŋŋel,186
deanu,185
doppe,184
dáža,183
leamaš,183
ovttaskas,181
riegádan,181
suomaruoŧŧelaš,181
departemeanttas,181
sii,180
frankriikka,179
seamma,179
sámiid,177
dásseváldi,175
eurohpá,174
trøndelága,174
juohke,174
gaska,171
norggas,170
vuosttas,170
eret,170
riikka,169
lávlu,169
sámedikki,168
dálá,166
nubbi,166
se,163
oaččui,161
ollu,160
olmmoš,158
gaskkas,157
stuorradiggeáirasat,157
nugo,154
girji,154
geat,153
main,153
leana,153
oulu,152
guovllu,151
dain,151
ovtta,150
dábálaččat,150
guovlogielda,150
sámegiela,149
suohkanis,149
bustávva,149
golbma,148
gonagas,148
suolu,148
logus,148
isbn,148
máŋga,147
vaikko,146
alfabehta,146
gielaid,144
govat,144
girjjálašvuohta,143
bođii,142
gitta,140
listu,139
ovttas,139
sáhttet,137
ovdamearkka,137
earret,137
bokte,136
politihkkárat,135
galgá,134
stáhtaid,133
dávjá,133
eadni,133
departemeanttat,133
hh,132
sullot,131
jagiid,131
departemeanta,131
kronobergga,128
jođiheaddji,128
máilmme,126
ovddeš,126
logu,125
mátta,125
sámegillii,125
boahtá,124
dáiddár,124
islánddas,123
regiuvnna,123
dárogillii,122
sin,122
olles,122
válljejuvvui,121
ruoššas,120
šaddá,119
vuolde,118
