word,count
je,769907
na,297594
se,288225
od,195968
su,195647
za,157371
da,146949
po,129948
godine,127752
stanovnika,117628
iz,109838
kao,97454
sa,92512
koji,85143
spisak,66651
veze,63515
do,58857
sad,57809
što,56965
bio,52843
još,51680
reference,51300
ili,49656
koja,49039
the,49023
literatura,46933
vanjske,45398
prema,41798
broju,41667
te,40792
koje,40588
opština,39925
vidi,38474
nakon,38075
država,37928
francuske,36396
gradova,35140
to,33987
km,33609
nalazi,33116
ali,32743
gradovi,30703
državi,29585
grad,28783
of,28698
godina,28573
ngc,28167
ne,27779
ic,27737
oko,27710
saveznoj,27701
bi,26975
ima,26576
nije,26423
kod,26411
popisu,26332
države,25276
bila,25216
više,24096
demografija,23895
kako,23565
zbog,23422
ga,23170
najveći,23067
broj,22641
stanovništva,22132
može,21443
pod,20789
kada,20584
historija,20223
nego,19597
američke,19440
on,19412
prvi,18993
sve,18878
između,18267
naselja,18170
teritorija,17835
departmana,17806
bez,17803
spoljašnje,17793
samo,17726
tako,17713
će,17582
iznosi,17541
jedan,17528
bilo,17372
američkih,17266
izvori,17035
američkoj,17009
sjedinjene,16773
naselje,16767
nacija,16604
amerikanci,16597
decenijama,16575
saveznih,16500
sjedinjenih,16491
dok,16080
ih,15839
gdje,15698
mu,15567
opštini,15207
and,14719
opštine,14375
također,14343
kasnije,13809
objekti,13798
katalog,13689
toga,13655
uz,13498
živjelo,13469
pa,13390
dva,13246
živelo,13227
film,13225
de,13220
bili,13163
united,13096
protiv,12947
pne,12871
podacima,12844
states,12773
metara,12745
okruga,12647
tri,12572
bureau,12562
rata,12556
census,12541
njemačkoj,12449
danas,12411
nekoliko,12221
naseljenosti,12076
tokom,12073
površini,12029
ovaj,11948
grada,11923
vrijeme,11772
svoje,11768
podataka,11744
jer,11724
gustina,11700
dana,11670
visini,11638
odnosno,11583
mesta,11526
republike,11410
podaci,11358
departmanu,11213
novi,11141
nadmorskoj,11128
procjeni,11127
in,11090
ii,11016
biti,10991
sadrži,10942
insee,10828
popis,10651
mapi,10453
već,10436
naseljeno,10426
strane,10265
koju,10258
stranici,10234
preko,10232
drugi,10210
ime,10101
jezik,10055
veliki,10046
njemu,10042
pripada,9804
baza,9803
linkovi,9785
iako,9772
dio,9765
manje,9688
mogu,9675
gradu,9614
poznat,9562
zemlje,9430
stanovništvo,9409
među,9406
ljudi,9346
okrugu,9261
američki,9223
nisu,9017
tada,8966
jedno,8858
njegov,8818
statusa,8810
prije,8728
no,8699
administrativnog,8655
postao,8533
sistem,8449
kroz,8371
često,8346
put,8267
hrvatski,8227
međutim,8225
francuskoj,8222
pri,8214
kralj,8166
smrti,8070
mjesto,7955
mesto,7924
imao,7847
ona,7787
objekata,7747
druge,7654
kojima,7650
sg,7650
enzim,7636
rat,7635
koristi,7603
jedna,7598
naseljena,7589
magnituda,7484
kojoj,7369
broja,7326
galaksija,7300
njemačke,7286
iznosila,7247
mjestu,7233
kosmos,7214
sajtu,7209
nemačke,7206
imaju,7198
njegova,7192
zajedno,7174
mestu,7114
takođe,7103
plan,7103
oni,6975
com,6966
svoju,6944
njemačka,6918
položaj,6900
samom,6870
toku,6869
površina,6866
organizacije,6841
nemački,6817
kad,6801
prvo,6787
doba,6762
tom,6680
vrlo,6661
new,6651
svojim,6641
glavni,6576
filmovi,6542
ako,6538
posle,6529
tome,6525
pokrajine,6511
ovo,6482
tv,6457
taj,6454
beograd,6419
hrvatske,6415
sam,6389
sajt,6386
nemci,6359
nad,6337
neki,6328
prva,6278
osobine,6273
zavod,6252
regionu,6251
vijeka,6236
svog,6226
minuta,6185
geografski,6174
kralja,6163
tu,6144
promene,6126
uglavnom,6111
središta,6097
institucije,6070
ove,6056
savezne,6043
njegove,6026
konferencija,6025
prosječna,6007
prostire,5996
sin,5982
departmani,5978
im,5965
vreme,5943
njih,5941
posjeduje,5933
puta,5923
svoj,5905
gustini,5899
knjiga,5896
grupe,5891
dobio,5875
beogradu,5849
republika,5836
eksterni,5832
jedinjenje,5815
gde,5785
smatra,5783
stalna,5776
statistiku,5748
dvije,5748
savezni,5710
tijekom,5703
kraju,5653
vremena,5648
velike,5642
četiri,5635
nem,5634
mapquest,5629
demografski,5627
masu,5624
regionalnu,5600
informacioni,5598
srednjoj,5595
postoji,5594
zagreb,5570
šifru,5567
nacionalnog,5565
drugih,5560
poslednjih,5557
kommon,5556
radi,5553
ags,5552
ova,5510
vlast,5507
zvanični,5499
mjesta,5489
glavnog,5487
svih,5478
povezano,5478
kraj,5470
asteroida,5468
sv,5375
mora,5355
prefekturi,5353
molekulsku,5344
naziv,5339
atoma,5321
života,5312
deo,5298
jugoslavije,5296
osim,5288
bile,5271
pgc,5268
instituta,5253
život,5235
stranica,5228
način,5209
istorija,5198
dan,5159
ipak,5155
pravac,5146
tog,5146
radio,5143
grafik,5143
kojem,5141
iii,5139
al,5135
ugljenika,5104
crkve,5101
dl,5099
control,5086
čak,5053
car,5043
uglovnih,5036
hrvatskoj,5033
authority,5028
imenom,5021
njega,5020
predstavlja,5018
ulogu,4998
srbije,4987
zatim,4968
deset,4968
la,4956
osnovnim,4943
kojih,4930
pored,4921
geografskog,4912
počinje,4893
postaje,4884
organsko,4882
koordinate,4879
najbliža,4877
drugog,4852
neke,4848
vlasti,4842
tek,4814
asteroid,4802
maksimalnoj,4793
velika,4793
minimalnoj,4781
nasa,4780
kilometraža,4767
crkva,4766
jednom,4765
okrug,4746
srpski,4697
dolazi,4695
dr,4690
snage,4677
grupa,4662
drugim,4648
veka,4637
apsolutna,4628
geografija,4600
miliona,4596
ni,4592
obično,4579
ovog,4572
udaljenost,4554
području,4510
poput,4491
filmu,4475
selo,4467
potom,4461
početkom,4449
područje,4437
john,4434
delu,4431
član,4422
zemlji,4417
srbiji,4415
čega,4415
imala,4413
postala,4410
živi,4404
sistema,4390
joj,4374
online,4373
filma,4368
svi,4356
mnogo,4343
kojim,4343
vode,4322
naselju,4316
centar,4300
postoje,4292
jednog,4288
bosne,4285
posebno,4277
cara,4269
žena,4259
pre,4259
vrsta,4249
hiljada,4247
uključujući,4246
glumac,4221
nalaze,4214
srpske,4199
ovom,4196
umro,4194
većina,4183
atlas,4178
vanjski,4174
stoljeća,4173
prava,4169
time,4158
jedinica,4143
veoma,4135
st,4132
pojasa,4130
bosni,4130
dinastije,4124
projekt,4119
čiji,4118
ratu,4091
one,4082
rad,4073
pet,4073
pomoć,4066
krajem,4040
prvog,4039
asteroidi,4023
rijeke,4017
svom,4001
vrste,3986
nove,3977
gotovo,3971
jpl,3971
odnositi,3967
carstva,3966
at,3954
druga,3952
hrvatska,3933
night,3910
obliku,3901
nema,3891
li,3888
bilješke,3876
pred,3870
www,3865
poznata,3860
kojeg,3857
sela,3854
područja,3853
asteroidnog,3849
ta,3845
vojske,3844
poslije,3837
mnogi,3830
rođen,3826
ostali,3821
mcg,3821
sljedeći,3798
napravio,3790
oblasti,3787
tim,3784
prve,3771
koriste,3767
djela,3757
francuski,3753
dve,3751
ju,3742
otac,3726
simbad,3718
kraja,3716
srpska,3716
počeo,3689
kome,3668
bolesti,3666
npr,3659
jezika,3635
dalje,3619
iste,3595
naziva,3594
prilikom,3575
filmski,3568
republici,3564
zviježđe,3563
zagrebu,3560
hercegovini,3542
planete,3541
otkriće,3531
godinu,3528
naroda,3522
album,3519
opštinskih,3506
male,3504
interaktivni,3474
velikog,3473
univerzitet,3462
bitka,3453
najbliži,3439
vlada,3431
njima,3426
ubrzo,3424
svojih,3424
treba,3411
opći,3408
for,3407
sky,3398
najbolji,3395
najčešće,3394
klub,3383
messier,3369
hercegovine,3364
osoba,3360
sina,3360
odnosu,3359
ponovo,3349
serija,3345
sunca,3344
napisao,3336
by,3315
maja,3303
astronomska,3299
najbližih,3290
vojska,3287
serije,3287
pravo,3278
jednu,3262
njegovo,3256
biografije,3254
drugom,3252
bazirano,3248
nova,3245
snaga,3243
svojoj,3239
tih,3239
mnoge,3238
poznati,3233
york,3232
nagrada,3223
tzv,3222
nešto,3222
sazviježđu,3216
general,3214
euklidsku,3214
sada,3208
umjetnosti,3185
povijest,3172
isto,3171
nagrade,3168
znači,3167
ivan,3163
uloge,3152
imali,3151
potpuno,3151
imena,3150
svjetskog,3141
koga,3140
najviše,3132
tj,3121
lik,3121
aladin,3121
pregledaču,3114
borbe,3088
http,3086
sastoji,3084
dao,3070
marta,3064
ulica,3059
ponovno,3059
ec,3058
svijetu,3055
vijeku,3044
period,3040
veći,3037
malo,3016
okviru,3015
njegovog,3012
glumica,3012
jedne,3010
program,3002
vlade,2991
rajna,2984
izvor,2981
pošto,2980
svim,2980
novog,2978
rimski,2968
privreda,2961
zato,2957
prečnik,2954
škola,2945
članova,2943
engleski,2939
razvoj,2914
čini,2914
rijeka,2911
roman,2909
govori,2905
međunarodna,2881
početku,2880
nekim,2879
bivši,2871
udaljena,2866
university,2861
osvojio,2840
dobro,2839
reakciju,2834
dela,2832
smrt,2830
niz,2821
ono,2811
njemački,2809
iv,2809
bih,2805
čime,2802
čemu,2794
prividna,2789
katalizuje,2784
periodu,2780
vladavine,2778
san,2777
oblik,2772
from,2770
borbi,2767
sssr,2763
orbitalni,2758
aprila,2743
svega,2732
iznad,2730
van,2728
bude,2727
elementi,2720
dijelu,2719
septembra,2716
uvijek,2705
južnoj,2703
unutar,2700
mogao,2698
najmanji,2694
njen,2684
poveznice,2680
press,2680
galaktike,2680
le,2668
okruzi,2668
jeziku,2665
oktobra,2662
ponekad,2657
veliku,2653
dobila,2653
protein,2648
kojom,2639
god,2636
putem,2634
sezone,2628
njegovu,2621
makedoniji,2615
sveta,2608
vodi,2605
evropi,2603
an,2603
prvom,2601
log,2601
ostale,2597
hemijsku,2597
sledeću,2597
škole,2592
predsednik,2592
robert,2587
političar,2583
velikim,2578
kuća,2577
žene,2576
majka,2572
izabran,2570
moguće,2567
ovu,2566
sastav,2566
predsjednik,2558
knjige,2555
jugu,2555
čine,2552
svaki,2537
history,2532
porodice,2531
glumci,2529
šest,2523
juna,2523
alfa,2521
decembra,2516
počela,2509
kuće,2509
ranije,2508
priča,2507
američka,2506
svijeta,2505
aj,2502
novembra,2500
svetog,2500
britanski,2500
sebe,2495
čija,2495
mali,2493
jula,2487
strani,2483
daje,2480
rođenja,2480
radnja,2480
ulozi,2477
odmah,2476
satelit,2469
došao,2464
imalo,2459
nagradu,2454
satelita,2452
januara,2450
saradnja,2450
došlo,2448
tamo,2444
novom,2443
programa,2442
plemena,2440
palatinat,2435
