word,count
ad,7300
ar,5842
lli,4435
nns,3265
yan,3112
as,2545
ur,2517
iga,2398
ayt,2259
lm,1981
isa,1881
yat,1840
uln,1822
rib,1672
un,1545
ta,1458
tga,1453
ya,1432
tt,1405
an,1381
gis,1335
kra,1297
imzda,1295
ig,1252
in,1225
nna,1191
usgg,1063
al,1055
illan,1028
is,1019
usun,998
mas,995
akk,954
id,856
us,844
ufgan,834
igan,832
tutlayt,822
ti,820
ula,814
ma,803
iws,778
tamattayt,768
la,731
illa,726
kigan,710
nin,701
nnsn,696
nn,696
tamazi,695
sus,695
da,692
dar,685
ann,679
tmazirt,671
de,665
im,653
zun,632
ni,623
mad,610
bahra,603
middn,596
wa,568
am,546
wu,540
li,534
tasga,532
amazi,513
ilkm,513
llan,501
gan,497
tgldit,494
rmt,490
mk,490
mu,486
usi,484
awal,468
ns,467
tg,465
acku,464
uggar,464
sin,458
inn,457
it,449
rad,446
tmazi,445
asn,445
tqbilt,443
tskr,442
tgrawt,439
wan,431
tlla,430
sg,430
gr,429
imazi,421
tm,418
tsga,406
iwala,405
ism,401
tutlayin,394
uma,393
tam,392
imla,391
baha,390
wwa,390
masst,389
tama,386
tasmirit,384
tmna,383
tsmirit,383
zund,378
af,373
tn,371
um,369
sul,369
waman,363
tussna,362
wactukn,355
aylli,351
macc,349
en,340
dars,340
msmun,335
tin,334
tamna,333
tizi,332
ikka,331
assa,327
tudrt,324
awd,322
wakal,321
wanaw,315
if,299
mi,298
umzruy,298
tigmi,293
wadrim,289
arast,288
las,286
inna,284
lan,281
awgnz,281
ra,280
kullu,279
sis,279
ass,277
unt,277
ku,276
tugt,275
et,275
lin,270
ul,270
snat,269
wac,269
tasut,265
yism,265
at,264
awan,263
tu,259
imqqurn,258
du,258
tawjiwin,258
ama,255
afad,254
art,254
uzmz,253
amatay,252
izdin,250
ay,246
nit,246
fllas,242
ug,240
sidi,240
mac,239
arn,238
le,232
iyn,230
gisn,230
rabt,229
iffus,229
akc,229
ri,228
ttinin,227
ukan,227
ka,227
isgg,227
idaw,226
nttan,224
nttafa,223
gg,222
tiss,221
tmdint,221
bu,220
afn,220
gant,220
twjiwin,220
tmizar,219
ud,217
amzwaru,217
ran,217
usggas,216
tirra,215
win,214
ilin,213
ilan,212
aman,211
idrarn,209
akud,209
ammas,208
rm,206
asif,205
swurin,204
timazi,203
uk,201
arin,201
nnsnt,201
umarg,199
ne,199
ag,199
tmzgida,199
the,198
ugadir,198
tzdu,198
itt,196
mmad,195
px,195
imezda,194
amzruy,193
nttat,192
tis,192
ddu,189
sa,189
des,189
of,188
ilul,188
wass,187
tgmmi,187
ngr,186
iskr,186
ugafa,185
wasif,185
ib,185
ab,184
mma,182
tili,182
wis,180
tamazirt,179
il,179
asgg,179
ilmma,178
imn,178
imi,177
ba,176
abt,175
udrar,173
mqqar,173
trabbut,172
illi,171
bac,171
mqqurn,170
wassa,170
udlis,169
zz,168
ugllid,167
mraw,166
yad,166
iggi,166
yili,165
anaw,164
fa,164
asnmalay,163
sgsm,161
imudar,161
wanawn,161
paris,161
iwis,160
ili,160
tal,159
mmsm,159
tamzwarut,158
ilad,157
irgazn,157
wiss,155
dzayr,155
atig,154
inu,154
awsiwin,154
ikkan,153
km,153
ir,153
twuri,153
ammt,151
ixf,150
tacl,149
ufus,149
yi,149
tim,149
dat,148
bn,147
les,147
kraygat,146
umt,146
lu,144
di,143
ibn,142
ak,142
tnt,142
ik,141
ila,140
https,140
wawal,139
man,139
ittili,136
llant,135
ittini,134
wanna,134
nt,134
bab,133
com,132
anammas,130
berbère,129
tamdint,129
tafransist,128
mddn,128
agadir,128
tawuri,126
tkka,125
yum,125
rma,124
tusnakt,122
mayad,122
immut,122
tfriqt,122
willi,120
urt,120
izwarn,120
tawja,120
ntta,119
zi,119
izrin,119
ira,119
sawaln,118
timizar,118
idlisn,118
dis,117
tnba,117
tuga,116
wiyya,116
kku,115
mmu,115
isbn,115
adrar,114
adlis,113
tarabbut,113
dffir,112
int,112
usays,112
tqbilin,110
akal,110
tigmmi,110
tiwlafin,109
wala,109
ina,108
tafukt,108
anfg,108
gisnt,107
udm,107
tugtt,107
tagut,107
aras,106
tinml,106
kkan,106
ddaw,106
amawal,105
na,105
tayri,105
ribit,105
wayyur,104
skrn,104
imassn,104
imikk,102
seg,102
amaynu,101
and,101
isggasn,101
timdinin,101
usinag,100
amarg,100
yill,99
imik,99
www,99
ammad,98
mqqurnin,98
mnnaw,98
tlalit,98
nes,97
urgaz,97
tiram,97
iwaliwn,97
gh,97
aya,96
mani,96
una,96
igr,95
umussu,95
iggutn,95
kantin,95
iqqan,94
tf,94
ub,93
urn,93
yura,93
tma,93
walli,93
tumlilt,93
tarwa,93
bni,93
darsn,92
lislam,92
isaffn,92
izri,92
bariz,92
tguri,91
igi,91
abu,91
aln,91
tdlsa,90
zd,90
mrrakc,90
mlyun,90
usggwas,89
ismawn,89
azmz,89
rab,89
ima,89
anawn,88
fransa,88
wid,88
azayku,88
babas,88
awsa,87
tazaykut,87
tadamsa,87
dd,87
imunn,87
fad,86
el,86
slawan,86
nttini,86
tguriwin,86
agldan,86
gin,85
tifina,85
mayan,85
skarn,84
iran,84
tskla,84
tamaynut,84
gn,84
iskkiln,84
smmus,83
wammas,83
ca,83
taf,82
war,82
lmxzn,82
mulay,82
vasilisa,82
taguri,81
igat,81
aynna,81
musa,81
ts,81
mnnawt,81
tamadn,81
jam,81
bula,80
fr,80
nini,80
izdayn,80
bdda,80
arasin,80
umata,80
ifassn,80
ribi,79
igran,79
urupa,78
umara,78
ant,78
ifulkin,78
bla,77
iwin,77
izd,77
tafriqt,76
unu,76
tan,76
afgan,76
argaz,76
idus,76
wacn,76
tfransist,75
masd,75
isawl,75
amma,75
taqburt,75
ida,75
ana,75
mitru,75
usgd,75
iqburn,74
abla,74
ignwan,74
tamatart,74
wad,74
trubba,74
ikcm,74
srs,74
berbères,74
usuf,74
urarn,74
yadlli,73
tasnal,73
uflla,73
nnan,73
fas,73
lant,73
asnmkta,73
rbbi,73
zg,73
xf,73
tagant,72
tas,72
libya,72
icl,72
tasutin,72
warratn,72
maca,72
marikan,71
org,71
tasgiwin,71
ussan,71
taqbilt,71
yiwi,71
uslig,71
iwtta,71
tmyurin,71
tasengama,70
tagldit,70
issn,70
bbi,70
tiqbilin,70
imma,70
udayn,70
tuns,69
iy,69
iklli,69
iff,69
iyi,69
tanglizt,68
alatin,68
baba,68
ittu,68
anamk,68
mn,68
ansist,68
twuriwin,68
ibrit,68
yusf,68
timassanin,68
lqqblt,68
ayad,67
aw,67
inin,67
iyt,67
ait,67
izrfan,67
asan,67
askkil,66
morphologie,66
brra,66
uz,66
imzwura,66
ssin,66
ttaran,66
wayda,66
falas,66
tamassant,65
tirmt,65
mgal,65
ayn,65
tsdawit,65
tmurt,64
umlil,64
azur,64
ugdud,63
anamur,63
tmagit,63
umdya,63
ittyuskar,63
usinan,63
tasm,63
tsgiwin,63
allit,63
ifk,63
tmdyazt,63
tla,63
tnna,63
ifni,63
lfna,63
ugmu,62
ansa,62
nun,62
urta,62
berber,62
agllid,62
walya,62
amara,62
tslit,62
umdyaz,61
iwant,61
sur,61
yuba,61
iman,61
iskar,60
tlkm,60
yas,60
amr,60
maroc,60
ufan,60
iddr,60
tum,60
timzgida,60
wasifad,60
ha,59
anzwi,59
idda,59
ittinin,59
mnid,59
wafaya,59
turart,58
ru,58
tcl,58
tayya,58
lq,58
aslmd,58
tdusi,58
yu,58
ali,58
isawaln,58
darsnt,58
tamurt,57
tfina,57
mqqu,57
tamunt,57
umzwaru,57
ayd,57
imallayn,57
takat,57
nssn,57
tatrart,57
yujjan,57
asays,57
ssa,57
aqbur,57
tig,57
ifl,57
imu,57
leonardo,57
lmim,57
amazigh,56
ggutn,56
tudert,56
tmaz,56
aflla,56
rif,56
rebbi,56
afares,56
