word,count
the,1034669
of,542668
in,498799
and,397639
is,264494
to,249911
was,202318
it,122859
he,119185
from,118958
for,117955
on,116354
as,106254
by,97777
that,79701
with,78685
are,74901
at,72030
american,66708
references,64136
an,64031
people,61210
his,58968
other,56894
or,51702
they,50683
this,46031
also,44604
has,40958
be,40613
were,40328
she,37310
first,37091
united,36239
one,35704
born,35660
not,35473
new,35402
which,35090
states,31926
have,31444
websites,30511
city,29513
births,29375
there,28238
their,27897
had,27705
after,27447
movies,26403
but,25760
can,25516
who,25262
her,24948
deaths,24837
world,24351
about,24295
when,23816
many,23708
its,23266
known,22910
two,22432
movie,22316
called,22122
county,22009
used,21733
may,21363
all,21159
time,20844
most,20601
made,20433
th,20141
state,19657
some,19633
national,19050
actors,18760
more,18227
television,18189
died,18128
living,17954
english,17708
into,17257
been,17197
de,16899
south,16026
during,15599
part,15564
up,15557
north,15482
league,15407
years,15376
british,15013
series,14827
only,14786
because,14723
war,14635
became,14592
music,14319
football,14267
university,14158
name,14145
like,13842
france,13765
these,13694
played,13357
year,13319
january,13268
than,13206
york,13070
between,12826
team,12776
over,12719
president,12691
player,12660
history,12567
river,12424
them,12310
march,12175
very,12068
three,11876
later,11872
french,11808
such,11747
then,11731
best,11662
where,11612
july,11593
life,11533
players,11521
century,11464
politician,11414
september,11353
would,11223
june,11189
district,11185
german,11138
october,11119
no,11073
april,11047
rowspan,11024
party,10978
august,10977
establishments,10975
group,10966
won,10937
out,10870
since,10837
so,10692
november,10654
john,10651
found,10628
will,10623
second,10574
games,10536
him,10519
related,10480
different,10467
december,10465
until,10376
released,10349
former,10280
area,10175
actor,10154
if,9991
february,9952
age,9832
before,9734
game,9695
official,9670
department,9561
japan,9531
king,9472
town,9462
government,9370
member,9341
family,9316
school,9307
album,9295
singer,9262
region,9255
day,9243
number,9192
same,9175
make,9169
use,9129
career,9081
award,9075
west,9004
often,8959
international,8911
do,8701
based,8635
being,8590
well,8435
work,8375
house,8369
cities,8360
california,8296
through,8288
named,8220
both,8211
long,8208
each,8180
song,8166
st,8133
club,8116
actress,8110
early,8109
pages,8092
country,8064
website,8063
against,7981
death,7939
water,7939
japanese,7901
east,7852
season,7839
started,7798
said,7797
did,7787
place,7784
england,7775
london,7732
ii,7715
show,7710
language,7683
however,7674
population,7658
under,7646
usually,7622
four,7602
general,7547
while,7530
old,7507
high,7446
minister,7395
system,7374
around,7373
live,7322
person,7226
list,7200
including,7197
women,7144
small,7142
now,7142
italian,7116
main,7106
germany,7089
band,7088
la,7084
children,7067
you,7046
politicians,7038
cup,6985
could,6972
colspan,6922
communes,6853
kingdom,6850
several,6777
set,6722
what,6694
commune,6680
home,6651
back,6603
province,6591
municipality,6581
book,6570
another,6448
canadian,6447
island,6373
video,6344
times,6339
end,6306
large,6295
last,6244
great,6200
songs,6200
way,6194
america,6141
company,6139
saint,6135
writer,6116
example,6110
lived,6108
million,6093
important,6084
australia,6053
cancer,6046
any,6016
rock,6013
began,6010
how,5992
europe,5988
directed,5964
members,5917
capital,5916
get,5915
india,5884
left,5814
near,5812
prime,5792
white,5783
black,5777
drama,5750
species,5746
indian,5735
created,5705
play,5668
man,5663
census,5648
famous,5646
books,5611
sometimes,5571
countries,5554
much,5546
major,5533
groups,5520
writers,5511
hockey,5489
australian,5466
spanish,5459
church,5416
military,5399
include,5395
union,5391
written,5380
means,5373
park,5360
army,5358
director,5349
red,5334
roman,5314
law,5288
popular,5253
central,5237
championship,5234
russian,5226
father,5225
married,5198
still,5178
even,5173
political,5173
five,5170
order,5161
james,5139
us,5135
center,5134
comedy,5118
good,5113
third,5101
college,5099
republic,5054
largest,5050
air,5037
stage,5017
built,5011
common,4999
western,4994
film,4978
land,4947
single,4940
albums,4930
son,4922
george,4919
men,4901
awards,4886
public,4886
power,4883
chicago,4861
sea,4855
wrote,4847
things,4816
go,4802
top,4798
william,4790
body,4775
texas,4773
went,4763
form,4761
canada,4753
line,4738
san,4720
professional,4697
given,4679
young,4646
down,4644
total,4616
own,4613
word,4603
works,4601
become,4598
china,4592
took,4573
footballer,4555
northern,4536
story,4535
moved,4531
big,4509
just,4486
does,4480
governor,4480
los,4474
together,4469
european,4467
came,4467
human,4466
using,4445
heart,4429
summer,4422
held,4414
off,4402
science,4393
following,4356
ice,4346
short,4332
modern,4331
right,4330
art,4327
voice,4319
light,4310
star,4294
events,4293
division,4275
again,4268
battle,4263
statistics,4246
civil,4239
footballers,4231
election,4214
municipalities,4214
type,4209
parts,4200
killed,4194
role,4179
see,4159
we,4127
love,4117
robert,4091
head,4088
founded,4087
worked,4086
aged,4077
served,4074
chinese,4064
term,4040
disease,4040
african,4035
southern,4030
special,4030
leader,4007
km,4007
royal,4003
italy,3999
next,3993
food,3992
association,3974
mother,3971
plays,3970
musical,3969
david,3969
towns,3966
site,3963
along,3957
station,3945
take,3941
every,3939
published,3935
version,3930
records,3925
radio,3907
asia,3890
angeles,3885
africa,3882
court,3867
help,3852
days,3851
empire,3851
seat,3847
uk,3844
sports,3833
washington,3827
paul,3822
making,3816
village,3804
side,3800
musicians,3799
attack,3793
period,3792
stars,3789
record,3788
charles,3781
six,3777
democratic,3756
got,3748
those,3748
caused,3746
michael,3714
money,3707
hall,3704
dutch,3701
little,3697
academy,3696
thought,3693
god,3676
original,3673
today,3640
computer,3637
rights,3629
present,3628
without,3627
prize,3623
earth,3619
building,3617
lost,3612
free,3582
al,3566
characters,3561
office,3556
places,3556
few,3552
illinois,3544
eastern,3541
soviet,3538
singers,3529
emperor,3527
others,3522
council,3502
similar,3480
service,3479
florida,3465
islands,3459
current,3456
spain,3451
producer,3418
tv,3410
com,3394
character,3391
buildings,3388
paris,3385
due,3378
away,3377
lake,3367
olympic,3364
co,3354
elected,3351
received,3328
greek,3327
green,3326
sportspeople,3325
produced,3324
makes,3314
museum,3312
final,3311
ancient,3301
space,3300
formed,3295
force,3283
kansas,3281
richard,3268
put,3252
level,3248
although,3243
led,3233
gold,3230
virginia,3227
switzerland,3224
late,3217
change,3210
lot,3208
social,3205
mexico,3203
wife,3201
pakistan,3200
languages,3198
problems,3193
seen,3182
playing,3178
local,3176
sweden,3171
according,3171
peter,3168
match,3161
control,3156
artist,3148
christian,3145
information,3145
areas,3143
point,3142
tropical,3140
middle,3132
composer,3130
located,3124
non,3121
title,3114
run,3104
animals,3099
blue,3098
shows,3087
teams,3072
child,3054
road,3052
queen,3044
female,3043
fire,3038
announced,3031
catholic,3023
words,3022
police,3017
society,3015
mostly,3007
less,3007
energy,3004
includes,3000
pop,2987
joined,2981
natural,2972
baseball,2962
my,2960
winners,2959
uses,2956
night,2947
should,2929
community,2929
come,2925
education,2924
thomas,2919
changed,2918
winning,2917
henry,2910
scientists,2910
style,2908
olympics,2907
musician,2902
half,2900
hurricane,2899
must,2896
louis,2896
swedish,2893
real,2892
gave,2882
race,2879
though,2870
research,2865
grand,2861
open,2860
woman,2856
russia,2841
episode,2835
carolina,2832
storm,2832
types,2830
lead,2822
comes,2798
prince,2798
prefecture,2798
action,2790
daughter,2787
within,2781
never,2779
seven,2776
culture,2767
medal,2764
included,2762
wanted,2762
notes,2761
once,2753
instead,2752
too,2744
wrestling,2735
chief,2733
having,2718
le,2718
almost,2715
act,2706
appeared,2705
full,2692
bc,2687
among,2687
studio,2683
brother,2678
basketball,2675
program,2673
iii,2672
production,2656
movement,2654
lives,2647
better,2646
brazilian,2642
republican,2632
forces,2628
says,2626
songwriter,2624
mountain,2612
author,2610
georgia,2608
geography,2608
field,2598
development,2598
jewish,2596
model,2596
coast,2595
counties,2595
blood,2587
brown,2584
established,2578
working,2575
car,2573
parliament,2569
developed,2561
companies,2559
jersey,2556
meaning,2554
martin,2551
event,2545
metal,2537
names,2535
lee,2534
ireland,2533
polish,2520
study,2519
street,2515
becomes,2513
scottish,2512
network,2499
done,2489
color,2483
irish,2479
zealand,2477
least,2469
news,2466
federal,2462
position,2459
health,2457
plants,2456
taken,2454
support,2440
say,2440
considered,2438
covid,2432
sold,2432
mary,2432
independent,2425
start,2420
move,2418
find,2415
studied,2412
canton,2408
writing,2402
class,2397
airport,2394
me,2392
highest,2390
poet,2387
give,2386
bad,2385
hot,2384
austrian,2374
representatives,2371
press,2369
centre,2367
fiction,2365
sent,2359
latin,2358
able,2358
per,2355
numbers,2354
business,2353
edward,2348
bridge,2348
winter,2341
secretary,2340
pennsylvania,2335
manager,2334
netherlands,2330
hit,2326
sound,2324
biography,2314
lower,2312
media,2310
always,2308
theory,2308
above,2296
average,2294
fifa,2286
release,2284
railway,2284
nominated,2280
pictures,2274
korean,2274
ten,2274
design,2273
your,2271
wales,2270
failure,2270
crime,2269
low,2266
opened,2263
presidential,2261
either,2258
round,2247
cause,2244
himself,2242
don,2239
mayor,2236
personal,2235
medical,2234
ohio,2229
super,2228
track,2227
territory,2222
golden,2222
strong,2222
plant,2219
systems,2219
win,2217
performed,2217
smith,2215
retired,2214
case,2213
takes,2212
nations,2207
guitar,2207
various,2203
korea,2198
recorded,2197
stop,2193
certain,2193
scotland,2189
mainly,2189
hard,2189
opera,2188
asian,2187
sun,2187
here,2187
close,2184
currently,2180
settlements,2174
across,2173
professor,2172
native,2171
fame,2171
something,2170
journalist,2170
ocean,2168
bill,2168
senate,2168
dead,2167
coach,2167
originally,2164
austria,2162
boy,2161
novel,2159
fourth,2158
ended,2157
might,2157
students,2157
animated,2157
tour,2154
artists,2151
mean,2150
chemical,2146
inside,2145
iowa,2144
re,2142
champion,2139
districts,2132
valley,2131
eight,2128
need,2126
climate,2124
board,2120
el,2115
premier,2113
rivers,2112
brazil,2111
months,2107
seats,2107
nobel,2106
ground,2103
jr,2102
birds,2095
outside,2094
services,2091
pope,2087
think,2087
changes,2085
atlantic,2080
roles,2076
look,2074
mountains,2074
massachusetts,2067
joseph,2066
duke,2063
especially,2063
male,2059
mass,2054
fish,2054
goes,2054
ever,2052
shown,2052
van,2044
idea,2041
fox,2041
magazine,2035
entertainment,2031
schools,2029
arts,2027
jean,2026
far,2021
hospital,2016
channel,2016
square,2013
israel,2010
month,2007
