word,count
na,290695
align,281698
right,281477
sa,279112
je,262473
roku,121726
aj,108486
do,95155
ako,88948
bol,73209
pozri,63386
od,62551
po,61301
obce,57268
mba,55610
obyvateľov,51755
obec,50126
pre,49506
za,48380
vo,47549
jeho,46936
sú,44727
že,43994
alebo,43873
má,43605
referencie,43051
ktorá,41791
bola,38922
departemente,38684
ktorý,37815
bod,37514
zoznam,37010
ktoré,36979
pri,36879
to,32507
linear,32173
socorro,32147
externé,30724
odkazy,30686
nachádza,30566
iné,29560
boli,28737
až,27622
ale,27529
the,26694
bolo,25044
jej,24589
obci,24561
ich,23692
projekty,23651
obcí,23599
medzi,23308
podľa,22395
tu,22058
počet,22025
rozlohu,21982
zo,21539
byť,20861
francúzska,20856
so,20650
však,20614
de,20450
regióne,20423
obyvateľstvo,20004
pod,19978
už,19646
najvyšší,19430
poloha,19423
vývoj,19242
si,18880
graf,18442
kde,18345
položený,18294
počtu,18261
najnižší,18253
rokoch,18183
departementu,17873
pred,17752
môže,17701
čo,17411
nasledujúci,17360
ho,17350
keď,17254
zobrazuje,17215
rokov,17056
počas,17001
len,16004
of,15968
mesto,15749
tak,15654
ngc,15631
storočia,15384
tiež,15263
neskôr,15116
slovensku,15071
usa,14602
september,13968
aby,13743
nad,13380
časti,13376
okrese,13306
slovenský,13055
roka,12410
ktorú,12142
mesta,12046
osobnosti,12036
zdroj,12016
nie,11981
časť,11956
km,11840
miesto,11564
skupiny,11497
stránka,11411
či,11128
česku,10753
veľmi,10555
potom,10475
oficiálna,10448
by,10425
október,10339
tento,10326
stal,10218
napr,10111
toho,10062
marec,10035
la,9845
najmä,9834
ii,9729
skupina,9624
proti,9557
mal,9389
oblasti,9378
tejto,9272
okolo,9173
sveta,9147
mu,9103
et,9100
pričom,9097
spolu,8962
viac,8922
bratislava,8858
prvý,8733
ktorej,8655
in,8615
iba,8567
august,8501
slovenskej,8436
okrem,8413
december,8396
názov,8324
napríklad,8303
objekty,8253
ešte,8182
apríl,8118
bez,8047
február,8019
tom,7930
cez,7918
ktorých,7897
ju,7855
slovenskí,7837
preto,7814
majstrovstvá,7694
objavil,7671
album,7630
mužov,7612
november,7581
jeden,7527
okresu,7524
januára,7501
ján,7489
vojny,7409
tieto,7358
ktorí,7343
tzv,7322
objavené,7220
majú,7161
svojej,7120
svoje,7109
and,7052
no,7034
česko,7019
astronomické,7006
asi,6962
často,6959
ak,6929
ulica,6873
všetky,6864
január,6858
bratislave,6850
niekoľko,6823
žije,6773
americký,6732
objektov,6719
teda,6687
máj,6500
dnes,6455
slovenska,6433
ktorého,6430
mestá,6389
tohto,6382
pretože,6378
kr,6368
meste,6365
tomto,6354
ktorom,6329
druhej,6328
mala,6301
ďalšie,6290
všetkých,6235
žien,6224
približne,6223
dva,6219
nové,6189
svojho,6167
dve,6136
toto,6109
získal,6006
dvoch,5983
začal,5979
svoju,5919
tri,5881
kostol,5880
prvé,5873
saint,5853
new,5825
dejiny,5810
nich,5747
strany,5736
tým,5731
peter,5709
spoločnosti,5654
storočí,5639
patrí,5604
súčasnosti,5587
území,5584
mali,5575
čase,5571
období,5570
rod,5539
ani,5529
táto,5516
sv,5500
súčasťou,5464
život,5459
hráči,5379
rok,5373
týchto,5288
svoj,5279
pôvodne,5267
potok,5244
ženy,5223
systém,5204
loire,5189
kedy,5179
český,5178
vďaka,5150
júl,5149
svetovej,5125
hlavne,5075
tomu,5062
iii,5031
praha,5007
isbn,5007
prvá,5005
astronóm,4998
francúzsky,4990
dielo,4979
nemecký,4964
martin,4955
zdroje,4931
film,4918
ďalej,4913
slovenská,4853
svojich,4853
veľkosť,4838
ľudí,4826
dňa,4815
septembra,4811
ku,4799
meno,4788
literatúra,4767
európy,4743
iných,4729
súhvezdie,4724
republiky,4694
prvej,4664
života,4662
názvom,4657
niektoré,4653
slovensko,4629
mieste,4618
možno,4616
okres,4614
októbra,4585
napriek,4584
jún,4583
ide,4566
súhvezdí,4551
slovenské,4540
môžu,4537
john,4527
vlády,4499
možné,4492
marca,4489
jozef,4487
van,4485
mája,4479
haute,4465
takmer,4436
kráľ,4424
územie,4418
zároveň,4412
prítok,4411
augusta,4401
kráľa,4374
veľký,4370
kvôli,4358
kraji,4351
ďalších,4324
titul,4323
hry,4321
následne,4319
spoločnosť,4295
nej,4290
smrti,4290
apríla,4273
narodenia,4250
rámci,4248
začala,4246
používa,4245
začiatku,4243
muži,4217
banskej,4216
školy,4179
poľsku,4177
dostal,4162
maďarsku,4158
júna,4146
vrátane,4133
niektorých,4099
veľké,4093
hudobné,4078
syn,4063
zmysle,4058
územia,4057
predovšetkým,4055
roky,4041
slovenského,4040
pomocou,4039
žilo,4033
júla,4016
decembra,4013
nový,4001
peak,3995
opäť,3991
bude,3982
spisovateľ,3981
novembra,3975
sr,3973
oblasť,3964
vek,3953
pôsobil,3940
kitt,3935
le,3923
anderson,3918
smerom,3913
palomar,3911
obsahuje,3907
pôvodu,3899
spacewatch,3890
cd,3878
rôznych,3874
postupne,3869
stala,3824
základe,3802
deň,3802
krajiny,3799
klub,3774
košice,3750
ceny,3746
tvorí,3739
začali,3704
hviezdna,3697
známy,3696
mesa,3693
stránke,3690
niekedy,3677
práve,3673
strane,3672
diela,3667
životopis,3666
troch,3663
im,3655
obyvateľstva,3645
svete,3614
loneos,3598
sk,3596
vtedy,3595
druhý,3589
zdanlivá,3579
