word,count
je,1257944
in,893633
na,463393
so,357177
align,347587
right,334080
se,326367
ki,303594
za,302558
leta,231588
tudi,186731
kot,165773
da,162689
pa,154791
po,147442
iz,130024
bil,126309
od,122713
pri,101954
med,99805
do,94313
bila,89595
ali,80485
ga,67580
mba,65604
bi,58646
seznam,57250
ko,57223
še,55246
lahko,55088
ni,53550
tako,50760
to,50583
ter,49993
sta,48573
glej,46611
več,45654
bilo,45087
zaradi,44598
ne,43515
the,41502
del,41013
nova,40995
pod,39712
jih,39339
zunanje,38938
povezave,38808
mesto,38482
ob,38448
jo,37813
kjer,37171
slovenski,36669
tem,36473
mehika,35355
linear,35074
socorro,34965
viri,32068
ima,31987
of,31869
sklici,31660
le,31572
de,30930
kar,30605
pred,30397
bili,30389
vendar,28297
ta,28099
že,26705
proti,25664
stoletja,25170
vojne,24128
let,23936
vse,23246
prvi,23187
veliko,22990
ime,22761
saj,22000
tega,21866
druge,21726
naj,21640
bgcolor,21596
naselje,21445
ljubljana,21274
št,21070
dela,20916
delo,20783
letih,20696
zelo,20587
nekaj,20326
si,20191
drugi,20169
okoli,19965
zato,19822
nato,19811
mu,19618
času,19229
mesta,19169
svoje,19105
ker,18849
opombe,18744
slovenije,18365
strani,18322
kasneje,18283
postal,18157
september,17802
ii,17701
km,17450
bo,17344
nad,17248
sloveniji,17172
bolj,16533
stoletju,16490
bile,16402
zgodovina,16124
skupaj,16015
and,15969
naselja,15911
center,15907
svetovne,15874
pr,15811
zda,15800
najbolj,15722
danes,15692
niso,15215
samo,15075
če,15046
njegov,14723
ljubljani,14640
svojo,14618
leto,14600
predvsem,14573
poleg,14502
te,13939
cerkev,13865
približno,13805
republike,13661
oktober,13657
število,13606
olimpijskih,13566
mestu,13489
dve,13357
marec,13314
vedno,13147
drugih,12999
ameriški,12898
primer,12816
pogosto,12781
naselij,12692
smrti,12689
čeprav,12665
brez,12409
sv,12329
style,12269
polk,12266
la,12178
fff,12162
vojno,12148
tri,12094
januar,12057
glede,12023
dva,11990
spada,11985
katerih,11958
imajo,11954
delu,11862
imel,11816
njegova,11795
njegovo,11725
skupine,11717
občine,11699
življenje,11667
november,11603
background,11484
avgust,11443
prebivalcev,11424
prav,11333
december,11293
države,11248
dan,11172
april,11151
vseh,11141
februar,11108
eno,10939
slovenskih,10926
ljudje,10836
veliki,10793
drugo,10765
kralj,10543
ponovno,10440
medtem,10438
imena,10431
letu,10408
vojske,10386
svetovno,10383
skozi,10279
maj,10231
liga,10225
francoski,10173
ena,10125
uporablja,10068
pesmi,10064
sicer,10018
čemer,10014
vojni,9967
dveh,9950
nogometaši,9889
nosilci,9877
slovenske,9766
županije,9744
svetu,9742
stran,9733
eden,9684
prva,9666
svojega,9588
ljudi,9562
nemški,9543
različnih,9537
občina,9532
maja,9492
novo,9432
prvo,9423
upravno,9421
začel,9374
film,9305
takrat,9295
hrvaškem,9246
katerega,9232
skupina,9226
katerem,9150
slovenska,9089
iii,9009
koncu,8985
skoraj,8905
časa,8885
teh,8874
kljub,8869
pomeni,8822
njegove,8807
prvič,8794
new,8788
prvenstvo,8785
kateri,8706
treh,8635
decembra,8560
verjetno,8551
julij,8540
general,8511
van,8499
glavni,8456
druga,8376
velika,8280
postala,8239
von,8224
svoj,8199
član,8130
sin,8104
julija,8074
potem,8030
svojih,8029
oziroma,8013
grad,7975
isbn,7961
čas,7938
italijanski,7935
septembra,7915
začetku,7870
obdobju,7868
enote,7865
tam,7844
običajno,7817
npr,7758
marca,7751
cerkve,7748
letoma,7727
večinoma,7719
junija,7719
reda,7711
območje,7704
večina,7680
nekateri,7665
nagrado,7653
oktobra,7652
imela,7647
sveta,7646
januarja,7635
en,7623
iger,7612
preko,7596
kmalu,7587
kralja,7576
john,7556
prve,7543
umrl,7514
začela,7495
znan,7488
oz,7484
celo,7473
osvojil,7455
observatorij,7435
njegovi,7417
ivan,7380
manj,7376
avgusta,7357
pesem,7352
aprila,7335
izmed,7312
di,7292
reke,7275
rd,7257
sistem,7256
demografija,7226
sezoni,7188
junij,7146
vasi,7130
člani,7128
leži,7121
vojaške,7120
svetega,7111
ji,7107
der,7095
predsednik,7081
svoji,7021
on,7002
močno,6999
poti,6996
jim,6992
hms,6986
novembra,6983
poletnih,6973
vključno,6952
velike,6929
sam,6926
janez,6870
peter,6814
al,6786
vrste,6777
zlasti,6774
temu,6754
ruski,6745
dosegel,6740
vas,6723
držav,6707
razvoj,6706
pot,6700
obliki,6662
nekaterih,6649
rojeni,6646
umetnosti,6596
imenom,6569
ti,6561
katere,6555
zdaj,6546
univerzi,6493
album,6491
red,6486
način,6459
slovenija,6457
vode,6453
dobil,6431
velja,6395
življenja,6378
pozneje,6361
amerike,6357
številne,6346
štiri,6334
prejel,6308
vlogo,6262
filmi,6262
velik,6206
krog,6203
vsi,6195
knjiga,6189
nove,6127
področju,6123
katero,6102
metrov,6098
izvirno,6089
občini,6087
napisal,6074
umrli,6054
drugim,6049
maribor,6048
tu,6034
srbiji,5995
februarja,5988
univerze,5983
hokejisti,5969
mogoče,5958
ods,5942
priimek,5926
dobro,5920
britanski,5901
živi,5883
svetovni,5872
veterani,5845
svet,5837
imenovan,5830
gre,5830
njimi,5821
uss,5793
oblast,5793
novi,5769
nekatere,5763
vojna,5761
območju,5748
vsebuje,5743
posebej,5743
kako,5739
njen,5729
dni,5710
vojaški,5703
uporabljajo,5693
znana,5691
čez,5687
iv,5685
pisatelj,5683
predstavlja,5676
šele,5647
papež,5627
oče,5622
konec,5588
središče,5588
uporabo,5579
občino,5569
politik,5564
znanosti,5561
ustanovljena,5561
nahaja,5561
naslov,5560
njem,5560
imenuje,5552
formule,5540
roman,5518
oseb,5513
različne,5508
palomar,5502
evropi,5455
istega,5436
angleški,5424
malo,5416
sedež,5405
švedska,5404
enega,5395
tej,5389
bolezni,5388
včasih,5387
njegovega,5383
san,5380
muzej,5367
najprej,5361
družine,5333
cesar,5326
generali,5324
njihova,5305
vrst,5290
bodo,5288
članov,5281
ženske,5278
str,5271
svojem,5264
okraja,5260
obdobje,5253
ampak,5237
pomembno,5216
prej,5216
fakulteti,5215
bližini,5209
zveze,5208
jezik,5206
upravnega,5198
nagrada,5193
wehrmacht,5190
morda,5173
naprej,5171
njegovih,5135
torej,5130
www,5115
severni,5100
glavno,5099
imeli,5089
rimskokatoliški,5038
živeči,5035
združenih,5029
saint,5028
igrah,5024
pet,4988
robert,4983
obdobja,4957
vrh,4924
blizu,4923
pomočjo,4922
popolnoma,4903
kraljestvo,4869
mora,4868
