word,count
já,19315
lii,12262
ive,7394
lâi,5529
käldeeh,5341
láá,5021
peeivi,4897
tot,3267
kalender,2937
mield,2880
km,2821
eres,2803
ij,2492
ton,2388
sun,2286
soojijn,2224
fáádást,2185
mii,2091
the,2008
šoddâmeh,1908
jämimeh,1762
ko,1733
kieldâ,1733
tábáhtusah,1704
ihe,1522
tiäđust,1447
lovo,1395
suomâ,1380
meid,1324
olmožid,1300
of,1267
syemmilâš,1249
ässeeloho,1196
viehâdâh,1173
vijđodâh,1143
peivi,1135
listo,1106
kaavpug,1105
šoodâi,1104
ovtâstumstaatâlâš,1093
aalgij,1084
suomâst,1038
nuuvâi,1030
ääsih,1004
kieldah,1001
mon,997
suu,989
normaalihe,970
nobel,918
iivij,918
uv,893
uđđâivemáánu,868
naaburkieldah,865
juliaanlâš,861
lijjii,857
gregoriaanlâš,836
käldee,825
siijdah,807
kirječällee,778
sehe,774
mut,774
italiast,772
mast,769
san,755
mycetophila,751
tärhis,741
peivimeeri,735
ovtâstum,732
tuše,726
kunâgâs,706
finnim,696
historjá,690
italia,683
šoddâmihe,682
maŋa,677
eennâmkode,675
čaittâleijee,659
chironomus,655
tave,639
vuáđudui,632
taat,630
kuávlust,622
de,620
ađai,613
kuovâmáánu,602
ääigi,597
moh,595
ciäkkáduv,583
ete,578
and,560
politikkár,558
juovlâmáánu,552
polypedilum,551
alodâh,550
syeinimáánu,546
lamaš,545
peivid,545
tast,532
eennâmkoddeest,523
ohtâ,522
roovvâdmáánu,517
uđđâ,500
in,500
puáhtá,494
vuossâmuš,493
tom,489
njuhčâmáánu,484
kovegalleria,478
stuárráámus,474
statistiikkuávdáš,473
čohčâmáánu,472
te,469
porgemáánu,464
vyesimáánu,462
anarâš,460
ii,458
lasseen,455
meiddei,443
skammâmáánu,442
teikkâ,441
čääci,441
uáivikaavpug,441
markkân,437
eennâm,436
lah,425
palhâšume,422
kesimáánu,421
liriomyza,421
jo,417
taažâ,415
suulân,414
puoh,413
almostui,412
mycomya,410
cuáŋuimáánu,402
maadâ,402
president,399
ovdâmerkkân,396
sijdâd,396
rääjist,395
iä,394
toh,393
kuittâg,388
la,380
psychoda,378
staatâi,375
juávhu,373
loopân,372
et,371
album,370
kárgámive,367
nommâpeeivih,367
arkkiteht,366
di,366
finnij,357
siämmáá,347
ubâ,346
juávkku,346
uási,345
ennuv,342
älgim,337
vuoitij,337
nuuhâmpeivin,334
ohtsis,334
kieffer,334
muusik,333
italialâš,332
kyehti,331
kiinalâš,331
táválávt,330
nubbe,328
tivtâsteijee,328
dynastia,326
čuákkipääihih,324
kaavpugeh,322
lávloo,319
taan,314
kárgámihe,313
spencer,313
koskâ,311
marche,310
kuávlu,308
no,307
teikâ,305
räi,304
staatâ,303
