word,count
vanoti,25921
kureva,25045
kana,17628
mazwi,14788
mitauro,14063
inoti,12235
to,12192
iri,10633
ari,10605
mazita,10423
zita,9487
of,8484
mamwe,8243
zvinoreva,7866
aya,6560
the,6108
pedyo,5543
asi,5538
vanhu,5496
evanhu,5493
kune,5381
pasi,5106
uye,5081
yebantu,5071
izita,4912
pano,4700
kuti,4680
muzimbabwe,4659
rinowanikwa,4548
nezita,4478
kusiyana,4422
zvachose,4409
nemazwi,4391
panyorwa,4363
zvigona,4361
remhuri,4265
vane,4221
yeafrika,3901
in,3624
vachireva,3584
or,3520
be,3500
mimwe,3455
yechibantu,3011
pane,2345
ye,2226
mazulu,2105
ne,2075
kutaurwa,2004
zvikurusei,1984
chinangwa,1959
ano,1949
munhu,1898
mumutauro,1876
wemazuva,1858
asisiri,1852
ndechekutsvaga,1851
kubva,1782
and,1746
rokuti,1703
ma,1654
yekuti,1644
tarisiro,1612
for,1568
is,1507
nyika,1498
yeafrica,1464
mutauro,1462
one,1376
inotodzana,1316
with,1310
izwi,1278
apa,1272
musi,1267
re,1256
nokuti,1252
sezita,1242
on,1233
as,1193
person,1181
africa,1121
shoko,1105
from,1094
kusvika,1078
zvichireva,1063
muna,1022
iyi,991
up,981
adj,978
mime,961
pakati,952
fananidzai,929
out,914
by,906
we,889
ine,869
an,833
kuita,825
mashoko,823
nzvimbo,800
rinoreva,795
tsika,791
ane,783
make,776
kimbundu,753
ku,752
that,748
gore,743
place,740
sokuti,739
vamwe,713
riri,713
mvura,707
vazigula,701
nguva,695
zimbabwe,691
herero,676
at,674
who,664
na,663
chishona,659
zve,659
go,644
chinhu,639
kurerutsa,630
ya,610
kikongo,606
pamusoro,590
it,584
dze,576
izvi,575
unowanikwa,575
nhoroondo,559
something,552
sangho,552
zvinhu,547
ideophone,547
people,545
man,535
mwana,533
guru,530
water,527
vatauri,526
inonzi,524
tree,524
kinshasa,523
basa,521
kutaura,521
not,519
mwari,516
small,516
mhuka,514
together,514
dziri,504
rimwe,501
kuva,498
chiri,486
kinande,486
he,486
down,485
zviri,474
work,473
mbeu,472
munyika,471
misi,467
mazuva,465
imwe,465
family,465
rinonzi,463
muzambia,463
pamwe,459
vamambwe,458
kwe,456
name,453
ra,452
do,452
kuenglish,448
you,447
cause,440
baba,439
chinonzi,438
futi,437
zvichida,437
nyanja,434
white,430
vayao,430
pakuwanda,429
mushure,429
kuenda,426
mudrc,426
mu,423
become,420
chete,418
species,416
uyu,412
ndiro,412
english,412
rine,411
vari,406
mhando,406
pagore,403
maviri,402
off,401
chikamu,400
anotodzana,400
zuva,398
gregori,398
iyo,395
ichi,395
vachewa,395
anonzi,391
take,390
large,388
yezimbabwe,387
uri,386
chewa,386
kushandiswa,386
zigula,385
luganda,384
musouth,384
guta,383
pakupera,383
rudzi,382
nzira,382
mukarenda,379
afurika,378
rekuti,378
mari,378
dzimwe,375
over,375
zviitiko,375
kwegore,375
are,374
panguva,373
rufu,372
zvakare,371
vatonga,371
side,366
time,366
shona,365
saka,361
revanhu,360
rwizi,360
wa,360
swahili,360
baila,357
bushong,357
have,356
mumwe,354
vaswahili,354
has,352
all,351
mabviro,351
rwe,351
valenje,350
put,350
kuturikira,349
come,349
pa,348
iguta,348
wegore,347
used,347
other,345
eruzivo,345
ndiyo,344
very,344
mwedzi,343
being,342
mutanzania,342
chirwere,340
muti,340
vavenda,339
vakongo,338
kuchamhembe,338
mugore,336
emitauro,335
tarisai,335
south,334
mumwedzi,333
muafrica,330
simba,330
uyo,329
away,328
river,327
hwe,326
etc,324
kuzvarwa,324
which,322
umbundu,322
child,321
into,317
nhamba,316
muviri,315
father,314
vadigo,314
nsenga,314
light,314
wadhi,313
rechindau,311
che,310
animal,310
cut,310
mbiri,310
mukenya,310
vana,309
chizere,308
remucharikwa,307
murume,306
first,306
muenzaniso,306
panzvimbo,305
pasara,304
dzidzo,303
gumi,302
miti,302
his,300
rinoshandiswa,299
congo,299
vagwere,298
nezambia,298
