word,count
oo,48696
iyo,38740
ka,37852
ah,35742
ee,33293
ku,30455
waa,18850
la,17172
waxaa,16567
ay,16310
soo,14069
uu,13574
waxay,13474
ugu,11701
ayaa,11533
wuxuu,11521
in,11395
mid,11005
kale,10709
badan,9835
waxa,9340
loo,8804
lagu,8685
aad,6678
si,6098
laga,5938
ama,5927
ahaa,5860
kala,5613
sida,5582
soomaaliya,4799
dadka,4527
sidoo,4480
magaalada,4411
ahaan,4267
tahay,3991
markii,3907
leh,3884
aan,3881
ilaa,3615
wax,3591
yahay,3565
gobolka,3526
inuu,3242
dib,3184
waxaana,3181
isku,3102
inay,3055
magac,3010
reer,2944
dalka,2942
the,2836
kii,2730
jiray,2627
weyn,2558
somaliland,2548
bin,2496
yihiin,2485
hore,2435
maxamed,2387
wadanka,2380
al,2373
cali,2337
ma,2302
of,2295
ahayd,2278
marka,2252
sanadkii,2227
inta,2123
afrika,2096
dad,2066
loogu,2062
dhulka,2060
sii,2059
qof,2021
yar,1973
duwan,1968
ayuu,1927
dhashay,1833
degmada,1811
gaar,1767
guud,1761
waxayna,1692
tiro,1685
sare,1672
age,1661
uga,1629
wuxuuna,1561
isla,1553
jira,1535
dheer,1517
af,1507
sano,1505
tixraac,1500
da,1499
axmed,1484
dhan,1467
leedahay,1451
fiiri,1440
dhexe,1406
islaamka,1394
kuwa,1371
kadib,1363
laakiin,1356
koonfur,1352
bari,1343
ha,1321
cumar,1320
taasi,1313
meel,1310
waana,1296
beesha,1295
xasan,1286
nool,1274
caan,1266
magaalo,1255
qaar,1244
hor,1228
leeyahay,1227
diinta,1220
kasta,1213
and,1201
labaad,1200
yaqaan,1197
nebi,1196
soomaaliyeed,1182
https,1182
tirada,1176
is,1176
scw,1173
bulshada,1169
iyadoo,1153
taariikhda,1150
waxaan,1132
iyada,1129
tirsan,1128
nin,1121
hal,1121
soomaalida,1119
kooban,1108
com,1105
yurub,1095
bishii,1091
hoose,1090
cabdi,1075
laba,1068
itoobiya,1066
mar,1061
noqday,1059
dhinaca,1043
dhanka,1021
bariga,1018
dagaalkii,1015
magaca,1010
dhul,1009
wada,999
taariikh,995
www,994
isagoo,992
dhamaan,987
boqortooyada,983
intii,980
maraykanka,978
waxey,978
labo,969
taas,966
galbeed,963
dhex,958
go,957
looga,957
somalia,956
ciidanka,954
aduunka,953
tan,951
wuu,951
koonfurta,938
curiye,935
yiri,927
muqdisho,925
saabsan,925
waqooyiga,923
ingiriis,921
yaqaano,920
markuu,918
sheekh,900
soomaali,900
km,900
hoos,899
dunida,897
kuwaas,888
lahaa,888
galay,882
kooxda,880
kamid,879
isaga,877
cusub,870
aadan,869
halka,866
qaramada,858
way,849
ilaahay,842
qayb,840
haddii,840
abuu,830
sheegay,828
milyan,828
kuwaasi,827
sido,826
deegaanka,826
dhintay,820
muuse,820
caasimada,816
waqooyi,813
karo,810
aasaaska,804
dhaqan,803
muslimiinta,801
magaalooyinka,798
maanta,796
masar,792
midoobay,792
labada,790
fiican,789
dhacay,788
iska,786
kuwo,783
wixii,782
muxamed,780
yimid,777
qarnigii,777
adduunka,776
xigasho,776
sameeyay,774
rasuulka,769
kuuriya,766
dii,760
to,757
galbeedka,751
aqoon,749
nabi,724
ahaayeen,723
jiraan,722
xisaabta,720
lambar,717
qofka,715
hindiya,705
cilmi,704
kitaabka,701
bir,696
halkaas,695
kaas,693
ingiriiska,692
golaha,690
madax,690
dhow,689
hadda,688
ahaatee,688
markaana,686
dhaqanka,685
waaweyn,684
baxay,684
dagaal,683
ahayn,682
sannadkii,678
dhaqaalaha,675
dhowr,674
yaala,673
ciise,672
nabiga,671
wanaagsan,670
karaa,669
horeeyay,668
maxamuud,668
kan,666
yaal,664
afar,660
dawladda,659
xuseen,657
beeraha,656
bilaabo,656
maamulka,655
carabi,655
dambe,651
qaatay,649
gudaha,643
kaliya,641
biyo,641
sidii,640
helay,638
caalamka,631
afka,630
aasaasay,629
kaga,627
baa,627
jireen,623
caalamiga,621
ciidamada,620
qaaday,619
badda,618
ganacsiga,617
carabta,616
nolosha,616
taasoo,615
ururka,613
jirey,613
sidaas,611
xaaji,610
xubin,610
kor,603
xoolaha,603
turkiga,602
meesha,601
bint,601
beelaha,597
biyaha,597
jamhuuriyadda,595
dawlada,595
leeyihiin,593
wadamada,591
alle,589
aasiya,588
qaranka,586
kasoo,585
dagaalka,584
qoraalo,583
noqotay,581
wayn,579
liiska,578
gobol,576
degmo,576
taal,575
gobolada,575
ayay,572
jirtay,568
waxbarashada,567
df,566
balse,562
dugsiga,560
mf,560
eebbe,557
mareykanka,552
meelo,547
ciidan,546
dhammaan,544
yuusuf,543
sanadka,540
helo,540
jabuuti,540
may,540
qabtay,538
bilaabay,537
waddanka,533
dhalay,532
somali,526
wadan,525
jiro,524
koowaad,519
uuna,518
kaloo,517
cuntada,517
dadku,514
faarax,513
by,513
tusaale,511
caanka,511
mida,507
nuur,506
koox,504
diray,503
new,502
nooc,502
markaas,500
adag,500
saaray,500
walba,499
ibraahim,498
kastaba,498
talyaaniga,497
cad,495
kaasi,488
madaxweynaha,487
xilka,487
socda,486
daray,485
maalin,485
shiinaha,483
xarunta,482
wiil,482
faransiiska,479
dhigay,479
jirta,477
gacanta,476
qoray,475
barre,475
dadkii,474
awood,473
jeeda,472
diin,471
noqon,470
cagta,469
dilay,467
ganacsi,466
karin,465
sh,464
caafimaadka,463
makka,463
meelaha,462
madaxda,462
cilmiga,461
soomaaliga,461
puntland,460
de,458
qiyaastii,457
hada,457
xeebta,456
caansan,456
qeyb,455
midowga,455
isticmaalo,455
jir,454
kula,453
horreeyay,453
nebiga,453
siyaad,452
dhahay,451
shan,450
ahi,450
inaan,445
iyagoo,443
taala,443
waxee,443
qaarada,442
qaab,441
sababtoo,440
lahayn,436
xubnaha,435
heesaha,435
noocyo,434
deegaanada,434
wakhti,433
jeer,432
ali,430
ismaaciil,429
ft,429
janaayo,428
hay,426
lama,425
toban,424
caadiga,422
geeska,421
suldaan,420
asal,419
ciraaq,418
deegaan,418
xisbiga,418
madaxweyne,416
intaas,415
for,415
wuxu,414
saynis,414
birta,413
binu,413
diwaanka,413
oktoobar,412
darteed,412
siyaasadda,412
ayaana,412
rasmi,410
muddo,409
guruubka,409
saddex,408
doono,407
muhiim,406
en,404
waxaad,403
inkastoo,403
cunto,403
cm,402
kana,400
jaamacadda,400
degan,399
kun,398
madiina,397
qaybta,396
filimada,396
dhisay,395
fw,395
ruushka,394
ii,392
sameeyo,392
news,391
ina,390
dawlad,389
dhaqaale,389
doortay,389
africa,388
dharka,388
maadaama,388
noocyada,388
badweynta,384
kenya,384
world,384
markay,384
baxa,384
heerka,384
aw,382
dibna,382
quraanka,381
bay,380
caasimadda,379
xiga,378
nidaamka,378
tixraacyada,378
cusmaan,377
yehowah,377
qaarkood,376
juun,375
jirto,372
siyaasadeed,371
kuna,370
ahmed,370
heesta,370
dhirta,370
bisha,369
wadada,369
yidhi,368
maamul,367
dhacday,367
jaamacada,366
filimka,366
ameerika,364
fal,364
shirkadda,363
aysan,361
dhismaha,361
ula,358
buu,358
qabiilka,357
united,357
horeeya,357
koonfureed,355
ciyaaraha,355
on,355
baarlamaanka,352
kamida,352
ibni,352
shaqo,351
isu,351
sidaa,351
abriil,351
socday,350
qabsaday,350
bada,350
heer,350
magacaabay,350
jabaan,350
bartamaha,349
dambeeyay,349
jirin,348
mohamed,347
tagay,347
maxaa,346
maarso,345
dalalka,345
cabdullaahi,343
hase,343
yaqaanaa,341
mudo,341
gaaray,341
ereyga,340
an,338
filim,338
magnolia,338
degaan,337
kubedka,337
caafimaad,335
dadweynaha,334
shacabka,332
awooda,332
jaamac,332
xayawaanka,332
daayay,332
carabiga,330
hargeysa,330
