word,count
të,1582620
në,1194765
dhe,709768
një,456358
me,370995
nga,340284
për,327680
është,255362
që,235082
më,231500
si,181685
së,167619
ka,123981
se,110588
tij,110380
edhe,100341
ishte,95178
ai,94856
duke,91245
te,78893
janë,75634
vitin,74472
nuk,70842
shumë,62612
pas,61589
ose,58194
prej,51815
parë,51732
por,50655
mund,49987
tyre,49655
do,49295
ne,47818
gjatë,47359
saj,45874
ajo,42454
disa,42297
dy,40985
ku,40389
deri,40244
lidhje,39540
the,38386
këtë,37853
jashtme,36833
kur,35755
kishte,34300
vitit,33848
gjithashtu,33193
kanë,32825
mbi,32670
kjo,31968
referime,31905
cili,31427
pjesë,31356
atë,30577
vetëm,28756
tjera,28328
ata,27975
de,26784
of,26667
ishin,26576
rreth,25840
cila,24958
sipas,24876
para,24316
km,24162
ndërsa,23623
ta,22693
madhe,22636
ky,22448
shqiptare,22280
gjithë,21919
lindje,21585
kundër,21431
pasi,21197
njohur,20937
këto,19866
shqipëri,19848
madh,19813
ndryshme,19529
qenë,19411
po,19148
pa,19106
tjetër,18302
kosovës,18107
banorë,18095
dytë,18093
gjitha,17456
cilat,17295
nën,17245
ato,17223
viti,16605
midis,16511
mënyrë,16208
fundit,16084
shqipërisë,16079
vonë,16040
lartë,16027
bërë,15899
herë,15847
jo,15666
sipërfaqe,15549
mirë,15472
kësaj,15435
shih,15298
komuna,15288
çdo,15140
and,15139
in,15101
kohë,15053
apo,15031
duhet,15015
libra,14958
shqiptarë,14790
njerëz,14719
kosovë,14588
jetë,14441
bë,14373
shqiptar,14321
shkak,14084
tre,14040
lista,13977
luftës,13962
sot,13766
botuar,13711
fshatra,13569
etj,13492
vend,13341
ndaj,13328
komunë,13295
futbollistë,13177
qe,13162
sa,13032
tiranë,12959
vitet,12857
përgjithshëm,12843
popullsi,12714
re,12464
përfshirë,12389
la,12288
nëse,12222
pak,12204
kështu,12150
referimet,12141
viteve,12061
vdekje,11838
historia,11742
shiko,11378
mori,11345
vendosur,11293
fund,11271
bashkuara,11269
tjerë,11254
kulturore,11194
mes,11170
qytetit,11111
tek,11078
ri,11037
brenda,11000
shqip,10917
marrë,10875
shekullit,10811
vogël,10780
lindur,10759
ashtu,10722
departamentin,10711
filloi,10673
kishin,10617
vjet,10483
ii,10466
kryesore,10412
kryesisht,10383
kombëtare,10363
kryeministër,10175
nje,10114
mëdha,10084
iu,10079
per,9970
cilët,9959
shpesh,9941
botërore,9826
megjithatë,9805
mars,9741
komunën,9705
pasur,9669
maj,9654
ndodhet,9530
sepse,9521
francë,9476
katër,9409
emrin,9279
zakonisht,9277
qyteti,9268
politike,9212
bashku,9185
jetojnë,9181
këtij,9156
shtetit,9130
janar,9114
shtator,9085
qershor,9055
vite,9040
përdorur,9033
president,9010
siç,8997
zi,8888
tetor,8754
vetë,8697
prill,8630
thotë,8608
dhjetor,8601
ish,8593
shkurt,8551
ndër,8551
nëntor,8536
vjetër,8473
kantoni,8451
quajtur,8403
korrik,8367
shqipe,8297
tani,8279
pjesën,8275
faqe,8148
fshat,8137
ditë,8115
shtetet,8098
gusht,8097
kombëtar,8074
përmes,7995
prishtinë,7933
lindi,7922
cilën,7887
osmane,7887
gjuhën,7809
kantonit,7804
pse,7773
bëri,7752
pranë,7728
al,7660
numër,7657
jashtë,7616
përbëhet,7493
pastaj,7427
it,7333
kohës,7325
fillim,7324
veriut,7313
vit,7307
autor,7281
rrethin,7275
rajonin,7274
mbreti,7245
rëndësishme,7218
jeta,7218
vendin,7214
zyrtare,7210
ndërkombëtare,7208
demografia,7189
rajonit,7185
botës,7171
dhënë,7053
vendit,7014
mos,7011
qytet,7010
isbn,7004
libri,6986
kryesor,6925
tilla,6924
përveç,6889
fitoi,6858
aktualisht,6838
to,6687
dha,6679
njerëzit,6673
shteteve,6671
emri,6649
cilin,6639
ushtarake,6558
ngjarje,6545
shba,6519
as,6497
krijuar,6475
bëhet,6467
mesme,6450
megjithëse,6388
bën,6270
ndërtuar,6260
forcat,6228
përdoret,6224
shën,6192
partisë,6183
këtyre,6158
new,6144
hershme,6143
ndeshje,6134
shembull,6132
qytetin,6125
ketë,6115
qarkun,6092
pjesa,6071
reja,6063
presidenti,6053
tretë,6032
vende,6025
popullsisë,6007
pesë,5996
shkolla,5995
ende,5992
el,5950
lidhur,5944
shumica,5943
luajtur,5920
bazë,5900
sh,5870
fjalë,5861
universitetin,5854
jug,5827
gjendet,5818
veri,5817
shkruar,5800
veriore,5795
frëngjisht,5781
veçanërisht,5772
perëndimore,5769
gjuhë,5763
fshati,5756
gjerë,5753
kurse,5751
vdiq,5750
jetës,5740
shekullin,5738
filma,5730
arriti,5725
anëtar,5707
perandorisë,5704
evropian,5697
tempulli,5675
shkollën,5665
shtëpi,5635
qendër,5619
gjë,5578
nëpër,5499
popullore,5498
veçantë,5490
amerikës,5466
vërtetë,5450
përpara,5444
aktuale,5444
romake,5438
përfshin,5434
