word,count
је,1043935
на,415027
се,385737
су,288242
од,250047
да,243324
за,217774
године,193843
са,184253
из,146257
као,113992
који,108121
по,89971
становника,89072
до,81690
био,73899
везе,72849
спољашње,70753
још,63204
што,61367
која,60822
или,58981
референце,58499
насеља,56455
према,55401
које,49567
општина,47100
налази,46976
али,42882
види,40353
није,39018
након,37514
географија,37232
била,36656
то,36511
би,35677
не,35364
код,35290
око,34587
година,34539
град,33685
литература,32899
када,31689
под,31427
сад,31224
има,30742
википројект,30368
било,30283
током,29609
становништва,29291
више,28795
података,28571
попису,28292
због,27355
износи,27349
први,26032
га,25801
може,25788
све,24494
број,24430
само,24331
између,24203
док,23809
један,23627
места,23600
насеље,23514
где,22528
каталог,22466
француској,22286
држави,22187
такође,21815
општини,21801
време,21465
после,21413
тако,21214
два,21080
нови,20938
општине,20803
како,20761
место,20663
били,20517
градова,20413
три,20185
савезној,20000
база,19307
он,18818
рата,18477
део,18370
ће,18211
дана,18203
те,18133
века,18109
србије,17822
насељена,17795
демографија,17730
градови,17647
против,17639
града,17443
па,17430
касније,17390
му,17386
подаци,17341
српски,17140
живело,17052
их,16864
страници,16646
београд,16612
округа,16310
списак,16187
своје,16113
метара,16008
јер,16002
него,15979
без,15851
неколико,15839
граду,15787
тога,15782
врста,15429
историја,15368
преко,15028
мапи,15005
пре,14895
српске,14873
насељено,14872
план,14827
две,14677
србији,14367
стране,14360
становништво,14319
овом,14253
већ,14240
објеката,14162
магнитуда,14050
други,13971
данас,13929
могу,13895
ово,13827
име,13437
бити,13363
пут,13304
објекта,13182
тада,13127
живјело,13114
нису,13101
округу,13058
безкн,12811
овај,12740
велики,12701
департману,12649
центар,12639
међутим,12638
висини,12587
густина,12467
имао,12456
систем,12414
коју,12270
уз,12148
врсте,12118
републике,12110
људи,12090
ова,11926
југославије,11901
међу,11875
делу,11835
ове,11766
француске,11693
надморској,11641
највећи,11549
подацима,11526
групе,11505
броју,11459
иако,11430
процјени,11269
општи,11207
кроз,11165
земље,11160
постао,11073
поред,11010
група,10831
насељу,10809
друге,10762
државе,10708
познат,10655
београду,10637
дела,10603
она,10404
играма,10276
његов,10251
рођени,10221
једно,10177
при,10108
често,10040
којима,10005
овој,9941
веома,9906
једна,9890
припада,9666
српска,9653
месту,9624
ако,9595
области,9401
они,9372
заједно,9329
олимпијским,9297
току,9281
имају,9247
република,9234
прва,9223
своју,9175
астрономских,9171
пута,9163
четири,9160
којој,9157
постоји,8943
затим,8939
броја,8886
овог,8860
ту,8797
филм,8759
америчкој,8654
користи,8614
мање,8599
другог,8579
извори,8516
организације,8475
филмови,8445
рат,8428
маја,8395
амерички,8364
том,8328
површина,8324
хрватској,8184
члан,8180
немачкој,8179
сајт,8142
својим,8126
индекс,8094
износила,8074
углавном,8073
листи,8067
биле,8008
свој,7973
званични,7919
промене,7885
главни,7882
добио,7877
првог,7870
односно,7866
свог,7865
црква,7858
поново,7823
авиона,7812
светског,7804
село,7791
имала,7744
смрти,7733
села,7717
његова,7713
цркве,7671
веку,7656
њих,7626
система,7618
живи,7576
националног,7574
августа,7573
округ,7563
септембра,7542
пошто,7540
држава,7522
начин,7508
времена,7501
самом,7448
других,7420
завод,7401
свих,7391
њему,7374
велике,7372
језик,7368
региону,7362
радио,7325
сам,7317
октобра,7311
тим,7300
последњих,7296
жена,7264
астероида,7223
главног,7214
књига,7209
ради,7169
јула,7146
краљ,7134
мора,7121
неки,7096
космос,7096
сматра,7091
ни,7049
представља,7036
де,7032
величина,7007
томе,7004
острва,6973
станиште,6969
председник,6964
статистику,6944
им,6940
посебно,6934
његове,6929
много,6920
назив,6886
јуна,6883
реке,6878
неба,6842
живота,6819
милиона,6790
налазе,6776
којих,6748
ка,6748
живот,6747
једном,6717
доба,6716
света,6693
војске,6691
крају,6690
доступно,6689
коме,6678
над,6666
новембра,6666
земљи,6645
прво,6632
површини,6627
априла,6622
географски,6613
прве,6606
марта,6602
стразбур,6601
