word,count
kanye,1501
afrika,1097
bantfu,782
kutsi,641
futsi,579
nga,541
wa,477
ne,476
kantsi,433
of,424
km,415
ningizimu,407
ku,397
ngemnyaka,394
we,385
ngemuva,367
linani,357
le,323
khona,321
ngekutsi,313
no,307
na,300
the,299
kusukela,292
lapho,283
wase,275
ngesikhatsi,273
kúfúna,271
live,264
eningizimu,264
kakhulu,253
de,250
kuya,231
wakhe,227
eswatini,226
kúbópha,224
yi,223
and,213
lebantfu,209
ye,209
ekhatsi,204
iwebhusayithi,201
mu,191
inhlokodolobha,188
mayelana,181
noma,181
ngo,178
ngu,175
mengameli,175
kwe,172
mhlaka,171
usd,170
yase,169
lase,168
yakhe,168
inthanethi,167
african,158
pib,157
likhodi,157
umbuso,157
umlandvo,152
imiphakatsi,151
síngísi,149
ema,149
nobe,148
hiv,148
sikhatsi,146
so,146
inkhundla,144
kwakhe,142
kwekutsi,140
in,139
ngenca,138
kute,135
abe,134
waba,131
loku,130
watalwa,129
national,127
emkhatsini,127
kepha,121
tinkomba,120
kuba,115
nge,112
kwa,111
base,109
se,109
weswatini,108
kufaka,108
ma,108
anc,107
langu,105
waphindze,102
letinyenti,98
south,98
dlamini,97
sase,96
ho,94
congress,94
university,93
kwaba,93
ngaphansi,92
te,92
uma,92
inkhosi,90
endzaweni,90
iriphabliki,88
licembu,88
ii,87
lelicembu,84
lomkhulu,83
united,83
africa,82
iriphabhulikhi,81
yeningizimu,81
cape,80
ngaphambi,80
kwatsi,79
ngenyanga,79
lamabili,78
kwebantfu,78
lenkhulu,77
sopolitiki,77
kube,76
kwesikhatsi,75
lengu,75
tintfo,74
aids,74
nase,74
ke,72
iminyaka,72
kahle,72
ase,72
khama,71
yabo,70
babe,70
esifundzeni,70
google,70
ngaphandle,69
indzawo,69
sakhe,68
letinye,68
labanyenti,68
tindzawo,67
umsebenti,66
ngekuhamba,66
iningizimu,66
uphindze,66
kodvwa,65
bsaet,65
yekucala,64
umuntfu,64
bi,63
nea,63
wekucala,62
mandela,61
mswati,60
nabo,59
ya,59
njenge,59
ahorow,59
emave,58
etindzaweni,58
imphilo,58
bese,58
lamanyenti,57
ligama,57
letingu,57
lilanga,57
labangu,57
to,56
sobhuza,56
tase,56
lesifo,56
bukhosi,55
college,55
watfola,55
sikhundla,55
engine,55
luhlelo,54
kuphela,54
wacala,54
zulu,54
wonkhe,54
nyalo,54
bakhe,53
ibe,53
lakhe,53
ngalesikhatsi,53
nhwehw,53
for,52
takhe,52
umfula,52
eceleni,52
labanye,51
natal,51
la,51
phansi,51
baculi,51
ka,50
iii,49
wabese,49
njalo,49
emnyakeni,49
webantfu,49
shaka,49
dwuma,49
leti,48
swaziland,48
imfundvo,48
wakhetfwa,48
mpumalanga,48
ube,48
ekucaleni,48
campus,48
tb,48
bosatiwako,48
hwehw,48
lidolobha,47
indlela,47
shiselweni,47
eminyakeni,47
di,47
kubantfu,47
waseningizimu,47
tilwimi,46
siswati,46
lamatsatfu,46
ngetulu,46
sive,46
emareferensi,46
emhlabeni,46
labamnyama,46
aphindze,46
tonkhe,45
weashiya,45
imali,45
eveni,45
kulelive,45
emaswati,45
imibhalo,45
lelishumi,45
emaveni,45
yaba,45
kufa,45
search,45
hulumende,44
lapha,44
swatini,44
ngumengameli,44
umndeni,43
lesidze,43
school,43
sifo,43
enyuvesi,43
ns,43
lelitsi,42
baseningizimu,42
enyangeni,42
phakatsi,42
nanobe,42
weafríka,42
party,42
nne,42
lesive,41
yinkhosi,41
with,41
iphindze,41
yena,41
weyurophu,41
yebantfu,41
lelikhulu,40
lulwimi,40
as,40
nje,40
ngabe,40
lwanga,40
lepolitiki,40
lídolôbha,39
watiwa,39
watsi,39
ngaleso,39
john,39
lesi,39
bonkhe,39
njengoba,39
al,38
ngulapho,38
intfo,38
sigaba,38
kwekucala,38
tembangave,38
mhlabawonkhe,38
ngekushesha,38
labo,37
make,37
bantfwana,37
west,37
world,37
kudla,37
lilunga,37
lwe,37
fa,37
tifundza,36
manzini,36
leligama,36
emasiko,36
be,36
kwenta,36
kusetjentiswa,35
itfolakala,35
laba,35
hrh,35
ngendlela,35
degree,35
municipality,35
ngekusho,35
lowatiwa,35
kweminyaka,34
onkhe,34
sikhungo,34
atiwe,34
umhlanga,34
naletinye,34
yasungulwa,34
sekuba,34
league,34
welicembu,34
letimbili,34
tindlela,33
kwaze,33
si,33
esikolweni,33
emuva,33
ebantfu,33
labalinganiselwa,33
inyoni,33
lebalulekile,33
watalelwa,33
akhe,33
aneminyaka,33
budzala,33
indzima,33
kwate,33
science,33
enyakatfo,32
yaseningizimu,32
singisi,32
letintsatfu,32
republic,32
loko,32
naye,32
bachelor,32
emadolobha,32
www,32
emandla,32
indlovukazi,32
lebhalwe,32
education,32
lesikhungo,32
nkratafa,32
lelive,31
en,31
eastern,31
north,31
states,31
emva,31
lamanye,31
sifundza,31
ngoba,31
lemibili,31
incenye,31
nema,31
licala,31
jazz,31
kwenteka,31
munye,30
state,30
tv,30
simo,30
nguye,30
lasungulwa,30
international,30
on,30
tibongo,30
umculo,30
emanti,30
river,30
kumbe,30
letinyawo,30
yetemphilo,30
kyer,30
wayo,29
indlovukati,29
iso,29
bhimbídvwane,29
ngayo,29
da,29
emalanga,29
botswana,29
ngembi,29
indvodzana,29
washona,29
emacembu,29
wasebenta,29
albhamu,29
lamuhla,28
nebantfu,28
leminyenti,28
emarefarensi,28
kwaloko,28
letifana,28
leyatiwa,28
ngwane,28
city,28
lekucala,28
ingci,28
wabo,28
ikakhulukati,28
yesive,28
kusebenta,28
freedom,28
tinhlelo,28
link,28
timphawu,28
lendzawo,28
tifaka,28
ungusopolitiki,28
fo,28
emashumi,27
lalishumi,27
william,27
art,27
umhlaba,27
com,27
inhloko,27
local,27
mi,27
black,27
laphansi,27
laseningizimu,27
lomjovo,27
ama,27
incwala,27
kuze,26
inkhululeko,26
kutsiwa,26
wikipedia,26
esiveni,26
democratic,26
indlovana,26
imphala,26
bafundzi,26
arts,26
kusuka,26
umfati,26
kwentela,26
ejele,26
