word,count
le,6310
ho,6236
ka,5609
ea,4758
ba,3413
oa,2396
ke,2346
la,2336
tsa,2231
sa,2210
tse,2028
ya,1349
afrika,1197
ile,1134
ha,1057
se,1009
hore,811
li,753
ne,720
kapa,717
wa,708
pele,695
borwa,670
bo,578
zuma,571
hae,552
batho,509
boroa,472
motse,459
na,452
tloha,443
naha,418
mme,389
masepala,354
nang,346
provense,343
bakeng,328
me,328
moka,286
baahi,269
the,268
mopresidente,266
eo,246
nako,240
biden,240
di,235
bona,231
neng,230
of,226
haholo,220
karolo,218
molao,211
joalo,209
etsa,206
anc,205
ts,200
lesotho,199
bolokiloe,198
botjhabela,196
bang,192
go,186
sebaka,184
moo,182
motho,176
eona,171
bophelo,167
fetisisa,164
hape,162
sechaba,162
mmesa,162
leboya,161
ling,158
lilemo,158
matla,157
nakong,156
empa,155
khutlisitsoe,155
ileng,154
tsoa,154
moholo,153
leng,152
palo,152
ramaphosa,152
kholo,150
fetang,149
tla,149
re,149
selemo,144
mong,144
setereke,137
hlakola,135
ngata,133
ena,133
lebaka,132
limpopo,130
amerika,129
ngoe,127
kamora,127
uropa,125
leha,123
lekhotla,119
ntle,118
and,117
seo,117
bgcolor,116
letsatsi,116
sehlopha,116
united,115
ntse,114
leboea,113
lefu,113
sena,111
lipolotiki,111
pherekhong,111
fumana,110
seng,110
tšitoe,110
states,109
fapaneng,109
maemo,108
puo,107
mor,107
mo,107
phahameng,107
hangata,106
mokhoa,105
lefatše,103
bobeli,99
fihlela,98
jacob,98
teng,97
bochabela,97
thuto,96
feta,96
phupu,96
fana,95
feela,95
ente,95
nka,95
boemo,94
mantlha,94
mosebetsi,93
kantle,93
isa,93
bile,93
sebakeng,92
mabapi,92
be,90
qala,89
south,89
litaba,89
phato,88
motlatsi,88
loetse,88
sebetsa,86
hlakubele,86
kakaretso,85
lena,84
poland,83
mora,83
african,83
mafu,83
hantle,82
ikemetseng,82
setho,82
leoatle,82
mokhatlo,82
boetse,82
tsena,81
machaba,81
mefuta,81
kang,81
libaka,81
in,80
bohlokoa,80
hamorao,80
tseo,79
mmuso,79
hona,79
metse,79
maikutlo,79
boholo,79
kenyelletsa,78
latela,77
mphalane,77
ebile,76
bana,76
lebitso,75
lefatšeng,75
mino,75
qeto,75
khoebo,75
qalong,74
rabara,74
linaha,73
national,73
cyan,72
india,72
motheo,71
africa,71
tsona,70
bangata,69
retrieved,69
leshome,68
de,68
bophirima,67
cape,67
khahlanong,67
tsamaiso,67
hlahileng,67
seoa,67
hlaha,66
moruo,66
bophara,66
letlalo,65
phuptjane,65
mehleng,64
naheng,64
maloa,64
mofuta,64
ntoa,64
motsemoholo,64
tsoang,64
flag,64
bolwetse,64
joale,63
tšoaetso,63
pulungoana,62
setso,61
km,61
sebini,61
new,60
botle,60
thibela,60
liqoso,60
ona,59
hare,59
muso,59
toropo,59
lula,59
morao,59
greater,59
bolela,58
all,58
maleme,57
har,57
taolo,57
have,57
obama,57
jwalo,56
thepa,56
tshwaetso,56
december,56
august,56
hloko,56
europe,55
leo,55
tlhaho,55
likhetho,55
ebetso,55
mbeki,55
lelapa,54
pakeng,54
lefatshe,54
mmasepala,54
johannesburg,54
congress,54
univesithing,54
lefats,53
bao,53
mathata,53
municipalities,53
limilione,52
lekholong,52
etsang,52
tsela,52
haeba,52
lichelete,52
bobolu,52
spain,51
mele,51
haufi,51
mmino,51
sebelisoa,50
senate,50
peli,50
eena,50
mandela,50
kahlolo,50
lihokelo,49
kopaneng,49
likarolo,49
semmuso,49
tsoela,49
botho,49
hoo,49
news,49
nyeoe,49
sebelisa,48
holo,48
com,48
asia,48
kenyeletsa,48
metsi,48
telele,48
kanna,48
metso,47
yona,47
bua,47
batla,47
amanang,47
chelete,47
lehae,47
hobane,46
tlase,46
kroatia,46
matshwao,46
lipakeng,46
sebetsang,46
moea,46
morena,45
dilemo,45
kgolo,45
setsi,45
bophirimela,45
bohle,45
mang,45
basebetsi,45
basali,45
likokoana,45
tlisitsoe,45
ncha,44
lintho,44
bohareng,44
boraro,44
hloka,44
tlhahlobo,44
hlahisa,44
moetapele,44
provinces,44
dipuo,43
ding,43
matsatsi,43
fumane,43
regions,43
nyane,42
litokelo,42
tsebo,42
sekolo,42
meng,42
ithuta,42
vaerase,42
kena,42
marabi,42
may,42
bongaka,42
phetoho,42
leano,41
mashome,41
lihlekehleke,41
hammoho,41
letona,41
komiti,41
mosali,41
lifolakha,41
tsohle,40
mekhatlo,40
kenya,40
itseng,40
linako,40
tlhahiso,40
cyril,40
tša,40
thusa,39
lijo,39
china,39
state,39
kwazulu,39
www,39
bong,39
holimo,39
bopaki,39
times,39
mekhoa,39
lengolo,39
jordan,39
oaetso,39
setjhaba,38
linaheng,38
mosebetsing,38
motsana,38
fumaneha,38
city,38
tšoanang,38
kaha,38
mohlala,38
fokotsa,38
sefofane,38
nts,38
motlakase,38
dinaheng,38
khethollo,38
basadi,37
mahareng,37
town,37
khethoa,37
sekolong,37
tharo,37
sesole,37
covid,37
tšoaetsanoang,37
latelang,36
nalane,36
likamano,36
leleme,36
vietnam,36
litho,36
ao,36
lik,36
hlahile,36
mmele,36
morabe,36
mengata,36
demokrasi,36
maemong,36
boimana,36
koloi,36
giyani,36
mail,36
bitsoang,35
baka,35
lentsoe,35
mokha,35
puso,35
rephabliki,35
union,35
ntho,35
tsebahalang,35
tsejoa,35
theha,35
inthaneteng,35
matšoao,35
mesebetsi,34
ele,34
lilemong,34
tlasa,34
libakeng,34
etsahala,34
etsopele,34
district,34
york,34
taba,34
tumellano,34
etsoa,34
lipuo,33
amohela,33
jeremane,33
senyesemane,33
dimilione,33
white,33
tummeng,33
mantsoe,33
seterekeng,33
itokolla,33
zimbabwe,33
