word,count
fon,21696
ju,20730
dät,19366
in,19281
un,15622
do,14025
is,9020
dän,8020
die,6836
tou,4986
ap,4610
as,4544
mäd,4330
uk,4132
ne,3998
foar,3341
ätter,3287
een,2813
wäd,2751
sunt,2631
uut,2500
waas,2404
hie,2165
uur,2103
deer,2098
de,2097
nit,2091
häd,2091
sik,2046
man,2017
bie,1934
truch,1659
bit,1603
wäide,1601
aan,1595
sien,1564
wier,1524
rakt,1508
of,1486
an,1479
noch,1443
so,1437
uum,1372
der,1369
me,1352
wuude,1336
stääd,1333
dan,1309
meente,1193
eerste,1179
kon,1101
moor,1090
düütske,1088
wuuden,1066
jierhunnert,998
et,971
hääbe,952
seelterlound,938
januoar,936
jo,926
fuul,918
sproake,884
unner,861
twiske,860
aal,852
lound,835
jier,829
däälich,829
moanskene,824
wät,802
jiere,787
km,786
bloot,780
hiere,776
wan,755
deel,734
tied,732
al,729
groote,717
seelter,714
juu,696
ljuude,690
lait,678
oun,656
düütsk,648
waareld,631
niederlounde,629
wuud,621
sowät,617
wieren,607
juun,597
doo,590
woonje,586
loundkring,582
noome,575
af,564
und,563
sin,553
ienwoonere,548
oard,545
stuurwen,536
sproaken,535
hiede,526
litje,526
haudstääd,521
ailound,514
hier,509
düütsklound,509
st,505
düütsken,502
two,499
buuten,495
kumt,485
sjuch,485
keemen,478
us,474
oolde,474
ferskeedene,468
von,466
gjucht,464
ailounde,462
leeter,460
also,460
uumdät,443
provinz,443
disse,441
näie,427
wäil,423
äi,420
toun,419
sit,417
düsse,416
stoaten,414
wäkke,413
fereende,411
fräiske,407
neen,406
august,402
ferbiendenge,400
amerikoa,399
konnen,398
bekoand,396
deeruum,389
europa,389
him,386
geskichte,385
nu,383
bruukt,382
the,382
april,380
februoar,378
kriech,378
touhoope,376
grootste,373
siet,372
meerte,369
riek,368
gans,367
moai,366
juni,364
seeltersk,361
wai,360
juli,356
hat,355
dierte,354
isbn,353
ferbiendengen,352
literatuur,348
fääre,346
roate,345
dezember,339
juust,338
buundeslound,338
köönich,333
boald,330
heert,328
twäide,327
oktober,327
hieden,327
fläche,327
gungt,326
biespil,324
eende,321
noude,320
biologie,319
foarallen,318
frankriek,318
koom,315
deerbie,312
plonten,312
woater,310
gebiet,309
naamd,306
säärke,301
aast,299
van,299
republik,298
deerfon,296
groot,295
moaked,295
bee,294
deele,292
september,283
ieuwenske,281
november,280
sänt,279
täärp,276
deermäd,275
daach,274
fryslân,273
provints,273
stääde,269
frantsööske,268
foarfaale,268
skrieuwer,268
skäddel,268
oafte,268
suude,267
en,267
masse,266
weese,265
meenteferwaltenge,264
maaste,262
goud,258
uurs,258
moal,257
lääste,257
amerikoanske,256
see,256
ii,255
ou,255
noud,255
europäiske,254
wie,254
roomelse,253
aaste,253
politiker,252
roomske,252
loange,250
tjo,248
wällen,248
deege,247
wääste,246
familie,246
wääst,244
oarde,244
slacht,243
moorere,243
kuume,241
ängelsk,240
besunners,239
skäl,237
oaber,236
befoulkenge,235
fräislound,234
ganse,233
oawers,232
dai,232
siede,231
moaler,229
kuude,225
woud,225
fjauer,224
heere,224
maast,223
lier,222
des,222
fröier,221
woude,221
er,221
brasilien,221
stoat,220
bolde,219
das,219
suud,219
troppen,216
stoant,216
skoule,216
britiske,215
lieste,214
bierich,213
sun,213
la,213
dialekt,210
steede,209
bayern,208
präsident,206
buundesstoat,205
afrikoa,204
foan,202
dialekte,201
gjuchte,199
biskop,198
sälwen,198
baud,198
sunner,198
kultuur,194
dood,193
täärpe,193
musik,191
mout,191
roomsk,191
moakje,190
ruslound,189
region,188
oaine,188
fräisk,187
deertruch,187
amerikoansken,186
dt,186
rebät,185
kaiser,184
kr,184
ätters,182
wierke,182
foarm,181
lieuwend,181
element,181
san,181
bädden,180
sleek,180
israel,180
läichsaksen,179
kuuden,179
buute,179
it,179
bäidene,178
eenige,176
jan,176
spanien,176
spoanske,176
geen,175
bouk,175
noomen,175
waareldkriech,174
deertou,174
skuul,173
wilst,173
peru,172
foulk,172
wierbie,171
uungefeer,171
grooten,170
oafter,170
gruunded,169
begint,168
friedrich,168
skrieuwen,168
lounde,167
minner,166
wikipedia,166
strukelje,166
johann,165
pestoor,164
äide,164
twäin,164
se,164
uus,164
kreech,163
tourääch,163
panama,162
poor,162
sogoar,162
lät,161
aastriek,160
heinrich,159
näi,159
ienfloud,158
wälle,158
sieden,158
josé,158
berlin,156
baale,155
wäästfoalen,155
río,155
kalänner,154
eersten,154
kramer,154
begin,153
skauspielerske,153
mexiko,153
politiske,152
stounde,152
huus,151
bielde,151
usa,151
buppe,150
kunst,150
kricht,150
fieuw,150
wude,150
frantsöösken,150
paul,149
noudfräiske,149
rio,149
ien,146
italien,146
noudrhien,146
john,145
im,145
paatäi,145
lieuwje,145
saksen,145
buund,144
eer,144
den,143
wo,143
frantsöösk,143
artikkel,143
meetere,143
deerfoar,142
hoochste,141
weesen,141
ängelske,140
kanoal,140
moakede,140
regierenge,140
aastelk,139
fienden,139
wichtichste,139
lääse,139
wiese,138
koomen,138
hermann,137
maasttieds,137
nwz,137
union,136
wäästelk,136
lucht,136
köönichriek,136
groningen,136
skeed,135
gratter,135
düssen,135
beteekend,135
asien,134
wol,134
websiede,134
komponist,134
johannes,133
beteekent,133
moaket,133
wichtige,133
gruppe,132
aastfräiske,132
älke,132
bekoande,132
begon,132
kathoolsken,131
wäästfräiske,131
kolumbien,131
new,131
seelterfräiske,130
sonaamde,130
bielden,130
wierfon,130
loage,130
midde,129
wichtich,128
buppedät,128
anden,128
noudbrabant,128
suudelk,127
bestoant,127
franz,127
sjo,127
jält,126
chile,125
hooch,125
fljut,125
kloppenbuurich,124
seelterske,124
baden,124
argentinien,124
suugedierte,124
faawe,124
god,124
kardinoal,124
dissen,123
kuut,123
je,123
wilhelm,123
oarbaid,123
moakjen,122
für,122
hieren,121
fröiere,121
sjucht,121
mon,120
geschichte,119
wüül,119
kriege,119
roat,119
suun,119
aastfräislound,118
hied,118
sodät,118
seedelsbierich,117
noudelk,117
joseph,117
blieuwe,117
mongs,117
wuden,117
suudhollound,117
karl,116
fluks,116
reeke,116
oardenge,116
oold,115
gruund,114
bitje,114
latienske,114
spoaniere,114
inka,114
somäd,113
betjuudenge,113
naan,113
foulge,113
